iter,step,fold,acc,prec,rec,f1score
0,2,0,60.432,58.844,60.432,57.942
1,2,0,59.712,57.955,59.712,57.31
2,2,0,59.712,57.955,59.712,57.31
3,2,0,59.712,57.955,59.712,57.31
4,2,0,59.712,57.955,59.712,57.31
5,2,0,58.993,57.1,58.993,56.679
6,2,0,58.993,57.1,58.993,56.679
7,2,0,60.432,58.664,60.432,57.565
8,2,0,60.432,58.664,60.432,57.565
9,2,0,60.432,58.987,60.432,57.579
10,2,0,60.432,58.987,60.432,57.579
11,2,0,63.309,62.59,63.309,60.405
12,2,0,63.309,62.59,63.309,60.405
13,2,0,62.59,61.597,62.59,59.732
14,2,0,62.59,61.597,62.59,59.732
15,2,0,61.871,60.519,61.871,59.025
16,2,0,61.871,60.519,61.871,59.025
17,2,0,59.712,57.984,59.712,57.136
18,2,0,59.712,57.984,59.712,57.136
19,2,0,59.712,57.984,59.712,57.136
20,2,0,59.712,57.984,59.712,57.136
21,2,0,58.273,55.03,58.273,55.348
22,2,0,58.273,55.03,58.273,55.348
23,2,0,58.273,55.03,58.273,55.348
24,2,0,58.993,55.737,58.993,55.965
25,2,0,59.712,56.449,59.712,57.146
26,2,0,59.712,56.449,59.712,57.146
27,2,0,58.993,55.727,58.993,56.13
28,2,0,58.993,55.727,58.993,56.13
29,2,0,58.993,55.727,58.993,56.13
30,2,0,58.993,55.727,58.993,56.13
31,2,0,58.993,55.615,58.993,56.145
32,2,0,58.993,55.615,58.993,56.145
33,2,0,59.712,56.315,59.712,56.916
34,2,0,59.712,56.315,59.712,56.916
35,2,0,59.712,56.293,59.712,56.764
36,2,0,59.712,56.293,59.712,56.764
37,2,0,60.432,56.989,60.432,57.54
38,2,0,60.432,56.989,60.432,57.54
39,2,0,61.151,58.758,61.151,58.706
40,2,0,61.151,58.758,61.151,58.706
41,2,0,61.151,58.758,61.151,58.706
42,2,0,61.151,58.758,61.151,58.706
43,2,0,61.871,59.339,61.871,59.49
44,2,0,61.871,59.339,61.871,59.49
45,2,0,62.59,60.031,62.59,60.252
46,2,0,62.59,60.031,62.59,60.252
47,2,0,62.59,60.031,62.59,60.252
48,2,0,62.59,60.031,62.59,60.252
49,2,0,62.59,58.982,62.59,59.835
50,2,0,62.59,58.982,62.59,59.835
51,2,0,61.871,58.345,61.871,59.201
52,2,0,61.871,58.345,61.871,59.201
53,2,0,61.151,57.721,61.151,58.566
54,2,0,61.151,57.721,61.151,58.566
55,2,0,61.151,57.721,61.151,58.566
56,2,0,61.151,58.611,61.151,59.192
57,2,0,61.871,59.33,61.871,59.912
58,2,0,61.871,59.33,61.871,59.912
59,2,0,59.712,57.416,59.712,57.945
60,2,0,59.712,57.416,59.712,57.945
61,2,0,60.432,58.841,60.432,59.066
62,2,0,60.432,58.841,60.432,59.066
63,2,0,60.432,58.841,60.432,59.066
64,2,0,60.432,58.841,60.432,59.066
65,2,0,60.432,58.971,60.432,59.125
66,2,0,60.432,58.971,60.432,59.125
67,2,0,60.432,58.841,60.432,59.066
68,2,0,59.712,58.116,59.712,58.339
69,2,0,60.432,58.841,60.432,59.066
