iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,76.753,77.698,76.582
1,2,0,76.978,75.318,76.978,75.417
2,2,0,76.978,75.318,76.978,75.417
3,2,0,77.698,75.896,77.698,76.017
4,2,0,77.698,75.896,77.698,76.017
5,2,0,76.978,75.391,76.978,75.657
6,2,0,76.978,75.391,76.978,75.657
7,2,0,77.698,75.896,77.698,76.017
8,2,0,77.698,75.896,77.698,76.017
9,2,0,79.137,77.346,79.137,77.054
10,2,0,79.137,77.346,79.137,77.054
11,2,0,76.978,75.318,76.978,75.417
12,2,0,77.698,75.996,77.698,76.396
13,2,0,75.54,74.087,75.54,74.523
14,2,0,75.54,74.087,75.54,74.523
15,2,0,76.978,75.979,76.978,74.926
16,2,0,76.978,75.7,76.978,74.978
17,2,0,76.978,76.596,76.978,76.001
18,2,0,76.978,76.104,76.978,75.671
19,2,0,77.698,77.106,77.698,76.746
20,2,0,76.978,76.618,76.978,75.893
21,2,0,75.54,75.804,75.54,75.328
22,2,0,76.259,76.192,76.259,75.93
23,2,0,76.259,75.808,76.259,75.551
24,2,0,76.259,76.075,76.259,75.579
25,2,0,75.54,74.964,75.54,74.997
26,2,0,75.54,74.384,75.54,74.104
27,2,0,76.978,76.43,76.978,76.019
28,2,0,76.978,76.43,76.978,76.019
29,2,0,76.259,74.799,76.259,75.059
30,2,0,76.259,75.583,76.259,74.972
31,2,0,77.698,76.683,77.698,76.455
32,2,0,77.698,76.683,77.698,76.455
33,2,0,74.101,73.239,74.101,72.974
34,2,0,74.101,73.239,74.101,72.974
35,2,0,74.82,73.46,74.82,73.402
36,2,0,74.82,73.46,74.82,73.402
37,2,0,77.698,76.875,77.698,76.395
38,2,0,77.698,76.875,77.698,76.395
39,2,0,74.82,73.551,74.82,73.646
40,2,0,74.82,73.551,74.82,73.646
41,2,0,76.259,74.768,76.259,74.765
42,2,0,76.978,75.917,76.978,75.776
43,2,0,76.978,76.233,76.978,76.085
44,2,0,78.417,77.37,78.417,76.768
45,2,0,77.698,76.523,77.698,76.545
46,2,0,77.698,76.523,77.698,76.545
47,2,0,77.698,76.696,77.698,76.562
48,2,0,77.698,76.523,77.698,76.545
49,2,0,79.856,79.232,79.856,78.779
50,2,0,79.856,79.232,79.856,78.779
51,2,0,78.417,77.695,78.417,77.161
52,2,0,78.417,77.262,78.417,76.889
53,2,0,78.417,77.379,78.417,76.692
54,2,0,78.417,77.379,78.417,76.692
55,2,0,76.978,75.348,76.978,75.083
56,2,0,76.978,75.348,76.978,75.083
57,2,0,76.259,74.357,76.259,74.524
58,2,0,76.259,74.357,76.259,74.524
59,2,0,76.259,74.357,76.259,74.524
60,2,0,76.259,74.357,76.259,74.524
61,2,0,77.698,76.448,77.698,76.202
62,2,0,76.978,75.592,76.978,75.61
63,2,0,67.626,58.38,67.626,62.614
64,2,0,67.626,58.38,67.626,62.614
65,2,0,43.885,77.634,43.885,47.357
66,2,0,74.82,77.934,74.82,73.709
67,2,0,64.029,73.226,64.029,60.002
68,2,0,76.259,77.958,76.259,74.749
69,2,0,58.993,70.223,58.993,59.63
70,2,0,74.82,79.149,74.82,76.29
71,2,0,77.698,74.482,77.698,72.823
72,2,0,77.698,74.482,77.698,72.823
73,2,0,76.259,72.907,76.259,71.516
74,2,0,76.259,72.907,76.259,71.516
75,2,0,75.54,70.641,75.54,70.887
76,2,0,76.259,70.281,76.259,72.013
77,2,0,76.978,74.196,76.978,73.171
78,2,0,76.978,74.196,76.978,73.171
79,2,0,79.856,80.227,79.856,78.41
80,2,0,79.856,80.227,79.856,78.41
81,2,0,82.014,81.357,82.014,80.559
82,2,0,79.856,78.491,79.856,78.626
83,2,0,83.453,83.032,83.453,82.25
84,2,0,83.453,83.032,83.453,82.25
85,2,0,80.576,79.319,80.576,79.435
86,2,0,81.295,79.634,81.295,79.704
87,2,0,82.014,81.995,82.014,79.047
88,2,0,82.014,81.995,82.014,79.047
89,2,0,81.295,80.572,81.295,80.548
90,2,0,81.295,80.572,81.295,80.548
91,2,0,84.173,84.164,84.173,83.198
92,2,0,84.173,84.164,84.173,83.198
93,2,0,79.137,78.053,79.137,77.974
94,2,0,79.856,78.568,79.856,78.631
95,2,0,83.453,83.0,83.453,82.295
96,2,0,81.295,80.501,81.295,80.257
97,2,0,82.014,80.919,82.014,80.67
98,2,0,82.014,80.919,82.014,80.67
99,2,0,82.734,81.561,82.734,80.912
100,2,0,82.734,81.561,82.734,80.912
0,2,1,72.662,75.907,72.662,73.407
1,2,1,73.381,76.708,73.381,74.531
2,2,1,74.101,74.726,74.101,74.047
3,2,1,71.942,76.657,71.942,73.933
4,2,1,71.942,76.657,71.942,73.933
5,2,1,71.942,76.657,71.942,73.933
6,2,1,74.82,75.835,74.82,74.634
7,2,1,69.784,73.036,69.784,70.86
8,2,1,69.784,73.036,69.784,70.86
9,2,1,71.223,73.957,71.223,72.207
10,2,1,71.223,73.957,71.223,72.207
11,2,1,71.942,73.167,71.942,72.031
12,2,1,71.942,73.406,71.942,71.912
13,2,1,72.662,74.673,72.662,72.482
