iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,76.753,77.698,76.582
1,2,0,76.259,74.931,76.259,75.073
2,2,0,76.259,76.247,76.259,75.612
3,2,0,74.82,72.079,74.82,72.798
4,2,0,76.978,76.428,76.978,76.309
5,2,0,75.54,73.293,75.54,73.065
6,2,0,76.978,74.953,76.978,74.571
7,2,0,76.259,75.228,76.259,75.008
8,2,0,76.978,75.6,76.978,75.817
9,2,0,77.698,75.976,77.698,75.883
10,2,0,76.978,75.153,76.978,75.203
11,2,0,76.978,74.668,76.978,74.955
12,2,0,79.137,77.137,79.137,77.341
13,2,0,77.698,76.425,77.698,76.289
14,2,0,77.698,76.425,77.698,76.289
15,2,0,77.698,76.425,77.698,76.289
16,2,0,77.698,76.425,77.698,76.289
17,2,0,77.698,76.419,77.698,76.504
18,2,0,76.978,75.821,76.978,75.759
19,2,0,76.259,74.986,76.259,74.952
20,2,0,76.978,75.59,76.978,75.69
21,2,0,76.259,74.564,76.259,74.467
22,2,0,75.54,73.878,75.54,73.942
23,2,0,74.101,72.825,74.101,73.098
24,2,0,76.259,74.654,76.259,74.994
25,2,0,77.698,77.246,77.698,77.331
26,2,0,76.259,75.309,76.259,75.54
27,2,0,77.698,78.073,77.698,77.395
28,2,0,77.698,77.982,77.698,77.537
29,2,0,77.698,78.425,77.698,77.404
30,2,0,78.417,78.599,78.417,78.007
31,2,0,76.978,76.735,76.978,76.661
32,2,0,75.54,75.134,75.54,75.146
33,2,0,76.259,75.385,76.259,75.329
34,2,0,76.978,76.006,76.978,76.167
35,2,0,79.856,79.294,79.856,78.963
36,2,0,78.417,78.232,78.417,77.57
37,2,0,79.137,78.4,79.137,78.222
38,2,0,81.295,81.279,81.295,80.158
39,2,0,80.576,80.052,80.576,79.545
40,2,0,79.137,78.071,79.137,77.928
41,2,0,79.137,78.68,79.137,78.3
42,2,0,79.856,79.258,79.856,79.026
43,2,0,79.856,79.449,79.856,78.854
44,2,0,79.856,79.9,79.856,78.668
45,2,0,79.137,79.494,79.137,78.306
46,2,0,73.381,70.453,73.381,68.786
47,2,0,74.101,75.065,74.101,70.831
48,2,0,77.698,79.049,77.698,77.007
49,2,0,73.381,77.48,73.381,70.07
50,2,0,71.942,61.669,71.942,66.4
51,2,0,75.54,74.697,75.54,74.3
52,2,0,76.259,76.577,76.259,75.287
53,2,0,78.417,79.406,78.417,77.366
54,2,0,77.698,78.15,77.698,77.682
55,2,0,77.698,77.691,77.698,75.452
56,2,0,61.871,78.332,61.871,66.094
57,2,0,76.978,77.569,76.978,76.291
58,2,0,78.417,78.748,78.417,77.669
59,2,0,76.978,77.735,76.978,75.501
60,2,0,77.698,77.17,77.698,76.833
61,2,0,78.417,77.876,78.417,77.452
62,2,0,76.978,77.334,76.978,75.664
63,2,0,79.137,79.173,79.137,77.823
64,2,0,78.417,78.752,78.417,77.08
65,2,0,79.137,80.99,79.137,77.669
66,2,0,79.856,80.168,79.856,78.705
67,2,0,77.698,77.116,77.698,76.638
68,2,0,78.417,78.227,78.417,77.206
69,2,0,78.417,77.584,78.417,76.753
70,2,0,79.137,80.102,79.137,77.733
71,2,0,78.417,78.492,78.417,76.947
72,2,0,79.856,80.106,79.856,78.519
73,2,0,78.417,78.0,78.417,77.09
74,2,0,77.698,77.116,77.698,76.638
75,2,0,81.295,81.224,81.295,80.082
76,2,0,76.978,75.614,76.978,75.028
77,2,0,79.137,79.053,79.137,77.681
78,2,0,78.417,77.884,78.417,76.616
79,2,0,79.137,78.339,79.137,78.015
