iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,76.753,77.698,76.582
1,2,0,76.259,74.931,76.259,75.073
2,2,0,76.978,75.4,76.978,75.571
3,2,0,77.698,75.912,77.698,76.162
4,2,0,78.417,76.485,78.417,76.752
5,2,0,78.417,76.498,78.417,76.968
6,2,0,78.417,77.511,78.417,76.928
7,2,0,78.417,77.504,78.417,77.185
8,2,0,78.417,77.599,78.417,77.074
9,2,0,78.417,77.504,78.417,77.185
10,2,0,76.978,76.134,76.978,75.57
11,2,0,74.82,74.011,74.82,73.695
12,2,0,76.978,76.403,76.978,75.834
13,2,0,76.259,74.997,76.259,74.799
14,2,0,78.417,76.692,78.417,77.18
15,2,0,79.856,78.448,79.856,78.468
16,2,0,79.856,78.448,79.856,78.468
17,2,0,79.137,77.915,79.137,77.682
18,2,0,79.137,77.915,79.137,77.682
19,2,0,79.137,76.764,79.137,76.653
20,2,0,79.137,75.846,79.137,76.163
21,2,0,79.137,76.166,79.137,76.934
22,2,0,79.137,76.166,79.137,76.934
23,2,0,79.856,77.717,79.856,77.953
24,2,0,77.698,75.47,77.698,75.962
25,2,0,76.259,73.471,76.259,74.197
26,2,0,76.978,74.665,76.978,74.53
27,2,0,74.82,72.444,74.82,72.862
28,2,0,74.82,72.444,74.82,72.862
29,2,0,75.54,73.108,75.54,73.366
30,2,0,75.54,73.108,75.54,73.366
31,2,0,76.259,74.553,76.259,74.549
32,2,0,76.259,74.553,76.259,74.549
33,2,0,77.698,75.931,77.698,75.809
34,2,0,77.698,75.931,77.698,75.809
35,2,0,78.417,77.055,78.417,76.86
36,2,0,77.698,76.272,77.698,75.7
37,2,0,76.259,74.242,76.259,73.829
38,2,0,76.259,74.242,76.259,73.829
39,2,0,76.259,74.059,76.259,73.807
40,2,0,76.259,74.059,76.259,73.807
41,2,0,78.417,77.217,78.417,76.227
42,2,0,78.417,77.217,78.417,76.227
43,2,0,76.978,75.411,76.978,74.355
44,2,0,76.978,75.411,76.978,74.355
45,2,0,76.978,75.411,76.978,74.355
46,2,0,76.978,75.411,76.978,74.355
47,2,0,76.978,73.771,76.978,73.992
48,2,0,76.978,73.771,76.978,73.992
49,2,0,76.259,73.169,76.259,73.269
50,2,0,76.259,73.169,76.259,73.269
51,2,0,76.978,75.411,76.978,74.355
52,2,0,79.856,80.476,79.856,77.434
53,2,0,79.137,77.938,79.137,76.37
54,2,0,78.417,77.337,78.417,75.661
55,2,0,79.856,79.782,79.856,77.997
56,2,0,79.856,79.782,79.856,77.997
57,2,0,79.856,79.222,79.856,77.568
58,2,0,79.856,79.222,79.856,77.568
59,2,0,79.137,77.938,79.137,76.37
60,2,0,79.137,77.938,79.137,76.37
61,2,0,78.417,75.996,78.417,76.016
62,2,0,78.417,75.996,78.417,76.016
63,2,0,51.079,51.772,51.079,45.578
64,2,0,66.906,63.628,66.906,60.44
65,2,0,80.576,80.107,80.576,78.699
66,2,0,80.576,80.107,80.576,78.699
67,2,0,69.784,72.929,69.784,69.867
68,2,0,70.504,67.089,70.504,66.963
69,2,0,78.417,67.254,78.417,72.254
70,2,0,78.417,67.254,78.417,72.254
71,2,0,76.978,75.965,76.978,76.277
72,2,0,76.978,75.965,76.978,76.277
73,2,0,67.626,73.197,67.626,62.463
74,2,0,74.82,75.26,74.82,73.287
75,2,0,80.576,79.492,80.576,78.838
76,2,0,80.576,79.492,80.576,78.838
77,2,0,78.417,77.086,78.417,76.382
78,2,0,78.417,77.086,78.417,76.382
79,2,0,76.978,77.799,76.978,73.607
