iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,76.753,77.698,76.582
1,2,0,74.82,75.047,74.82,74.456
2,2,0,72.662,70.907,72.662,71.453
3,2,0,74.82,73.343,74.82,73.566
4,2,0,77.698,76.175,77.698,75.763
5,2,0,74.82,73.896,74.82,73.45
6,2,0,76.259,75.733,76.259,75.199
7,2,0,76.259,74.665,76.259,74.777
8,2,0,74.82,74.376,74.82,74.15
9,2,0,74.82,73.272,74.82,73.421
10,2,0,74.101,70.921,74.101,71.64
11,2,0,73.381,71.841,73.381,71.906
12,2,0,74.82,72.762,74.82,73.283
13,2,0,75.54,73.946,75.54,73.371
14,2,0,76.259,75.155,76.259,74.44
15,2,0,74.82,71.917,74.82,72.348
16,2,0,76.259,74.997,76.259,74.799
17,2,0,76.259,74.108,76.259,74.113
18,2,0,76.259,74.096,76.259,74.217
19,2,0,75.54,73.257,75.54,73.442
20,2,0,75.54,73.543,75.54,73.513
21,2,0,74.82,72.678,74.82,72.844
22,2,0,75.54,73.278,75.54,73.697
23,2,0,74.101,73.28,74.101,73.16
24,2,0,74.82,74.113,74.82,74.085
25,2,0,74.101,73.519,74.101,73.559
26,2,0,74.82,73.478,74.82,73.636
27,2,0,74.82,73.478,74.82,73.636
28,2,0,74.82,74.113,74.82,74.085
29,2,0,75.54,75.334,75.54,75.103
30,2,0,73.381,72.63,73.381,72.711
31,2,0,77.698,76.199,77.698,76.268
32,2,0,75.54,73.257,75.54,73.442
33,2,0,74.101,73.038,74.101,73.216
34,2,0,75.54,73.257,75.54,73.442
35,2,0,76.259,75.051,76.259,75.121
36,2,0,74.101,72.319,74.101,72.633
37,2,0,75.54,73.879,75.54,74.08
38,2,0,76.259,74.116,76.259,74.569
39,2,0,76.259,73.643,76.259,74.17
40,2,0,75.54,74.239,75.54,74.444
41,2,0,76.978,75.588,76.978,75.643
42,2,0,76.978,75.588,76.978,75.643
43,2,0,76.978,75.588,76.978,75.643
44,2,0,75.54,74.794,75.54,74.622
45,2,0,76.978,75.592,76.978,75.61
46,2,0,38.849,55.002,38.849,36.227
47,2,0,69.065,70.99,69.065,69.089
48,2,0,66.906,73.901,66.906,66.808
49,2,0,71.223,64.828,71.223,65.281
50,2,0,74.101,70.033,74.101,69.556
51,2,0,77.698,74.179,77.698,74.64
52,2,0,70.504,76.268,70.504,71.793
53,2,0,79.856,78.291,79.856,78.309
54,2,0,71.942,63.602,71.942,65.637
55,2,0,75.54,79.086,75.54,73.87
56,2,0,74.101,79.089,74.101,72.529
57,2,0,78.417,74.876,78.417,75.361
58,2,0,60.432,74.63,60.432,62.58
59,2,0,76.978,81.163,76.978,75.215
60,2,0,84.173,83.502,84.173,82.116
61,2,0,77.698,76.848,77.698,75.437
62,2,0,81.295,80.998,81.295,80.452
63,2,0,76.978,73.21,76.978,74.396
64,2,0,80.576,80.322,80.576,79.809
65,2,0,71.942,76.077,71.942,70.605
66,2,0,82.014,80.782,82.014,80.696
67,2,0,71.942,79.1,71.942,69.832
68,2,0,69.784,75.862,69.784,70.766
69,2,0,79.137,79.047,79.137,78.291
70,2,0,77.698,77.557,77.698,77.364
71,2,0,78.417,78.78,78.417,77.678
72,2,0,80.576,80.799,80.576,79.047
73,2,0,79.137,77.118,79.137,76.625
74,2,0,76.259,77.552,76.259,74.534
75,2,0,79.137,78.626,79.137,78.12
76,2,0,79.137,78.91,79.137,78.065
77,2,0,76.259,76.625,76.259,75.524
78,2,0,76.259,77.063,76.259,73.499
79,2,0,76.978,79.528,76.978,75.144
80,2,0,78.417,77.712,78.417,77.073
81,2,0,77.698,77.876,77.698,76.877
82,2,0,81.295,81.159,81.295,80.417
83,2,0,79.137,78.365,79.137,77.623
84,2,0,76.978,77.2,76.978,76.294
85,2,0,81.295,80.749,81.295,80.75
86,2,0,76.978,77.176,76.978,76.648
87,2,0,79.137,79.308,79.137,78.018
88,2,0,77.698,77.947,77.698,76.09
89,2,0,76.978,76.951,76.978,76.291
90,2,0,78.417,78.738,78.417,77.24
91,2,0,76.978,76.598,76.978,75.848
92,2,0,79.856,79.644,79.856,79.547
93,2,0,82.014,80.396,82.014,80.288
94,2,0,82.014,80.919,82.014,80.67
95,2,0,81.295,81.946,81.295,79.816
96,2,0,84.173,83.419,84.173,83.291
97,2,0,82.014,81.143,82.014,80.605
98,2,0,76.978,78.869,76.978,75.465
99,2,0,78.417,78.02,78.417,77.002
100,2,0,82.734,81.873,82.734,81.66
0,2,1,72.662,75.907,72.662,73.407
1,2,1,71.942,75.697,71.942,72.957
2,2,1,71.223,75.642,71.223,72.826
3,2,1,71.942,75.838,71.942,73.283
4,2,1,71.942,75.586,71.942,73.183
5,2,1,71.223,74.919,71.223,72.381
6,2,1,71.223,75.259,71.223,72.273
7,2,1,69.784,74.076,69.784,71.138
8,2,1,71.223,73.491,71.223,72.113
9,2,1,71.942,73.687,71.942,72.562
10,2,1,73.381,73.764,73.381,73.364
11,2,1,75.54,78.051,75.54,76.277
12,2,1,76.978,79.602,76.978,77.842
13,2,1,74.82,79.037,74.82,76.06
14,2,1,76.978,77.179,76.978,76.761
15,2,1,74.82,78.253,74.82,76.182
16,2,1,73.381,74.809,73.381,73.992
17,2,1,71.223,74.125,71.223,72.462
18,2,1,71.223,74.125,71.223,72.462
19,2,1,73.381,75.351,73.381,74.034
20,2,1,73.381,75.351,73.381,74.034
21,2,1,74.101,76.393,74.101,73.972
22,2,1,72.662,78.107,72.662,74.613
23,2,1,72.662,77.9,72.662,74.758
24,2,1,71.223,77.054,71.223,73.434
25,2,1,71.942,77.764,71.942,74.149
26,2,1,74.101,77.889,74.101,75.642
27,2,1,73.381,76.007,73.381,74.278
28,2,1,74.101,77.622,74.101,75.311
29,2,1,71.223,75.407,71.223,72.813
30,2,1,71.942,75.651,71.942,73.404
31,2,1,70.504,75.236,70.504,72.434
32,2,1,71.223,75.442,71.223,72.92
33,2,1,70.504,74.886,70.504,72.048
34,2,1,69.065,72.759,69.065,70.193
35,2,1,71.223,75.735,71.223,72.76
36,2,1,72.662,78.407,72.662,74.899
37,2,1,74.82,77.224,74.82,75.627
38,2,1,73.381,76.046,73.381,74.277
39,2,1,74.101,76.027,74.101,74.731
40,2,1,72.662,74.423,72.662,73.139
41,2,1,76.259,79.929,76.259,77.641
42,2,1,71.942,74.873,71.942,72.919
43,2,1,73.381,74.977,73.381,73.767
44,2,1,71.942,74.873,71.942,72.919
45,2,1,74.101,75.682,74.101,74.562
46,2,1,61.871,64.772,61.871,59.459
47,2,1,52.518,73.228,52.518,59.548
48,2,1,62.59,66.815,62.59,61.099
49,2,1,56.835,66.027,56.835,60.329
50,2,1,74.82,71.867,74.82,73.261
51,2,1,74.101,73.962,74.101,71.778
52,2,1,76.259,77.797,76.259,76.213
53,2,1,69.784,74.209,69.784,70.587
54,2,1,69.784,75.976,69.784,72.397
55,2,1,70.504,75.331,70.504,68.908
56,2,1,66.906,79.78,66.906,70.791
57,2,1,66.906,78.971,66.906,68.338
58,2,1,56.115,79.558,56.115,62.621
59,2,1,67.626,72.876,67.626,63.609
60,2,1,69.784,76.832,69.784,72.662
61,2,1,65.468,76.492,65.468,69.22
62,2,1,73.381,78.938,73.381,74.105
63,2,1,66.187,72.098,66.187,65.906
64,2,1,71.223,70.856,71.223,67.634
65,2,1,71.942,69.497,71.942,69.781
66,2,1,70.504,76.824,70.504,72.455
67,2,1,77.698,79.65,77.698,77.549
68,2,1,64.029,75.432,64.029,64.493
69,2,1,65.468,78.357,65.468,69.364
70,2,1,70.504,77.116,70.504,72.685
71,2,1,74.101,77.497,74.101,74.365
72,2,1,72.662,75.339,72.662,73.661
73,2,1,71.223,76.566,71.223,73.04
74,2,1,68.345,74.144,68.345,70.289
75,2,1,74.101,79.269,74.101,74.769
76,2,1,71.942,75.652,71.942,73.131
77,2,1,76.259,79.14,76.259,76.689
78,2,1,75.54,79.723,75.54,76.851
79,2,1,77.698,81.195,77.698,78.251
80,2,1,74.101,73.968,74.101,73.101
81,2,1,77.698,80.727,77.698,78.776
82,2,1,76.978,79.63,76.978,77.776
83,2,1,73.381,75.032,73.381,72.576
84,2,1,77.698,82.53,77.698,78.893
85,2,1,76.978,81.126,76.978,77.454
86,2,1,76.978,82.369,76.978,78.15
87,2,1,71.223,74.334,71.223,68.591
88,2,1,74.82,80.809,74.82,76.11
89,2,1,75.54,79.375,75.54,76.835
90,2,1,76.259,79.248,76.259,77.057
91,2,1,77.698,82.125,77.698,78.593
92,2,1,76.978,81.265,76.978,78.235
93,2,1,73.381,78.994,73.381,74.793
94,2,1,74.82,79.077,74.82,75.658
95,2,1,76.978,80.691,76.978,77.573
96,2,1,76.259,80.869,76.259,77.102
97,2,1,76.978,81.538,76.978,78.059
98,2,1,75.54,80.645,75.54,76.277
99,2,1,75.54,79.293,75.54,76.233
100,2,1,74.82,78.625,74.82,75.54
0,2,2,69.065,70.182,69.065,68.937
1,2,2,73.381,71.476,73.381,72.021
2,2,2,73.381,71.892,73.381,72.213
3,2,2,70.504,71.06,70.504,70.375
4,2,2,73.381,71.945,73.381,72.544
5,2,2,72.662,71.552,72.662,71.881
6,2,2,71.942,71.612,71.942,71.402
7,2,2,72.662,71.587,72.662,71.755
8,2,2,71.942,70.954,71.942,71.081
9,2,2,71.942,72.703,71.942,71.698
10,2,2,74.82,72.766,74.82,73.37
11,2,2,73.381,71.316,73.381,71.677
12,2,2,72.662,70.85,72.662,71.352
13,2,2,72.662,72.332,72.662,72.121
14,2,2,71.223,71.577,71.223,70.9
15,2,2,74.101,74.19,74.101,73.936
16,2,2,73.381,73.772,73.381,73.061
17,2,2,74.82,73.705,74.82,73.882
18,2,2,73.381,74.22,73.381,73.388
19,2,2,72.662,72.591,72.662,72.191
20,2,2,73.381,73.343,73.381,73.01
21,2,2,73.381,73.343,73.381,73.01
22,2,2,73.381,73.343,73.381,73.01
23,2,2,74.82,75.412,74.82,74.683
24,2,2,74.101,74.685,74.101,73.865
25,2,2,73.381,74.385,73.381,73.557
26,2,2,76.259,77.029,76.259,75.857
27,2,2,72.662,74.535,72.662,72.87
28,2,2,71.942,74.012,71.942,72.495
29,2,2,71.223,73.495,71.223,71.663
30,2,2,71.942,73.57,71.942,72.266
31,2,2,72.662,73.302,72.662,72.645
32,2,2,71.942,72.978,71.942,72.056
33,2,2,70.504,73.187,70.504,71.451
34,2,2,73.381,77.641,73.381,74.984
35,2,2,72.662,78.06,72.662,74.819
36,2,2,71.223,75.229,71.223,72.772
37,2,2,72.662,75.739,72.662,73.854
38,2,2,72.662,76.239,72.662,73.958
39,2,2,70.504,73.27,70.504,71.435
40,2,2,73.381,76.519,73.381,74.307
41,2,2,71.223,75.327,71.223,72.509
42,2,2,74.101,76.813,74.101,74.915
43,2,2,74.82,77.049,74.82,75.402
44,2,2,72.662,76.081,72.662,73.998
45,2,2,71.942,75.885,71.942,73.52
46,2,2,62.59,60.247,62.59,59.682
47,2,2,58.993,67.724,58.993,62.516
48,2,2,43.165,66.273,43.165,43.106
49,2,2,60.432,56.595,60.432,55.033
50,2,2,57.554,75.345,57.554,62.622
51,2,2,58.273,68.115,58.273,59.297
52,2,2,74.101,74.558,74.101,74.324
53,2,2,70.504,72.866,70.504,69.262
54,2,2,71.942,75.591,71.942,73.335
55,2,2,70.504,73.324,70.504,69.79
56,2,2,69.065,70.565,69.065,69.328
57,2,2,68.345,73.932,68.345,70.423
58,2,2,72.662,75.363,72.662,72.102
59,2,2,70.504,75.78,70.504,72.551
60,2,2,66.187,79.633,66.187,67.978
61,2,2,63.309,72.949,63.309,66.189
62,2,2,69.065,72.372,69.065,70.352
63,2,2,63.309,72.202,63.309,66.127
64,2,2,71.942,75.149,71.942,72.758
65,2,2,71.942,74.648,71.942,72.912
66,2,2,71.223,70.774,71.223,68.625
67,2,2,71.223,72.554,71.223,71.479
68,2,2,76.978,76.212,76.978,74.99
69,2,2,71.942,73.161,71.942,72.269
70,2,2,69.784,72.909,69.784,70.803
71,2,2,71.223,73.236,71.223,71.505
72,2,2,72.662,73.791,72.662,73.078
73,2,2,71.223,72.942,71.223,71.737
74,2,2,75.54,75.044,75.54,75.148
75,2,2,74.82,77.526,74.82,75.619
76,2,2,74.101,77.917,74.101,75.374
77,2,2,78.417,79.904,78.417,78.785
78,2,2,74.82,76.567,74.82,75.317
79,2,2,77.698,79.034,77.698,77.998
80,2,2,75.54,80.668,75.54,77.432
81,2,2,76.978,78.977,76.978,77.418
82,2,2,76.978,79.393,76.978,77.843
83,2,2,73.381,77.331,73.381,74.91
84,2,2,74.101,77.605,74.101,75.376
85,2,2,73.381,77.856,73.381,75.192
86,2,2,76.978,81.986,76.978,78.539
87,2,2,74.101,78.201,74.101,75.698
88,2,2,76.259,80.118,76.259,77.34
89,2,2,72.662,76.387,72.662,74.069
90,2,2,75.54,78.191,75.54,76.215
91,2,2,75.54,80.727,75.54,77.33
92,2,2,76.259,80.015,76.259,77.63
93,2,2,76.259,78.683,76.259,77.006
94,2,2,73.381,76.847,73.381,74.694
95,2,2,74.101,76.847,74.101,75.114
96,2,2,73.381,79.147,73.381,75.228
97,2,2,74.101,79.307,74.101,75.901
98,2,2,75.54,79.022,75.54,76.172
99,2,2,77.698,79.524,77.698,78.236
100,2,2,72.662,75.419,72.662,73.526
0,5,0,77.698,76.753,77.698,76.582
1,5,0,74.101,71.952,74.101,72.441
2,5,0,75.54,74.317,75.54,74.411
3,5,0,75.54,74.516,75.54,74.897
4,5,0,73.381,71.576,73.381,72.261
5,5,0,70.504,69.433,70.504,69.469
6,5,0,74.101,73.129,74.101,72.902
7,5,0,73.381,71.858,73.381,71.776
8,5,0,72.662,70.323,72.662,71.233
9,5,0,72.662,71.612,72.662,71.915
10,5,0,74.101,72.171,74.101,72.36
11,5,0,71.223,71.301,71.223,70.533
12,5,0,75.54,74.092,75.54,74.299
13,5,0,75.54,73.87,75.54,73.882
14,5,0,73.381,73.192,73.381,72.999
15,5,0,74.82,73.663,74.82,73.803
16,5,0,74.101,72.862,74.101,73.199
17,5,0,72.662,70.881,72.662,71.29
18,5,0,71.942,71.721,71.942,71.621
19,5,0,53.957,56.54,53.957,41.958
20,5,0,74.82,64.523,74.82,69.13
21,5,0,73.381,70.51,73.381,70.64
22,5,0,75.54,71.906,75.54,73.202
23,5,0,76.978,74.691,76.978,75.625
24,5,0,74.82,70.908,74.82,72.453
25,5,0,74.101,72.125,74.101,72.768
26,5,0,73.381,68.692,73.381,70.431
27,5,0,74.82,73.331,74.82,73.941
28,5,0,77.698,77.244,77.698,77.274
29,5,0,75.54,73.941,75.54,74.448
30,5,0,76.978,74.943,76.978,75.535
31,5,0,75.54,74.081,75.54,74.676
32,5,0,75.54,74.785,75.54,75.128
33,5,0,76.978,75.73,76.978,76.21
34,5,0,76.259,75.491,76.259,75.817
35,5,0,75.54,74.665,75.54,75.031
36,5,0,76.259,74.285,76.259,74.72
37,5,0,77.698,76.511,77.698,76.831
38,5,0,75.54,73.783,75.54,74.343
39,5,0,77.698,76.511,77.698,76.831
40,5,0,77.698,76.646,77.698,76.779
0,5,1,72.662,75.907,72.662,73.407
1,5,1,71.942,74.169,71.942,72.174
2,5,1,69.784,74.563,69.784,71.395
3,5,1,75.54,75.98,75.54,75.605
4,5,1,74.82,74.797,74.82,74.575
5,5,1,73.381,75.014,73.381,73.869
6,5,1,72.662,71.821,72.662,71.954
7,5,1,70.504,71.545,70.504,70.833
8,5,1,70.504,72.336,70.504,71.013
9,5,1,72.662,75.331,72.662,73.581
10,5,1,71.942,74.915,71.942,72.574
11,5,1,71.942,75.358,71.942,72.807
12,5,1,71.942,74.151,71.942,72.024
13,5,1,70.504,75.146,70.504,71.952
14,5,1,71.942,73.549,71.942,72.239
15,5,1,74.82,76.954,74.82,75.225
16,5,1,71.223,74.255,71.223,71.393
17,5,1,72.662,75.302,72.662,73.216
18,5,1,74.101,78.887,74.101,75.392
19,5,1,62.59,63.873,62.59,59.867
20,5,1,70.504,70.457,70.504,68.402
21,5,1,68.345,74.794,68.345,70.622
22,5,1,67.626,72.491,67.626,69.744
23,5,1,61.871,77.577,61.871,65.744
24,5,1,74.101,72.691,74.101,72.978
25,5,1,71.942,73.255,71.942,71.185
26,5,1,72.662,74.316,72.662,73.147
27,5,1,69.784,73.308,69.784,70.602
28,5,1,71.942,73.875,71.942,72.57
29,5,1,68.345,71.382,68.345,69.632
30,5,1,76.978,78.892,76.978,77.623
31,5,1,75.54,78.21,75.54,76.574
32,5,1,75.54,77.806,75.54,76.347
33,5,1,71.942,74.327,71.942,72.9
34,5,1,76.259,78.549,76.259,76.934
35,5,1,71.223,75.27,71.223,72.988
36,5,1,73.381,76.408,73.381,74.276
37,5,1,73.381,76.408,73.381,74.276
38,5,1,73.381,76.361,73.381,74.652
39,5,1,71.942,76.354,71.942,73.23
40,5,1,72.662,75.427,72.662,73.617
0,5,2,69.065,70.182,69.065,68.937
1,5,2,76.978,74.537,76.978,75.396
2,5,2,74.101,73.366,74.101,73.311
3,5,2,76.259,73.992,76.259,74.5
4,5,2,74.82,72.521,74.82,72.888
5,5,2,75.54,73.37,75.54,74.155
6,5,2,74.82,73.081,74.82,73.451
7,5,2,73.381,72.137,73.381,71.91
8,5,2,73.381,71.805,73.381,72.081
9,5,2,75.54,73.82,75.54,73.975
10,5,2,73.381,72.137,73.381,71.91
11,5,2,72.662,72.29,72.662,71.96
12,5,2,69.065,72.105,69.065,70.232
13,5,2,75.54,77.471,75.54,75.743
14,5,2,68.345,72.591,68.345,69.69
15,5,2,69.784,72.183,69.784,70.674
16,5,2,71.942,74.081,71.942,72.615
17,5,2,73.381,75.55,73.381,73.827
18,5,2,72.662,74.428,72.662,72.942
19,5,2,74.101,68.47,74.101,69.578
20,5,2,73.381,73.573,73.381,73.412
21,5,2,66.906,72.777,66.906,69.228
22,5,2,69.784,75.963,69.784,72.305
23,5,2,72.662,75.565,72.662,73.614
24,5,2,71.942,74.93,71.942,72.841
25,5,2,71.942,72.281,71.942,71.295
26,5,2,72.662,75.395,72.662,73.173
27,5,2,75.54,75.342,75.54,75.0
28,5,2,72.662,75.651,72.662,73.743
29,5,2,69.065,70.61,69.065,69.268
30,5,2,73.381,73.688,73.381,73.323
31,5,2,73.381,75.114,73.381,74.188
32,5,2,67.626,70.623,67.626,68.945
33,5,2,69.784,72.633,69.784,70.999
34,5,2,68.345,73.635,68.345,70.593
35,5,2,73.381,75.553,73.381,74.189
36,5,2,76.978,77.34,76.978,77.092
37,5,2,73.381,74.147,73.381,73.62
38,5,2,75.54,76.326,75.54,75.785
39,5,2,72.662,74.917,72.662,73.588
40,5,2,71.942,74.98,71.942,72.947
0,10,0,77.698,76.753,77.698,76.582
1,10,0,73.381,72.872,73.381,72.662
2,10,0,74.101,72.438,74.101,72.494
3,10,0,75.54,73.543,75.54,74.045
4,10,0,74.101,71.843,74.101,72.123
5,10,0,74.101,73.446,74.101,72.938
6,10,0,73.381,70.88,73.381,71.49
7,10,0,75.54,73.64,75.54,73.868
8,10,0,74.82,73.28,74.82,73.622
9,10,0,74.82,74.102,74.82,73.99
10,10,0,77.698,75.932,77.698,75.537
11,10,0,68.345,70.389,68.345,66.803
12,10,0,72.662,73.025,72.662,72.829
13,10,0,76.259,72.886,76.259,73.69
14,10,0,77.698,78.035,77.698,77.264
15,10,0,76.259,76.843,76.259,76.111
16,10,0,75.54,75.787,75.54,75.139
17,10,0,73.381,72.248,73.381,72.11
18,10,0,74.101,73.92,74.101,73.332
19,10,0,74.82,75.154,74.82,74.168
20,10,0,78.417,77.522,78.417,77.721
0,10,1,72.662,75.907,72.662,73.407
1,10,1,71.223,75.415,71.223,72.75
2,10,1,70.504,71.216,70.504,70.421
3,10,1,69.065,72.199,69.065,70.268
4,10,1,69.065,69.861,69.065,68.828
5,10,1,67.626,68.847,67.626,67.942
6,10,1,69.065,69.495,69.065,68.943
7,10,1,66.906,65.32,66.906,65.758
8,10,1,63.309,67.184,63.309,65.033
9,10,1,73.381,76.45,73.381,74.432
10,10,1,70.504,73.287,70.504,71.416
11,10,1,74.82,72.116,74.82,72.916
12,10,1,78.417,76.048,78.417,76.527
13,10,1,74.101,80.838,74.101,76.215
14,10,1,76.259,78.336,76.259,76.604
15,10,1,75.54,78.007,75.54,76.274
16,10,1,76.259,77.99,76.259,76.87
17,10,1,74.82,76.006,74.82,75.053
18,10,1,74.82,76.77,74.82,75.307
19,10,1,72.662,74.256,72.662,72.906
20,10,1,74.101,75.708,74.101,74.51
0,10,2,69.065,70.182,69.065,68.937
1,10,2,75.54,73.407,75.54,73.432
2,10,2,75.54,73.132,75.54,73.977
3,10,2,71.942,69.797,71.942,70.385
4,10,2,74.82,73.215,74.82,73.317
5,10,2,70.504,73.525,70.504,71.45
6,10,2,72.662,73.223,72.662,72.522
7,10,2,69.784,72.572,69.784,70.491
8,10,2,70.504,71.002,70.504,70.502
9,10,2,72.662,73.435,72.662,72.787
10,10,2,69.784,67.078,69.784,64.46
11,10,2,75.54,76.785,75.54,76.017
12,10,2,76.259,75.491,76.259,75.634
13,10,2,76.978,77.24,76.978,76.95
14,10,2,76.259,75.454,76.259,75.618
15,10,2,74.101,75.255,74.101,74.321
16,10,2,76.978,76.537,76.978,76.659
17,10,2,76.978,77.682,76.978,77.101
18,10,2,75.54,75.817,75.54,75.36
19,10,2,71.942,72.929,71.942,72.172
20,10,2,75.54,78.01,75.54,76.31
0,25,0,77.698,76.753,77.698,76.582
1,25,0,74.101,72.975,74.101,72.615
2,25,0,73.381,72.016,73.381,70.244
3,25,0,77.698,74.398,77.698,74.842
4,25,0,79.137,76.144,79.137,76.003
5,25,0,77.698,78.016,77.698,77.783
6,25,0,79.137,77.662,79.137,77.519
7,25,0,72.662,72.478,72.662,72.359
8,25,0,74.82,74.859,74.82,74.793
0,25,1,72.662,75.907,72.662,73.407
1,25,1,71.942,73.536,71.942,72.553
2,25,1,69.784,72.246,69.784,69.69
3,25,1,67.626,68.09,67.626,67.008
4,25,1,72.662,75.385,72.662,72.656
5,25,1,70.504,72.539,70.504,71.422
6,25,1,68.345,70.918,68.345,69.488
7,25,1,69.784,72.306,69.784,70.911
8,25,1,68.345,71.087,68.345,69.503
0,25,2,69.065,70.182,69.065,68.937
1,25,2,74.82,72.822,74.82,72.786
2,25,2,75.54,74.378,75.54,74.321
3,25,2,72.662,75.045,72.662,73.436
4,25,2,72.662,71.8,72.662,70.892
5,25,2,76.259,75.97,76.259,76.08
6,25,2,78.417,81.165,78.417,79.325
7,25,2,75.54,78.051,75.54,76.479
8,25,2,77.698,79.74,77.698,78.127
