iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,76.753,77.698,76.582
1,2,0,73.381,72.219,73.381,72.45
2,2,0,75.54,73.034,75.54,74.026
3,2,0,74.82,72.648,74.82,73.527
4,2,0,74.82,72.241,74.82,72.728
5,2,0,74.101,71.431,74.101,72.32
6,2,0,76.259,73.447,76.259,74.415
7,2,0,76.978,75.487,76.978,76.1
8,2,0,76.259,74.817,76.259,75.402
9,2,0,74.82,73.429,74.82,73.973
10,2,0,76.259,74.578,76.259,75.045
11,2,0,78.417,76.599,78.417,77.047
12,2,0,79.137,77.391,79.137,77.642
13,2,0,78.417,76.599,78.417,77.047
14,2,0,76.978,75.364,76.978,75.937
15,2,0,76.978,75.358,76.978,75.905
16,2,0,78.417,76.733,78.417,77.358
17,2,0,78.417,77.859,78.417,78.116
18,2,0,78.417,77.659,78.417,77.978
19,2,0,77.698,77.158,77.698,77.403
20,2,0,75.54,74.714,75.54,75.029
21,2,0,72.662,72.437,72.662,72.4
22,2,0,74.82,74.574,74.82,74.594
23,2,0,76.259,76.555,76.259,76.367
24,2,0,76.259,76.555,76.259,76.367
25,2,0,73.381,74.341,73.381,73.744
26,2,0,74.82,75.385,74.82,74.941
27,2,0,74.82,75.969,74.82,75.32
28,2,0,77.698,77.723,77.698,77.689
29,2,0,79.856,79.856,79.856,79.856
30,2,0,79.856,79.856,79.856,79.856
31,2,0,79.137,79.128,79.137,79.127
32,2,0,75.54,76.049,75.54,75.774
33,2,0,76.978,77.266,76.978,77.107
34,2,0,74.82,75.061,74.82,74.935
35,2,0,76.259,77.46,76.259,76.784
36,2,0,76.978,77.846,76.978,77.367
37,2,0,74.82,75.156,74.82,74.873
38,2,0,76.259,76.268,76.259,76.217
39,2,0,76.259,76.246,76.259,76.247
40,2,0,76.978,76.943,76.978,76.94
41,2,0,76.259,77.104,76.259,76.62
42,2,0,76.978,77.518,76.978,77.22
43,2,0,74.82,75.315,74.82,75.047
44,2,0,75.54,76.38,75.54,75.874
45,2,0,73.381,74.388,73.381,73.817
46,2,0,53.237,61.559,53.237,39.882
47,2,0,55.396,63.05,55.396,45.534
48,2,0,69.065,72.421,69.065,69.226
49,2,0,72.662,64.892,72.662,66.875
50,2,0,79.137,79.262,79.137,79.153
51,2,0,76.978,65.9,76.978,71.004
52,2,0,67.626,78.107,67.626,70.04
53,2,0,79.137,79.405,79.137,79.229
54,2,0,76.978,81.964,76.978,78.415
