iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,76.753,77.698,76.582
1,2,0,74.82,74.323,74.82,74.189
2,2,0,76.259,75.808,76.259,75.551
3,2,0,71.942,71.046,71.942,70.686
4,2,0,76.259,74.177,76.259,74.793
5,2,0,74.82,72.436,74.82,72.772
6,2,0,73.381,71.573,73.381,71.596
7,2,0,72.662,72.736,72.662,71.444
8,2,0,71.942,71.755,71.942,70.653
9,2,0,74.101,73.826,74.101,72.879
10,2,0,74.82,74.797,74.82,74.039
11,2,0,74.101,73.826,74.101,72.879
12,2,0,73.381,73.853,73.381,72.738
13,2,0,73.381,73.823,73.381,73.022
14,2,0,75.54,75.546,75.54,75.25
15,2,0,74.101,73.718,74.101,73.44
16,2,0,72.662,72.934,72.662,72.543
17,2,0,74.82,74.201,74.82,74.377
18,2,0,75.54,74.398,75.54,74.674
19,2,0,76.978,76.025,76.978,76.365
20,2,0,76.259,75.598,76.259,75.619
21,2,0,74.82,75.158,74.82,74.647
22,2,0,74.101,73.169,74.101,72.916
23,2,0,74.101,73.209,74.101,73.133
24,2,0,71.942,72.28,71.942,71.858
25,2,0,72.662,71.41,72.662,71.536
26,2,0,74.101,72.848,74.101,73.225
27,2,0,71.942,70.964,71.942,71.167
28,2,0,71.223,71.385,71.223,71.121
29,2,0,73.381,72.88,73.381,72.945
30,2,0,74.101,73.967,74.101,73.953
31,2,0,73.381,73.35,73.381,73.284
32,2,0,77.698,76.511,77.698,76.831
33,2,0,76.978,75.593,76.978,75.882
34,2,0,78.417,76.727,78.417,76.953
35,2,0,79.137,77.131,79.137,77.13
36,2,0,74.82,72.116,74.82,72.876
37,2,0,77.698,74.023,77.698,74.963
38,2,0,75.54,73.43,75.54,73.953
39,2,0,71.942,69.881,71.942,70.753
40,2,0,77.698,75.197,77.698,75.355
41,2,0,75.54,72.316,75.54,72.775
42,2,0,75.54,72.312,75.54,72.75
43,2,0,74.82,71.398,74.82,72.24
44,2,0,73.381,69.16,73.381,70.126
45,2,0,74.101,69.801,74.101,70.821
46,2,0,56.115,76.339,56.115,59.74
47,2,0,45.324,60.42,45.324,41.882
48,2,0,74.101,75.091,74.101,74.514
49,2,0,66.187,69.976,66.187,66.942
50,2,0,66.187,65.468,66.187,60.088
51,2,0,79.856,75.871,79.856,74.821
52,2,0,76.978,66.544,76.978,71.247
53,2,0,70.504,77.846,70.504,71.827
54,2,0,79.856,78.45,79.856,78.918
55,2,0,73.381,74.248,73.381,71.574
56,2,0,74.101,68.425,74.101,69.961
57,2,0,79.137,77.573,79.137,74.981
58,2,0,77.698,75.286,77.698,74.605
59,2,0,81.295,79.097,81.295,79.187
60,2,0,76.259,73.812,76.259,74.795
61,2,0,79.137,76.156,79.137,76.824
62,2,0,81.295,79.991,81.295,79.751
63,2,0,78.417,74.898,78.417,75.497
