iter,step,fold,acc,prec,rec,f1score
0,2,0,67.626,68.354,67.626,67.841
1,2,0,69.065,69.619,69.065,68.882
2,2,0,66.906,65.965,66.906,65.683
3,2,0,66.187,66.066,66.187,65.154
4,2,0,66.187,65.546,66.187,64.525
5,2,0,66.906,65.899,66.906,65.444
6,2,0,67.626,66.901,67.626,67.102
7,2,0,69.784,68.871,69.784,68.612
8,2,0,69.784,69.321,69.784,68.608
9,2,0,69.065,69.117,69.065,68.482
10,2,0,69.065,69.048,69.065,68.335
11,2,0,70.504,70.621,70.504,69.21
12,2,0,69.065,67.829,69.065,67.736
13,2,0,68.345,66.781,68.345,66.84
14,2,0,71.942,71.035,71.942,70.879
15,2,0,70.504,69.663,70.504,69.543
16,2,0,70.504,69.314,70.504,69.345
17,2,0,70.504,69.961,70.504,69.301
18,2,0,69.784,68.552,69.784,68.67
19,2,0,70.504,69.329,70.504,69.227
20,2,0,70.504,69.604,70.504,69.161
21,2,0,69.065,67.791,69.065,68.099
22,2,0,69.784,68.8,69.784,68.506
23,2,0,69.065,68.129,69.065,68.41
24,2,0,69.784,68.454,69.784,68.89
25,2,0,69.065,67.73,69.065,67.503
26,2,0,69.784,67.447,69.784,68.097
27,2,0,72.662,71.367,72.662,71.864
28,2,0,74.101,72.74,74.101,73.285
29,2,0,71.223,69.895,71.223,70.086
30,2,0,73.381,72.368,73.381,72.468
31,2,0,74.101,72.543,74.101,73.016
32,2,0,72.662,71.261,72.662,71.596
33,2,0,74.101,72.739,74.101,72.806
34,2,0,71.942,70.141,71.942,70.596
35,2,0,71.223,70.933,71.223,70.783
36,2,0,72.662,72.097,72.662,71.903
37,2,0,72.662,72.09,72.662,71.931
38,2,0,71.223,70.892,71.223,70.624
39,2,0,72.662,72.551,72.662,72.079
40,2,0,69.784,69.572,69.784,68.992
41,2,0,71.942,71.791,71.942,71.424
42,2,0,71.942,70.847,71.942,70.742
43,2,0,74.101,73.564,74.101,73.389
44,2,0,74.82,74.349,74.82,74.052
45,2,0,73.381,72.806,73.381,72.954
46,2,0,53.957,49.597,53.957,50.575
47,2,0,69.784,67.066,69.784,67.142
48,2,0,62.59,56.774,62.59,56.46
49,2,0,56.835,57.843,56.835,51.426
50,2,0,69.784,76.472,69.784,71.598
51,2,0,71.223,69.683,71.223,70.005
52,2,0,66.906,78.242,66.906,69.225
53,2,0,74.101,75.476,74.101,74.481
54,2,0,76.259,76.074,76.259,72.537
55,2,0,71.223,69.348,71.223,67.059
56,2,0,74.82,76.14,74.82,73.361
57,2,0,74.101,68.094,74.101,70.196
58,2,0,74.101,73.951,74.101,73.698
59,2,0,82.014,82.0,82.014,81.817
60,2,0,81.295,81.442,81.295,81.348
61,2,0,78.417,78.095,78.417,77.933
62,2,0,76.259,76.767,76.259,76.279
63,2,0,77.698,82.182,77.698,78.776
64,2,0,74.82,77.531,74.82,74.077
65,2,0,82.014,82.079,82.014,81.978
66,2,0,77.698,78.279,77.698,77.681
67,2,0,81.295,81.081,81.295,81.035
68,2,0,78.417,80.122,78.417,78.281
69,2,0,82.014,81.763,82.014,81.813
70,2,0,80.576,80.576,80.576,80.576
71,2,0,76.978,76.763,76.978,75.955
72,2,0,76.259,76.931,76.259,75.782
73,2,0,80.576,80.453,80.576,80.497
74,2,0,76.978,76.921,76.978,76.93
75,2,0,79.856,79.719,79.856,79.77
76,2,0,79.856,79.84,79.856,79.794
77,2,0,79.856,79.908,79.856,79.799
78,2,0,76.978,77.357,76.978,77.144
79,2,0,77.698,77.745,77.698,77.717
80,2,0,79.856,80.042,79.856,79.516
81,2,0,80.576,80.416,80.576,80.46
82,2,0,82.734,82.551,82.734,82.556
83,2,0,76.978,77.174,76.978,77.026
84,2,0,78.417,78.384,78.417,78.396
85,2,0,75.54,75.761,75.54,75.619
86,2,0,78.417,78.322,78.417,78.361
87,2,0,80.576,80.562,80.576,80.254
88,2,0,82.734,82.663,82.734,82.547
89,2,0,79.137,79.108,79.137,79.117
90,2,0,75.54,75.95,75.54,74.213
91,2,0,79.856,79.576,79.856,79.635
92,2,0,78.417,78.384,78.417,78.396
93,2,0,80.576,80.68,80.576,80.619
94,2,0,76.978,76.822,76.978,76.854
95,2,0,76.978,77.1,76.978,76.925
96,2,0,78.417,78.399,78.417,78.403
97,2,0,76.978,76.922,76.978,76.871
98,2,0,79.137,79.876,79.137,79.275
99,2,0,79.856,79.691,79.856,79.725
100,2,0,82.734,82.588,82.734,82.622
0,2,1,68.345,72.636,68.345,69.99
1,2,1,71.942,74.466,71.942,72.682
2,2,1,71.942,72.378,71.942,71.16
3,2,1,73.381,73.47,73.381,72.903
4,2,1,71.223,70.951,71.223,70.433
5,2,1,71.223,72.086,71.223,71.001
6,2,1,73.381,76.08,73.381,74.087
7,2,1,71.223,73.1,71.223,71.294
8,2,1,73.381,73.047,73.381,73.023
9,2,1,71.223,72.157,71.223,71.658
10,2,1,71.942,73.065,71.942,72.363
11,2,1,69.784,72.189,69.784,70.591
12,2,1,70.504,71.434,70.504,70.834
13,2,1,70.504,68.211,70.504,68.821
14,2,1,69.784,69.834,69.784,69.697
15,2,1,71.942,75.024,71.942,73.288
16,2,1,72.662,75.02,72.662,73.76
17,2,1,72.662,74.571,72.662,73.467
18,2,1,72.662,74.241,72.662,73.187
19,2,1,73.381,76.787,73.381,74.702
20,2,1,76.259,79.367,76.259,77.582
21,2,1,71.942,75.162,71.942,73.176
22,2,1,71.942,74.959,71.942,73.235
23,2,1,69.065,72.865,69.065,70.271
24,2,1,74.82,76.731,74.82,75.57
25,2,1,71.942,74.797,71.942,73.233
26,2,1,71.223,74.66,71.223,72.783
27,2,1,70.504,73.64,70.504,71.998
28,2,1,73.381,74.95,73.381,74.145
29,2,1,67.626,70.421,67.626,68.707
30,2,1,67.626,71.026,67.626,68.852
31,2,1,70.504,73.506,70.504,71.746
32,2,1,70.504,72.807,70.504,71.412
33,2,1,71.942,74.336,71.942,72.936
34,2,1,70.504,73.4,70.504,71.689
35,2,1,72.662,74.975,72.662,73.724
36,2,1,71.942,74.2,71.942,72.953
37,2,1,71.223,72.474,71.223,71.709
38,2,1,71.223,73.431,71.223,72.175
39,2,1,73.381,73.791,73.381,73.434
40,2,1,71.942,73.756,71.942,72.703
41,2,1,71.942,73.859,71.942,72.703
42,2,1,71.223,72.661,71.223,71.853
43,2,1,72.662,73.618,72.662,73.001
44,2,1,72.662,73.859,72.662,73.121
45,2,1,74.82,75.84,74.82,75.123
46,2,1,58.273,55.668,58.273,56.605
47,2,1,78.417,72.754,78.417,75.378
48,2,1,76.978,81.324,76.978,77.723
49,2,1,77.698,74.968,77.698,75.799
50,2,1,64.029,80.719,64.029,68.967
51,2,1,77.698,85.416,77.698,78.574
52,2,1,75.54,79.826,75.54,76.854
53,2,1,74.82,69.834,74.82,72.191
54,2,1,61.151,74.198,61.151,64.742
55,2,1,76.259,77.289,76.259,75.908
56,2,1,76.978,78.233,76.978,77.404
57,2,1,82.014,83.82,82.014,81.877
58,2,1,72.662,79.713,72.662,75.388
59,2,1,71.223,79.774,71.223,70.033
60,2,1,76.978,80.364,76.978,77.678
61,2,1,77.698,80.516,77.698,78.851
62,2,1,76.978,78.289,76.978,77.529
63,2,1,76.259,77.259,76.259,76.69
64,2,1,82.014,83.794,82.014,82.337
65,2,1,78.417,80.892,78.417,79.308
66,2,1,78.417,80.763,78.417,79.38
67,2,1,79.856,81.189,79.856,80.179
68,2,1,79.137,80.88,79.137,79.514
69,2,1,77.698,80.247,77.698,78.157
70,2,1,81.295,82.582,81.295,79.589
71,2,1,76.259,78.56,76.259,77.115
72,2,1,73.381,75.089,73.381,73.903
73,2,1,81.295,83.303,81.295,81.927
74,2,1,78.417,81.643,78.417,79.428
75,2,1,73.381,75.495,73.381,74.065
76,2,1,79.137,79.946,79.137,79.306
77,2,1,77.698,81.373,77.698,78.792
78,2,1,80.576,82.427,80.576,81.109
79,2,1,77.698,80.143,77.698,78.485
80,2,1,76.978,79.097,76.978,77.594
81,2,1,83.453,85.547,83.453,84.028
82,2,1,75.54,77.472,75.54,76.089
83,2,1,81.295,82.69,81.295,81.794
84,2,1,81.295,83.637,81.295,82.005
85,2,1,79.856,81.552,79.856,80.195
86,2,1,77.698,81.615,77.698,77.743
87,2,1,76.978,78.787,76.978,77.36
88,2,1,78.417,81.073,78.417,79.215
89,2,1,82.014,83.067,82.014,82.272
90,2,1,79.856,82.574,79.856,80.585
91,2,1,75.54,77.461,75.54,74.621
92,2,1,81.295,83.545,81.295,81.939
93,2,1,80.576,83.207,80.576,81.414
94,2,1,76.978,77.949,76.978,77.316
95,2,1,82.734,84.261,82.734,83.168
96,2,1,80.576,82.618,80.576,81.21
97,2,1,84.173,85.77,84.173,84.664
98,2,1,78.417,80.645,78.417,79.32
99,2,1,79.137,81.385,79.137,80.027
100,2,1,80.576,82.057,80.576,81.06
0,2,2,74.101,73.296,74.101,73.337
1,2,2,72.662,72.716,72.662,72.572
2,2,2,71.942,69.526,71.942,70.038
3,2,2,72.662,72.334,72.662,72.077
4,2,2,71.223,73.221,71.223,72.085
5,2,2,71.223,73.221,71.223,72.085
6,2,2,70.504,70.044,70.504,70.138
7,2,2,76.259,75.266,76.259,75.583
8,2,2,72.662,72.929,72.662,72.646
9,2,2,74.82,73.943,74.82,74.079
10,2,2,75.54,75.016,75.54,75.219
11,2,2,77.698,77.316,77.698,77.407
12,2,2,79.137,77.715,79.137,78.258
13,2,2,79.856,79.004,79.856,79.337
14,2,2,74.101,74.169,74.101,74.13
15,2,2,71.942,72.165,71.942,71.953
16,2,2,71.942,72.125,71.942,71.971
17,2,2,71.223,71.071,71.223,71.075
18,2,2,71.942,71.753,71.942,71.776
19,2,2,71.223,73.379,71.223,72.223
20,2,2,79.137,79.497,79.137,79.3
21,2,2,78.417,77.271,78.417,77.784
22,2,2,80.576,79.967,80.576,80.177
23,2,2,76.978,76.082,76.978,76.44
