iter,step,fold,acc,prec,rec,f1score
0,2,0,67.626,68.354,67.626,67.841
1,2,0,67.626,66.994,67.626,66.741
2,2,0,69.065,68.779,69.065,68.176
3,2,0,69.065,68.807,69.065,68.761
4,2,0,69.784,68.887,69.784,68.777
5,2,0,69.784,69.333,69.784,69.369
6,2,0,69.065,68.808,69.065,67.337
7,2,0,71.942,70.56,71.942,71.047
8,2,0,74.101,73.667,74.101,73.822
9,2,0,68.345,66.132,68.345,66.887
10,2,0,73.381,72.297,73.381,72.685
11,2,0,74.101,74.048,74.101,73.973
12,2,0,76.978,77.144,76.978,77.021
13,2,0,76.978,77.635,76.978,77.239
14,2,0,76.978,76.832,76.978,76.627
15,2,0,72.662,72.508,72.662,72.246
16,2,0,70.504,70.031,70.504,69.974
17,2,0,73.381,73.533,73.381,73.45
18,2,0,76.259,76.402,76.259,76.323
19,2,0,71.223,70.94,71.223,70.633
20,2,0,73.381,73.52,73.381,73.133
21,2,0,73.381,73.72,73.381,73.44
22,2,0,73.381,72.91,73.381,73.035
23,2,0,71.223,71.098,71.223,70.992
24,2,0,77.698,77.602,77.698,77.373
25,2,0,76.978,77.253,76.978,76.737
26,2,0,76.259,76.12,76.259,76.016
27,2,0,79.856,79.792,79.856,79.697
28,2,0,76.259,76.211,76.259,76.216
29,2,0,75.54,75.605,75.54,75.553
30,2,0,77.698,78.201,77.698,77.819
31,2,0,76.259,76.24,76.259,76.198
32,2,0,74.82,75.149,74.82,74.913
33,2,0,76.259,76.718,76.259,76.23
34,2,0,79.137,79.259,79.137,79.027
35,2,0,76.978,78.002,76.978,77.154
36,2,0,78.417,79.105,78.417,78.364
37,2,0,74.82,74.933,74.82,74.629
38,2,0,76.978,76.924,76.978,76.881
39,2,0,76.978,77.132,76.978,76.99
40,2,0,77.698,78.344,77.698,77.712
41,2,0,75.54,76.1,75.54,75.109
42,2,0,73.381,73.535,73.381,73.239
43,2,0,76.978,77.321,76.978,77.031
44,2,0,76.259,76.678,76.259,76.139
45,2,0,74.82,75.214,74.82,74.788
46,2,0,46.763,62.978,46.763,42.198
47,2,0,69.065,59.994,69.065,63.78
48,2,0,60.432,64.519,60.432,59.763
49,2,0,58.273,60.815,58.273,53.324
50,2,0,47.482,66.752,47.482,49.474
51,2,0,71.942,73.123,71.942,72.357
52,2,0,80.576,80.91,80.576,80.67
53,2,0,81.295,81.954,81.295,81.291
54,2,0,80.576,80.943,80.576,79.753
55,2,0,81.295,81.295,81.295,81.295
56,2,0,79.137,78.963,79.137,78.847
57,2,0,82.014,82.837,82.014,82.201
58,2,0,83.453,84.848,83.453,83.753
59,2,0,79.137,80.084,79.137,79.258
60,2,0,82.734,82.867,82.734,82.666
61,2,0,76.978,80.576,76.978,75.195
62,2,0,83.453,83.763,83.453,83.357
63,2,0,78.417,79.515,78.417,78.415
64,2,0,79.137,79.464,79.137,79.039
65,2,0,80.576,81.183,80.576,80.56
66,2,0,79.137,79.214,79.137,79.134
67,2,0,77.698,78.453,77.698,77.484
68,2,0,81.295,81.65,81.295,81.199
69,2,0,79.137,80.155,79.137,78.564
70,2,0,84.173,84.352,84.173,84.063
71,2,0,80.576,80.736,80.576,80.358
72,2,0,77.698,78.21,77.698,77.422
73,2,0,82.734,82.915,82.734,82.746
74,2,0,83.453,83.363,83.453,83.339
75,2,0,76.259,76.317,76.259,74.056
76,2,0,79.856,80.125,79.856,79.964
77,2,0,80.576,80.725,80.576,80.461
78,2,0,74.101,74.774,74.101,73.26
79,2,0,76.978,78.908,76.978,76.916
80,2,0,79.137,79.131,79.137,78.932
81,2,0,76.259,76.265,76.259,76.049
82,2,0,81.295,81.284,81.295,81.247
83,2,0,79.856,80.153,79.856,79.925
84,2,0,80.576,80.749,80.576,80.542
85,2,0,84.892,85.552,84.892,84.892
86,2,0,79.856,80.108,79.856,79.901
87,2,0,79.856,79.818,79.856,79.791
88,2,0,81.295,82.243,81.295,81.566
89,2,0,82.014,82.593,82.014,82.087
90,2,0,80.576,81.062,80.576,80.497
91,2,0,79.856,79.969,79.856,79.838
92,2,0,81.295,81.535,81.295,81.292
93,2,0,84.173,84.418,84.173,84.112
94,2,0,81.295,81.434,81.295,81.244
95,2,0,82.734,82.734,82.734,82.734
96,2,0,81.295,81.867,81.295,81.48
97,2,0,84.173,84.173,84.173,84.173
98,2,0,79.856,79.998,79.856,79.669
99,2,0,74.82,74.951,74.82,74.526
100,2,0,81.295,81.421,81.295,81.183
0,2,1,68.345,72.636,68.345,69.99
1,2,1,69.784,71.666,69.784,70.227
2,2,1,73.381,74.48,73.381,73.781
3,2,1,74.101,74.368,74.101,73.927
4,2,1,73.381,73.068,73.381,73.087
5,2,1,71.942,71.954,71.942,71.907
6,2,1,74.101,75.56,74.101,74.468
7,2,1,72.662,73.166,72.662,72.911
8,2,1,73.381,75.505,73.381,74.407
9,2,1,73.381,73.569,73.381,73.404
10,2,1,73.381,72.532,73.381,72.922
11,2,1,70.504,73.118,70.504,71.504
12,2,1,74.82,76.438,74.82,75.601
13,2,1,77.698,78.66,77.698,78.163
14,2,1,76.978,77.469,76.978,77.207
15,2,1,73.381,75.297,73.381,74.257
16,2,1,72.662,75.054,72.662,73.782
17,2,1,71.942,74.587,71.942,73.095
18,2,1,72.662,74.575,72.662,73.313
19,2,1,72.662,74.249,72.662,73.359
20,2,1,70.504,74.855,70.504,72.125
21,2,1,71.223,74.467,71.223,72.414
22,2,1,73.381,75.237,73.381,74.141
23,2,1,74.101,76.997,74.101,75.338
24,2,1,73.381,75.008,73.381,74.116
25,2,1,73.381,75.525,73.381,74.348
26,2,1,74.101,75.294,74.101,74.617
27,2,1,71.223,74.226,71.223,72.466
28,2,1,74.82,76.501,74.82,75.581
29,2,1,72.662,74.249,72.662,73.359
30,2,1,74.101,75.716,74.101,74.783
31,2,1,73.381,74.643,73.381,73.804
32,2,1,73.381,74.565,73.381,73.861
33,2,1,74.101,75.351,74.101,74.569
34,2,1,74.101,77.323,74.101,75.532
35,2,1,75.54,76.785,75.54,76.081
36,2,1,71.942,74.49,71.942,73.018
37,2,1,73.381,74.643,73.381,73.804
38,2,1,71.942,75.554,71.942,73.521
39,2,1,71.223,74.292,71.223,72.587
40,2,1,70.504,72.549,70.504,71.251
41,2,1,72.662,74.269,72.662,73.302
42,2,1,74.82,76.064,74.82,75.328
43,2,1,74.82,76.064,74.82,75.328
44,2,1,74.101,74.831,74.101,74.422
45,2,1,74.101,75.267,74.101,74.571
46,2,1,76.259,70.7,76.259,73.312
47,2,1,71.942,74.354,71.942,70.817
48,2,1,64.029,71.429,64.029,55.931
49,2,1,80.576,80.149,80.576,80.347
50,2,1,78.417,78.009,78.417,77.672
51,2,1,79.137,78.425,79.137,77.536
52,2,1,80.576,81.693,80.576,79.663
53,2,1,79.856,74.723,79.856,77.114
54,2,1,76.259,83.699,76.259,78.485
55,2,1,79.856,81.074,79.856,80.276
56,2,1,82.014,76.73,82.014,79.228
57,2,1,71.942,78.313,71.942,71.64
58,2,1,73.381,77.99,73.381,75.168
59,2,1,85.612,87.752,85.612,86.338
60,2,1,84.892,85.09,84.892,84.947
61,2,1,79.856,79.869,79.856,79.819
62,2,1,74.101,82.241,74.101,75.745
63,2,1,82.014,82.367,82.014,82.17
64,2,1,81.295,84.145,81.295,82.119
65,2,1,79.856,81.99,79.856,80.791
66,2,1,79.137,79.398,79.137,79.019
67,2,1,74.82,79.317,74.82,74.696
68,2,1,82.734,82.734,82.734,82.734
69,2,1,81.295,79.843,81.295,80.262
70,2,1,82.734,83.971,82.734,83.298
71,2,1,83.453,84.184,83.453,83.731
72,2,1,79.137,80.497,79.137,79.682
73,2,1,74.101,77.04,74.101,73.468
74,2,1,83.453,84.108,83.453,83.748
75,2,1,76.978,80.285,76.978,78.093
76,2,1,79.137,85.411,79.137,81.324
77,2,1,81.295,81.377,81.295,81.317
78,2,1,79.137,79.855,79.137,79.445
79,2,1,83.453,83.453,83.453,83.453
80,2,1,82.014,83.412,82.014,82.577
81,2,1,77.698,79.514,77.698,78.2
82,2,1,84.173,84.163,84.173,84.163
83,2,1,83.453,83.687,83.453,83.559
84,2,1,82.014,83.514,82.014,82.645
85,2,1,83.453,83.428,83.453,83.42
86,2,1,82.014,82.097,82.014,82.036
87,2,1,84.892,85.441,84.892,85.129
88,2,1,79.137,79.462,79.137,79.133
89,2,1,83.453,84.116,83.453,83.745
90,2,1,83.453,83.464,83.453,83.438
91,2,1,80.576,80.838,80.576,80.696
92,2,1,81.295,81.358,81.295,81.307
93,2,1,84.892,85.135,84.892,85.002
94,2,1,84.892,85.824,84.892,85.274
95,2,1,84.173,85.105,84.173,84.555
96,2,1,81.295,82.193,81.295,81.643
97,2,1,84.892,86.022,84.892,85.306
98,2,1,85.612,85.883,85.612,85.723
99,2,1,84.892,85.592,84.892,85.107
100,2,1,83.453,85.214,83.453,84.153
0,2,2,74.101,73.296,74.101,73.337
1,2,2,71.942,69.374,71.942,70.046
2,2,2,70.504,68.96,70.504,69.522
3,2,2,71.942,70.695,71.942,71.122
4,2,2,72.662,71.428,72.662,71.803
5,2,2,75.54,74.26,75.54,74.596
6,2,2,80.576,80.36,80.576,80.449
7,2,2,78.417,76.852,78.417,77.426
8,2,2,79.137,78.004,79.137,78.322
9,2,2,75.54,74.186,75.54,74.366
10,2,2,79.137,76.795,79.137,77.729
11,2,2,77.698,77.333,77.698,77.509
12,2,2,75.54,75.942,75.54,75.725
13,2,2,76.978,76.21,76.978,76.573
14,2,2,76.978,75.012,76.978,75.723
15,2,2,76.259,74.685,76.259,75.389
16,2,2,76.978,74.774,76.978,75.217
17,2,2,76.978,74.774,76.978,75.217
18,2,2,77.698,76.707,77.698,76.782
19,2,2,76.259,75.646,76.259,75.633
20,2,2,76.978,76.048,76.978,75.973
21,2,2,79.137,79.127,79.137,79.092
22,2,2,78.417,78.051,78.417,78.197
23,2,2,78.417,78.656,78.417,78.517
24,2,2,78.417,78.413,78.417,78.372
25,2,2,74.82,75.465,74.82,75.101
26,2,2,78.417,78.888,78.417,78.589
27,2,2,76.978,76.743,76.978,76.852
28,2,2,79.856,79.425,79.856,79.587
29,2,2,79.856,79.444,79.856,79.597
30,2,2,77.698,76.734,77.698,77.075
31,2,2,77.698,77.305,77.698,77.449
32,2,2,78.417,77.952,78.417,78.147
33,2,2,76.978,78.429,76.978,77.602
34,2,2,76.259,77.319,76.259,76.711
35,2,2,76.978,77.709,76.978,77.279
36,2,2,76.978,77.552,76.978,77.204
37,2,2,78.417,78.715,78.417,78.491
38,2,2,77.698,78.773,77.698,78.094
39,2,2,79.856,80.749,79.856,80.242
40,2,2,78.417,78.829,78.417,78.607
41,2,2,77.698,79.113,77.698,78.213
42,2,2,82.014,82.397,82.014,82.168
43,2,2,79.856,80.891,79.856,80.286
44,2,2,76.978,78.47,76.978,77.622
45,2,2,78.417,79.74,78.417,78.965
46,2,2,51.799,45.898,51.799,41.098
47,2,2,61.151,63.541,61.151,59.701
48,2,2,74.101,73.367,74.101,73.636
49,2,2,76.259,74.206,76.259,74.626
50,2,2,76.978,80.662,76.978,77.207
51,2,2,77.698,77.996,77.698,77.731
52,2,2,69.065,72.845,69.065,69.247
53,2,2,79.856,79.631,79.856,79.725
54,2,2,79.856,79.419,79.856,79.395
55,2,2,74.82,75.518,74.82,74.165
56,2,2,77.698,78.257,77.698,76.9
57,2,2,82.734,82.89,82.734,82.647
58,2,2,77.698,78.196,77.698,77.883
59,2,2,79.856,80.237,79.856,80.009
60,2,2,76.259,75.978,76.259,76.076
61,2,2,81.295,81.408,81.295,81.332
62,2,2,76.978,75.282,76.978,74.57
63,2,2,78.417,78.468,78.417,78.438
64,2,2,66.906,75.378,66.906,70.043
65,2,2,72.662,78.151,72.662,73.975
66,2,2,76.978,76.47,76.978,76.54
67,2,2,77.698,77.326,77.698,77.477
68,2,2,77.698,77.382,77.698,77.213
69,2,2,74.82,76.73,74.82,75.223
70,2,2,77.698,76.69,77.698,76.651
71,2,2,76.259,76.144,76.259,76.182
72,2,2,76.978,77.622,76.978,77.271
73,2,2,75.54,75.202,75.54,75.354
74,2,2,76.259,75.908,76.259,76.022
75,2,2,78.417,77.77,78.417,78.067
76,2,2,82.734,82.298,82.734,82.478
77,2,2,78.417,77.86,78.417,78.103
78,2,2,80.576,80.084,80.576,80.292
79,2,2,82.734,82.814,82.734,82.754
80,2,2,77.698,76.985,77.698,77.213
81,2,2,76.978,76.973,76.978,76.854
82,2,2,79.856,80.053,79.856,79.912
83,2,2,79.856,80.857,79.856,80.301
84,2,2,77.698,78.651,77.698,78.119
85,2,2,79.137,80.67,79.137,79.8
86,2,2,83.453,82.833,83.453,82.894
87,2,2,79.137,78.761,79.137,78.911
88,2,2,82.014,81.631,82.014,81.77
89,2,2,79.856,80.237,79.856,80.029
90,2,2,81.295,81.928,81.295,81.533
91,2,2,80.576,80.904,80.576,80.662
92,2,2,77.698,78.841,77.698,78.223
93,2,2,79.856,80.237,79.856,80.029
