iter,step,fold,acc,prec,rec,f1score
0,2,0,66.906,66.181,66.906,66.336
1,2,0,61.871,63.097,61.871,62.383
2,2,0,69.784,68.63,69.784,68.495
3,2,0,69.065,67.171,69.065,66.494
4,2,0,69.784,68.581,69.784,67.957
5,2,0,69.784,65.972,69.784,65.663
6,2,0,66.906,65.608,66.906,65.196
7,2,0,71.942,70.95,71.942,69.648
8,2,0,74.101,72.791,74.101,72.751
9,2,0,73.381,70.982,73.381,71.696
10,2,0,69.784,68.39,69.784,68.631
11,2,0,70.504,69.39,70.504,68.91
12,2,0,71.942,70.771,71.942,69.69
13,2,0,75.54,75.184,75.54,75.044
14,2,0,68.345,67.179,68.345,67.414
15,2,0,72.662,71.834,72.662,71.527
16,2,0,77.698,77.482,77.698,77.329
17,2,0,73.381,72.878,73.381,73.073
18,2,0,73.381,72.302,73.381,72.585
19,2,0,74.82,74.349,74.82,74.052
20,2,0,71.942,70.719,71.942,71.042
21,2,0,72.662,71.433,72.662,71.875
22,2,0,73.381,72.075,73.381,72.222
23,2,0,79.856,79.329,79.856,79.371
24,2,0,77.698,77.023,77.698,77.218
25,2,0,80.576,80.614,80.576,79.966
26,2,0,79.137,79.029,79.137,78.708
27,2,0,76.259,76.622,76.259,76.251
28,2,0,76.259,75.879,76.259,75.864
29,2,0,76.978,76.461,76.978,76.112
30,2,0,75.54,74.718,75.54,75.028
31,2,0,82.014,82.007,82.014,81.132
32,2,0,81.295,80.485,81.295,80.6
33,2,0,76.978,76.891,76.978,76.442
34,2,0,78.417,77.752,78.417,77.884
35,2,0,79.856,79.266,79.856,79.133
36,2,0,79.137,78.407,79.137,78.66
37,2,0,78.417,77.025,78.417,77.369
38,2,0,78.417,77.705,78.417,77.943
39,2,0,74.101,72.756,74.101,72.782
40,2,0,77.698,77.106,77.698,76.446
41,2,0,72.662,69.673,72.662,70.419
42,2,0,75.54,73.934,75.54,74.304
43,2,0,69.065,67.213,69.065,67.537
44,2,0,71.942,70.74,71.942,70.894
45,2,0,70.504,68.937,70.504,69.494
46,2,0,63.309,54.522,63.309,58.578
47,2,0,53.237,51.562,53.237,48.734
48,2,0,39.568,49.569,39.568,28.669
49,2,0,49.64,61.774,49.64,44.236
50,2,0,58.273,65.321,58.273,54.054
51,2,0,54.676,60.874,54.676,51.459
52,2,0,74.101,70.703,74.101,70.678
53,2,0,64.029,69.209,64.029,59.583
54,2,0,66.906,64.592,66.906,60.842
55,2,0,58.993,67.634,58.993,57.638
56,2,0,74.82,73.137,74.82,73.489
57,2,0,79.137,79.448,79.137,77.747
58,2,0,69.065,68.58,69.065,67.949
59,2,0,69.065,59.629,69.065,63.543
60,2,0,73.381,77.709,73.381,74.602
61,2,0,71.942,61.749,71.942,66.357
62,2,0,77.698,78.765,77.698,76.971
63,2,0,69.784,77.627,69.784,71.164
64,2,0,69.784,78.21,69.784,70.782
65,2,0,68.345,60.505,68.345,63.052
66,2,0,77.698,77.793,77.698,74.37
67,2,0,77.698,77.418,77.698,74.374
68,2,0,73.381,70.278,73.381,71.454
69,2,0,79.137,77.549,79.137,77.705
70,2,0,79.137,77.822,79.137,78.119
71,2,0,67.626,63.318,67.626,65.012
72,2,0,75.54,74.45,75.54,73.619
73,2,0,76.259,76.178,76.259,76.079
74,2,0,77.698,76.347,77.698,76.184
75,2,0,66.906,60.238,66.906,61.951
76,2,0,75.54,77.602,75.54,75.441
77,2,0,76.978,77.833,76.978,77.2
78,2,0,78.417,77.158,78.417,76.882
79,2,0,69.784,77.584,69.784,71.812
80,2,0,74.82,73.835,74.82,71.007
81,2,0,83.453,82.83,83.453,82.918
82,2,0,71.942,75.978,71.942,69.894
83,2,0,77.698,76.995,77.698,76.949
84,2,0,79.856,79.115,79.856,78.592
85,2,0,69.065,69.735,69.065,68.946
86,2,0,79.137,78.246,79.137,78.268
87,2,0,83.453,83.558,83.453,82.489
88,2,0,75.54,74.92,75.54,75.072
89,2,0,80.576,79.91,80.576,79.898
90,2,0,76.978,76.745,76.978,73.704
91,2,0,73.381,77.27,73.381,68.694
92,2,0,78.417,82.164,78.417,73.444
93,2,0,82.734,81.891,82.734,81.622
94,2,0,79.856,79.093,79.856,79.245
95,2,0,81.295,80.734,81.295,80.86
96,2,0,79.856,78.801,79.856,79.039
97,2,0,78.417,81.281,78.417,74.19
98,2,0,79.856,78.882,79.856,79.052
99,2,0,76.978,81.035,76.978,73.407
100,2,0,77.698,76.427,77.698,76.259
0,2,1,64.748,69.341,64.748,66.753
1,2,1,61.151,67.562,61.151,63.975
2,2,1,72.662,73.52,72.662,72.491
3,2,1,73.381,72.588,73.381,72.621
4,2,1,68.345,71.516,68.345,69.355
5,2,1,69.784,71.676,69.784,70.324
6,2,1,69.065,69.199,69.065,68.848
7,2,1,71.942,71.007,71.942,70.975
8,2,1,71.223,71.245,71.223,70.908
9,2,1,72.662,71.707,72.662,71.651
10,2,1,68.345,69.965,68.345,68.563
11,2,1,69.065,69.002,69.065,68.926
12,2,1,71.223,70.468,71.223,70.403
13,2,1,70.504,71.715,70.504,70.656
14,2,1,64.748,65.913,64.748,65.207
15,2,1,66.906,67.345,66.906,67.122
16,2,1,69.065,68.598,69.065,68.828
17,2,1,68.345,69.512,68.345,68.793
18,2,1,68.345,68.321,68.345,68.265
19,2,1,69.784,68.569,69.784,68.923
20,2,1,69.065,71.53,69.065,70.095
21,2,1,74.101,72.497,74.101,73.132
22,2,1,70.504,70.021,70.504,70.236
23,2,1,69.784,69.883,69.784,69.762
24,2,1,68.345,67.054,68.345,67.408
25,2,1,64.748,67.485,64.748,65.865
26,2,1,73.381,73.438,73.381,73.368
27,2,1,67.626,68.847,67.626,68.171
28,2,1,70.504,71.362,70.504,70.915
29,2,1,69.065,70.313,69.065,69.596
30,2,1,69.784,71.31,69.784,70.452
31,2,1,68.345,70.305,68.345,69.222
32,2,1,70.504,69.576,70.504,70.012
