iter,step,fold,acc,prec,rec,f1score
0,2,0,60.432,71.773,60.432,54.414
1,2,0,60.432,71.773,60.432,54.414
2,2,0,62.59,72.852,62.59,57.82
3,2,0,64.029,67.942,64.029,59.75
4,2,0,64.029,67.942,64.029,59.75
5,2,0,65.468,69.227,65.468,61.746
6,2,0,64.748,67.752,64.748,61.149
7,2,0,65.468,68.399,65.468,62.11
8,2,0,65.468,67.941,65.468,62.125
9,2,0,66.187,68.57,66.187,63.07
10,2,0,67.626,69.774,67.626,64.91
11,2,0,67.626,69.774,67.626,64.91
12,2,0,67.626,70.215,67.626,64.887
13,2,0,67.626,70.215,67.626,64.887
14,2,0,67.626,70.215,67.626,64.887
15,2,0,68.345,70.788,68.345,65.781
16,2,0,68.345,70.788,68.345,65.781
17,2,0,68.345,70.788,68.345,65.781
18,2,0,68.345,70.788,68.345,65.781
19,2,0,69.784,71.903,69.784,67.526
20,2,0,70.504,72.449,70.504,68.378
21,2,0,70.504,72.449,70.504,68.378
22,2,0,69.065,72.929,69.065,66.141
23,2,0,69.784,73.425,69.784,67.048
24,2,0,71.223,74.98,71.223,68.798
25,2,0,70.504,73.488,70.504,68.019
26,2,0,72.662,75.486,72.662,70.549
27,2,0,72.662,75.486,72.662,70.549
28,2,0,74.101,76.558,74.101,72.356
29,2,0,74.101,76.558,74.101,72.356
30,2,0,74.82,77.09,74.82,73.239
31,2,0,72.662,75.272,72.662,70.676
32,2,0,73.381,75.779,73.381,71.549
33,2,0,74.82,77.09,74.82,73.239
34,2,0,75.54,77.728,75.54,74.311
35,2,0,75.54,77.738,75.54,74.365
36,2,0,74.82,77.473,74.82,73.734
37,2,0,76.259,79.333,76.259,75.358
38,2,0,75.54,78.621,75.54,74.673
39,2,0,75.54,78.268,75.54,73.987
40,2,0,75.54,78.159,75.54,73.924
41,2,0,75.54,78.359,75.54,74.03
42,2,0,76.259,78.964,76.259,74.948
43,2,0,78.417,80.787,78.417,77.626
44,2,0,78.417,80.787,78.417,77.626
45,2,0,78.417,80.787,78.417,77.626
46,2,0,78.417,80.519,78.417,77.716
47,2,0,78.417,81.214,78.417,78.011
48,2,0,77.698,80.835,77.698,77.439
49,2,0,79.137,81.852,79.137,78.873
50,2,0,79.137,81.852,79.137,78.873
51,2,0,79.137,81.401,79.137,78.496
52,2,0,79.856,81.701,79.856,79.014
53,2,0,79.856,81.592,79.856,79.158
54,2,0,79.137,81.103,79.137,78.147
55,2,0,79.137,81.103,79.137,78.147
56,2,0,80.576,82.303,80.576,79.87
57,2,0,80.576,82.187,80.576,80.0
58,2,0,80.576,82.187,80.576,80.0
59,2,0,81.295,82.79,81.295,80.833
60,2,0,81.295,82.79,81.295,80.833
61,2,0,82.014,83.399,82.014,81.657
62,2,0,82.014,83.399,82.014,81.657
63,2,0,82.734,84.017,82.734,82.472
64,2,0,82.734,84.017,82.734,82.472
65,2,0,82.734,84.017,82.734,82.472
66,2,0,82.734,84.017,82.734,82.472
67,2,0,82.734,83.862,82.734,82.533
68,2,0,84.173,85.118,84.173,84.118
69,2,0,84.173,85.118,84.173,84.118
70,2,0,84.173,85.118,84.173,84.118
71,2,0,84.173,84.954,84.173,84.031
72,2,0,84.173,84.954,84.173,84.031
73,2,0,84.892,85.584,84.892,84.809
74,2,0,84.892,85.584,84.892,84.809
75,2,0,84.892,85.762,84.892,84.9
76,2,0,85.612,86.238,85.612,85.494
77,2,0,85.612,86.238,85.612,85.494
78,2,0,85.612,86.238,85.612,85.494
79,2,0,85.612,86.238,85.612,85.494
80,2,0,85.612,86.238,85.612,85.494
81,2,0,84.892,85.6,84.892,84.711
82,2,0,84.892,85.762,84.892,84.9
83,2,0,85.612,86.589,85.612,85.66
84,2,0,85.612,86.589,85.612,85.66
85,2,0,86.331,87.413,86.331,86.405
86,2,0,86.331,87.413,86.331,86.405
87,2,0,85.612,86.552,85.612,85.703
88,2,0,85.612,86.552,85.612,85.703
89,2,0,84.892,85.727,84.892,85.002
90,2,0,84.892,85.727,84.892,85.002
91,2,0,86.331,86.942,86.331,86.461
92,2,0,84.892,85.488,84.892,84.912
93,2,0,86.331,86.808,86.331,86.343
94,2,0,86.331,86.808,86.331,86.343
95,2,0,87.05,87.542,87.05,87.115
96,2,0,87.05,87.556,87.05,87.179
97,2,0,87.77,88.289,87.77,87.882
98,2,0,87.05,87.542,87.05,87.115
99,2,0,86.331,86.787,86.331,86.413
100,2,0,86.331,86.787,86.331,86.413
0,2,1,64.029,65.288,64.029,57.619
1,2,1,64.029,64.998,64.029,57.406
2,2,1,64.029,64.998,64.029,57.406
3,2,1,64.029,65.288,64.029,57.619
4,2,1,67.626,71.604,67.626,63.178
5,2,1,66.906,70.863,66.906,62.772
6,2,1,67.626,71.417,67.626,63.219
7,2,1,66.906,70.942,66.906,62.869
8,2,1,67.626,71.745,67.626,64.04
9,2,1,69.784,73.398,69.784,66.585
10,2,1,68.345,74.049,68.345,66.34
11,2,1,67.626,72.444,67.626,64.492
12,2,1,67.626,72.787,67.626,65.036
13,2,1,69.065,74.309,69.065,66.426
14,2,1,65.468,73.582,65.468,64.143
15,2,1,65.468,73.582,65.468,64.143
16,2,1,66.906,74.613,66.906,66.022
17,2,1,67.626,75.286,67.626,67.015
18,2,1,67.626,75.286,67.626,67.015
19,2,1,69.065,76.611,69.065,68.954
20,2,1,69.784,76.864,69.784,69.461
21,2,1,70.504,77.122,70.504,69.968
22,2,1,70.504,76.722,70.504,69.888
23,2,1,71.942,76.953,71.942,70.754
24,2,1,73.381,77.572,73.381,71.793
25,2,1,71.942,77.317,71.942,70.841
26,2,1,72.662,78.294,72.662,71.938
27,2,1,71.942,77.285,71.942,70.536
28,2,1,71.223,77.006,71.223,70.023
29,2,1,72.662,77.28,72.662,70.923
30,2,1,73.381,77.91,73.381,71.886
31,2,1,71.942,75.845,71.942,70.268
32,2,1,69.784,74.978,69.784,69.057
33,2,1,71.223,75.928,71.223,70.509
34,2,1,70.504,75.646,70.504,69.994
35,2,1,70.504,75.646,70.504,69.994
36,2,1,71.942,76.596,71.942,71.111
37,2,1,70.504,75.646,70.504,69.994
38,2,1,70.504,75.646,70.504,69.994
39,2,1,71.223,76.309,71.223,70.917
