iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,79.188,77.698,75.014
1,2,0,77.698,79.188,77.698,75.014
2,2,0,76.259,80.993,76.259,71.47
3,2,0,77.698,76.117,77.698,75.305
4,2,0,77.698,76.957,77.698,75.231
5,2,0,76.978,76.624,76.978,74.437
6,2,0,74.82,75.096,74.82,72.228
7,2,0,78.417,79.218,78.417,77.154
8,2,0,76.259,77.357,76.259,74.646
9,2,0,76.259,77.357,76.259,74.646
10,2,0,72.662,74.95,72.662,70.378
11,2,0,74.82,76.352,74.82,72.808
12,2,0,71.942,74.876,71.942,69.677
13,2,0,74.82,76.79,74.82,73.258
14,2,0,70.504,74.001,70.504,67.951
15,2,0,74.101,76.702,74.101,72.237
16,2,0,71.942,75.045,71.942,69.45
17,2,0,72.662,75.604,72.662,70.395
18,2,0,71.942,75.045,71.942,69.45
19,2,0,72.662,75.604,72.662,70.395
20,2,0,72.662,75.604,72.662,70.395
21,2,0,73.381,77.236,73.381,70.991
22,2,0,71.942,76.156,71.942,69.02
23,2,0,72.662,76.718,72.662,70.055
24,2,0,71.223,75.606,71.223,68.041
25,2,0,72.662,76.928,72.662,69.844
26,2,0,71.223,75.756,71.223,67.781
27,2,0,71.942,76.215,71.942,68.327
28,2,0,71.223,75.63,71.223,67.291
29,2,0,70.504,75.148,70.504,66.718
30,2,0,69.784,74.349,69.784,65.098
31,2,0,70.504,75.003,70.504,66.206
32,2,0,69.784,74.219,69.784,64.605
33,2,0,69.784,74.349,69.784,65.098
34,2,0,70.504,74.915,70.504,65.741
35,2,0,69.784,74.219,69.784,64.605
36,2,0,69.784,74.219,69.784,64.605
37,2,0,69.784,74.219,69.784,64.605
38,2,0,69.784,74.219,69.784,64.605
39,2,0,69.784,74.219,69.784,64.605
40,2,0,69.784,74.219,69.784,64.605
41,2,0,69.065,73.661,69.065,63.965
42,2,0,69.065,73.661,69.065,63.965
43,2,0,69.065,73.661,69.065,63.965
44,2,0,69.065,73.661,69.065,63.965
45,2,0,69.065,73.661,69.065,63.965
46,2,0,69.065,73.661,69.065,63.965
47,2,0,69.065,73.661,69.065,63.965
48,2,0,69.784,74.322,69.784,64.672
49,2,0,70.504,74.959,70.504,65.771
50,2,0,69.065,74.181,69.065,64.695
51,2,0,69.784,74.6,69.784,65.253
52,2,0,68.345,73.98,68.345,64.201
53,2,0,67.626,73.382,67.626,63.589
54,2,0,66.187,71.897,66.187,61.285
55,2,0,68.345,73.776,68.345,64.141
56,2,0,66.906,73.673,66.906,63.281
57,2,0,67.626,74.019,67.626,63.825
58,2,0,67.626,73.624,67.626,63.22
59,2,0,62.59,71.245,62.59,59.421
60,2,0,61.151,74.685,61.151,60.025
61,2,0,61.151,72.864,61.151,59.35
62,2,0,61.151,78.35,61.151,61.996
63,2,0,61.871,78.552,61.871,62.555
64,2,0,55.396,79.058,55.396,57.996
65,2,0,57.554,78.894,57.554,59.857
66,2,0,53.957,78.766,53.957,56.989
67,2,0,54.676,79.965,54.676,58.078
68,2,0,53.957,80.794,53.957,57.671
69,2,0,56.115,82.444,56.115,60.204
70,2,0,51.799,82.912,51.799,56.439
71,2,0,51.079,84.219,51.079,55.952
72,2,0,46.763,83.45,46.763,51.327
73,2,0,48.201,83.842,48.201,52.89
74,2,0,46.043,85.501,46.043,50.669
75,2,0,48.201,85.604,48.201,53.128
76,2,0,43.885,85.252,43.885,48.183
77,2,0,45.324,85.468,45.324,49.818
78,2,0,53.237,84.574,53.237,58.165
79,2,0,53.957,84.66,53.957,58.876
80,2,0,57.554,84.046,57.554,62.161
81,2,0,57.554,84.046,57.554,62.161
82,2,0,57.554,84.086,57.554,62.193
83,2,0,57.554,84.086,57.554,62.193
84,2,0,56.835,85.299,56.835,61.739
85,2,0,57.554,84.086,57.554,62.193
86,2,0,57.554,85.388,57.554,62.444
87,2,0,57.554,84.086,57.554,62.193
88,2,0,57.554,84.086,57.554,62.193
89,2,0,59.712,85.761,59.712,64.481
90,2,0,58.993,85.621,58.993,63.816
91,2,0,59.712,85.761,59.712,64.481
92,2,0,59.712,85.761,59.712,64.481
93,2,0,59.712,85.761,59.712,64.481
94,2,0,58.993,85.67,58.993,63.784
95,2,0,59.712,85.761,59.712,64.481
96,2,0,60.432,87.122,60.432,65.422
97,2,0,60.432,85.852,60.432,65.167
98,2,0,60.432,85.852,60.432,65.167
99,2,0,60.432,85.852,60.432,65.167
100,2,0,60.432,85.852,60.432,65.167
0,2,1,82.014,81.54,82.014,80.961
1,2,1,82.014,81.171,82.014,80.842
2,2,1,77.698,74.494,77.698,74.339
3,2,1,78.417,74.977,78.417,75.114
4,2,1,73.381,72.491,73.381,69.28
5,2,1,75.54,73.812,75.54,71.809
6,2,1,74.101,72.931,74.101,70.136
7,2,1,74.82,73.371,74.82,70.979
8,2,1,71.942,71.609,71.942,67.529
9,2,1,73.381,72.491,73.381,69.28
10,2,1,71.223,71.165,71.223,66.632
11,2,1,71.942,71.609,71.942,67.529
12,2,1,70.504,70.718,70.504,65.719
13,2,1,71.223,71.165,71.223,66.632
14,2,1,71.223,71.165,71.223,66.632
15,2,1,71.223,71.165,71.223,66.632
16,2,1,69.065,76.841,69.065,64.414
17,2,1,71.223,78.237,71.223,67.258
18,2,1,67.626,75.861,67.626,62.426
19,2,1,69.784,75.502,69.784,65.881
20,2,1,66.906,73.008,66.906,61.698
21,2,1,66.906,73.008,66.906,61.698
22,2,1,66.906,73.338,66.906,61.714
23,2,1,66.187,72.44,66.187,60.625
24,2,1,65.468,70.947,65.468,59.394
25,2,1,65.468,70.947,65.468,59.394
26,2,1,65.468,70.947,65.468,59.394
27,2,1,65.468,70.947,65.468,59.394
28,2,1,66.187,72.44,66.187,60.625
29,2,1,66.906,72.152,66.906,61.772
30,2,1,66.906,71.953,66.906,61.839
31,2,1,67.626,73.112,67.626,63.2
32,2,1,67.626,73.112,67.626,63.2
33,2,1,67.626,73.112,67.626,63.2
34,2,1,67.626,73.112,67.626,63.2
35,2,1,68.345,74.361,68.345,64.198
36,2,1,67.626,74.023,67.626,63.674
37,2,1,66.187,73.118,66.187,62.574
38,2,1,66.187,73.118,66.187,62.574
39,2,1,66.187,73.118,66.187,62.574
40,2,1,65.468,73.346,65.468,62.259
41,2,1,65.468,73.346,65.468,62.259
42,2,1,65.468,73.346,65.468,62.259
43,2,1,66.187,73.639,66.187,62.763
44,2,1,63.309,73.462,63.309,61.094
45,2,1,63.309,73.462,63.309,61.094
46,2,1,63.309,73.462,63.309,61.094
47,2,1,64.029,73.388,64.029,61.435
48,2,1,64.029,73.388,64.029,61.435
49,2,1,66.187,74.21,66.187,62.94
50,2,1,61.151,73.058,61.151,59.772
