iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,79.188,77.698,75.014
1,2,0,78.417,79.687,78.417,75.717
2,2,0,78.417,79.687,78.417,75.717
3,2,0,81.295,80.82,81.295,80.544
4,2,0,81.295,80.82,81.295,80.544
5,2,0,82.734,82.854,82.734,82.52
6,2,0,82.734,82.854,82.734,82.52
7,2,0,82.734,82.854,82.734,82.52
8,2,0,82.734,82.854,82.734,82.52
9,2,0,82.734,82.854,82.734,82.52
10,2,0,82.734,82.854,82.734,82.52
11,2,0,82.734,82.854,82.734,82.52
12,2,0,82.734,82.854,82.734,82.52
13,2,0,82.734,82.854,82.734,82.52
14,2,0,82.734,82.854,82.734,82.52
15,2,0,82.734,82.854,82.734,82.52
16,2,0,82.734,82.854,82.734,82.52
17,2,0,82.734,82.755,82.734,82.436
18,2,0,82.734,82.755,82.734,82.436
19,2,0,82.734,82.755,82.734,82.436
20,2,0,82.734,82.755,82.734,82.436
21,2,0,82.734,82.755,82.734,82.436
22,2,0,82.734,82.755,82.734,82.436
23,2,0,82.734,82.755,82.734,82.436
24,2,0,82.734,82.755,82.734,82.436
25,2,0,83.453,83.573,83.453,83.24
26,2,0,83.453,83.573,83.453,83.24
27,2,0,84.173,84.239,84.173,84.004
28,2,0,84.173,84.239,84.173,84.004
29,2,0,83.453,83.406,83.453,83.196
30,2,0,83.453,83.406,83.453,83.196
31,2,0,84.173,84.067,84.173,83.951
32,2,0,84.173,84.067,84.173,83.951
33,2,0,85.612,85.31,85.612,85.292
34,2,0,85.612,85.31,85.612,85.292
35,2,0,85.612,85.31,85.612,85.292
36,2,0,85.612,85.31,85.612,85.292
37,2,0,86.331,86.18,86.331,86.183
38,2,0,86.331,86.18,86.331,86.183
39,2,0,86.331,86.18,86.331,86.183
40,2,0,86.331,86.18,86.331,86.183
41,2,0,86.331,86.18,86.331,86.183
42,2,0,86.331,86.18,86.331,86.183
43,2,0,87.05,86.809,87.05,86.853
44,2,0,87.05,86.809,87.05,86.853
45,2,0,86.331,86.026,86.331,85.968
46,2,0,86.331,86.026,86.331,85.968
47,2,0,87.05,86.824,87.05,86.651
48,2,0,87.05,86.824,87.05,86.651
49,2,0,89.209,89.102,89.209,89.135
50,2,0,89.928,89.827,89.928,89.868
51,2,0,89.928,89.827,89.928,89.868
52,2,0,89.928,89.827,89.928,89.868
53,2,0,89.928,89.827,89.928,89.868
54,2,0,89.928,89.827,89.928,89.868
55,2,0,89.928,89.827,89.928,89.868
56,2,0,89.928,89.827,89.928,89.868
57,2,0,89.928,89.827,89.928,89.868
58,2,0,89.928,89.827,89.928,89.868
