iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,79.188,77.698,75.014
1,2,0,77.698,79.188,77.698,75.014
2,2,0,77.698,79.188,77.698,75.014
3,2,0,82.734,82.758,82.734,82.316
4,2,0,82.734,82.758,82.734,82.316
5,2,0,84.173,84.269,84.173,83.912
6,2,0,84.173,84.269,84.173,83.912
7,2,0,84.173,84.293,84.173,83.959
8,2,0,84.173,84.293,84.173,83.959
9,2,0,84.173,84.269,84.173,83.912
10,2,0,84.173,84.269,84.173,83.912
11,2,0,83.453,83.52,83.453,83.125
12,2,0,83.453,83.52,83.453,83.125
13,2,0,83.453,83.52,83.453,83.125
14,2,0,83.453,83.52,83.453,83.125
15,2,0,84.173,84.266,84.173,83.987
16,2,0,84.173,84.266,84.173,83.987
17,2,0,84.173,84.319,84.173,83.882
18,2,0,84.173,84.319,84.173,83.882
19,2,0,84.173,84.319,84.173,83.882
20,2,0,84.173,84.319,84.173,83.882
21,2,0,84.173,84.147,84.173,83.946
22,2,0,84.173,84.147,84.173,83.946
23,2,0,84.173,84.261,84.173,83.931
24,2,0,84.173,84.261,84.173,83.931
25,2,0,82.734,82.768,82.734,82.473
26,2,0,82.734,82.768,82.734,82.473
27,2,0,82.734,82.861,82.734,82.358
28,2,0,82.734,82.861,82.734,82.358
29,2,0,82.014,81.922,82.014,81.695
30,2,0,82.014,81.922,82.014,81.695
31,2,0,82.734,82.664,82.734,82.398
32,2,0,82.734,82.664,82.734,82.398
33,2,0,83.453,83.605,83.453,83.451
34,2,0,83.453,83.605,83.453,83.451
35,2,0,87.05,87.6,87.05,87.21
36,2,0,87.05,87.6,87.05,87.21
37,2,0,87.05,88.02,87.05,87.288
38,2,0,87.05,88.02,87.05,87.288
39,2,0,87.05,88.02,87.05,87.288
40,2,0,87.05,88.02,87.05,87.288
41,2,0,87.05,88.02,87.05,87.288
42,2,0,87.05,88.02,87.05,87.288
43,2,0,87.77,88.842,87.77,88.044
44,2,0,87.77,88.842,87.77,88.044
45,2,0,87.05,88.437,87.05,87.398
46,2,0,87.05,88.437,87.05,87.398
47,2,0,86.331,88.351,86.331,86.736
48,2,0,86.331,88.351,86.331,86.736
49,2,0,86.331,88.351,86.331,86.736
50,2,0,86.331,88.351,86.331,86.736
51,2,0,86.331,87.77,86.331,86.674
52,2,0,86.331,87.77,86.331,86.674
53,2,0,86.331,87.77,86.331,86.674
54,2,0,86.331,87.77,86.331,86.674
55,2,0,86.331,87.514,86.331,86.673
56,2,0,86.331,87.514,86.331,86.673
57,2,0,85.612,87.117,85.612,86.034
58,2,0,85.612,87.117,85.612,86.034
59,2,0,86.331,88.057,86.331,86.756
60,2,0,86.331,88.057,86.331,86.756
61,2,0,87.77,88.842,87.77,88.044
62,2,0,87.77,88.842,87.77,88.044
63,2,0,88.489,89.276,88.489,88.695
64,2,0,88.489,89.276,88.489,88.695
65,2,0,87.77,88.842,87.77,88.044
66,2,0,87.77,88.842,87.77,88.044
67,2,0,87.05,88.035,87.05,87.343
68,2,0,87.05,88.035,87.05,87.343
69,2,0,87.05,88.035,87.05,87.343
70,2,0,87.77,87.972,87.77,87.851
71,2,0,88.489,88.63,88.489,88.538
72,2,0,88.489,88.63,88.489,88.538
73,2,0,88.489,88.63,88.489,88.538
74,2,0,86.331,86.177,86.331,86.103
75,2,0,87.05,87.113,87.05,87.076
76,2,0,87.05,87.113,87.05,87.076
77,2,0,87.77,87.77,87.77,87.77
78,2,0,87.05,87.113,87.05,87.076
79,2,0,87.05,87.113,87.05,87.076
80,2,0,87.05,87.113,87.05,87.076
81,2,0,87.05,87.113,87.05,87.076
82,2,0,87.05,87.113,87.05,87.076
83,2,0,87.05,87.113,87.05,87.076
84,2,0,87.05,87.113,87.05,87.076
85,2,0,87.05,87.113,87.05,87.076
86,2,0,87.05,87.113,87.05,87.076
87,2,0,87.05,87.113,87.05,87.076
88,2,0,87.05,87.113,87.05,87.076
89,2,0,87.05,87.113,87.05,87.076
90,2,0,87.05,87.113,87.05,87.076
91,2,0,87.77,87.792,87.77,87.759
92,2,0,87.77,87.792,87.77,87.759
93,2,0,87.77,87.792,87.77,87.759
94,2,0,87.77,87.792,87.77,87.759
95,2,0,87.05,87.17,87.05,87.089
96,2,0,87.05,87.17,87.05,87.089
97,2,0,87.05,87.17,87.05,87.089
98,2,0,87.05,87.17,87.05,87.089
99,2,0,87.05,87.17,87.05,87.089
100,2,0,87.05,87.17,87.05,87.089
0,2,1,82.014,81.54,82.014,80.961
1,2,1,82.014,81.191,82.014,81.011
2,2,1,82.014,81.191,82.014,81.011
3,2,1,84.173,84.406,84.173,84.098
4,2,1,84.173,84.406,84.173,84.098
5,2,1,84.173,84.406,84.173,84.098
6,2,1,84.173,84.406,84.173,84.098
7,2,1,83.453,83.36,83.453,83.186
8,2,1,83.453,83.36,83.453,83.186
9,2,1,84.173,83.598,84.173,83.532
10,2,1,84.173,83.598,84.173,83.532
11,2,1,84.173,84.724,84.173,84.271
12,2,1,82.734,82.944,82.734,82.367
13,2,1,82.014,81.921,82.014,81.441
14,2,1,82.014,81.921,82.014,81.441
15,2,1,80.576,82.578,80.576,81.178
16,2,1,80.576,82.578,80.576,81.178
17,2,1,80.576,83.896,80.576,81.676
18,2,1,80.576,83.896,80.576,81.676
19,2,1,79.137,85.379,79.137,81.157
20,2,1,79.137,85.379,79.137,81.157
21,2,1,80.576,89.278,80.576,83.154
22,2,1,80.576,89.278,80.576,83.154
23,2,1,80.576,87.814,80.576,82.632
24,2,1,80.576,87.814,80.576,82.632
25,2,1,80.576,89.278,80.576,83.154
26,2,1,80.576,89.278,80.576,83.154
27,2,1,77.698,89.608,77.698,81.28
28,2,1,77.698,89.608,77.698,81.28
29,2,1,78.417,89.746,78.417,81.805
30,2,1,75.54,86.808,75.54,78.858
31,2,1,72.662,86.288,72.662,76.689
32,2,1,72.662,86.288,72.662,76.689
33,2,1,73.381,86.41,73.381,77.229
34,2,1,73.381,86.41,73.381,77.229
35,2,1,74.82,87.47,74.82,78.55
36,2,1,74.82,87.47,74.82,78.55
37,2,1,74.101,87.481,74.101,77.98
38,2,1,74.101,87.481,74.101,77.98
39,2,1,74.82,87.61,74.82,78.502
40,2,1,74.82,87.61,74.82,78.502
41,2,1,73.381,85.99,73.381,76.809
42,2,1,73.381,85.99,73.381,76.809
43,2,1,74.101,87.481,74.101,77.98
44,2,1,74.101,87.481,74.101,77.98
45,2,1,74.82,87.61,74.82,78.502
46,2,1,74.82,87.61,74.82,78.502
47,2,1,77.698,90.292,77.698,81.507
48,2,1,77.698,90.292,77.698,81.507
49,2,1,74.101,88.999,74.101,78.589
50,2,1,74.101,88.999,74.101,78.589
