iter,step,fold,acc,prec,rec,f1score
0,2,0,88.489,87.856,88.489,87.063
1,2,0,89.209,90.472,89.209,87.699
2,2,0,85.612,85.217,85.612,83.565
3,2,0,86.331,86.08,86.331,85.048
4,2,0,86.331,85.759,86.331,84.262
5,2,0,85.612,84.512,85.612,83.648
6,2,0,89.209,89.691,89.209,88.066
7,2,0,88.489,88.295,88.489,87.36
8,2,0,89.209,89.057,89.209,88.309
9,2,0,87.05,86.237,87.05,85.697
10,2,0,89.928,89.94,89.928,88.702
11,2,0,87.77,87.759,87.77,85.947
12,2,0,88.489,88.194,88.489,87.605
13,2,0,87.05,86.638,87.05,85.934
14,2,0,86.331,85.915,86.331,84.607
15,2,0,87.05,86.366,87.05,85.292
16,2,0,88.489,88.651,88.489,87.575
17,2,0,85.612,87.583,85.612,83.458
18,2,0,85.612,86.157,85.612,84.206
19,2,0,87.05,86.936,87.05,85.667
20,2,0,87.77,87.837,87.77,85.932
21,2,0,87.77,87.545,87.77,86.625
22,2,0,87.77,87.23,87.77,86.331
23,2,0,87.77,87.49,87.77,86.913
24,2,0,89.209,89.388,89.209,88.01
25,2,0,89.928,90.108,89.928,88.729
26,2,0,87.77,88.111,87.77,85.983
27,2,0,87.77,88.111,87.77,85.983
28,2,0,87.05,87.376,87.05,85.256
29,2,0,87.77,89.292,87.77,85.481
30,2,0,87.77,87.475,87.77,86.885
31,2,0,86.331,85.745,86.331,84.625
32,2,0,88.489,88.759,88.489,87.338
33,2,0,86.331,85.723,86.331,84.653
34,2,0,87.05,85.907,87.05,85.387
35,2,0,87.77,88.094,87.77,86.303
36,2,0,85.612,85.73,85.612,83.451
37,2,0,84.892,84.09,84.892,82.859
38,2,0,86.331,85.759,86.331,84.262
39,2,0,88.489,87.95,88.489,87.05
40,2,0,86.331,86.058,86.331,84.683
41,2,0,87.05,86.615,87.05,85.375
42,2,0,87.05,86.495,87.05,85.311
43,2,0,84.892,84.208,84.892,82.88
44,2,0,85.612,84.307,85.612,84.102
45,2,0,87.05,86.478,87.05,86.004
46,2,0,88.489,88.685,88.489,87.004
47,2,0,87.05,86.611,87.05,85.619
48,2,0,86.331,85.417,86.331,84.238
49,2,0,84.892,83.813,84.892,83.309
50,2,0,84.892,83.42,84.892,82.948
0,2,1,89.928,87.594,89.928,87.7
1,2,1,89.209,87.0,89.209,87.021
2,2,1,90.647,90.083,90.647,89.532
3,2,1,89.209,88.157,89.209,87.609
4,2,1,89.928,90.672,89.928,87.495
5,2,1,89.928,88.794,89.928,88.328
6,2,1,89.209,86.396,89.209,87.221
7,2,1,89.209,89.825,89.209,87.499
8,2,1,89.928,89.265,89.928,88.849
9,2,1,89.928,90.672,89.928,87.495
10,2,1,89.209,89.99,89.209,87.478
11,2,1,89.209,88.004,89.209,87.604
12,2,1,89.928,88.716,89.928,88.355
13,2,1,90.647,91.26,90.647,88.874
14,2,1,89.209,88.055,89.209,87.668
15,2,1,87.77,84.958,87.77,85.837
16,2,1,89.209,89.894,89.209,86.774
17,2,1,87.77,84.943,87.77,86.053
18,2,1,89.209,87.437,89.209,87.806
19,2,1,88.489,87.307,88.489,87.696
20,2,1,89.928,88.73,89.928,88.349
21,2,1,88.489,87.437,88.489,87.494
22,2,1,89.209,88.109,89.209,88.224
23,2,1,89.928,88.843,89.928,88.95
24,2,1,90.647,89.408,90.647,89.06
25,2,1,89.209,87.461,89.209,87.8
26,2,1,91.367,90.792,91.367,90.71
27,2,1,91.367,90.668,91.367,90.723
28,2,1,90.647,88.529,90.647,88.423
29,2,1,89.928,89.179,89.928,89.281
30,2,1,89.928,88.723,89.928,88.324
31,2,1,89.928,88.723,89.928,88.324
32,2,1,89.209,87.526,89.209,87.805
33,2,1,89.928,89.31,89.928,88.979
34,2,1,92.086,91.694,92.086,91.298
35,2,1,87.77,85.114,87.77,85.822
36,2,1,89.209,87.174,89.209,86.973
37,2,1,89.928,89.322,89.928,88.363
38,2,1,91.367,91.926,91.367,90.162
39,2,1,89.928,89.046,89.928,89.251
40,2,1,89.928,88.875,89.928,88.37
41,2,1,89.209,87.018,89.209,86.994
42,2,1,89.928,89.211,89.928,89.066
43,2,1,88.489,85.77,88.489,86.455
44,2,1,89.209,88.195,89.209,88.13
45,2,1,90.647,89.609,90.647,89.611
46,2,1,89.928,89.15,89.928,88.899
47,2,1,89.209,87.536,89.209,87.919
48,2,1,89.209,87.174,89.209,86.973
49,2,1,89.928,88.305,89.928,88.465
50,2,1,89.928,88.186,89.928,88.493
0,2,2,84.892,82.638,84.892,82.853
1,2,2,84.173,81.945,84.173,82.312
2,2,2,86.331,84.292,86.331,84.308
3,2,2,84.892,82.758,84.892,83.076
4,2,2,84.892,83.386,84.892,83.623
5,2,2,86.331,84.69,86.331,84.759
6,2,2,83.453,79.612,83.453,80.909
7,2,2,84.892,83.33,84.892,83.518
8,2,2,84.892,82.534,84.892,83.046
9,2,2,85.612,83.459,85.612,83.375
10,2,2,83.453,80.436,83.453,80.891
11,2,2,84.173,82.061,84.173,82.124
12,2,2,85.612,83.459,85.612,83.375
13,2,2,84.173,80.727,84.173,81.577
14,2,2,84.892,83.355,84.892,83.451
