iter,step,fold,acc,prec,rec,f1score
0,2,0,88.489,87.856,88.489,87.063
1,2,0,88.489,87.988,88.489,87.932
2,2,0,88.489,87.988,88.489,87.932
3,2,0,89.209,88.585,89.209,88.586
4,2,0,88.489,87.724,88.489,87.681
5,2,0,90.647,90.331,90.647,89.928
6,2,0,90.647,90.331,90.647,89.928
7,2,0,88.489,87.728,88.489,87.392
8,2,0,88.489,87.728,88.489,87.392
9,2,0,91.367,91.076,91.367,90.996
10,2,0,91.367,91.076,91.367,90.996
11,2,0,89.928,89.502,89.928,89.262
12,2,0,89.928,89.526,89.928,89.466
13,2,0,91.367,91.191,91.367,91.008
14,2,0,91.367,91.191,91.367,91.008
15,2,0,92.086,91.952,92.086,91.833
16,2,0,92.086,91.952,92.086,91.833
17,2,0,91.367,91.044,91.367,90.877
18,2,0,92.086,91.826,92.086,91.73
19,2,0,90.647,90.294,90.647,90.142
20,2,0,90.647,90.294,90.647,90.142
21,2,0,90.647,90.336,90.647,90.301
22,2,0,91.367,91.022,91.367,91.027
23,2,0,90.647,90.425,90.647,90.158
24,2,0,90.647,90.425,90.647,90.158
25,2,0,90.647,90.328,90.647,89.952
26,2,0,90.647,90.328,90.647,89.952
27,2,0,90.647,90.135,90.647,89.98
28,2,0,90.647,90.135,90.647,89.98
29,2,0,89.209,88.626,89.209,88.667
30,2,0,91.367,91.253,91.367,91.074
31,2,0,92.086,91.952,92.086,91.833
32,2,0,92.806,92.603,92.806,92.56
33,2,0,94.245,94.24,94.245,94.163
34,2,0,94.245,94.24,94.245,94.163
35,2,0,94.964,95.044,94.964,94.878
36,2,0,94.964,95.044,94.964,94.878
37,2,0,93.525,93.45,93.525,93.338
38,2,0,93.525,93.45,93.525,93.338
39,2,0,93.525,93.38,93.525,93.369
40,2,0,93.525,93.38,93.525,93.369
41,2,0,93.525,93.38,93.525,93.369
42,2,0,93.525,93.38,93.525,93.369
43,2,0,94.245,94.24,94.245,94.163
44,2,0,94.245,94.24,94.245,94.163
45,2,0,91.367,91.15,91.367,91.178
46,2,0,93.525,93.38,93.525,93.369
47,2,0,92.806,92.699,92.806,92.669
48,2,0,92.806,92.699,92.806,92.669
49,2,0,93.525,93.436,93.525,93.362
50,2,0,93.525,93.436,93.525,93.362
0,2,1,89.928,87.594,89.928,87.7
1,2,1,90.647,90.438,90.647,90.467
2,2,1,90.647,90.438,90.647,90.467
3,2,1,92.086,91.642,92.086,91.663
4,2,1,89.928,89.639,89.928,89.71
5,2,1,92.806,92.536,92.806,92.602
6,2,1,92.806,92.536,92.806,92.602
7,2,1,92.806,93.181,92.806,91.576
8,2,1,93.525,93.022,93.525,92.742
9,2,1,93.525,93.226,93.525,93.054
10,2,1,93.525,93.226,93.525,93.054
11,2,1,94.964,95.015,94.964,94.907
12,2,1,93.525,93.237,93.525,93.313
13,2,1,95.683,95.681,95.683,95.632
14,2,1,95.683,95.681,95.683,95.632
15,2,1,94.245,94.409,94.245,94.299
16,2,1,95.683,95.752,95.683,95.632
17,2,1,97.122,97.176,97.122,97.126
18,2,1,97.122,97.176,97.122,97.126
19,2,1,95.683,95.555,95.683,95.526
20,2,1,95.683,95.555,95.683,95.526
21,2,1,95.683,95.79,95.683,95.527
22,2,1,96.403,96.529,96.403,96.238
23,2,1,95.683,95.79,95.683,95.527
24,2,1,96.403,96.529,96.403,96.238
25,2,1,96.403,96.483,96.403,96.233
26,2,1,96.403,96.483,96.403,96.233
27,2,1,95.683,95.752,95.683,95.632
28,2,1,96.403,96.374,96.403,96.338
29,2,1,97.842,97.925,97.842,97.851
30,2,1,97.842,97.846,97.842,97.838
31,2,1,98.561,98.597,98.561,98.556
32,2,1,98.561,98.597,98.561,98.556
33,2,1,97.122,97.126,97.122,97.118
34,2,1,97.122,97.126,97.122,97.118
35,2,1,96.403,96.525,96.403,96.409
36,2,1,96.403,96.525,96.403,96.409
37,2,1,96.403,96.33,96.403,96.337
38,2,1,96.403,96.33,96.403,96.337
39,2,1,97.842,97.869,97.842,97.833
40,2,1,97.842,97.869,97.842,97.833
41,2,1,97.122,97.333,97.122,97.159
42,2,1,97.122,97.333,97.122,97.159
43,2,1,97.842,97.943,97.842,97.835
44,2,1,97.842,97.943,97.842,97.835
45,2,1,97.842,97.943,97.842,97.835
46,2,1,97.842,97.943,97.842,97.835
47,2,1,97.122,97.333,97.122,97.159
48,2,1,97.842,97.893,97.842,97.848
49,2,1,97.842,97.893,97.842,97.848
50,2,1,97.842,97.893,97.842,97.848
0,2,2,84.892,82.638,84.892,82.853
1,2,2,86.331,85.368,86.331,85.277
2,2,2,87.77,86.524,87.77,86.584
3,2,2,86.331,85.01,86.331,85.344
4,2,2,87.05,85.903,87.05,85.856
5,2,2,85.612,84.617,85.612,84.397
6,2,2,89.209,88.879,89.209,88.563
7,2,2,85.612,85.048,85.612,84.729
8,2,2,88.489,87.913,88.489,87.896
9,2,2,84.892,84.343,84.892,84.423
10,2,2,87.77,87.54,87.77,87.606
11,2,2,85.612,85.274,85.612,85.399
12,2,2,86.331,86.135,86.331,86.144
13,2,2,87.05,86.83,87.05,86.891
14,2,2,87.05,86.83,87.05,86.891
15,2,2,88.489,88.518,88.489,88.081
16,2,2,88.489,88.518,88.489,88.081
17,2,2,89.928,89.562,89.928,89.521
18,2,2,89.928,89.484,89.928,89.541
19,2,2,89.209,88.991,89.209,88.975
20,2,2,87.77,87.511,87.77,87.409
21,2,2,88.489,88.092,88.489,88.23
22,2,2,88.489,88.092,88.489,88.23
23,2,2,89.928,89.462,89.928,89.585
24,2,2,89.928,89.462,89.928,89.585
25,2,2,89.209,88.701,89.209,88.595
26,2,2,89.209,88.701,89.209,88.595
27,2,2,91.367,91.417,91.367,91.212
28,2,2,91.367,91.236,91.367,90.873
29,2,2,89.928,89.693,89.928,89.678
30,2,2,89.928,89.693,89.928,89.678
31,2,2,89.928,89.693,89.928,89.678
32,2,2,89.928,89.693,89.928,89.678
33,2,2,89.928,89.827,89.928,89.76
34,2,2,87.77,87.399,87.77,87.541
