iter,step,fold,acc,prec,rec,f1score
0,2,0,88.489,87.856,88.489,87.063
1,2,0,88.489,87.856,88.489,87.063
2,2,0,88.489,87.856,88.489,87.063
3,2,0,88.489,87.856,88.489,87.063
4,2,0,88.489,87.856,88.489,87.063
5,2,0,88.489,87.856,88.489,87.063
6,2,0,88.489,87.856,88.489,87.063
7,2,0,88.489,87.856,88.489,87.063
8,2,0,89.209,89.208,89.209,87.688
9,2,0,89.209,89.208,89.209,87.688
10,2,0,89.209,89.208,89.209,87.688
11,2,0,89.209,89.208,89.209,87.688
12,2,0,89.209,89.208,89.209,87.688
13,2,0,89.209,89.208,89.209,87.688
14,2,0,89.209,89.208,89.209,87.688
15,2,0,89.209,89.208,89.209,87.688
16,2,0,89.209,89.208,89.209,87.688
17,2,0,89.209,89.208,89.209,87.688
18,2,0,89.209,89.208,89.209,87.688
19,2,0,89.209,89.208,89.209,87.688
20,2,0,89.209,89.208,89.209,87.688
21,2,0,89.209,89.208,89.209,87.688
22,2,0,89.209,89.208,89.209,87.688
23,2,0,89.209,89.208,89.209,87.688
24,2,0,89.209,89.208,89.209,87.688
25,2,0,89.209,89.208,89.209,87.688
26,2,0,89.209,89.208,89.209,87.688
27,2,0,89.209,89.208,89.209,87.688
28,2,0,89.209,89.208,89.209,87.688
29,2,0,89.209,89.208,89.209,87.688
30,2,0,89.209,89.208,89.209,87.688
31,2,0,89.209,89.208,89.209,87.688
32,2,0,89.209,89.208,89.209,87.688
33,2,0,89.209,89.208,89.209,87.688
34,2,0,89.209,89.208,89.209,87.688
35,2,0,89.209,89.208,89.209,87.688
36,2,0,89.209,89.208,89.209,87.688
37,2,0,89.209,89.208,89.209,87.688
38,2,0,89.209,89.208,89.209,87.688
39,2,0,89.209,89.208,89.209,87.688
40,2,0,89.209,89.208,89.209,87.688
41,2,0,89.209,89.208,89.209,87.688
42,2,0,89.209,89.208,89.209,87.688
43,2,0,89.209,89.208,89.209,87.688
44,2,0,89.209,89.208,89.209,87.688
45,2,0,89.209,89.208,89.209,87.688
46,2,0,89.209,89.208,89.209,87.688
47,2,0,89.209,89.208,89.209,87.688
48,2,0,89.209,89.208,89.209,87.688
49,2,0,88.489,88.542,88.489,86.645
50,2,0,88.489,88.542,88.489,86.645
0,2,1,89.928,87.594,89.928,87.7
1,2,1,89.928,87.594,89.928,87.7
2,2,1,90.647,89.512,90.647,89.669
3,2,1,90.647,89.512,90.647,89.669
4,2,1,90.647,89.512,90.647,89.669
5,2,1,90.647,89.512,90.647,89.669
6,2,1,90.647,89.512,90.647,89.669
7,2,1,87.77,85.097,87.77,86.016
8,2,1,87.77,85.097,87.77,86.016
9,2,1,90.647,88.937,90.647,89.189
10,2,1,90.647,88.937,90.647,89.189
11,2,1,90.647,88.937,90.647,89.189
12,2,1,90.647,88.937,90.647,89.189
13,2,1,90.647,88.937,90.647,89.189
14,2,1,90.647,88.937,90.647,89.189
15,2,1,90.647,88.937,90.647,89.189
16,2,1,90.647,88.937,90.647,89.189
17,2,1,90.647,88.937,90.647,89.189
18,2,1,90.647,88.937,90.647,89.189
19,2,1,90.647,88.937,90.647,89.189
20,2,1,90.647,88.937,90.647,89.189
21,2,1,90.647,88.937,90.647,89.189
22,2,1,90.647,88.937,90.647,89.189
23,2,1,90.647,88.937,90.647,89.189
24,2,1,90.647,88.937,90.647,89.189
25,2,1,90.647,88.937,90.647,89.189
26,2,1,90.647,88.937,90.647,89.189
27,2,1,90.647,88.937,90.647,89.189
28,2,1,90.647,88.937,90.647,89.189
29,2,1,90.647,88.937,90.647,89.189
30,2,1,90.647,88.937,90.647,89.189
31,2,1,90.647,88.937,90.647,89.189
32,2,1,90.647,88.937,90.647,89.189
33,2,1,90.647,88.937,90.647,89.189
34,2,1,90.647,88.937,90.647,89.189
35,2,1,90.647,88.937,90.647,89.189
