iter,step,fold,acc,prec,rec,f1score
0,2,0,88.489,87.856,88.489,87.063
1,2,0,88.489,89.81,88.489,86.604
2,2,0,88.489,89.81,88.489,86.604
3,2,0,87.05,87.558,87.05,85.29
4,2,0,84.173,83.986,84.173,81.792
5,2,0,84.892,84.482,84.892,82.487
6,2,0,88.489,88.845,88.489,86.71
7,2,0,87.05,88.955,87.05,84.335
8,2,0,87.77,87.899,87.77,85.569
9,2,0,87.05,87.05,87.05,84.409
10,2,0,87.05,87.05,87.05,84.826
11,2,0,89.209,90.249,89.209,87.656
12,2,0,87.05,88.472,87.05,84.775
13,2,0,88.489,89.705,88.489,86.583
14,2,0,89.209,90.515,89.209,87.316
15,2,0,87.77,89.174,87.77,85.456
16,2,0,87.05,88.842,87.05,83.714
17,2,0,86.331,88.116,86.331,83.027
18,2,0,88.489,89.865,88.489,86.161
19,2,0,87.05,88.627,87.05,84.285
20,2,0,87.05,88.955,87.05,84.335
21,2,0,87.77,89.492,87.77,85.008
22,2,0,86.331,88.293,86.331,83.042
23,2,0,87.05,88.656,87.05,84.268
24,2,0,87.77,89.347,87.77,84.973
25,2,0,87.77,89.347,87.77,84.973
26,2,0,86.331,88.293,86.331,83.042
27,2,0,87.77,89.15,87.77,85.474
28,2,0,88.489,89.771,88.489,86.141
29,2,0,88.489,89.771,88.489,86.141
30,2,0,87.05,88.627,87.05,84.285
31,2,0,88.489,89.865,88.489,86.161
32,2,0,87.77,89.241,87.77,84.948
33,2,0,88.489,89.865,88.489,86.161
34,2,0,87.77,89.094,87.77,85.443
35,2,0,88.489,89.635,88.489,86.59
36,2,0,88.489,89.686,88.489,86.6
37,2,0,87.77,89.15,87.77,85.474
38,2,0,87.77,89.085,87.77,85.459
39,2,0,87.05,88.627,87.05,84.285
40,2,0,87.77,89.085,87.77,85.459
41,2,0,88.489,89.771,88.489,86.141
42,2,0,90.647,91.59,90.647,89.405
43,2,0,91.367,92.148,91.367,90.382
44,2,0,92.086,92.824,92.086,91.342
45,2,0,92.086,92.72,92.086,91.32
46,2,0,90.647,90.796,90.647,89.694
47,2,0,92.086,92.157,92.086,91.52
48,2,0,90.647,91.445,90.647,89.377
49,2,0,90.647,91.498,90.647,89.385
50,2,0,91.367,92.033,91.367,90.369
0,2,1,89.928,87.594,89.928,87.7
1,2,1,88.489,86.736,88.489,87.298
2,2,1,90.647,89.986,90.647,89.483
3,2,1,89.209,87.404,89.209,87.991
4,2,1,90.647,91.305,90.647,88.199
5,2,1,91.367,91.969,91.367,89.624
6,2,1,91.367,91.994,91.367,89.6
7,2,1,91.367,91.994,91.367,89.6
8,2,1,91.367,90.245,91.367,90.369
9,2,1,89.928,89.325,89.928,88.833
10,2,1,89.928,88.718,89.928,89.121
11,2,1,91.367,90.066,91.367,89.735
12,2,1,90.647,89.595,90.647,89.65
13,2,1,91.367,90.103,91.367,89.732
14,2,1,89.928,88.735,89.928,89.097
15,2,1,90.647,89.928,90.647,89.521
16,2,1,89.928,89.317,89.928,89.574
17,2,1,89.928,88.854,89.928,89.298
18,2,1,92.086,91.318,92.086,90.962
19,2,1,90.647,89.419,90.647,89.069
20,2,1,91.367,91.902,91.367,89.589
21,2,1,90.647,89.408,90.647,89.06
22,2,1,91.367,90.099,91.367,89.768
23,2,1,92.806,93.223,92.806,91.009
24,2,1,92.086,92.482,92.086,90.864
25,2,1,91.367,91.862,91.367,89.61
26,2,1,93.525,93.834,93.525,92.68
27,2,1,92.806,93.22,92.806,91.558
28,2,1,92.086,91.484,92.086,90.95
29,2,1,93.525,93.756,93.525,93.004
30,2,1,92.086,92.501,92.086,90.862
31,2,1,92.806,93.165,92.806,91.987
32,2,1,92.806,93.312,92.806,91.572
33,2,1,95.683,95.795,95.683,95.511
34,2,1,92.086,92.501,92.086,90.862
35,2,1,92.086,92.501,92.086,90.862
36,2,1,94.964,95.112,94.964,94.656
37,2,1,94.245,94.46,94.245,93.721
38,2,1,94.245,94.461,94.245,93.701
39,2,1,95.683,95.805,95.683,95.362
40,2,1,94.245,94.498,94.245,93.735
41,2,1,94.245,94.503,94.245,93.393
42,2,1,95.683,95.824,95.683,95.36
43,2,1,95.683,95.824,95.683,95.36
44,2,1,96.403,96.529,96.403,96.238
45,2,1,95.683,95.819,95.683,95.37
46,2,1,95.683,95.824,95.683,95.36
47,2,1,94.245,94.494,94.245,93.397
48,2,1,94.245,94.503,94.245,93.393
49,2,1,94.964,95.181,94.964,94.42
50,2,1,95.683,95.824,95.683,95.36
0,2,2,84.892,82.638,84.892,82.853
1,2,2,84.892,83.595,84.892,83.48
2,2,2,86.331,84.067,86.331,84.094
3,2,2,84.173,81.738,84.173,82.29
4,2,2,84.892,82.534,84.892,83.046
5,2,2,85.612,82.081,85.612,83.047
6,2,2,84.173,81.572,84.173,81.444
7,2,2,84.892,83.167,84.892,81.947
8,2,2,82.734,80.251,82.734,80.214
9,2,2,84.892,84.128,84.892,82.521
10,2,2,87.05,85.546,87.05,85.32
11,2,2,85.612,82.386,85.612,83.031
12,2,2,84.892,84.301,84.892,83.484
13,2,2,84.892,84.908,84.892,83.403
14,2,2,83.453,81.547,83.453,80.703
15,2,2,84.173,83.168,84.173,81.956
16,2,2,86.331,85.944,86.331,84.674
17,2,2,82.734,79.96,82.734,80.068
18,2,2,84.892,81.859,84.892,82.312
19,2,2,84.173,83.597,84.173,82.544
20,2,2,82.734,79.604,82.734,80.12
21,2,2,85.612,83.479,85.612,83.544
22,2,2,87.05,85.601,87.05,85.643
23,2,2,86.331,85.668,86.331,85.235
24,2,2,88.489,88.847,88.489,87.15
25,2,2,87.77,87.066,87.77,86.436
26,2,2,85.612,84.536,85.612,83.82
27,2,2,87.05,86.75,87.05,85.742
28,2,2,87.77,87.584,87.77,87.134
29,2,2,87.77,87.205,87.77,86.619
30,2,2,86.331,84.929,86.331,84.721
31,2,2,87.77,88.794,87.77,87.576
32,2,2,87.77,86.857,87.77,86.468
33,2,2,89.928,89.431,89.928,88.961
34,2,2,85.612,85.543,85.612,84.826
35,2,2,86.331,86.612,86.331,85.974
36,2,2,87.05,86.86,87.05,86.499
37,2,2,88.489,88.519,88.489,87.947
38,2,2,88.489,88.155,88.489,87.873
39,2,2,88.489,87.655,88.489,87.161
40,2,2,88.489,87.683,88.489,87.69
41,2,2,88.489,86.696,88.489,86.898
42,2,2,89.209,88.563,89.209,88.331
43,2,2,87.77,87.424,87.77,86.814
44,2,2,88.489,88.018,88.489,87.539
45,2,2,87.05,86.783,87.05,86.2
46,2,2,87.05,86.783,87.05,86.2
47,2,2,87.77,87.424,87.77,86.814
48,2,2,87.77,87.688,87.77,86.906
49,2,2,89.928,90.217,89.928,88.932
50,2,2,87.77,87.565,87.77,87.009
0,5,0,88.489,87.856,88.489,87.063
