iter,step,fold,acc,prec,rec,f1score
0,2,0,62.59,58.987,62.59,59.239
1,2,0,63.309,59.67,63.309,60.035
2,2,0,64.029,60.415,64.029,60.653
3,2,0,64.029,60.415,64.029,60.653
4,2,0,63.309,58.343,63.309,59.396
5,2,0,63.309,58.343,63.309,59.396
6,2,0,63.309,58.343,63.309,59.396
7,2,0,63.309,58.343,63.309,59.396
8,2,0,64.748,60.019,64.748,60.815
9,2,0,64.029,59.225,64.029,60.188
10,2,0,64.748,59.984,64.748,60.778
11,2,0,64.748,59.984,64.748,60.778
12,2,0,64.748,59.77,64.748,60.77
13,2,0,64.748,59.77,64.748,60.77
14,2,0,64.748,59.77,64.748,60.77
15,2,0,61.871,56.873,61.871,58.282
16,2,0,61.871,56.873,61.871,58.282
17,2,0,63.309,59.865,63.309,60.331
18,2,0,61.871,58.613,61.871,59.073
19,2,0,61.871,58.613,61.871,59.073
20,2,0,61.871,57.253,61.871,58.218
21,2,0,62.59,57.926,62.59,58.953
22,2,0,62.59,57.926,62.59,58.953
23,2,0,62.59,57.926,62.59,58.953
24,2,0,62.59,57.926,62.59,58.953
25,2,0,61.151,56.378,61.151,57.85
26,2,0,61.151,56.378,61.151,57.85
27,2,0,61.151,56.378,61.151,57.85
28,2,0,61.871,57.057,61.871,58.573
29,2,0,61.871,57.07,61.871,58.598
30,2,0,61.151,56.478,61.151,57.958
31,2,0,62.59,59.948,62.59,59.749
32,2,0,62.59,59.948,62.59,59.749
33,2,0,62.59,59.408,62.59,59.9
34,2,0,63.309,60.549,63.309,60.386
35,2,0,63.309,60.549,63.309,60.386
36,2,0,63.309,60.48,63.309,60.292
37,2,0,63.309,60.48,63.309,60.292
38,2,0,64.748,61.751,64.748,61.554
39,2,0,64.748,61.751,64.748,61.554
40,2,0,63.309,59.952,63.309,60.422
41,2,0,64.748,61.36,64.748,61.686
42,2,0,64.029,60.675,64.029,61.047
43,2,0,64.748,61.36,64.748,61.686
44,2,0,64.029,60.675,64.029,61.047
45,2,0,63.309,60.007,63.309,60.408
46,2,0,62.59,59.353,62.59,59.768
47,2,0,61.871,58.68,61.871,59.031
48,2,0,61.871,59.26,61.871,58.891
49,2,0,61.871,59.26,61.871,58.891
50,2,0,62.59,59.922,62.59,59.526
0,2,1,62.59,62.593,62.59,61.631
1,2,1,62.59,62.593,62.59,61.631
2,2,1,62.59,62.593,62.59,61.631
3,2,1,61.151,61.464,61.151,60.364
4,2,1,62.59,62.717,62.59,61.704
5,2,1,63.309,63.299,63.309,62.343
6,2,1,63.309,62.11,63.309,62.527
7,2,1,63.309,62.11,63.309,62.527
8,2,1,63.309,62.11,63.309,62.527
9,2,1,64.029,62.892,64.029,63.299
10,2,1,64.029,62.892,64.029,63.299
11,2,1,63.309,62.343,63.309,62.745
12,2,1,63.309,62.343,63.309,62.745
13,2,1,60.432,59.189,60.432,59.612
14,2,1,60.432,59.189,60.432,59.612
15,2,1,60.432,59.189,60.432,59.612
16,2,1,61.871,60.81,61.871,61.239
17,2,1,62.59,61.44,62.59,61.887
18,2,1,63.309,61.955,63.309,62.378
19,2,1,63.309,61.955,63.309,62.378
20,2,1,62.59,61.163,62.59,61.569
21,2,1,61.871,60.364,61.871,60.751
22,2,1,61.871,60.364,61.871,60.751
23,2,1,62.59,61.055,62.59,61.38
24,2,1,62.59,61.055,62.59,61.38
25,2,1,61.871,60.643,61.871,61.096
26,2,1,61.151,60.21,61.151,60.604
27,2,1,61.151,60.21,61.151,60.604
28,2,1,61.151,60.21,61.151,60.604
29,2,1,61.151,60.21,61.151,60.604
30,2,1,61.871,60.842,61.871,61.248
31,2,1,58.273,57.791,58.273,58.009
32,2,1,57.554,57.24,57.554,57.391
33,2,1,57.554,57.457,57.554,57.493
34,2,1,57.554,57.457,57.554,57.493
35,2,1,57.554,57.457,57.554,57.493
36,2,1,58.273,58.515,58.273,58.321
37,2,1,58.273,58.515,58.273,58.321
38,2,1,58.273,58.515,58.273,58.321
39,2,1,58.273,58.515,58.273,58.321
40,2,1,58.273,58.515,58.273,58.321
41,2,1,58.273,58.515,58.273,58.321
42,2,1,57.554,57.932,57.554,57.638
43,2,1,57.554,57.932,57.554,57.638
44,2,1,56.835,57.354,56.835,56.952
45,2,1,56.835,57.354,56.835,56.952
46,2,1,57.554,57.932,57.554,57.638
47,2,1,56.835,57.516,56.835,57.057
48,2,1,58.273,58.515,58.273,58.321
49,2,1,58.993,58.801,58.993,58.842
50,2,1,59.712,59.399,59.712,59.517
0,2,2,61.871,59.766,61.871,59.943
1,2,2,61.871,59.766,61.871,59.943
2,2,2,61.871,60.3,61.871,59.827
3,2,2,61.871,60.3,61.871,59.827
4,2,2,61.871,60.232,61.871,59.24
5,2,2,63.309,61.59,63.309,60.428
6,2,2,64.029,62.274,64.029,61.04
7,2,2,64.029,62.274,64.029,61.04
8,2,2,64.029,62.274,64.029,61.04
9,2,2,63.309,61.977,63.309,61.036
10,2,2,63.309,61.977,63.309,61.036
11,2,2,63.309,61.59,63.309,60.428
12,2,2,64.748,67.29,64.748,61.692
13,2,2,64.029,62.421,64.029,61.2
14,2,2,64.029,62.421,64.029,61.2
15,2,2,64.748,63.124,64.748,61.82
16,2,2,65.468,63.847,65.468,62.44
17,2,2,64.748,63.14,64.748,61.634
18,2,2,64.748,63.14,64.748,61.634
19,2,2,64.029,62.41,64.029,61.018
20,2,2,64.029,62.41,64.029,61.018
21,2,2,63.309,61.689,63.309,60.208
22,2,2,63.309,61.689,63.309,60.208
23,2,2,63.309,61.689,63.309,60.208
24,2,2,62.59,60.957,62.59,59.387
25,2,2,62.59,60.957,62.59,59.387
26,2,2,61.871,60.215,61.871,58.557
27,2,2,62.59,62.325,62.59,59.854
28,2,2,62.59,62.559,62.59,59.839
29,2,2,62.59,62.559,62.59,59.839
30,2,2,62.59,62.831,62.59,59.832
31,2,2,62.59,62.831,62.59,59.832
32,2,2,61.871,62.016,61.871,59.22
33,2,2,61.151,61.019,61.151,58.623
34,2,2,61.151,61.019,61.151,58.623
35,2,2,61.151,61.019,61.151,58.623
36,2,2,63.309,63.202,63.309,61.07
37,2,2,63.309,63.202,63.309,61.07
38,2,2,64.029,63.941,64.029,61.694
39,2,2,64.029,64.142,64.029,61.687
40,2,2,64.748,64.934,64.748,62.315
41,2,2,64.029,64.244,64.029,61.498
42,2,2,64.029,64.244,64.029,61.498
43,2,2,61.871,60.537,61.871,59.803
44,2,2,61.871,60.537,61.871,59.803
45,2,2,62.59,61.239,62.59,60.613
46,2,2,62.59,61.239,62.59,60.613
47,2,2,62.59,61.239,62.59,60.613
48,2,2,62.59,61.239,62.59,60.613
49,2,2,63.309,62.039,63.309,61.25
50,2,2,62.59,61.626,62.59,60.441
0,5,0,62.59,58.987,62.59,59.239
1,5,0,63.309,59.67,63.309,60.035
2,5,0,64.029,59.391,64.029,60.213
3,5,0,65.468,61.804,65.468,62.389
4,5,0,66.906,63.348,66.906,63.597
5,5,0,66.906,63.348,66.906,63.597
6,5,0,67.626,64.083,67.626,64.233
7,5,0,67.626,64.083,67.626,64.233
8,5,0,67.626,64.083,67.626,64.233
9,5,0,66.906,63.348,66.906,63.597
10,5,0,65.468,61.938,65.468,62.328
11,5,0,66.187,63.705,66.187,63.663
12,5,0,64.029,58.95,64.029,60.492
13,5,0,63.309,58.288,63.309,59.758
14,5,0,62.59,57.639,62.59,59.123
15,5,0,63.309,58.288,63.309,59.758
16,5,0,62.59,57.676,62.59,59.214
17,5,0,61.151,56.294,61.151,57.64
18,5,0,61.871,56.968,61.871,58.385
19,5,0,63.309,58.54,63.309,59.47
20,5,0,61.871,56.968,61.871,58.385
0,5,1,62.59,62.593,62.59,61.631
1,5,1,64.029,63.714,64.029,62.838
2,5,1,64.029,63.714,64.029,62.838
3,5,1,63.309,62.931,63.309,62.051
4,5,1,63.309,63.107,63.309,62.206
5,5,1,63.309,62.312,63.309,62.244
6,5,1,63.309,63.107,63.309,62.206
7,5,1,63.309,63.107,63.309,62.206
8,5,1,65.468,67.208,65.468,64.321
9,5,1,62.59,61.391,62.59,61.247
10,5,1,61.871,60.738,61.871,60.618
11,5,1,61.871,60.738,61.871,60.618
12,5,1,62.59,61.391,62.59,61.247
13,5,1,60.432,60.032,60.432,59.74
14,5,1,61.151,60.619,61.151,60.391
15,5,1,61.151,60.619,61.151,60.391
16,5,1,61.151,60.619,61.151,60.391
17,5,1,58.993,58.66,58.993,58.335
18,5,1,58.273,57.826,58.273,57.782
19,5,1,58.993,58.839,58.993,58.819
20,5,1,58.993,58.839,58.993,58.819
0,5,2,61.871,59.766,61.871,59.943
1,5,2,61.151,59.154,61.151,59.438
2,5,2,62.59,60.873,62.59,60.53
3,5,2,62.59,60.873,62.59,60.53
4,5,2,63.309,65.857,63.309,60.531
5,5,2,62.59,65.258,62.59,59.877
6,5,2,61.871,64.642,61.871,59.262
7,5,2,61.871,60.413,61.871,59.335
8,5,2,62.59,65.296,62.59,59.842
9,5,2,62.59,65.182,62.59,60.729
10,5,2,62.59,65.09,62.59,60.582
11,5,2,63.309,65.818,63.309,61.357
12,5,2,63.309,65.869,63.309,61.33
13,5,2,62.59,65.152,62.59,60.555
14,5,2,62.59,65.152,62.59,60.555
15,5,2,63.309,65.93,63.309,61.462
16,5,2,62.59,65.291,62.59,60.826
17,5,2,63.309,65.93,63.309,61.462
18,5,2,64.029,66.725,64.029,62.322
19,5,2,64.029,66.725,64.029,62.322
20,5,2,62.59,65.624,62.59,61.103
0,10,0,62.59,58.987,62.59,59.239
1,10,0,64.029,60.662,64.029,60.667
2,10,0,65.468,60.525,65.468,61.396
3,10,0,64.748,59.77,64.748,60.77
4,10,0,64.029,59.037,64.029,60.144
5,10,0,65.468,60.384,65.468,61.857
6,10,0,65.468,57.793,65.468,60.904
7,10,0,66.187,61.385,66.187,62.179
8,10,0,66.906,65.263,66.906,64.817
9,10,0,68.345,66.919,68.345,65.99
10,10,0,67.626,66.261,67.626,65.228
0,10,1,62.59,62.593,62.59,61.631
1,10,1,64.748,64.493,64.748,63.617
2,10,1,67.626,67.599,67.626,66.664
3,10,1,61.151,62.348,61.151,60.79
4,10,1,60.432,62.144,60.432,60.174
5,10,1,59.712,60.024,59.712,58.961
6,10,1,61.151,60.552,61.151,60.216
7,10,1,61.151,60.552,61.151,60.216
8,10,1,61.871,62.277,61.871,61.416
9,10,1,61.871,62.277,61.871,61.416
10,10,1,59.712,60.013,59.712,59.52
0,10,2,61.871,59.766,61.871,59.943
1,10,2,64.748,62.966,64.748,62.508
2,10,2,65.468,63.419,65.468,62.316
3,10,2,63.309,65.857,63.309,60.531
4,10,2,65.468,67.954,65.468,62.701
5,10,2,66.187,68.686,66.187,63.47
6,10,2,64.748,58.224,64.748,61.086
7,10,2,65.468,58.874,65.468,61.707
8,10,2,64.029,66.573,64.029,60.894
9,10,2,64.748,67.384,64.748,62.012
10,10,2,65.468,68.178,65.468,62.901
0,25,0,62.59,58.987,62.59,59.239
1,25,0,67.626,65.604,67.626,64.707
2,25,0,67.626,62.543,67.626,63.563
3,25,0,66.187,61.67,66.187,61.836
4,25,0,67.626,64.698,67.626,63.971
0,25,1,62.59,62.593,62.59,61.631
1,25,1,62.59,61.526,62.59,61.458
2,25,1,60.432,59.927,60.432,59.686
3,25,1,58.993,59.412,58.993,58.711
4,25,1,61.151,60.883,61.151,60.684
0,25,2,61.871,59.766,61.871,59.943
1,25,2,64.748,64.276,64.748,62.555
