iter,step,fold,acc,prec,rec,f1score
0,2,0,62.59,58.987,62.59,59.239
1,2,0,61.871,58.108,61.871,58.641
2,2,0,61.151,57.473,61.151,58.2
3,2,0,60.432,57.663,60.432,58.492
4,2,0,61.871,59.604,61.871,60.172
5,2,0,61.871,59.01,61.871,59.749
6,2,0,60.432,57.554,60.432,58.153
7,2,0,60.432,57.554,60.432,58.153
8,2,0,62.59,60.445,62.59,60.42
9,2,0,61.871,59.883,61.871,59.91
10,2,0,64.748,62.907,64.748,62.288
11,2,0,65.468,63.588,65.468,63.12
12,2,0,64.748,62.809,64.748,62.369
13,2,0,64.029,61.997,64.029,61.743
14,2,0,63.309,61.702,63.309,61.118
15,2,0,63.309,61.702,63.309,61.118
16,2,0,62.59,61.029,62.59,60.302
17,2,0,63.309,61.895,63.309,60.932
18,2,0,64.029,62.556,64.029,61.753
19,2,0,64.029,62.556,64.029,61.753
20,2,0,64.748,63.208,64.748,62.563
21,2,0,63.309,61.702,63.309,61.118
22,2,0,64.029,62.365,64.029,61.923
23,2,0,64.029,62.365,64.029,61.923
24,2,0,64.748,63.208,64.748,62.563
25,2,0,64.748,63.208,64.748,62.563
26,2,0,65.468,64.516,65.468,63.492
27,2,0,64.748,63.864,64.748,62.681
28,2,0,66.906,66.022,66.906,64.937
29,2,0,66.906,66.022,66.906,64.937
30,2,0,67.626,66.805,67.626,65.85
31,2,0,67.626,66.805,67.626,65.85
32,2,0,66.187,65.355,66.187,64.561
33,2,0,66.187,65.355,66.187,64.561
34,2,0,66.906,66.138,66.906,65.249
35,2,0,67.626,67.016,67.626,65.912
36,2,0,67.626,67.016,67.626,65.912
37,2,0,66.906,66.245,66.906,65.221
38,2,0,66.906,67.021,66.906,65.124
39,2,0,66.906,67.021,66.906,65.124
40,2,0,69.065,68.836,69.065,67.311
41,2,0,69.784,69.443,69.784,68.1
42,2,0,69.784,69.443,69.784,68.1
43,2,0,69.784,69.443,69.784,68.1
44,2,0,69.784,69.443,69.784,68.1
45,2,0,69.784,69.443,69.784,68.1
46,2,0,69.065,68.836,69.065,67.311
47,2,0,69.065,69.248,69.065,67.257
48,2,0,69.784,69.847,69.784,68.043
49,2,0,69.784,69.847,69.784,68.043
50,2,0,69.065,68.979,69.065,67.389
0,2,1,62.59,62.593,62.59,61.631
