iter,step,fold,acc,prec,rec,f1score
0,2,0,62.59,58.987,62.59,59.239
1,2,0,61.871,58.108,61.871,58.641
2,2,0,62.59,59.874,62.59,59.128
3,2,0,62.59,59.247,62.59,59.423
4,2,0,64.748,60.981,64.748,61.733
5,2,0,64.748,61.994,64.748,62.409
6,2,0,64.029,60.685,64.029,61.13
7,2,0,64.029,60.685,64.029,61.13
8,2,0,65.468,62.504,65.468,62.087
9,2,0,66.187,63.121,66.187,62.857
10,2,0,66.906,65.461,66.906,64.563
11,2,0,66.906,65.461,66.906,64.563
12,2,0,66.906,65.461,66.906,64.563
13,2,0,66.906,65.461,66.906,64.563
14,2,0,68.345,68.25,68.345,66.829
15,2,0,68.345,68.25,68.345,66.829
16,2,0,69.784,70.048,69.784,68.572
17,2,0,69.065,69.426,69.065,67.771
18,2,0,69.784,70.36,69.784,68.424
19,2,0,71.942,73.027,71.942,70.761
20,2,0,71.223,72.072,71.223,70.102
21,2,0,71.942,73.074,71.942,70.73
22,2,0,71.942,72.673,71.942,70.897
23,2,0,71.942,72.673,71.942,70.897
24,2,0,71.223,72.072,71.223,70.102
25,2,0,70.504,71.467,70.504,69.296
26,2,0,71.942,72.776,71.942,70.869
27,2,0,71.942,72.776,71.942,70.869
28,2,0,71.223,71.759,71.223,69.935
29,2,0,71.223,71.759,71.223,69.935
30,2,0,71.223,72.268,71.223,69.592
31,2,0,71.223,72.268,71.223,69.592
32,2,0,71.942,72.882,71.942,70.37
33,2,0,71.942,72.882,71.942,70.37
34,2,0,71.942,72.882,71.942,70.37
35,2,0,71.942,72.882,71.942,70.37
36,2,0,72.662,73.178,72.662,71.215
37,2,0,72.662,73.831,72.662,71.213
38,2,0,71.223,73.04,71.223,69.94
39,2,0,71.223,73.04,71.223,69.94
40,2,0,69.784,71.905,69.784,68.328
41,2,0,69.784,71.905,69.784,68.328
42,2,0,70.504,72.517,70.504,69.095
43,2,0,69.784,70.881,69.784,68.319
44,2,0,69.784,70.881,69.784,68.319
45,2,0,71.223,72.06,71.223,70.169
46,2,0,71.223,72.06,71.223,70.169
47,2,0,71.223,72.06,71.223,70.169
48,2,0,70.504,71.336,70.504,69.194
49,2,0,70.504,71.336,70.504,69.194
50,2,0,69.784,70.707,69.784,68.437
0,2,1,62.59,62.593,62.59,61.631
