iter,step,fold,acc,prec,rec,f1score
0,2,0,76.259,76.431,76.259,75.969
1,2,0,76.259,77.054,76.259,76.266
2,2,0,77.698,77.449,77.698,77.508
3,2,0,79.137,78.708,79.137,78.778
4,2,0,79.137,79.007,79.137,78.726
5,2,0,79.137,78.652,79.137,78.694
6,2,0,78.417,78.62,78.417,78.5
7,2,0,79.856,80.09,79.856,79.931
8,2,0,77.698,77.962,77.698,77.486
9,2,0,78.417,78.682,78.417,78.206
10,2,0,79.137,79.092,79.137,79.03
11,2,0,81.295,82.215,81.295,81.598
12,2,0,76.978,76.911,76.978,76.898
13,2,0,76.978,76.683,76.978,76.766
14,2,0,77.698,79.284,77.698,78.197
15,2,0,78.417,80.257,78.417,78.902
16,2,0,82.734,84.021,82.734,83.015
17,2,0,82.014,83.319,82.014,82.271
18,2,0,80.576,81.759,80.576,80.778
19,2,0,80.576,81.612,80.576,80.744
20,2,0,81.295,82.212,81.295,81.338
21,2,0,83.453,84.595,83.453,83.574
22,2,0,82.014,82.502,82.014,82.159
23,2,0,81.295,81.639,81.295,81.434
24,2,0,74.82,75.49,74.82,72.319
25,2,0,75.54,77.76,75.54,72.743
26,2,0,79.856,80.859,79.856,80.024
27,2,0,80.576,81.127,80.576,79.049
28,2,0,78.417,79.421,78.417,78.317
29,2,0,81.295,81.306,81.295,81.295
30,2,0,84.173,83.7,84.173,83.865
31,2,0,80.576,82.144,80.576,81.041
32,2,0,82.734,82.824,82.734,82.73
33,2,0,75.54,78.806,75.54,76.496
34,2,0,81.295,81.195,81.295,78.354
35,2,0,82.014,81.827,82.014,81.912
36,2,0,83.453,83.142,83.453,83.245
37,2,0,83.453,83.455,83.453,83.448
38,2,0,84.173,84.189,84.173,84.175
39,2,0,84.173,84.372,84.173,84.263
40,2,0,85.612,85.489,85.612,85.532
41,2,0,85.612,85.612,85.612,85.612
42,2,0,84.173,83.986,84.173,83.971
43,2,0,84.892,84.713,84.892,84.794
44,2,0,83.453,83.451,83.453,83.378
45,2,0,86.331,86.185,86.331,86.249
46,2,0,84.892,85.267,84.892,85.048
47,2,0,86.331,86.682,86.331,86.458
48,2,0,85.612,85.856,85.612,85.694
49,2,0,85.612,85.856,85.612,85.694
50,2,0,87.77,87.794,87.77,87.776
0,2,1,65.468,71.573,65.468,67.422
1,2,1,68.345,74.997,68.345,70.467
2,2,1,69.784,76.596,69.784,72.123
3,2,1,68.345,76.722,68.345,71.107
4,2,1,68.345,75.37,68.345,70.706
5,2,1,67.626,75.134,67.626,70.145
6,2,1,72.662,77.383,72.662,74.257
7,2,1,71.942,77.145,71.942,73.704
8,2,1,69.065,74.726,69.065,70.891
9,2,1,70.504,76.35,70.504,72.262
10,2,1,72.662,78.604,72.662,74.531
11,2,1,72.662,77.383,72.662,74.257
12,2,1,71.942,77.308,71.942,73.589
13,2,1,72.662,77.076,72.662,74.1
14,2,1,71.942,76.598,71.942,73.51
15,2,1,71.223,75.35,71.223,72.586
16,2,1,72.662,77.43,72.662,74.275
17,2,1,71.223,76.941,71.223,73.159
18,2,1,72.662,77.634,72.662,74.321
19,2,1,72.662,78.065,72.662,74.503
20,2,1,71.942,76.886,71.942,73.587
21,2,1,73.381,78.276,73.381,75.053
22,2,1,73.381,77.913,73.381,74.797
23,2,1,74.101,77.719,74.101,75.28
24,2,1,76.259,82.751,76.259,78.3
25,2,1,80.576,84.896,80.576,81.561
26,2,1,77.698,82.373,77.698,79.331
27,2,1,73.381,85.297,73.381,76.82
28,2,1,79.856,84.381,79.856,81.177
29,2,1,79.856,81.196,79.856,80.039
30,2,1,79.137,82.267,79.137,80.199
31,2,1,76.978,80.621,76.978,78.233
32,2,1,76.259,78.74,76.259,77.104
33,2,1,74.101,77.859,74.101,75.198
34,2,1,77.698,82.279,77.698,78.967
35,2,1,74.82,78.071,74.82,75.889
36,2,1,77.698,79.783,77.698,78.413
37,2,1,78.417,80.468,78.417,79.091
38,2,1,77.698,80.703,77.698,78.701
39,2,1,79.137,80.445,79.137,79.593
40,2,1,80.576,83.182,80.576,81.24
41,2,1,79.856,81.586,79.856,80.446
42,2,1,77.698,80.236,77.698,78.568
43,2,1,79.137,81.293,79.137,79.879
44,2,1,80.576,82.573,80.576,81.188
45,2,1,79.856,81.716,79.856,80.412
46,2,1,79.856,82.817,79.856,80.773
47,2,1,82.734,84.318,82.734,83.23
48,2,1,82.734,84.318,82.734,83.23
49,2,1,83.453,85.083,83.453,83.972
50,2,1,82.734,84.318,82.734,83.23
0,2,2,66.187,74.394,66.187,68.999
1,2,2,66.187,74.927,66.187,69.222
2,2,2,66.906,74.305,66.906,69.732
3,2,2,69.065,74.301,69.065,71.093
4,2,2,66.906,73.947,66.906,69.283
5,2,2,68.345,74.192,68.345,70.536
6,2,2,68.345,73.676,68.345,70.266
7,2,2,69.784,74.792,69.784,71.541
8,2,2,68.345,74.278,68.345,70.41
9,2,2,70.504,75.211,70.504,72.085
10,2,2,67.626,74.441,67.626,69.74
11,2,2,66.906,73.711,66.906,69.016
12,2,2,71.942,76.863,71.942,73.543
13,2,2,69.784,75.191,69.784,71.407
14,2,2,74.101,77.451,74.101,75.19
15,2,2,70.504,75.899,70.504,72.217
16,2,2,71.942,76.577,71.942,73.65
17,2,2,73.381,77.096,73.381,74.767
18,2,2,74.101,77.023,74.101,75.009
19,2,2,74.82,77.181,74.82,75.616
20,2,2,74.101,75.982,74.101,74.786
21,2,2,74.101,75.982,74.101,74.786
22,2,2,74.101,76.392,74.101,74.951
23,2,2,75.54,77.934,75.54,76.439
24,2,2,58.993,71.488,58.993,62.76
25,2,2,66.906,69.424,66.906,64.16
26,2,2,74.82,78.797,74.82,76.177
27,2,2,72.662,76.868,72.662,74.259
28,2,2,76.259,75.792,76.259,75.886
29,2,2,76.978,77.474,76.978,76.45
30,2,2,79.137,79.044,79.137,77.679
31,2,2,69.784,72.592,69.784,68.613
32,2,2,76.978,77.787,76.978,77.162
33,2,2,76.978,78.222,76.978,77.133
34,2,2,79.137,79.522,79.137,79.101
35,2,2,79.137,79.286,79.137,78.965
36,2,2,77.698,78.169,77.698,77.818
37,2,2,78.417,78.965,78.417,78.574
38,2,2,74.82,75.929,74.82,74.122
39,2,2,76.259,76.681,76.259,76.357
40,2,2,78.417,78.965,78.417,78.574
41,2,2,79.856,80.201,79.856,79.615
42,2,2,73.381,75.578,73.381,74.187
43,2,2,78.417,78.605,78.417,78.4
44,2,2,75.54,76.269,75.54,75.831
45,2,2,75.54,75.962,75.54,75.716
