iter,step,fold,acc,prec,rec,f1score
0,2,0,76.259,76.431,76.259,75.969
1,2,0,76.259,77.054,76.259,76.266
2,2,0,75.54,75.742,75.54,75.623
3,2,0,76.978,76.635,76.978,76.413
4,2,0,79.137,79.106,79.137,78.991
5,2,0,76.978,77.179,76.978,76.846
6,2,0,79.137,79.791,79.137,79.288
7,2,0,77.698,78.046,77.698,77.841
8,2,0,80.576,80.852,80.576,80.635
9,2,0,81.295,81.25,81.295,81.251
10,2,0,79.856,79.436,79.856,79.617
11,2,0,79.856,79.499,79.856,79.645
12,2,0,79.856,79.772,79.856,79.73
13,2,0,81.295,80.96,81.295,81.018
14,2,0,77.698,76.819,77.698,76.915
15,2,0,78.417,77.5,78.417,77.701
16,2,0,81.295,81.227,81.295,81.096
17,2,0,79.137,78.848,79.137,78.725
18,2,0,79.137,78.589,79.137,78.667
19,2,0,78.417,77.902,78.417,77.839
20,2,0,81.295,81.38,81.295,81.202
21,2,0,80.576,80.52,80.576,80.386
22,2,0,81.295,81.339,81.295,81.268
23,2,0,80.576,80.512,80.576,80.434
24,2,0,72.662,64.519,72.662,66.795
25,2,0,60.432,67.24,60.432,60.365
26,2,0,79.137,78.484,79.137,78.662
27,2,0,76.259,77.758,76.259,75.108
28,2,0,78.417,77.583,78.417,77.108
29,2,0,75.54,80.632,75.54,75.887
30,2,0,79.137,79.521,79.137,79.085
31,2,0,81.295,80.736,81.295,80.952
32,2,0,74.82,77.196,74.82,73.457
33,2,0,80.576,81.157,80.576,80.413
34,2,0,74.82,77.806,74.82,75.781
35,2,0,71.223,75.605,71.223,72.649
36,2,0,81.295,81.709,81.295,81.327
37,2,0,79.137,79.329,79.137,78.43
38,2,0,79.137,79.694,79.137,79.243
39,2,0,77.698,79.586,77.698,78.369
40,2,0,80.576,81.157,80.576,80.413
41,2,0,77.698,77.947,77.698,77.63
42,2,0,78.417,79.641,78.417,78.774
43,2,0,77.698,78.606,77.698,77.976
44,2,0,76.978,78.705,76.978,77.544
45,2,0,77.698,79.305,77.698,78.187
46,2,0,77.698,78.1,77.698,77.822
47,2,0,79.137,79.391,79.137,79.222
48,2,0,76.259,77.216,76.259,76.431
49,2,0,75.54,76.715,75.54,75.904
50,2,0,77.698,78.854,77.698,77.853
0,2,1,65.468,71.573,65.468,67.422
1,2,1,68.345,74.997,68.345,70.467
2,2,1,66.906,74.953,66.906,68.769
3,2,1,65.468,73.328,65.468,67.528
4,2,1,67.626,75.247,67.626,69.678
5,2,1,68.345,76.398,68.345,70.781
6,2,1,64.748,71.919,64.748,66.618
7,2,1,65.468,72.184,65.468,67.131
8,2,1,71.223,76.395,71.223,73.071
9,2,1,66.906,72.387,66.906,68.848
10,2,1,68.345,74.351,68.345,69.89
11,2,1,69.065,74.786,69.065,70.745
12,2,1,66.187,71.099,66.187,67.807
13,2,1,68.345,73.852,68.345,70.122
14,2,1,68.345,73.411,68.345,69.932
15,2,1,68.345,73.349,68.345,70.001
16,2,1,68.345,74.67,68.345,70.7
17,2,1,66.906,73.058,66.906,69.182
18,2,1,69.065,73.974,69.065,70.752
19,2,1,71.223,75.502,71.223,72.604
20,2,1,69.065,73.678,69.065,70.524
21,2,1,69.065,73.604,69.065,70.65
22,2,1,69.784,74.735,69.784,71.323
23,2,1,69.065,74.148,69.065,70.834
24,2,1,71.942,68.605,71.942,69.438
25,2,1,56.115,66.956,56.115,53.748
26,2,1,69.784,70.929,69.784,70.244
27,2,1,72.662,76.363,72.662,74.297
28,2,1,76.259,79.598,76.259,77.538
29,2,1,76.259,77.384,76.259,76.337
30,2,1,71.223,75.011,71.223,72.781
31,2,1,72.662,76.307,72.662,74.056
32,2,1,68.345,74.785,68.345,70.751
33,2,1,73.381,77.027,73.381,74.727
34,2,1,69.784,77.438,69.784,72.844
35,2,1,71.223,77.367,71.223,73.625
36,2,1,71.942,77.913,71.942,74.516
37,2,1,75.54,76.738,75.54,75.959
38,2,1,74.82,80.02,74.82,77.001
39,2,1,76.259,79.818,76.259,77.775
40,2,1,75.54,79.093,75.54,76.976
41,2,1,74.101,77.905,74.101,75.789
42,2,1,73.381,79.238,73.381,75.672
43,2,1,71.942,79.521,71.942,74.726
44,2,1,72.662,78.27,72.662,74.993
45,2,1,74.82,79.711,74.82,76.748
46,2,1,69.065,75.457,69.065,71.763
47,2,1,74.101,79.972,74.101,76.426
48,2,1,71.223,76.543,71.223,73.538
49,2,1,72.662,78.243,72.662,75.039
50,2,1,66.187,73.461,66.187,69.195
0,2,2,66.187,74.394,66.187,68.999
1,2,2,66.187,74.927,66.187,69.222
2,2,2,61.871,73.252,61.871,65.757
3,2,2,64.748,73.039,64.748,67.602
4,2,2,61.871,71.907,61.871,65.401
5,2,2,61.151,71.615,61.151,64.773
6,2,2,67.626,76.351,67.626,70.815
7,2,2,66.906,74.824,66.906,69.95
8,2,2,69.784,76.495,69.784,72.272
9,2,2,70.504,76.128,70.504,72.598
10,2,2,65.468,74.434,65.468,68.872
11,2,2,67.626,75.227,67.626,70.408
12,2,2,67.626,75.101,67.626,70.352
13,2,2,66.187,74.714,66.187,69.107
14,2,2,66.906,74.959,66.906,69.676
15,2,2,67.626,75.305,67.626,70.079
16,2,2,66.187,72.952,66.187,68.485
17,2,2,66.906,74.959,66.906,69.676
18,2,2,68.345,74.825,68.345,70.566
19,2,2,67.626,75.833,67.626,70.456
20,2,2,71.223,76.372,71.223,73.009
21,2,2,70.504,76.133,70.504,72.345
22,2,2,71.942,76.101,71.942,73.362
23,2,2,70.504,76.025,70.504,72.542
24,2,2,74.82,67.769,74.82,71.099
25,2,2,32.374,79.909,32.374,37.708
26,2,2,73.381,76.37,73.381,71.64
27,2,2,64.029,73.502,64.029,66.649
28,2,2,76.978,82.074,76.978,76.87
29,2,2,74.101,79.711,74.101,76.067
30,2,2,71.942,77.325,71.942,73.719
31,2,2,74.82,77.693,74.82,75.801
32,2,2,66.187,75.52,66.187,69.371
33,2,2,69.784,73.953,69.784,71.09
34,2,2,70.504,76.663,70.504,72.809
35,2,2,73.381,78.241,73.381,75.12
36,2,2,66.906,79.06,66.906,70.537
37,2,2,70.504,78.055,70.504,73.042
38,2,2,69.784,75.959,69.784,72.183
39,2,2,69.784,75.542,69.784,71.975
40,2,2,69.065,72.048,69.065,69.962
41,2,2,66.187,73.462,66.187,69.114
42,2,2,67.626,75.055,67.626,70.5
43,2,2,71.942,79.605,71.942,74.666
44,2,2,67.626,76.549,67.626,70.705
45,2,2,69.784,76.454,69.784,72.267
