iter,step,fold,acc,prec,rec,f1score
0,2,0,76.259,76.431,76.259,75.969
1,2,0,78.417,78.216,78.417,78.25
2,2,0,78.417,78.216,78.417,78.25
3,2,0,78.417,78.216,78.417,78.25
4,2,0,78.417,78.216,78.417,78.25
5,2,0,78.417,78.216,78.417,78.25
6,2,0,78.417,78.216,78.417,78.25
7,2,0,78.417,78.216,78.417,78.25
8,2,0,78.417,78.216,78.417,78.25
9,2,0,78.417,78.216,78.417,78.25
10,2,0,78.417,78.216,78.417,78.25
11,2,0,78.417,78.216,78.417,78.25
12,2,0,78.417,78.216,78.417,78.25
13,2,0,78.417,78.216,78.417,78.25
14,2,0,78.417,78.216,78.417,78.25
15,2,0,78.417,78.216,78.417,78.25
16,2,0,78.417,78.216,78.417,78.25
17,2,0,78.417,78.216,78.417,78.25
18,2,0,78.417,78.216,78.417,78.25
19,2,0,78.417,78.216,78.417,78.25
20,2,0,78.417,78.216,78.417,78.25
21,2,0,78.417,78.216,78.417,78.25
22,2,0,78.417,78.216,78.417,78.25
23,2,0,78.417,78.216,78.417,78.25
24,2,0,78.417,78.216,78.417,78.25
25,2,0,78.417,78.216,78.417,78.25
26,2,0,78.417,78.216,78.417,78.25
27,2,0,78.417,78.216,78.417,78.25
28,2,0,78.417,78.216,78.417,78.25
29,2,0,78.417,78.216,78.417,78.25
30,2,0,78.417,78.216,78.417,78.25
31,2,0,78.417,78.216,78.417,78.25
32,2,0,78.417,78.216,78.417,78.25
33,2,0,78.417,78.216,78.417,78.25
34,2,0,78.417,78.216,78.417,78.25
35,2,0,78.417,78.216,78.417,78.25
36,2,0,78.417,78.216,78.417,78.25
37,2,0,78.417,78.216,78.417,78.25
38,2,0,78.417,78.216,78.417,78.25
39,2,0,78.417,78.216,78.417,78.25
40,2,0,78.417,78.216,78.417,78.25
41,2,0,78.417,78.216,78.417,78.25
42,2,0,78.417,78.216,78.417,78.25
43,2,0,78.417,78.216,78.417,78.25
44,2,0,78.417,78.216,78.417,78.25
45,2,0,78.417,78.216,78.417,78.25
46,2,0,78.417,78.216,78.417,78.25
47,2,0,78.417,78.216,78.417,78.25
48,2,0,78.417,78.216,78.417,78.25
49,2,0,78.417,78.216,78.417,78.25
50,2,0,78.417,78.216,78.417,78.25
0,2,1,65.468,71.573,65.468,67.422
1,2,1,65.468,71.573,65.468,67.422
2,2,1,66.187,74.698,66.187,68.137
3,2,1,66.187,74.698,66.187,68.137
4,2,1,66.187,74.698,66.187,68.137
5,2,1,66.187,74.698,66.187,68.137
6,2,1,66.187,74.698,66.187,68.137
7,2,1,66.187,74.698,66.187,68.137
8,2,1,66.187,74.698,66.187,68.137
9,2,1,66.187,74.698,66.187,68.137
10,2,1,66.187,75.544,66.187,68.63
11,2,1,70.504,74.295,70.504,71.612
12,2,1,70.504,74.295,70.504,71.612
13,2,1,70.504,74.295,70.504,71.612
14,2,1,70.504,74.295,70.504,71.612
15,2,1,70.504,74.295,70.504,71.612
16,2,1,71.223,74.683,71.223,72.319
17,2,1,71.223,74.683,71.223,72.319
18,2,1,70.504,74.377,70.504,71.776
19,2,1,70.504,74.377,70.504,71.776
20,2,1,70.504,74.377,70.504,71.776
21,2,1,70.504,74.377,70.504,71.776
22,2,1,70.504,74.377,70.504,71.776
23,2,1,70.504,75.222,70.504,72.021
24,2,1,70.504,75.222,70.504,72.021
