iter,step,fold,acc,prec,rec,f1score
0,2,0,72.662,72.381,72.662,71.779
1,2,0,74.82,74.183,74.82,73.938
2,2,0,74.101,74.533,74.101,72.927
3,2,0,74.101,75.045,74.101,72.772
4,2,0,78.417,78.805,78.417,77.487
5,2,0,79.137,79.507,79.137,78.456
6,2,0,75.54,75.2,75.54,74.756
7,2,0,78.417,79.58,78.417,77.626
8,2,0,78.417,78.616,78.417,77.81
9,2,0,78.417,78.593,78.417,77.673
10,2,0,81.295,81.12,81.295,80.668
11,2,0,76.978,77.057,76.978,76.1
12,2,0,76.978,77.186,76.978,76.337
13,2,0,79.856,79.55,79.856,79.189
14,2,0,78.417,78.806,78.417,77.781
15,2,0,80.576,80.196,80.576,79.927
16,2,0,78.417,78.291,78.417,77.846
17,2,0,77.698,77.795,77.698,77.316
18,2,0,76.978,77.032,76.978,76.503
19,2,0,80.576,80.348,80.576,80.199
20,2,0,81.295,81.047,81.295,80.953
21,2,0,77.698,77.467,77.698,77.536
22,2,0,78.417,78.265,78.417,77.903
23,2,0,77.698,77.816,77.698,77.077
24,2,0,54.676,64.899,54.676,53.354
25,2,0,74.82,77.765,74.82,72.016
26,2,0,78.417,78.855,78.417,78.111
27,2,0,66.906,62.611,66.906,62.845
28,2,0,79.137,81.602,79.137,78.228
29,2,0,78.417,78.269,78.417,78.184
30,2,0,77.698,78.384,77.698,77.593
31,2,0,70.504,75.944,70.504,69.884
32,2,0,79.856,79.631,79.856,79.646
33,2,0,81.295,81.242,81.295,81.033
34,2,0,82.014,81.73,82.014,81.398
35,2,0,85.612,85.721,85.612,85.081
36,2,0,83.453,83.209,83.453,83.182
37,2,0,83.453,82.863,83.453,82.83
38,2,0,80.576,82.707,80.576,80.023
39,2,0,82.734,82.604,82.734,82.297
40,2,0,85.612,85.259,85.612,85.292
41,2,0,80.576,82.958,80.576,79.97
42,2,0,81.295,81.228,81.295,81.016
43,2,0,84.173,84.145,84.173,83.685
44,2,0,83.453,83.69,83.453,82.64
45,2,0,86.331,86.878,86.331,85.88
46,2,0,83.453,83.274,83.453,82.961
47,2,0,84.892,84.955,84.892,84.493
48,2,0,83.453,83.07,83.453,83.021
49,2,0,79.856,81.218,79.856,79.575
50,2,0,79.137,79.892,79.137,78.207
0,2,1,71.942,74.953,71.942,73.009
1,2,1,72.662,73.406,72.662,72.956
2,2,1,76.978,78.469,76.978,77.551
3,2,1,71.223,75.285,71.223,72.569
4,2,1,71.942,73.447,71.942,72.529
5,2,1,71.223,73.732,71.223,72.132
6,2,1,71.942,74.737,71.942,72.548
7,2,1,74.82,77.045,74.82,75.557
8,2,1,71.223,72.3,71.223,71.61
9,2,1,76.259,77.888,76.259,76.804
10,2,1,76.259,76.27,76.259,76.199
11,2,1,74.101,74.224,74.101,74.145
12,2,1,74.101,77.389,74.101,75.109
13,2,1,76.259,77.866,76.259,76.787
14,2,1,76.259,78.429,76.259,76.925
15,2,1,76.978,78.807,76.978,77.488
16,2,1,79.137,80.195,79.137,79.402
17,2,1,80.576,82.239,80.576,80.987
18,2,1,77.698,78.807,77.698,78.056
19,2,1,76.978,78.607,76.978,77.397
20,2,1,79.856,80.832,79.856,80.169
21,2,1,80.576,80.875,80.576,80.715
22,2,1,82.734,82.862,82.734,82.754
23,2,1,79.856,80.228,79.856,79.996
24,2,1,71.942,68.167,71.942,69.858
25,2,1,73.381,79.089,73.381,72.089
26,2,1,68.345,73.035,68.345,68.688
27,2,1,75.54,80.316,75.54,76.465
28,2,1,83.453,84.263,83.453,83.646
29,2,1,82.014,81.966,82.014,81.971
30,2,1,79.137,82.19,79.137,77.607
31,2,1,82.734,83.558,82.734,83.029
32,2,1,84.173,84.173,84.173,84.173
33,2,1,79.856,81.058,79.856,80.292
34,2,1,85.612,86.728,85.612,85.873
35,2,1,79.137,81.053,79.137,79.835
36,2,1,85.612,85.886,85.612,85.693
37,2,1,84.173,84.305,84.173,84.225
38,2,1,85.612,86.023,85.612,85.749
39,2,1,76.978,80.727,76.978,77.206
40,2,1,88.489,88.473,88.489,88.462
41,2,1,73.381,77.681,73.381,73.614
42,2,1,84.892,84.58,84.892,84.589
43,2,1,87.77,87.734,87.77,87.734
44,2,1,87.05,87.015,87.05,87.015
45,2,1,87.05,86.879,87.05,86.9
46,2,1,81.295,84.305,81.295,81.646
47,2,1,83.453,84.085,83.453,83.537
48,2,1,88.489,88.387,88.489,88.412
49,2,1,90.647,90.75,90.647,90.6
50,2,1,87.05,87.733,87.05,87.266
0,2,2,68.345,70.356,68.345,69.109
1,2,2,72.662,72.285,72.662,72.441
2,2,2,74.101,74.078,74.101,73.826
3,2,2,76.978,76.63,76.978,76.143
4,2,2,78.417,77.569,78.417,77.398
5,2,2,76.978,76.394,76.978,75.95
6,2,2,74.101,73.048,74.101,73.346
7,2,2,76.978,75.422,76.978,75.636
8,2,2,79.856,79.657,79.856,79.243
