iter,step,fold,acc,prec,rec,f1score
0,2,0,72.662,72.381,72.662,71.779
1,2,0,73.381,72.569,73.381,72.318
2,2,0,74.82,74.415,74.82,74.081
3,2,0,74.82,74.415,74.82,74.081
4,2,0,74.82,74.415,74.82,74.081
5,2,0,74.82,74.415,74.82,74.081
6,2,0,74.82,74.415,74.82,74.081
7,2,0,74.82,74.415,74.82,74.081
8,2,0,74.82,74.415,74.82,74.081
9,2,0,74.82,74.415,74.82,74.081
10,2,0,74.82,74.415,74.82,74.081
11,2,0,74.82,74.415,74.82,74.081
12,2,0,74.82,74.415,74.82,74.081
13,2,0,74.82,74.415,74.82,74.081
14,2,0,74.82,74.415,74.82,74.081
15,2,0,74.82,74.415,74.82,74.081
16,2,0,74.82,74.415,74.82,74.081
17,2,0,75.54,75.077,75.54,74.433
18,2,0,75.54,75.077,75.54,74.433
19,2,0,75.54,75.077,75.54,74.433
20,2,0,75.54,75.077,75.54,74.433
21,2,0,75.54,75.077,75.54,74.433
22,2,0,75.54,75.077,75.54,74.433
23,2,0,75.54,75.077,75.54,74.433
24,2,0,75.54,75.077,75.54,74.433
25,2,0,75.54,75.077,75.54,74.433
26,2,0,75.54,75.077,75.54,74.433
27,2,0,75.54,75.077,75.54,74.433
28,2,0,75.54,75.077,75.54,74.433
29,2,0,75.54,75.077,75.54,74.433
30,2,0,75.54,75.077,75.54,74.433
31,2,0,74.82,74.372,74.82,73.94
32,2,0,74.82,74.372,74.82,73.94
33,2,0,74.82,74.372,74.82,73.94
34,2,0,74.82,74.372,74.82,73.94
35,2,0,74.82,74.372,74.82,73.94
36,2,0,74.82,74.372,74.82,73.94
37,2,0,74.82,74.372,74.82,73.94
38,2,0,74.82,74.372,74.82,73.94
39,2,0,74.82,74.372,74.82,73.94
40,2,0,74.82,74.372,74.82,73.94
41,2,0,74.82,74.372,74.82,73.94
42,2,0,74.82,74.372,74.82,73.94
43,2,0,74.82,74.372,74.82,73.94
44,2,0,74.82,74.372,74.82,73.94
45,2,0,74.82,74.372,74.82,73.94
46,2,0,74.82,74.372,74.82,73.94
47,2,0,74.82,74.372,74.82,73.94
48,2,0,74.82,74.372,74.82,73.94
49,2,0,74.82,74.372,74.82,73.94
50,2,0,74.82,74.372,74.82,73.94
0,2,1,71.942,74.953,71.942,73.009
1,2,1,71.942,74.953,71.942,73.009
2,2,1,72.662,73.561,72.662,73.025
3,2,1,69.065,70.714,69.065,69.762
4,2,1,69.065,70.714,69.065,69.762
5,2,1,69.065,70.714,69.065,69.762
6,2,1,67.626,70.179,67.626,68.694
7,2,1,67.626,70.179,67.626,68.694
8,2,1,67.626,70.179,67.626,68.694
9,2,1,67.626,70.179,67.626,68.694
10,2,1,67.626,70.179,67.626,68.694
11,2,1,67.626,70.179,67.626,68.694
12,2,1,67.626,70.179,67.626,68.694
13,2,1,67.626,70.179,67.626,68.694
14,2,1,67.626,70.179,67.626,68.694
15,2,1,67.626,70.179,67.626,68.694
16,2,1,67.626,70.179,67.626,68.694
17,2,1,67.626,70.179,67.626,68.694
18,2,1,67.626,70.179,67.626,68.694
19,2,1,67.626,70.179,67.626,68.694
20,2,1,67.626,70.179,67.626,68.694
21,2,1,67.626,70.179,67.626,68.694
22,2,1,67.626,70.179,67.626,68.694
23,2,1,67.626,70.179,67.626,68.694
24,2,1,67.626,70.179,67.626,68.694
25,2,1,67.626,70.179,67.626,68.694
26,2,1,67.626,70.179,67.626,68.694
27,2,1,67.626,70.179,67.626,68.694
28,2,1,67.626,70.179,67.626,68.694
29,2,1,67.626,70.179,67.626,68.694
30,2,1,67.626,70.179,67.626,68.694
31,2,1,67.626,70.179,67.626,68.694
32,2,1,67.626,70.179,67.626,68.694
33,2,1,67.626,70.179,67.626,68.694
34,2,1,67.626,70.179,67.626,68.694
35,2,1,67.626,70.179,67.626,68.694
36,2,1,67.626,70.179,67.626,68.694
37,2,1,67.626,70.179,67.626,68.694
38,2,1,67.626,70.179,67.626,68.694
39,2,1,67.626,70.179,67.626,68.694
40,2,1,67.626,70.179,67.626,68.694
41,2,1,73.381,77.105,73.381,74.526
42,2,1,73.381,77.105,73.381,74.526
43,2,1,73.381,77.105,73.381,74.526
44,2,1,73.381,77.105,73.381,74.526
45,2,1,73.381,77.105,73.381,74.526
46,2,1,73.381,77.105,73.381,74.526
47,2,1,73.381,77.105,73.381,74.526
48,2,1,77.698,80.505,77.698,78.338
49,2,1,77.698,80.505,77.698,78.338
50,2,1,77.698,80.505,77.698,78.338
0,2,2,68.345,70.356,68.345,69.109
1,2,2,69.065,69.659,69.065,69.339
2,2,2,71.223,71.483,71.223,71.252
3,2,2,71.223,71.483,71.223,71.252
4,2,2,71.223,71.483,71.223,71.252
5,2,2,71.223,71.483,71.223,71.252
6,2,2,71.223,71.483,71.223,71.252
7,2,2,71.223,71.483,71.223,71.252
8,2,2,71.223,71.483,71.223,71.252
9,2,2,71.223,71.483,71.223,71.252
10,2,2,68.345,69.059,68.345,68.645
11,2,2,68.345,69.059,68.345,68.645
12,2,2,68.345,69.059,68.345,68.645
13,2,2,68.345,69.059,68.345,68.645
14,2,2,68.345,69.059,68.345,68.645
15,2,2,73.381,75.039,73.381,74.084
16,2,2,73.381,75.039,73.381,74.084
17,2,2,72.662,72.895,72.662,72.739
18,2,2,72.662,72.895,72.662,72.739
19,2,2,72.662,72.895,72.662,72.739
20,2,2,72.662,72.895,72.662,72.739
21,2,2,72.662,72.895,72.662,72.739
22,2,2,72.662,72.895,72.662,72.739
23,2,2,72.662,72.895,72.662,72.739
24,2,2,72.662,72.895,72.662,72.739
25,2,2,72.662,72.895,72.662,72.739
26,2,2,72.662,72.895,72.662,72.739
27,2,2,72.662,72.895,72.662,72.739
28,2,2,72.662,72.895,72.662,72.739
29,2,2,72.662,72.895,72.662,72.739
30,2,2,72.662,72.895,72.662,72.739
31,2,2,72.662,72.895,72.662,72.739
32,2,2,72.662,72.895,72.662,72.739
33,2,2,72.662,72.895,72.662,72.739
34,2,2,72.662,72.895,72.662,72.739
35,2,2,72.662,72.895,72.662,72.739
36,2,2,72.662,72.895,72.662,72.739
37,2,2,72.662,72.895,72.662,72.739
38,2,2,72.662,72.895,72.662,72.739
39,2,2,72.662,72.895,72.662,72.739
40,2,2,72.662,72.895,72.662,72.739
41,2,2,72.662,72.895,72.662,72.739
42,2,2,72.662,72.895,72.662,72.739
43,2,2,72.662,72.895,72.662,72.739
