iter,step,fold,acc,prec,rec,f1score
0,2,0,78.417,79.286,78.417,78.697
1,2,0,78.417,79.401,78.417,78.654
2,2,0,79.137,80.527,79.137,79.559
3,2,0,78.417,79.985,78.417,78.744
4,2,0,79.137,80.452,79.137,79.559
5,2,0,78.417,79.686,78.417,78.841
6,2,0,81.295,82.535,81.295,81.703
7,2,0,82.014,83.288,82.014,82.426
8,2,0,79.137,80.977,79.137,79.158
9,2,0,79.137,81.47,79.137,79.077
10,2,0,79.137,81.707,79.137,79.467
11,2,0,78.417,81.126,78.417,78.677
12,2,0,78.417,80.675,78.417,78.735
13,2,0,79.137,81.448,79.137,79.432
14,2,0,78.417,80.675,78.417,78.735
15,2,0,79.137,81.448,79.137,79.432
16,2,0,79.856,82.327,79.856,80.384
17,2,0,79.856,83.048,79.856,80.538
18,2,0,80.576,83.765,80.576,81.303
19,2,0,78.417,83.391,78.417,79.589
20,2,0,77.698,81.902,77.698,78.767
21,2,0,78.417,82.757,78.417,79.54
22,2,0,76.978,81.875,76.978,78.133
23,2,0,76.259,82.353,76.259,77.609
24,2,0,73.381,79.361,73.381,74.057
25,2,0,76.259,81.651,76.259,77.141
26,2,0,72.662,79.36,72.662,73.71
27,2,0,74.82,81.416,74.82,76.168
28,2,0,74.82,81.416,74.82,76.168
29,2,0,76.259,82.425,76.259,77.569
30,2,0,76.978,82.653,76.978,78.213
31,2,0,76.978,82.653,76.978,78.213
32,2,0,77.698,82.958,77.698,78.815
33,2,0,77.698,82.958,77.698,78.815
34,2,0,78.417,82.598,78.417,79.254
35,2,0,79.137,83.327,79.137,80.04
36,2,0,78.417,82.404,78.417,79.276
37,2,0,78.417,82.404,78.417,79.276
38,2,0,74.82,79.919,74.82,75.459
39,2,0,78.417,82.598,78.417,79.254
40,2,0,73.381,79.504,73.381,73.766
41,2,0,72.662,78.263,72.662,73.029
42,2,0,72.662,78.263,72.662,73.029
43,2,0,73.381,78.944,73.381,73.895
44,2,0,74.82,79.919,74.82,75.459
45,2,0,74.82,79.919,74.82,75.459
46,2,0,76.259,81.717,76.259,77.043
47,2,0,75.54,81.056,75.54,76.207
48,2,0,73.381,79.142,73.381,73.639
49,2,0,73.381,79.142,73.381,73.639
50,2,0,71.942,78.929,71.942,72.442
0,2,1,69.065,78.069,69.065,72.348
1,2,1,70.504,79.145,70.504,73.64
2,2,1,68.345,76.644,68.345,71.324
3,2,1,70.504,79.105,70.504,73.659
4,2,1,67.626,78.385,67.626,71.52
5,2,1,69.065,80.127,69.065,73.04
6,2,1,69.784,80.965,69.784,73.847
7,2,1,66.187,81.772,66.187,71.363
8,2,1,66.187,78.774,66.187,70.459
9,2,1,66.187,79.426,66.187,70.692
10,2,1,78.417,81.575,78.417,79.131
11,2,1,79.137,82.236,79.137,79.919
12,2,1,79.137,82.236,79.137,79.919
13,2,1,79.856,82.518,79.856,80.458
14,2,1,80.576,82.819,80.576,81.002
15,2,1,82.014,83.794,82.014,82.337
16,2,1,74.82,78.999,74.82,74.319
17,2,1,71.942,77.881,71.942,72.5
18,2,1,72.662,78.452,72.662,73.541
19,2,1,72.662,77.567,72.662,73.17
20,2,1,74.101,78.984,74.101,74.569
21,2,1,74.101,78.984,74.101,74.569
22,2,1,76.259,79.777,76.259,76.467
23,2,1,76.259,79.777,76.259,76.467
24,2,1,74.82,78.36,74.82,75.214
25,2,1,75.54,78.675,75.54,75.754
26,2,1,74.82,78.769,74.82,75.104
27,2,1,74.82,78.769,74.82,75.104
28,2,1,73.381,77.342,73.381,73.875
29,2,1,75.54,79.026,75.54,75.782
30,2,1,74.101,77.607,74.101,74.541
31,2,1,72.662,79.288,72.662,74.092
32,2,1,74.101,79.269,74.101,74.769
33,2,1,74.101,78.884,74.101,74.59
34,2,1,74.101,77.987,74.101,74.555
