iter,step,fold,acc,prec,rec,f1score
0,2,0,78.417,79.286,78.417,78.697
1,2,0,78.417,79.401,78.417,78.654
2,2,0,78.417,79.286,78.417,78.697
3,2,0,77.698,79.921,77.698,78.326
4,2,0,78.417,81.64,78.417,79.269
5,2,0,78.417,81.592,78.417,79.301
6,2,0,78.417,81.592,78.417,79.301
7,2,0,79.856,82.834,79.856,80.653
8,2,0,79.856,82.834,79.856,80.653
9,2,0,78.417,82.096,78.417,79.445
10,2,0,78.417,82.096,78.417,79.445
11,2,0,79.856,83.708,79.856,80.983
12,2,0,79.856,83.708,79.856,80.983
13,2,0,79.856,83.713,79.856,80.983
14,2,0,77.698,82.308,77.698,79.0
15,2,0,75.54,81.052,75.54,76.92
16,2,0,75.54,81.052,75.54,76.92
17,2,0,75.54,81.052,75.54,76.92
18,2,0,73.381,79.207,73.381,74.719
19,2,0,74.101,79.98,74.101,75.51
20,2,0,74.101,79.98,74.101,75.51
21,2,0,73.381,79.207,73.381,74.719
22,2,0,73.381,79.207,73.381,74.719
23,2,0,73.381,79.207,73.381,74.719
24,2,0,73.381,79.207,73.381,74.719
25,2,0,73.381,78.742,73.381,74.57
26,2,0,73.381,78.742,73.381,74.57
27,2,0,73.381,78.742,73.381,74.57
28,2,0,74.101,79.658,74.101,75.376
29,2,0,74.101,79.658,74.101,75.376
30,2,0,74.101,79.658,74.101,75.376
31,2,0,71.942,79.601,71.942,73.64
32,2,0,71.942,79.601,71.942,73.64
33,2,0,73.381,81.076,73.381,75.245
34,2,0,73.381,81.076,73.381,75.245
35,2,0,74.101,81.306,74.101,75.87
36,2,0,79.856,81.505,79.856,80.32
37,2,0,80.576,82.246,80.576,81.048
38,2,0,80.576,82.246,80.576,81.048
39,2,0,81.295,82.641,81.295,81.673
40,2,0,81.295,82.641,81.295,81.673
41,2,0,81.295,82.641,81.295,81.673
42,2,0,81.295,82.641,81.295,81.673
43,2,0,81.295,82.641,81.295,81.673
44,2,0,82.734,85.018,82.734,83.429
45,2,0,82.734,85.018,82.734,83.429
46,2,0,82.734,85.018,82.734,83.429
47,2,0,82.734,85.018,82.734,83.429
48,2,0,82.734,85.018,82.734,83.429
49,2,0,82.734,85.018,82.734,83.429
50,2,0,82.734,85.018,82.734,83.429
0,2,1,69.065,78.069,69.065,72.348
1,2,1,70.504,79.145,70.504,73.64
2,2,1,70.504,79.145,70.504,73.64
3,2,1,65.468,80.074,65.468,70.366
4,2,1,65.468,80.074,65.468,70.366
5,2,1,66.187,81.077,66.187,71.157
6,2,1,66.187,81.077,66.187,71.157
7,2,1,67.626,83.161,67.626,72.722
8,2,1,67.626,83.161,67.626,72.722
9,2,1,66.906,81.453,66.906,71.686
10,2,1,66.906,81.453,66.906,71.686
11,2,1,66.187,80.412,66.187,70.903
12,2,1,66.187,80.412,66.187,70.903
13,2,1,67.626,83.177,67.626,72.498
14,2,1,67.626,83.177,67.626,72.498
15,2,1,66.906,82.115,66.906,71.708
16,2,1,66.906,82.115,66.906,71.708
17,2,1,67.626,82.956,67.626,72.54
18,2,1,67.626,82.956,67.626,72.54
19,2,1,68.345,83.989,68.345,73.333
20,2,1,68.345,83.989,68.345,73.333
21,2,1,68.345,83.989,68.345,73.333
22,2,1,68.345,83.989,68.345,73.333
23,2,1,68.345,83.989,68.345,73.333
24,2,1,77.698,87.126,77.698,80.675
25,2,1,79.137,87.37,79.137,81.712
26,2,1,79.137,87.37,79.137,81.712
27,2,1,78.417,87.976,78.417,81.454
28,2,1,78.417,87.976,78.417,81.454
29,2,1,76.978,87.769,76.978,80.418
30,2,1,76.978,87.769,76.978,80.418
31,2,1,75.54,88.397,75.54,79.647
32,2,1,75.54,88.397,75.54,79.647
33,2,1,75.54,88.397,75.54,79.647
34,2,1,75.54,88.397,75.54,79.647
