iter,step,fold,acc,prec,rec,f1score
0,2,0,86.331,87.265,86.331,84.641
1,2,0,84.173,87.539,84.173,82.197
2,2,0,87.77,88.548,87.77,86.077
3,2,0,86.331,87.56,86.331,84.699
4,2,0,87.77,89.864,87.77,86.052
5,2,0,87.05,87.162,87.05,85.707
6,2,0,84.173,83.855,84.173,82.563
7,2,0,85.612,85.565,85.612,83.934
8,2,0,84.892,85.323,84.892,83.273
9,2,0,85.612,84.53,85.612,84.08
10,2,0,85.612,86.276,85.612,83.502
11,2,0,86.331,88.381,86.331,84.15
12,2,0,85.612,88.097,85.612,83.924
13,2,0,84.892,87.647,84.892,82.823
14,2,0,84.892,87.989,84.892,82.892
15,2,0,84.173,87.207,84.173,81.66
16,2,0,85.612,85.831,85.612,83.981
17,2,0,84.173,85.249,84.173,81.716
18,2,0,85.612,86.537,85.612,83.553
19,2,0,86.331,86.769,86.331,84.598
20,2,0,85.612,86.537,85.612,83.553
21,2,0,84.173,83.986,84.173,81.792
22,2,0,85.612,86.537,85.612,83.553
23,2,0,85.612,86.537,85.612,83.553
24,2,0,85.612,88.166,85.612,83.032
25,2,0,85.612,86.416,85.612,83.196
26,2,0,86.331,87.901,86.331,84.77
27,2,0,87.05,89.699,87.05,85.797
28,2,0,88.489,89.014,88.489,87.068
29,2,0,86.331,87.741,86.331,85.032
30,2,0,86.331,88.627,86.331,84.202
31,2,0,87.05,87.782,87.05,85.335
32,2,0,87.05,87.782,87.05,85.335
33,2,0,85.612,85.983,85.612,83.043
34,2,0,86.331,86.807,86.331,84.195
35,2,0,84.892,84.232,84.892,82.989
36,2,0,86.331,87.043,86.331,84.244
37,2,0,85.612,84.94,85.612,83.998
38,2,0,87.05,87.709,87.05,85.632
39,2,0,87.05,87.709,87.05,85.632
40,2,0,87.77,88.111,87.77,85.983
41,2,0,87.77,88.731,87.77,86.426
42,2,0,86.331,86.11,86.331,84.64
43,2,0,87.05,87.558,87.05,85.29
44,2,0,87.77,88.475,87.77,86.374
45,2,0,88.489,89.141,88.489,87.368
46,2,0,87.77,88.475,87.77,86.374
47,2,0,87.05,88.361,87.05,85.458
48,2,0,87.77,88.263,87.77,86.333
49,2,0,86.331,87.265,86.331,84.641
50,2,0,86.331,86.379,86.331,84.957
0,2,1,87.05,84.621,87.05,85.168
1,2,1,88.489,86.678,88.489,86.37
2,2,1,87.05,84.815,87.05,85.205
3,2,1,88.489,86.865,88.489,87.283
4,2,1,89.209,87.253,89.209,87.071
5,2,1,88.489,89.439,88.489,86.076
6,2,1,88.489,86.076,88.489,86.549
7,2,1,89.209,88.699,89.209,87.695
8,2,1,87.77,85.913,87.77,85.629
9,2,1,89.209,88.699,89.209,87.695
10,2,1,88.489,87.487,88.489,87.391
11,2,1,87.77,86.055,87.77,85.928
12,2,1,89.209,88.106,89.209,87.795
13,2,1,89.209,87.827,89.209,87.81
14,2,1,89.209,88.421,89.209,87.692
15,2,1,86.331,83.807,86.331,84.655
16,2,1,86.331,85.436,86.331,85.62
17,2,1,87.77,86.382,87.77,86.628
18,2,1,87.77,86.611,87.77,86.417
19,2,1,87.77,86.859,87.77,86.459
20,2,1,88.489,87.578,88.489,87.344
21,2,1,88.489,86.736,88.489,86.333
22,2,1,87.77,86.113,87.77,85.665
23,2,1,88.489,86.972,88.489,86.376
24,2,1,89.209,87.808,89.209,88.057
25,2,1,87.77,86.611,87.77,86.417
26,2,1,88.489,86.372,88.489,86.538
27,2,1,87.77,86.611,87.77,86.417
28,2,1,89.928,89.059,89.928,88.369
29,2,1,89.209,86.661,89.209,87.262
30,2,1,90.647,91.754,90.647,88.253
31,2,1,89.209,88.294,89.209,87.627
32,2,1,87.77,86.514,87.77,86.779
33,2,1,89.209,88.475,89.209,87.656
34,2,1,87.05,85.06,87.05,85.432
35,2,1,87.77,85.336,87.77,86.138
36,2,1,88.489,86.281,88.489,86.302
37,2,1,86.331,84.349,86.331,84.227
38,2,1,89.209,89.04,89.209,88.116
39,2,1,87.77,87.063,87.77,86.235
40,2,1,89.928,89.15,89.928,88.899
41,2,1,87.05,84.559,87.05,85.575
42,2,1,86.331,83.895,86.331,84.92
43,2,1,87.05,85.334,87.05,85.879
44,2,1,87.77,86.985,87.77,87.326
45,2,1,90.647,90.103,90.647,89.493
46,2,1,87.77,85.998,87.77,86.534
47,2,1,87.77,86.361,87.77,86.703
48,2,1,88.489,86.658,88.489,87.223
49,2,1,87.05,85.336,87.05,85.8
50,2,1,89.209,88.004,89.209,87.604
0,2,2,83.453,81.787,83.453,82.02
1,2,2,84.173,82.891,84.173,82.337
2,2,2,82.014,79.32,82.014,79.739
3,2,2,83.453,81.896,83.453,81.735
4,2,2,84.892,81.747,84.892,82.16
5,2,2,85.612,84.443,85.612,83.697
6,2,2,82.014,80.18,82.014,79.547
7,2,2,84.892,82.499,84.892,82.147
8,2,2,82.734,82.438,82.734,80.934
9,2,2,80.576,78.292,80.576,78.048
10,2,2,82.734,82.518,82.734,80.647
11,2,2,83.453,84.098,83.453,81.238
12,2,2,82.014,82.188,82.014,80.017
13,2,2,82.014,81.292,82.014,80.513
14,2,2,82.014,82.188,82.014,80.017
15,2,2,82.014,81.872,82.014,80.301
16,2,2,82.734,81.858,82.734,80.973
17,2,2,83.453,82.437,83.453,81.614
18,2,2,82.014,81.872,82.014,80.301
19,2,2,83.453,83.061,83.453,81.508
20,2,2,81.295,80.367,81.295,79.527
21,2,2,81.295,80.379,81.295,79.708
22,2,2,82.734,82.027,82.734,80.802
23,2,2,83.453,83.661,83.453,82.16
24,2,2,83.453,82.818,83.453,82.038
25,2,2,83.453,82.747,83.453,82.128
26,2,2,82.734,81.781,82.734,81.25
27,2,2,81.295,79.163,81.295,79.059
28,2,2,82.014,79.755,82.014,79.482
29,2,2,83.453,82.818,83.453,82.038
30,2,2,83.453,83.483,83.453,81.779
31,2,2,82.014,80.891,82.014,80.454
32,2,2,84.892,83.881,84.892,83.519
33,2,2,82.734,81.453,82.734,80.914
34,2,2,83.453,83.186,83.453,82.247
35,2,2,81.295,81.786,81.295,80.133
36,2,2,82.734,81.453,82.734,80.914
37,2,2,82.014,80.964,82.014,80.354
38,2,2,80.576,80.072,80.576,79.026
39,2,2,82.014,81.771,82.014,80.959
40,2,2,79.137,79.184,79.137,77.81
41,2,2,79.856,80.019,79.856,78.662
42,2,2,82.014,82.012,82.014,81.029
43,2,2,82.014,81.413,82.014,80.915
44,2,2,80.576,81.003,80.576,79.493
45,2,2,83.453,83.149,83.453,82.573
46,2,2,81.295,81.479,81.295,80.255
47,2,2,80.576,80.954,80.576,79.475
48,2,2,82.734,82.947,82.734,81.842
49,2,2,83.453,83.428,83.453,82.707
50,2,2,82.734,81.544,82.734,81.545
0,5,0,86.331,87.265,86.331,84.641
1,5,0,86.331,88.627,86.331,84.202
2,5,0,84.173,84.159,84.173,82.155
3,5,0,84.892,84.45,84.892,82.823
4,5,0,83.453,83.683,83.453,81.74
5,5,0,84.892,84.782,84.892,83.184
6,5,0,84.892,85.282,84.892,82.975
7,5,0,84.892,85.734,84.892,82.408
8,5,0,85.612,86.276,85.612,83.502
9,5,0,87.05,89.098,87.05,85.31
10,5,0,87.05,87.348,87.05,84.884
11,5,0,84.892,85.734,84.892,82.408
12,5,0,85.612,86.537,85.612,83.553
13,5,0,84.892,85.959,84.892,82.912
14,5,0,86.331,86.572,86.331,84.191
15,5,0,87.05,88.849,87.05,84.862
16,5,0,86.331,86.349,86.331,84.684
17,5,0,86.331,87.265,86.331,84.641
18,5,0,85.612,85.831,85.612,83.981
19,5,0,85.612,86.842,85.612,83.616
20,5,0,86.331,86.329,86.331,85.009
0,5,1,87.05,84.621,87.05,85.168
1,5,1,87.77,85.867,87.77,85.661
2,5,1,88.489,87.242,88.489,87.089
3,5,1,89.928,88.608,89.928,88.558
4,5,1,87.77,86.936,87.77,86.405
5,5,1,87.77,86.672,87.77,86.626
6,5,1,89.209,90.586,89.209,86.887
7,5,1,87.05,84.88,87.05,85.164
8,5,1,87.77,87.537,87.77,86.317
9,5,1,89.209,87.77,89.209,87.133
10,5,1,87.77,86.113,87.77,85.665
11,5,1,87.77,86.113,87.77,85.665
12,5,1,88.489,87.048,88.489,86.326
13,5,1,87.77,85.971,87.77,86.149
14,5,1,90.647,90.468,90.647,89.545
15,5,1,88.489,86.678,88.489,86.37
16,5,1,87.05,84.812,87.05,85.389
17,5,1,87.77,85.755,87.77,85.874
18,5,1,86.331,84.01,86.331,84.898
19,5,1,86.331,85.278,86.331,85.687
20,5,1,87.05,84.494,87.05,85.103
0,5,2,83.453,81.787,83.453,82.02
1,5,2,82.734,81.668,82.734,81.744
2,5,2,85.612,84.657,85.612,84.525
3,5,2,84.173,83.206,84.173,83.088
4,5,2,86.331,86.464,86.331,85.583
5,5,2,85.612,84.295,85.612,84.36
6,5,2,82.734,82.052,82.734,81.699
7,5,2,84.173,83.903,84.173,82.695
8,5,2,82.014,81.56,82.014,80.061
9,5,2,82.734,81.994,82.734,79.957
10,5,2,83.453,83.991,83.453,81.322
11,5,2,84.173,83.025,84.173,81.303
12,5,2,82.734,80.981,82.734,80.069
13,5,2,81.295,79.722,81.295,78.81
14,5,2,82.734,82.94,82.734,81.214
15,5,2,84.892,84.398,84.892,83.426
16,5,2,82.014,81.949,82.014,81.138
17,5,2,82.014,80.592,82.014,80.307
18,5,2,84.173,82.983,84.173,82.818
19,5,2,83.453,81.969,83.453,81.654
20,5,2,82.734,82.204,82.734,81.542
0,10,0,86.331,87.265,86.331,84.641
1,10,0,86.331,87.015,86.331,84.593
2,10,0,84.173,84.064,84.173,82.342
3,10,0,84.892,86.611,84.892,83.301
4,10,0,86.331,86.933,86.331,85.055
5,10,0,87.77,88.263,87.77,86.333
6,10,0,84.892,86.18,84.892,83.3
7,10,0,83.453,84.352,83.453,81.566
8,10,0,87.77,88.327,87.77,86.669
9,10,0,88.489,88.633,88.489,88.035
10,10,0,86.331,86.08,86.331,85.048
0,10,1,87.05,84.621,87.05,85.168
1,10,1,87.77,85.005,87.77,85.84
2,10,1,89.209,88.039,89.209,87.845
3,10,1,89.209,87.174,89.209,86.973
4,10,1,87.77,85.955,87.77,85.585
5,10,1,88.489,86.301,88.489,86.589
6,10,1,87.77,85.755,87.77,85.874
7,10,1,89.209,90.366,89.209,86.843
8,10,1,86.331,84.9,86.331,85.239
9,10,1,87.77,86.559,87.77,86.726
10,10,1,90.647,90.468,90.647,89.545
0,10,2,83.453,81.787,83.453,82.02
1,10,2,84.892,81.563,84.892,82.57
2,10,2,83.453,83.409,83.453,82.462
3,10,2,86.331,86.887,86.331,85.44
4,10,2,82.734,81.533,82.734,80.831
5,10,2,83.453,82.747,83.453,82.128
6,10,2,83.453,81.121,83.453,81.002
7,10,2,81.295,79.163,81.295,79.059
8,10,2,83.453,82.248,83.453,81.792
9,10,2,82.014,80.868,82.014,80.269
10,10,2,82.014,82.367,82.014,80.576
0,25,0,86.331,87.265,86.331,84.641
1,25,0,84.892,86.041,84.892,82.858
2,25,0,84.173,85.212,84.173,82.35
3,25,0,84.173,84.381,84.173,82.272
4,25,0,87.05,87.162,87.05,85.707
0,25,1,87.05,84.621,87.05,85.168
1,25,1,89.209,87.308,89.209,87.042
2,25,1,90.647,89.886,90.647,89.077
3,25,1,87.77,86.233,87.77,85.562
4,25,1,87.05,85.684,87.05,86.07
0,25,2,83.453,81.787,83.453,82.02
1,25,2,82.014,81.292,82.014,80.513
2,25,2,84.892,85.045,84.892,83.77
3,25,2,84.892,83.028,84.892,83.116
4,25,2,83.453,82.344,83.453,81.71
