iter,step,fold,acc,prec,rec,f1score
0,2,0,86.331,87.265,86.331,84.641
1,2,0,84.173,87.539,84.173,82.197
2,2,0,85.612,88.132,85.612,83.515
3,2,0,84.892,86.041,84.892,82.858
4,2,0,85.612,87.809,85.612,83.869
5,2,0,87.05,89.098,87.05,85.31
6,2,0,84.173,84.462,84.173,82.209
7,2,0,84.892,84.45,84.892,82.823
8,2,0,84.173,83.724,84.173,82.281
9,2,0,84.892,84.157,84.892,83.248
10,2,0,84.173,84.462,84.173,82.209
11,2,0,85.612,87.861,85.612,83.46
12,2,0,84.173,85.554,84.173,82.157
13,2,0,84.892,87.647,84.892,82.823
14,2,0,83.453,83.973,83.453,81.499
15,2,0,83.453,83.224,83.453,81.567
16,2,0,84.173,83.724,84.173,82.281
17,2,0,84.892,85.282,84.892,82.975
18,2,0,84.173,84.068,84.173,82.74
19,2,0,85.612,86.04,85.612,84.351
20,2,0,83.453,83.145,83.453,81.639
21,2,0,84.892,86.611,84.892,83.301
22,2,0,84.892,85.662,84.892,83.334
23,2,0,84.173,84.823,84.173,82.559
24,2,0,87.05,88.049,87.05,85.391
25,2,0,84.173,84.813,84.173,82.274
26,2,0,84.892,84.684,84.892,82.863
27,2,0,84.892,84.96,84.892,82.914
28,2,0,85.612,86.537,85.612,83.553
29,2,0,85.612,88.132,85.612,83.515
30,2,0,83.453,85.075,83.453,81.45
31,2,0,84.173,84.381,84.173,82.272
32,2,0,84.892,84.684,84.892,82.863
33,2,0,84.892,84.684,84.892,82.863
34,2,0,85.612,86.276,85.612,83.502
35,2,0,85.612,85.467,85.612,83.613
36,2,0,84.892,84.96,84.892,82.914
37,2,0,84.892,84.96,84.892,82.914
38,2,0,84.892,87.647,84.892,82.823
39,2,0,87.77,87.545,87.77,86.625
40,2,0,84.892,84.341,84.892,83.344
41,2,0,84.892,84.306,84.892,83.699
42,2,0,84.173,85.554,84.173,82.157
43,2,0,86.331,85.793,86.331,85.06
44,2,0,87.05,86.365,87.05,85.765
45,2,0,85.612,84.485,85.612,84.131
46,2,0,87.77,87.715,87.77,86.651
47,2,0,85.612,84.485,85.612,84.131
48,2,0,84.173,83.649,84.173,82.754
49,2,0,87.05,86.407,87.05,85.722
50,2,0,85.612,84.73,85.612,83.965
0,2,1,87.05,84.621,87.05,85.168
1,2,1,88.489,86.678,88.489,86.37
2,2,1,89.209,88.261,89.209,87.663
3,2,1,88.489,86.979,88.489,87.136
4,2,1,89.209,87.253,89.209,87.071
5,2,1,87.77,85.446,87.77,85.877
6,2,1,88.489,86.076,88.489,86.549
7,2,1,88.489,87.19,88.489,87.133
8,2,1,88.489,87.027,88.489,87.308
9,2,1,89.209,88.297,89.209,87.892
10,2,1,88.489,87.242,88.489,87.089
11,2,1,88.489,86.736,88.489,86.333
12,2,1,89.928,89.322,89.928,88.363
13,2,1,87.77,85.503,87.77,85.832
14,2,1,89.928,90.989,89.928,87.511
15,2,1,88.489,87.901,88.489,86.939
16,2,1,88.489,87.553,88.489,87.069
17,2,1,86.331,84.602,86.331,84.649
18,2,1,87.77,85.831,87.77,85.815
19,2,1,87.77,85.831,87.77,85.815
20,2,1,87.05,85.998,87.05,84.882
21,2,1,87.05,85.332,87.05,84.917
22,2,1,87.77,86.153,87.77,85.868
23,2,1,88.489,87.901,88.489,86.939
24,2,1,88.489,87.352,88.489,86.379
25,2,1,88.489,90.134,88.489,86.134
26,2,1,88.489,86.372,88.489,86.538
27,2,1,89.209,90.366,89.209,86.843
28,2,1,89.209,88.699,89.209,87.695
29,2,1,87.05,85.915,87.05,84.95
30,2,1,87.77,89.189,87.77,85.474
31,2,1,88.489,89.413,88.489,86.112
32,2,1,89.209,87.517,89.209,87.082
33,2,1,89.209,90.663,89.209,86.845
34,2,1,89.209,87.308,89.209,87.042
35,2,1,89.928,91.203,89.928,87.551
36,2,1,89.209,90.188,89.209,86.81
37,2,1,88.489,86.678,88.489,86.37
38,2,1,86.331,84.2,86.331,84.872
39,2,1,84.892,82.971,84.892,83.466
40,2,1,84.892,82.593,84.892,83.472
41,2,1,86.331,83.83,86.331,84.608
42,2,1,88.489,87.553,88.489,87.069
43,2,1,85.612,83.382,85.612,84.171
44,2,1,86.331,83.807,86.331,84.655
45,2,1,84.892,82.237,84.892,82.989
46,2,1,88.489,87.374,88.489,87.49
47,2,1,85.612,82.971,85.612,83.715
48,2,1,88.489,86.895,88.489,87.044
49,2,1,87.05,86.103,87.05,86.221
50,2,1,86.331,84.678,86.331,85.157
0,2,2,83.453,81.787,83.453,82.02
1,2,2,84.173,82.891,84.173,82.337
2,2,2,85.612,83.285,85.612,83.853
3,2,2,84.173,82.478,84.173,82.654
4,2,2,85.612,82.602,85.612,82.863
5,2,2,84.173,81.988,84.173,82.012
6,2,2,83.453,82.889,83.453,81.68
7,2,2,84.892,83.605,84.892,82.763
8,2,2,82.734,82.689,82.734,81.496
9,2,2,82.734,81.612,82.734,80.74
10,2,2,83.453,83.417,83.453,81.957
11,2,2,81.295,80.912,81.295,79.478
12,2,2,81.295,80.367,81.295,79.527
13,2,2,81.295,80.912,81.295,79.478
14,2,2,82.734,81.612,82.734,80.74
15,2,2,81.295,80.379,81.295,79.708
16,2,2,83.453,83.213,83.453,82.094
17,2,2,83.453,82.818,83.453,82.038
18,2,2,82.734,82.227,82.734,81.389
19,2,2,82.734,82.027,82.734,80.802
20,2,2,82.014,81.56,82.014,80.061
21,2,2,81.295,79.722,81.295,78.81
22,2,2,86.331,86.461,86.331,85.136
23,2,2,82.014,81.715,82.014,80.644
24,2,2,82.734,82.726,82.734,81.346
25,2,2,83.453,82.818,83.453,82.038
26,2,2,82.014,80.868,82.014,80.269
27,2,2,80.576,80.058,80.576,78.511
28,2,2,82.014,81.034,82.014,80.099
29,2,2,81.295,81.039,81.295,79.209
30,2,2,82.734,82.027,82.734,80.802
31,2,2,81.295,79.689,81.295,79.022
32,2,2,83.453,81.896,83.453,81.735
33,2,2,81.295,80.367,81.295,79.527
34,2,2,81.295,80.912,81.295,79.478
35,2,2,82.734,82.027,82.734,80.802
36,2,2,82.014,81.39,82.014,80.411
37,2,2,82.014,80.541,82.014,80.223
38,2,2,84.173,83.014,84.173,82.113
39,2,2,82.014,80.162,82.014,80.519
40,2,2,82.014,80.813,82.014,80.54
41,2,2,83.453,82.779,83.453,82.533
42,2,2,83.453,81.94,83.453,81.926
43,2,2,82.014,79.662,82.014,79.792
44,2,2,82.014,80.644,82.014,80.691
45,2,2,81.295,79.794,81.295,79.911
46,2,2,82.734,82.428,82.734,81.979
47,2,2,82.014,80.541,82.014,80.406
48,2,2,82.734,81.929,82.734,81.753
49,2,2,82.734,79.774,82.734,80.666
50,2,2,82.014,80.995,82.014,80.71
0,5,0,86.331,87.265,86.331,84.641
1,5,0,86.331,88.627,86.331,84.202
2,5,0,86.331,85.759,86.331,84.262
3,5,0,85.612,86.842,85.612,83.616
4,5,0,82.734,83.408,82.734,80.455
5,5,0,84.892,84.96,84.892,82.914
6,5,0,86.331,88.898,86.331,84.682
7,5,0,86.331,87.56,86.331,84.699
8,5,0,86.331,86.11,86.331,84.64
9,5,0,84.892,85.004,84.892,83.387
10,5,0,85.612,86.443,85.612,84.346
11,5,0,84.173,84.098,84.173,82.217
12,5,0,84.173,84.462,84.173,82.209
13,5,0,83.453,86.28,83.453,81.432
14,5,0,85.612,88.429,85.612,83.989
15,5,0,86.331,87.741,86.331,85.032
16,5,0,86.331,86.11,86.331,84.64
17,5,0,86.331,86.11,86.331,84.64
18,5,0,84.892,85.004,84.892,83.387
19,5,0,84.892,85.239,84.892,83.592
20,5,0,84.173,83.565,84.173,82.428
0,5,1,87.05,84.621,87.05,85.168
1,5,1,87.77,85.867,87.77,85.661
2,5,1,88.489,87.482,88.489,87.127
3,5,1,88.489,87.19,88.489,87.133
4,5,1,91.367,92.3,91.367,89.655
5,5,1,88.489,87.302,88.489,87.298
6,5,1,89.209,90.366,89.209,86.843
7,5,1,87.77,85.385,87.77,85.91
8,5,1,88.489,85.862,88.489,86.556
9,5,1,89.928,90.747,89.928,87.534
10,5,1,87.05,84.345,87.05,85.151
11,5,1,89.928,90.936,89.928,87.544
12,5,1,87.05,85.332,87.05,84.917
13,5,1,88.489,86.736,88.489,86.333
14,5,1,89.209,87.589,89.209,87.04
15,5,1,89.209,87.589,89.209,87.04
16,5,1,87.05,86.319,87.05,86.394
17,5,1,87.05,85.601,87.05,85.879
18,5,1,89.209,88.33,89.209,88.199
19,5,1,87.05,86.305,87.05,86.185
20,5,1,87.77,86.971,87.77,87.078
0,5,2,83.453,81.787,83.453,82.02
1,5,2,82.734,81.668,82.734,81.744
2,5,2,79.856,78.394,79.856,77.672
3,5,2,81.295,79.689,81.295,79.022
4,5,2,81.295,79.822,81.295,79.245
5,5,2,83.453,82.94,83.453,81.606
6,5,2,82.734,83.16,82.734,81.561
7,5,2,82.734,82.628,82.734,81.448
8,5,2,84.173,83.093,84.173,82.041
9,5,2,85.612,84.342,85.612,83.589
10,5,2,83.453,83.417,83.453,81.957
11,5,2,84.173,84.273,84.173,82.658
12,5,2,83.453,82.009,83.453,81.846
13,5,2,82.014,80.09,82.014,79.273
14,5,2,87.05,87.318,87.05,86.231
15,5,2,83.453,83.858,83.453,82.387
16,5,2,82.734,80.41,82.734,80.67
17,5,2,84.892,83.313,84.892,82.715
18,5,2,82.734,82.504,82.734,81.153
19,5,2,83.453,81.969,83.453,81.654
20,5,2,84.892,83.605,84.892,82.763
0,10,0,86.331,87.265,86.331,84.641
1,10,0,86.331,87.015,86.331,84.593
2,10,0,84.173,84.813,84.173,82.274
3,10,0,86.331,87.015,86.331,84.593
4,10,0,85.612,85.565,85.612,83.934
5,10,0,87.77,87.702,87.77,86.409
6,10,0,85.612,84.75,85.612,83.692
7,10,0,87.05,87.162,87.05,85.707
8,10,0,85.612,85.511,85.612,83.986
9,10,0,85.612,86.842,85.612,83.616
10,10,0,86.331,87.189,86.331,84.685
0,10,1,87.05,84.621,87.05,85.168
1,10,1,87.77,85.005,87.77,85.84
2,10,1,90.647,91.984,90.647,88.996
3,10,1,89.209,88.223,89.209,87.686
4,10,1,89.209,87.589,89.209,87.04
5,10,1,87.77,85.391,87.77,86.106
6,10,1,87.77,85.503,87.77,85.832
7,10,1,89.928,89.059,89.928,88.369
8,10,1,87.05,84.61,87.05,85.357
9,10,1,87.05,85.448,87.05,85.857
10,10,1,88.489,87.847,88.489,87.958
0,10,2,83.453,81.787,83.453,82.02
1,10,2,84.892,81.563,84.892,82.57
2,10,2,83.453,82.589,83.453,81.315
3,10,2,82.014,79.755,82.014,79.482
4,10,2,81.295,80.148,81.295,79.359
5,10,2,84.892,82.403,84.892,82.215
6,10,2,83.453,81.782,83.453,81.427
7,10,2,84.173,82.066,84.173,82.021
8,10,2,82.734,82.204,82.734,81.542
9,10,2,83.453,83.723,83.453,82.613
10,10,2,81.295,80.585,81.295,79.792
0,25,0,86.331,87.265,86.331,84.641
1,25,0,84.892,86.041,84.892,82.858
2,25,0,84.173,83.724,84.173,82.281
3,25,0,84.892,85.282,84.892,82.975
4,25,0,86.331,86.349,86.331,84.684
0,25,1,87.05,84.621,87.05,85.168
1,25,1,89.209,87.308,89.209,87.042
2,25,1,87.77,85.677,87.77,85.92
3,25,1,87.77,85.677,87.77,85.92
4,25,1,88.489,86.301,88.489,86.589
0,25,2,83.453,81.787,83.453,82.02
1,25,2,82.014,81.292,82.014,80.513
2,25,2,84.173,83.693,84.173,82.992
3,25,2,82.734,81.191,82.734,80.469
4,25,2,81.295,79.004,81.295,79.134
