iter,step,fold,acc,prec,rec,f1score
0,2,0,86.331,87.265,86.331,84.641
1,2,0,86.331,85.314,86.331,84.678
2,2,0,87.05,86.913,87.05,86.015
3,2,0,86.331,85.991,86.331,85.162
4,2,0,86.331,86.636,86.331,85.58
5,2,0,86.331,85.798,86.331,85.482
6,2,0,86.331,86.587,86.331,85.218
7,2,0,84.173,85.192,84.173,82.623
8,2,0,84.173,84.813,84.173,82.274
9,2,0,86.331,86.633,86.331,85.0
10,2,0,85.612,85.761,85.612,83.672
11,2,0,84.892,84.787,84.892,82.55
12,2,0,85.612,88.429,85.612,83.989
13,2,0,84.173,86.846,84.173,82.065
14,2,0,85.612,86.142,85.612,84.039
15,2,0,85.612,85.831,85.612,83.981
16,2,0,84.892,85.282,84.892,82.975
17,2,0,85.612,85.761,85.612,83.672
18,2,0,86.331,86.933,86.331,85.055
19,2,0,84.892,85.004,84.892,83.387
20,2,0,86.331,86.369,86.331,85.099
21,2,0,84.173,84.894,84.173,82.944
22,2,0,82.734,82.983,82.734,80.617
23,2,0,84.892,85.662,84.892,83.334
24,2,0,84.173,86.151,84.173,82.594
25,2,0,87.05,88.233,87.05,86.306
26,2,0,84.173,86.151,84.173,82.594
27,2,0,83.453,84.492,83.453,82.025
28,2,0,83.453,83.593,83.453,81.631
29,2,0,84.173,86.58,84.173,82.672
30,2,0,83.453,84.013,83.453,81.706
31,2,0,82.014,84.265,82.014,79.281
32,2,0,82.734,85.147,82.734,80.475
33,2,0,83.453,85.902,83.453,81.603
34,2,0,82.014,83.434,82.014,79.829
35,2,0,83.453,85.902,83.453,81.603
36,2,0,83.453,85.902,83.453,81.603
37,2,0,84.173,86.58,84.173,82.672
38,2,0,84.173,85.612,84.173,82.698
39,2,0,83.453,84.781,83.453,81.645
40,2,0,82.014,83.434,82.014,79.829
41,2,0,82.734,85.49,82.734,80.895
42,2,0,84.892,88.379,84.892,82.499
43,2,0,84.892,86.052,84.892,83.406
44,2,0,84.892,86.411,84.892,82.552
45,2,0,82.734,85.147,82.734,80.475
46,2,0,85.612,86.921,85.612,84.265
47,2,0,82.734,84.24,82.734,79.89
48,2,0,82.014,84.265,82.014,79.281
49,2,0,83.453,83.494,83.453,81.784
50,2,0,83.453,85.902,83.453,81.603
0,2,1,87.05,84.621,87.05,85.168
1,2,1,88.489,89.439,88.489,86.076
2,2,1,87.05,84.61,87.05,85.357
3,2,1,87.77,85.296,87.77,85.8
4,2,1,87.77,85.259,87.77,85.844
5,2,1,89.209,86.534,89.209,87.197
6,2,1,89.928,88.14,89.928,87.75
7,2,1,88.489,86.544,88.489,86.301
8,2,1,89.209,88.294,89.209,87.627
9,2,1,89.209,87.36,89.209,87.001
10,2,1,88.489,87.242,88.489,87.089
11,2,1,85.612,83.284,85.612,83.651
12,2,1,85.612,83.553,85.612,83.61
13,2,1,88.489,86.372,88.489,86.538
14,2,1,89.928,88.424,89.928,88.526
15,2,1,88.489,87.242,88.489,87.089
16,2,1,89.928,88.875,89.928,88.37
17,2,1,88.489,87.302,88.489,87.298
18,2,1,87.77,86.409,87.77,86.385
19,2,1,88.489,87.027,88.489,87.308
20,2,1,89.928,89.059,89.928,88.369
21,2,1,89.928,87.939,89.928,87.714
22,2,1,88.489,86.791,88.489,86.284
23,2,1,88.489,86.544,88.489,86.301
24,2,1,89.209,87.308,89.209,87.042
25,2,1,88.489,87.074,88.489,87.263
26,2,1,87.77,86.361,87.77,86.703
27,2,1,89.209,86.396,89.209,87.221
28,2,1,89.209,87.0,89.209,87.021
29,2,1,89.928,90.597,89.928,87.505
30,2,1,89.209,86.294,89.209,87.223
31,2,1,90.647,88.396,90.647,88.401
32,2,1,88.489,85.861,88.489,86.757
33,2,1,88.489,85.861,88.489,86.757
34,2,1,90.647,91.392,90.647,88.215
35,2,1,90.647,89.069,90.647,89.206
36,2,1,90.647,89.069,90.647,89.206
37,2,1,88.489,87.29,88.489,87.031
38,2,1,88.489,87.242,88.489,87.089
39,2,1,88.489,87.864,88.489,87.117
40,2,1,88.489,88.003,88.489,87.659
41,2,1,88.489,87.657,88.489,86.951
42,2,1,89.928,89.64,89.928,88.972
43,2,1,89.209,88.386,89.209,87.841
44,2,1,89.928,90.185,89.928,88.869
45,2,1,88.489,87.368,88.489,87.24
46,2,1,88.489,88.386,88.489,87.636
47,2,1,89.209,89.063,89.209,87.695
48,2,1,89.209,89.106,89.209,88.244
49,2,1,89.209,88.921,89.209,88.373
50,2,1,89.209,88.921,89.209,88.373
0,2,2,83.453,81.787,83.453,82.02
1,2,2,84.173,82.478,84.173,82.654
2,2,2,84.892,82.573,84.892,82.657
3,2,2,84.173,82.545,84.173,82.584
4,2,2,81.295,79.822,81.295,79.245
5,2,2,84.892,82.098,84.892,82.434
6,2,2,86.331,85.857,86.331,84.742
7,2,2,87.77,87.876,87.77,85.995
8,2,2,87.77,87.791,87.77,86.045
9,2,2,85.612,85.2,85.612,83.325
10,2,2,84.892,83.313,84.892,82.715
11,2,2,84.892,84.503,84.892,83.246
12,2,2,83.453,82.589,83.453,81.315
13,2,2,86.331,85.859,86.331,84.863
14,2,2,83.453,83.417,83.453,81.957
15,2,2,84.173,82.632,84.173,82.206
16,2,2,82.734,81.612,82.734,80.74
17,2,2,82.014,82.471,82.014,80.463
18,2,2,80.576,80.141,80.576,78.492
19,2,2,81.295,80.625,81.295,79.248
20,2,2,82.014,82.471,82.014,80.463
21,2,2,82.014,81.605,82.014,79.843
22,2,2,83.453,82.589,83.453,81.315
