iter,step,fold,acc,prec,rec,f1score
0,2,0,82.734,85.884,82.734,83.692
1,2,0,82.734,85.884,82.734,83.692
2,2,0,78.417,82.785,78.417,79.402
3,2,0,79.137,83.603,79.137,80.141
4,2,0,79.137,80.751,79.137,78.589
5,2,0,79.137,80.751,79.137,78.589
6,2,0,73.381,77.479,73.381,70.834
7,2,0,74.101,78.037,74.101,71.816
8,2,0,69.065,74.038,69.065,65.055
9,2,0,69.065,74.038,69.065,65.055
10,2,0,67.626,73.221,67.626,63.946
11,2,0,68.345,73.567,68.345,64.474
12,2,0,68.345,73.567,68.345,64.474
13,2,0,68.345,73.567,68.345,64.474
14,2,0,64.748,70.585,64.748,59.947
15,2,0,66.906,72.674,66.906,63.325
16,2,0,64.029,70.614,64.029,60.024
17,2,0,65.468,71.99,65.468,62.252
18,2,0,65.468,72.192,65.468,62.285
19,2,0,65.468,72.192,65.468,62.285
20,2,0,66.187,72.134,66.187,62.276
21,2,0,66.187,72.134,66.187,62.276
22,2,0,65.468,72.192,65.468,62.285
23,2,0,65.468,72.192,65.468,62.285
24,2,0,63.309,71.809,63.309,60.681
25,2,0,63.309,71.809,63.309,60.681
26,2,0,58.993,71.666,58.993,58.577
27,2,0,59.712,71.991,59.712,59.168
28,2,0,59.712,74.834,59.712,61.156
29,2,0,61.151,76.482,61.151,63.089
30,2,0,60.432,79.84,60.432,63.488
31,2,0,61.151,80.857,61.151,64.455
32,2,0,62.59,83.938,62.59,66.592
33,2,0,62.59,83.938,62.59,66.592
34,2,0,63.309,86.213,63.309,67.816
35,2,0,64.029,85.439,64.029,68.23
36,2,0,63.309,86.539,63.309,67.819
37,2,0,63.309,86.639,63.309,67.773
38,2,0,65.468,85.769,65.468,69.48
39,2,0,66.906,86.087,66.906,70.686
40,2,0,66.906,86.087,66.906,70.686
41,2,0,66.906,86.542,66.906,70.609
42,2,0,66.906,86.542,66.906,70.609
43,2,0,66.187,86.469,66.187,69.926
44,2,0,63.309,86.096,63.309,67.242
45,2,0,64.748,86.228,64.748,68.653
46,2,0,64.029,86.161,64.029,67.953
47,2,0,64.748,85.544,64.748,68.52
48,2,0,67.626,86.713,67.626,71.184
49,2,0,67.626,86.713,67.626,71.184
50,2,0,67.626,86.713,67.626,71.184
0,2,1,73.381,88.449,73.381,77.665
1,2,1,74.101,88.533,74.101,78.235
2,2,1,66.187,81.804,66.187,70.615
3,2,1,68.345,84.693,68.345,73.103
4,2,1,75.54,78.224,75.54,74.767
5,2,1,77.698,79.931,77.698,77.11
6,2,1,69.784,75.364,69.784,67.874
7,2,1,71.223,76.038,71.223,69.216
8,2,1,67.626,74.467,67.626,65.689
9,2,1,66.906,73.626,66.906,64.51
10,2,1,62.59,69.714,62.59,57.888
11,2,1,64.748,71.457,64.748,60.665
12,2,1,61.871,68.911,61.871,56.697
13,2,1,61.151,69.346,61.151,56.665
14,2,1,58.273,68.324,58.273,54.854
15,2,1,58.273,68.324,58.273,54.854
16,2,1,64.029,69.419,64.029,57.207
17,2,1,64.029,69.419,64.029,57.207
18,2,1,64.029,69.419,64.029,57.207
19,2,1,63.309,68.731,63.309,56.698
20,2,1,60.432,68.32,60.432,55.762
21,2,1,60.432,68.32,60.432,55.762
22,2,1,58.993,69.812,58.993,55.601
23,2,1,58.273,69.55,58.273,55.114
24,2,1,55.396,69.771,55.396,53.991
25,2,1,56.115,70.614,56.115,55.164
26,2,1,50.36,69.813,50.36,51.94
27,2,1,51.799,71.435,51.799,54.148
28,2,1,48.201,73.349,48.201,53.046
29,2,1,49.64,73.755,49.64,54.644
30,2,1,49.64,74.306,49.64,55.012
31,2,1,50.36,75.188,50.36,55.982
32,2,1,55.396,75.099,55.396,59.664
33,2,1,55.396,75.099,55.396,59.664
34,2,1,56.835,75.17,56.835,60.415
35,2,1,57.554,75.912,57.554,61.374
36,2,1,56.835,74.704,56.835,59.995
37,2,1,57.554,75.435,57.554,60.972
38,2,1,56.835,74.704,56.835,59.995
39,2,1,57.554,75.435,57.554,60.972
40,2,1,57.554,74.968,57.554,60.544
41,2,1,58.993,75.948,58.993,62.068
42,2,1,58.993,75.481,58.993,61.627
43,2,1,58.993,75.481,58.993,61.627
44,2,1,58.993,74.963,58.993,61.418
45,2,1,60.432,75.471,60.432,62.482
46,2,1,59.712,74.806,59.712,61.997
47,2,1,59.712,74.806,59.712,61.997
48,2,1,60.432,75.056,60.432,62.518
49,2,1,61.151,75.303,61.151,63.035
50,2,1,61.151,75.303,61.151,63.035
0,2,2,71.942,85.539,71.942,76.293
1,2,2,71.942,85.546,71.942,76.483
2,2,2,65.468,78.91,65.468,68.262
3,2,2,65.468,79.913,65.468,69.058
4,2,2,69.784,74.74,69.784,68.565
5,2,2,69.784,74.379,69.784,68.645
6,2,2,62.59,69.026,62.59,58.71
7,2,2,62.59,68.868,62.59,58.57
8,2,2,58.993,65.844,58.993,53.193
9,2,2,58.993,65.844,58.993,53.193
10,2,2,57.554,64.021,57.554,50.737
11,2,2,57.554,65.011,57.554,51.486
12,2,2,55.396,60.915,55.396,47.534
13,2,2,56.115,62.542,56.115,48.886
14,2,2,55.396,60.915,55.396,47.534
15,2,2,55.396,60.915,55.396,47.534
16,2,2,54.676,59.851,54.676,46.52
17,2,2,55.396,61.464,55.396,47.865
18,2,2,54.676,60.036,54.676,46.663
19,2,2,55.396,61.464,55.396,47.865
20,2,2,54.676,60.235,54.676,46.812
21,2,2,55.396,61.857,55.396,48.162
22,2,2,53.237,62.608,53.237,47.815
23,2,2,53.237,62.608,53.237,47.815
24,2,2,52.518,62.914,52.518,47.553
25,2,2,52.518,62.914,52.518,47.553
26,2,2,49.64,63.014,49.64,46.147
27,2,2,51.799,66.23,51.799,49.269
28,2,2,50.36,69.277,50.36,50.451
29,2,2,51.799,70.925,51.799,52.146
30,2,2,51.799,71.43,51.799,52.353
31,2,2,51.799,71.43,51.799,52.353
32,2,2,51.799,71.709,51.799,53.07
33,2,2,52.518,72.621,52.518,54.241
34,2,2,51.799,71.709,51.799,53.07
35,2,2,52.518,72.621,52.518,54.241
36,2,2,52.518,72.099,52.518,54.028
37,2,2,53.957,73.814,53.957,56.293
38,2,2,52.518,74.496,52.518,55.973
39,2,2,53.957,76.228,53.957,58.114
40,2,2,53.957,76.891,53.957,58.349
41,2,2,55.396,78.687,55.396,60.428
42,2,2,53.237,79.615,53.237,59.196
43,2,2,53.237,80.435,53.237,59.618
44,2,2,52.518,79.37,52.518,58.76
45,2,2,52.518,79.37,52.518,58.76
46,2,2,52.518,81.144,52.518,59.272
47,2,2,52.518,81.144,52.518,59.272
48,2,2,51.799,80.956,51.799,58.657
49,2,2,53.237,82.224,53.237,60.381
50,2,2,51.799,82.881,51.799,59.433
