iter,step,fold,acc,prec,rec,f1score
0,2,0,82.734,85.884,82.734,83.692
1,2,0,82.734,85.884,82.734,83.692
2,2,0,83.453,84.595,83.453,83.574
3,2,0,83.453,84.595,83.453,83.574
4,2,0,83.453,84.595,83.453,83.574
5,2,0,83.453,84.595,83.453,83.574
6,2,0,83.453,84.595,83.453,83.574
7,2,0,83.453,84.595,83.453,83.574
8,2,0,83.453,84.595,83.453,83.574
9,2,0,83.453,84.595,83.453,83.574
10,2,0,83.453,84.595,83.453,83.574
11,2,0,83.453,84.595,83.453,83.574
12,2,0,83.453,84.595,83.453,83.574
13,2,0,83.453,84.595,83.453,83.574
14,2,0,83.453,84.595,83.453,83.574
15,2,0,83.453,84.595,83.453,83.574
16,2,0,82.734,83.436,82.734,82.898
17,2,0,84.173,85.181,84.173,84.43
18,2,0,84.173,85.181,84.173,84.43
19,2,0,84.173,85.181,84.173,84.43
20,2,0,84.892,85.633,84.892,85.093
21,2,0,84.892,85.633,84.892,85.093
22,2,0,84.892,85.633,84.892,85.093
23,2,0,84.892,85.633,84.892,85.093
24,2,0,84.892,85.633,84.892,85.093
25,2,0,84.892,85.633,84.892,85.093
26,2,0,84.892,85.633,84.892,85.093
27,2,0,84.892,85.633,84.892,85.093
28,2,0,84.892,85.633,84.892,85.093
29,2,0,84.892,85.633,84.892,85.093
30,2,0,84.892,85.633,84.892,85.093
31,2,0,84.892,85.633,84.892,85.093
32,2,0,84.892,85.633,84.892,85.093
33,2,0,84.892,85.633,84.892,85.093
34,2,0,84.892,85.633,84.892,85.093
35,2,0,84.892,85.633,84.892,85.093
36,2,0,84.892,85.633,84.892,85.093
37,2,0,84.892,85.633,84.892,85.093
38,2,0,84.892,85.633,84.892,85.093
39,2,0,84.892,85.633,84.892,85.093
40,2,0,84.892,85.633,84.892,85.093
41,2,0,84.892,85.633,84.892,85.093
42,2,0,84.892,85.633,84.892,85.093
43,2,0,84.892,85.633,84.892,85.093
44,2,0,84.892,85.633,84.892,85.093
45,2,0,84.892,85.633,84.892,85.093
46,2,0,84.892,85.633,84.892,85.093
47,2,0,84.892,85.633,84.892,85.093
48,2,0,84.892,85.633,84.892,85.093
49,2,0,84.892,85.633,84.892,85.093
50,2,0,84.892,85.633,84.892,85.093
0,2,1,73.381,88.449,73.381,77.665
1,2,1,73.381,88.449,73.381,77.665
2,2,1,73.381,88.449,73.381,77.665
3,2,1,73.381,88.449,73.381,77.665
4,2,1,73.381,88.449,73.381,77.665
5,2,1,73.381,88.449,73.381,77.665
6,2,1,73.381,88.449,73.381,77.665
7,2,1,73.381,88.449,73.381,77.665
8,2,1,73.381,88.449,73.381,77.665
9,2,1,73.381,88.449,73.381,77.665
10,2,1,73.381,88.449,73.381,77.665
11,2,1,73.381,88.449,73.381,77.665
12,2,1,73.381,88.449,73.381,77.665
13,2,1,73.381,88.449,73.381,77.665
14,2,1,76.978,88.366,76.978,80.125
15,2,1,76.978,88.366,76.978,80.125
16,2,1,76.978,88.366,76.978,80.125
17,2,1,76.978,88.366,76.978,80.125
18,2,1,77.698,88.524,77.698,80.624
19,2,1,77.698,88.524,77.698,80.624
20,2,1,77.698,88.524,77.698,80.624
21,2,1,77.698,88.524,77.698,80.624
22,2,1,77.698,88.524,77.698,80.624
23,2,1,77.698,88.524,77.698,80.624
24,2,1,77.698,88.524,77.698,80.624
25,2,1,77.698,88.524,77.698,80.624
26,2,1,77.698,88.524,77.698,80.624
27,2,1,77.698,88.524,77.698,80.624
28,2,1,77.698,88.524,77.698,80.624
29,2,1,77.698,88.524,77.698,80.624
30,2,1,77.698,88.524,77.698,80.624
31,2,1,77.698,88.524,77.698,80.624
32,2,1,77.698,88.524,77.698,80.624
33,2,1,77.698,88.524,77.698,80.624
34,2,1,77.698,88.524,77.698,80.624
35,2,1,77.698,88.524,77.698,80.624
36,2,1,77.698,88.524,77.698,80.624
37,2,1,77.698,88.524,77.698,80.624
38,2,1,77.698,88.524,77.698,80.624
39,2,1,77.698,88.524,77.698,80.624
40,2,1,77.698,88.524,77.698,80.624
41,2,1,77.698,88.524,77.698,80.624
42,2,1,77.698,88.524,77.698,80.624
43,2,1,77.698,88.524,77.698,80.624
44,2,1,77.698,88.524,77.698,80.624
45,2,1,77.698,88.524,77.698,80.624
46,2,1,77.698,88.524,77.698,80.624
47,2,1,77.698,88.524,77.698,80.624
48,2,1,77.698,88.524,77.698,80.624
49,2,1,77.698,88.524,77.698,80.624
50,2,1,77.698,88.524,77.698,80.624
0,2,2,71.942,85.539,71.942,76.293
1,2,2,71.942,85.539,71.942,76.293
2,2,2,71.942,85.539,71.942,76.293
3,2,2,75.54,82.041,75.54,77.826
4,2,2,75.54,80.945,75.54,77.3
5,2,2,75.54,80.945,75.54,77.3
6,2,2,75.54,80.945,75.54,77.3
7,2,2,75.54,80.945,75.54,77.3
8,2,2,75.54,80.945,75.54,77.3
9,2,2,75.54,80.945,75.54,77.3
10,2,2,75.54,80.945,75.54,77.3
11,2,2,75.54,80.945,75.54,77.3
12,2,2,75.54,80.945,75.54,77.3
13,2,2,79.856,80.96,79.856,79.741
14,2,2,79.856,80.96,79.856,79.741
15,2,2,79.856,80.96,79.856,79.741
16,2,2,79.856,80.96,79.856,79.741
17,2,2,79.856,80.96,79.856,79.741
18,2,2,79.856,80.96,79.856,79.741
19,2,2,79.856,80.96,79.856,79.741
20,2,2,78.417,79.468,78.417,78.441
21,2,2,78.417,79.468,78.417,78.441
22,2,2,78.417,79.468,78.417,78.441
23,2,2,78.417,79.468,78.417,78.441
24,2,2,78.417,79.468,78.417,78.441
25,2,2,78.417,79.468,78.417,78.441
26,2,2,78.417,79.468,78.417,78.441
27,2,2,78.417,79.468,78.417,78.441
28,2,2,78.417,79.468,78.417,78.441
29,2,2,78.417,79.468,78.417,78.441
30,2,2,78.417,79.468,78.417,78.441
31,2,2,78.417,79.468,78.417,78.441
32,2,2,78.417,79.468,78.417,78.441
33,2,2,78.417,79.468,78.417,78.441
34,2,2,78.417,79.468,78.417,78.441
35,2,2,78.417,79.468,78.417,78.441
36,2,2,78.417,79.468,78.417,78.441
37,2,2,78.417,79.468,78.417,78.441
38,2,2,78.417,79.468,78.417,78.441
39,2,2,78.417,79.468,78.417,78.441
40,2,2,78.417,79.468,78.417,78.441
41,2,2,78.417,79.468,78.417,78.441
42,2,2,78.417,79.468,78.417,78.441
43,2,2,78.417,79.468,78.417,78.441
44,2,2,78.417,79.468,78.417,78.441
45,2,2,78.417,79.468,78.417,78.441
46,2,2,78.417,79.468,78.417,78.441
47,2,2,78.417,79.468,78.417,78.441
48,2,2,78.417,79.468,78.417,78.441
49,2,2,78.417,79.468,78.417,78.441
50,2,2,78.417,79.468,78.417,78.441
