iter,step,fold,acc,prec,rec,f1score
0,2,0,82.734,85.884,82.734,83.692
1,2,0,80.576,84.139,80.576,81.623
2,2,0,79.137,83.434,79.137,80.317
3,2,0,78.417,82.575,78.417,79.571
4,2,0,79.856,81.819,79.856,79.448
5,2,0,79.137,80.655,79.137,78.721
6,2,0,74.101,77.971,74.101,72.12
7,2,0,74.82,78.514,74.82,73.065
8,2,0,68.345,73.47,68.345,64.42
9,2,0,68.345,73.47,68.345,64.42
10,2,0,68.345,73.567,68.345,64.474
11,2,0,68.345,73.567,68.345,64.474
12,2,0,67.626,72.748,67.626,62.851
13,2,0,67.626,72.748,67.626,62.851
14,2,0,66.187,71.213,66.187,60.511
15,2,0,66.187,71.276,66.187,60.544
16,2,0,63.309,69.121,63.309,57.652
17,2,0,63.309,69.121,63.309,57.652
18,2,0,64.748,69.798,64.748,58.678
19,2,0,64.748,69.798,64.748,58.678
20,2,0,62.59,68.591,62.59,57.042
21,2,0,62.59,68.591,62.59,57.042
22,2,0,61.871,67.732,61.871,55.855
23,2,0,62.59,68.717,62.59,57.098
24,2,0,59.712,68.288,59.712,55.194
25,2,0,58.993,67.702,58.993,54.64
26,2,0,57.554,68.833,57.554,54.414
27,2,0,57.554,68.833,57.554,54.414
28,2,0,60.432,70.887,60.432,57.771
29,2,0,60.432,70.545,60.432,57.643
30,2,0,56.115,70.192,56.115,54.781
31,2,0,56.115,69.753,56.115,54.626
32,2,0,55.396,69.876,55.396,54.197
33,2,0,55.396,69.876,55.396,54.197
34,2,0,55.396,70.343,55.396,54.358
35,2,0,55.396,69.079,55.396,54.103
36,2,0,56.835,70.675,56.835,55.975
37,2,0,56.835,70.241,56.835,55.818
38,2,0,54.676,70.029,54.676,53.769
39,2,0,55.396,70.343,55.396,54.358
40,2,0,55.396,70.05,55.396,54.815
41,2,0,55.396,70.05,55.396,54.815
42,2,0,53.957,69.406,53.957,53.635
43,2,0,53.957,69.406,53.957,53.635
44,2,0,53.957,69.406,53.957,53.635
45,2,0,53.957,69.888,53.957,53.799
46,2,0,53.957,70.39,53.957,53.969
47,2,0,53.957,70.39,53.957,53.969
48,2,0,53.957,70.39,53.957,53.969
49,2,0,55.396,71.004,55.396,55.149
50,2,0,56.115,71.304,56.115,55.731
0,2,1,73.381,88.449,73.381,77.665
1,2,1,72.662,88.366,72.662,77.089
2,2,1,79.856,80.991,79.856,79.558
3,2,1,76.978,79.649,76.978,77.195
4,2,1,69.065,75.14,69.065,67.804
5,2,1,71.942,76.366,71.942,69.689
6,2,1,69.065,75.712,69.065,67.36
7,2,1,67.626,75.169,67.626,66.4
8,2,1,65.468,72.435,65.468,62.394
9,2,1,64.748,72.404,64.748,62.072
10,2,1,61.151,69.97,61.151,57.392
11,2,1,61.151,71.086,61.151,58.428
12,2,1,61.151,70.293,61.151,57.081
13,2,1,61.151,70.293,61.151,57.081
14,2,1,60.432,69.143,60.432,56.196
15,2,1,61.151,69.413,61.151,56.662
16,2,1,58.273,69.587,58.273,55.258
17,2,1,57.554,69.332,57.554,54.78
18,2,1,55.396,69.139,55.396,53.296
19,2,1,56.115,69.405,56.115,53.797
20,2,1,56.115,69.405,56.115,53.797
21,2,1,56.115,69.038,56.115,53.624
22,2,1,56.115,69.405,56.115,53.797
23,2,1,56.115,69.038,56.115,53.624
24,2,1,53.957,68.598,53.957,52.284
25,2,1,48.921,67.427,48.921,48.987
26,2,1,46.043,68.626,46.043,47.759
27,2,1,42.446,68.124,42.446,45.234
28,2,1,44.604,67.995,44.604,46.609
29,2,1,44.604,67.995,44.604,46.609
30,2,1,43.885,67.132,43.885,45.824
31,2,1,44.604,67.995,44.604,46.609
