iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,41.796,38.462,37.728
1,2,0,33.846,35.792,33.846,33.305
2,2,0,36.923,37.947,36.923,35.299
3,2,0,33.846,34.431,33.846,32.319
4,2,0,34.615,35.085,34.615,33.05
5,2,0,37.692,43.361,37.692,37.153
6,2,0,37.692,46.861,37.692,36.536
7,2,0,39.231,47.017,39.231,38.341
8,2,0,35.385,47.191,35.385,32.503
9,2,0,43.077,48.314,43.077,41.065
10,2,0,40.769,43.942,40.769,39.259
11,2,0,39.231,47.843,39.231,37.802
12,2,0,41.538,42.71,41.538,39.211
13,2,0,42.308,42.85,42.308,38.935
14,2,0,42.308,44.527,42.308,38.782
15,2,0,40.769,40.266,40.769,37.354
16,2,0,41.538,42.632,41.538,38.217
17,2,0,43.846,47.286,43.846,39.994
18,2,0,44.615,47.629,44.615,41.357
19,2,0,40.0,39.342,40.0,35.352
20,2,0,40.769,42.876,40.769,37.351
21,2,0,41.538,37.113,41.538,34.063
22,2,0,46.154,50.84,46.154,41.171
23,2,0,43.846,50.623,43.846,39.347
24,2,0,45.385,47.418,45.385,39.598
25,2,0,41.538,43.565,41.538,35.768
26,2,0,42.308,43.994,42.308,38.481
27,2,0,42.308,46.037,42.308,38.301
28,2,0,45.385,52.073,45.385,42.038
29,2,0,43.077,44.017,43.077,39.727
30,2,0,44.615,47.884,44.615,41.042
31,2,0,41.538,42.196,41.538,37.779
32,2,0,43.077,46.653,43.077,39.511
33,2,0,46.154,50.774,46.154,43.685
34,2,0,49.231,51.142,49.231,46.038
35,2,0,46.923,49.93,46.923,42.733
36,2,0,46.923,59.267,46.923,42.924
37,2,0,46.154,53.326,46.154,42.46
38,2,0,40.0,38.055,40.0,33.979
39,2,0,48.462,48.656,48.462,44.179
40,2,0,44.615,40.964,44.615,38.797
41,2,0,43.846,46.4,43.846,39.584
42,2,0,46.923,47.213,46.923,42.757
43,2,0,39.231,39.009,39.231,34.152
44,2,0,38.462,38.615,38.462,34.25
45,2,0,41.538,39.841,41.538,35.9
46,2,0,40.769,45.426,40.769,36.208
47,2,0,39.231,37.242,39.231,33.455
48,2,0,43.077,40.745,43.077,36.736
49,2,0,43.846,43.031,43.846,39.239
50,2,0,38.462,33.556,38.462,31.84
51,2,0,43.846,45.314,43.846,38.864
52,2,0,46.154,47.336,46.154,40.412
53,2,0,44.615,45.378,44.615,40.108
54,2,0,42.308,40.227,42.308,36.952
55,2,0,43.846,40.974,43.846,38.6
56,2,0,40.0,37.759,40.0,34.027
57,2,0,43.077,44.288,43.077,38.192
58,2,0,40.0,43.427,40.0,35.422
59,2,0,41.538,44.667,41.538,38.057
60,2,0,41.538,41.989,41.538,37.168
61,2,0,43.077,42.876,43.077,38.294
62,2,0,44.615,44.991,44.615,39.362
63,2,0,40.0,40.465,40.0,35.651
64,2,0,39.231,35.901,39.231,33.987
65,2,0,41.538,40.076,41.538,36.794
66,2,0,37.692,40.06,37.692,32.85
67,2,0,43.846,46.095,43.846,39.546
68,2,0,44.615,48.271,44.615,41.116
69,2,0,43.077,41.878,43.077,37.863
70,2,0,45.385,42.345,45.385,39.581
71,2,0,43.846,44.089,43.846,39.914
72,2,0,38.462,39.035,38.462,34.153
73,2,0,41.538,41.989,41.538,37.011
74,2,0,36.923,38.291,36.923,32.121
75,2,0,37.692,38.121,37.692,33.807
76,2,0,35.385,31.33,35.385,29.859
77,2,0,41.538,40.841,41.538,36.489
78,2,0,39.231,42.499,39.231,34.824
79,2,0,43.077,51.819,43.077,38.852
80,2,0,40.769,52.142,40.769,37.518
81,2,0,40.0,49.706,40.0,36.495
82,2,0,41.538,53.692,41.538,38.93
83,2,0,43.077,55.974,43.077,41.127
84,2,0,43.077,56.113,43.077,40.331
85,2,0,41.538,48.693,41.538,37.026
86,2,0,44.615,54.705,44.615,41.412
87,2,0,45.385,52.7,45.385,42.087
88,2,0,41.538,47.233,41.538,36.869
89,2,0,40.769,52.522,40.769,37.509
90,2,0,42.308,47.29,42.308,37.441
91,2,0,43.077,51.422,43.077,39.655
92,2,0,40.0,42.474,40.0,34.487
93,2,0,42.308,52.74,42.308,38.437
94,2,0,44.615,50.945,44.615,40.039
95,2,0,43.077,51.411,43.077,39.014
96,2,0,43.077,52.679,43.077,40.011
97,2,0,42.308,50.191,42.308,39.512
98,2,0,48.462,53.885,48.462,45.109
99,2,0,48.462,59.632,48.462,46.74
100,2,0,43.077,51.649,43.077,40.762
0,2,1,38.462,38.83,38.462,38.234
1,2,1,39.231,38.794,39.231,38.54
2,2,1,33.077,31.737,33.077,31.873
3,2,1,39.231,39.516,39.231,37.385
