iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,41.796,38.462,37.728
1,2,0,29.231,34.386,29.231,29.481
2,2,0,26.923,35.749,26.923,25.635
3,2,0,28.462,34.313,28.462,27.066
4,2,0,28.462,34.313,28.462,27.066
5,2,0,28.462,29.622,28.462,25.348
6,2,0,28.462,29.622,28.462,25.348
7,2,0,34.615,44.604,34.615,32.605
8,2,0,36.923,45.464,36.923,34.969
9,2,0,32.308,35.722,32.308,31.324
10,2,0,32.308,35.722,32.308,31.324
11,2,0,33.846,40.191,33.846,31.192
12,2,0,33.077,39.717,33.077,30.816
13,2,0,32.308,36.942,32.308,29.739
14,2,0,33.846,50.003,33.846,31.255
15,2,0,38.462,38.327,38.462,35.063
16,2,0,33.846,40.332,33.846,32.732
17,2,0,35.385,46.602,35.385,33.093
18,2,0,38.462,51.076,38.462,35.544
19,2,0,40.0,53.318,40.0,37.05
20,2,0,38.462,53.106,38.462,36.422
21,2,0,31.538,34.694,31.538,28.621
22,2,0,31.538,34.694,31.538,28.621
23,2,0,34.615,31.116,34.615,31.055
24,2,0,34.615,31.116,34.615,31.055
25,2,0,38.462,41.965,38.462,35.494
26,2,0,38.462,41.965,38.462,35.494
27,2,0,40.0,40.493,40.0,36.573
28,2,0,43.846,45.365,43.846,40.199
29,2,0,48.462,42.798,48.462,43.539
30,2,0,43.077,50.891,43.077,39.375
31,2,0,43.846,50.312,43.846,38.699
32,2,0,43.846,50.312,43.846,38.699
33,2,0,43.077,41.752,43.077,37.571
34,2,0,43.077,41.752,43.077,37.571
35,2,0,43.077,47.816,43.077,38.299
36,2,0,43.846,38.619,43.846,38.659
37,2,0,43.077,38.234,43.077,39.221
38,2,0,43.077,38.234,43.077,39.221
39,2,0,47.692,53.889,47.692,43.392
40,2,0,49.231,48.498,49.231,44.582
41,2,0,44.615,42.161,44.615,39.639
42,2,0,44.615,42.161,44.615,39.639
43,2,0,49.231,56.643,49.231,46.01
44,2,0,49.231,56.643,49.231,46.01
45,2,0,46.154,38.941,46.154,40.894
46,2,0,49.231,52.388,49.231,46.236
47,2,0,48.462,51.808,48.462,46.673
48,2,0,47.692,51.424,47.692,44.76
49,2,0,49.231,51.195,49.231,46.346
50,2,0,49.231,51.195,49.231,46.346
51,2,0,45.385,47.564,45.385,42.238
52,2,0,45.385,47.564,45.385,42.238
53,2,0,44.615,46.131,44.615,40.845
54,2,0,43.846,43.913,43.846,40.099
55,2,0,47.692,51.255,47.692,44.065
56,2,0,47.692,51.255,47.692,44.065
57,2,0,46.923,50.615,46.923,42.629
58,2,0,46.923,50.615,46.923,42.629
59,2,0,44.615,45.77,44.615,39.795
60,2,0,44.615,45.77,44.615,39.795
61,2,0,46.154,48.506,46.154,43.397
62,2,0,46.154,48.506,46.154,43.397
63,2,0,50.0,52.701,50.0,45.943
64,2,0,50.0,52.701,50.0,45.943
65,2,0,43.846,47.562,43.846,38.774
66,2,0,43.846,47.562,43.846,38.774
67,2,0,43.077,47.051,43.077,39.293
68,2,0,52.308,56.191,52.308,48.65
69,2,0,49.231,46.329,49.231,44.167
70,2,0,49.231,46.329,49.231,44.167
71,2,0,45.385,45.561,45.385,40.493
72,2,0,45.385,45.561,45.385,40.493
73,2,0,47.692,52.476,47.692,43.705
74,2,0,46.923,48.797,46.923,41.116
75,2,0,49.231,53.004,49.231,44.67
76,2,0,49.231,53.004,49.231,44.67
77,2,0,46.923,49.58,46.923,42.145
78,2,0,49.231,51.731,49.231,45.25
79,2,0,44.615,49.02,44.615,39.972
80,2,0,44.615,49.02,44.615,39.972
81,2,0,46.923,46.613,46.923,41.975
82,2,0,50.769,53.347,50.769,46.442
