iter,step,fold,acc,prec,rec,f1score
0,2,0,23.846,39.849,23.846,22.967
1,2,0,26.923,43.129,26.923,23.036
2,2,0,30.0,48.088,30.0,27.389
3,2,0,28.462,34.066,28.462,27.958
4,2,0,26.923,34.581,26.923,26.751
5,2,0,26.154,38.777,26.154,26.457
6,2,0,23.846,38.412,23.846,23.802
7,2,0,23.846,39.713,23.846,24.103
8,2,0,22.308,39.059,22.308,21.793
9,2,0,23.077,45.412,23.077,23.239
10,2,0,23.846,47.036,23.846,24.283
11,2,0,23.077,36.465,23.077,23.276
12,2,0,23.077,35.207,23.077,23.195
13,2,0,22.308,34.498,22.308,22.395
14,2,0,21.538,35.624,21.538,21.477
15,2,0,21.538,28.67,21.538,20.235
16,2,0,21.538,31.421,21.538,20.432
17,2,0,23.846,28.483,23.846,22.568
18,2,0,22.308,28.759,22.308,21.462
19,2,0,23.077,29.395,23.077,22.277
20,2,0,22.308,33.529,22.308,22.282
21,2,0,21.538,33.506,21.538,21.595
22,2,0,21.538,33.506,21.538,21.595
23,2,0,20.769,27.008,20.769,19.265
24,2,0,20.0,27.846,20.0,18.664
25,2,0,23.077,26.029,23.077,21.165
26,2,0,23.077,27.712,23.077,21.463
27,2,0,25.385,32.873,25.385,23.866
28,2,0,23.846,31.996,23.846,22.59
29,2,0,26.154,38.594,26.154,25.744
30,2,0,26.154,38.594,26.154,25.744
31,2,0,26.154,38.594,26.154,25.744
32,2,0,26.154,38.594,26.154,25.744
33,2,0,26.154,38.744,26.154,25.791
34,2,0,25.385,39.157,25.385,25.072
35,2,0,25.385,38.349,25.385,24.876
36,2,0,28.462,39.721,28.462,27.359
37,2,0,28.462,40.082,28.462,27.865
38,2,0,29.231,36.417,29.231,28.602
39,2,0,33.077,36.092,33.077,31.596
40,2,0,35.385,36.605,35.385,32.794
41,2,0,36.923,37.533,36.923,33.795
42,2,0,37.692,39.089,37.692,34.401
43,2,0,37.692,39.089,37.692,34.401
44,2,0,37.692,39.246,37.692,34.393
45,2,0,36.923,38.777,36.923,33.227
46,2,0,36.923,39.655,36.923,33.48
47,2,0,36.923,41.822,36.923,33.294
48,2,0,36.923,37.933,36.923,32.069
49,2,0,36.154,37.228,36.154,31.842
50,2,0,36.923,40.619,36.923,33.563
51,2,0,36.154,39.397,36.154,32.483
52,2,0,36.154,39.397,36.154,32.483
