iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,32.795,28.462,28.328
1,2,0,26.923,31.718,26.923,27.079
2,2,0,27.692,32.98,27.692,28.547
3,2,0,30.769,34.26,30.769,31.006
4,2,0,31.538,34.428,31.538,31.349
5,2,0,36.923,39.471,36.923,35.929
6,2,0,36.923,40.02,36.923,36.366
7,2,0,39.231,41.892,39.231,38.862
8,2,0,40.0,42.672,40.0,39.471
9,2,0,40.769,44.42,40.769,40.681
10,2,0,40.769,44.609,40.769,40.654
11,2,0,42.308,44.204,42.308,41.624
12,2,0,42.308,45.068,42.308,41.876
13,2,0,43.846,46.466,43.846,43.365
14,2,0,43.077,46.263,43.077,43.038
15,2,0,44.615,48.465,44.615,43.862
16,2,0,43.077,48.027,43.077,43.012
17,2,0,40.0,42.508,40.0,39.846
18,2,0,39.231,41.658,39.231,39.117
19,2,0,42.308,44.564,42.308,42.221
20,2,0,41.538,43.586,41.538,41.189
21,2,0,43.077,46.895,43.077,42.868
22,2,0,43.077,46.895,43.077,42.868
23,2,0,43.846,46.616,43.846,44.34
24,2,0,43.077,45.853,43.077,43.602
25,2,0,41.538,45.314,41.538,42.265
26,2,0,45.385,49.727,45.385,46.084
27,2,0,45.385,47.338,45.385,45.926
28,2,0,45.385,47.394,45.385,46.021
29,2,0,46.923,51.042,46.923,47.809
30,2,0,45.385,51.447,45.385,45.944
31,2,0,45.385,54.255,45.385,45.376
32,2,0,44.615,49.248,44.615,44.974
33,2,0,44.615,49.958,44.615,45.142
34,2,0,44.615,49.958,44.615,45.142
35,2,0,45.385,50.76,45.385,45.556
36,2,0,46.154,50.202,46.154,46.848
37,2,0,45.385,49.341,45.385,45.935
38,2,0,46.923,50.057,46.923,47.591
39,2,0,47.692,49.846,47.692,47.925
40,2,0,47.692,49.593,47.692,47.678
41,2,0,50.0,51.593,50.0,49.736
42,2,0,50.0,51.47,50.0,49.528
43,2,0,50.769,52.386,50.769,49.897
44,2,0,50.769,52.379,50.769,49.84
45,2,0,52.308,55.836,52.308,52.021
46,2,0,52.308,55.836,52.308,52.021
47,2,0,53.077,56.006,53.077,52.716
48,2,0,53.077,56.006,53.077,52.716
49,2,0,52.308,55.349,52.308,52.136
50,2,0,50.769,53.966,50.769,50.62
51,2,0,52.308,54.131,52.308,51.791
52,2,0,50.0,53.978,50.0,50.393
53,2,0,51.538,54.508,51.538,51.615
54,2,0,50.0,53.291,50.0,50.197
55,2,0,49.231,52.614,49.231,49.498
