iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,32.795,28.462,28.328
1,2,0,26.154,31.934,26.154,26.501
2,2,0,27.692,31.583,27.692,27.838
3,2,0,32.308,32.309,32.308,30.487
4,2,0,33.846,34.521,33.846,32.262
5,2,0,32.308,32.733,32.308,30.441
6,2,0,35.385,39.912,35.385,34.221
7,2,0,35.385,38.136,35.385,34.219
8,2,0,35.385,36.214,35.385,33.828
9,2,0,36.154,38.571,36.154,34.627
10,2,0,38.462,39.651,38.462,36.336
11,2,0,39.231,43.288,39.231,37.728
12,2,0,35.385,37.822,35.385,34.379
13,2,0,40.769,42.917,40.769,38.661
14,2,0,42.308,45.228,42.308,40.229
15,2,0,40.769,43.229,40.769,38.558
16,2,0,43.077,47.961,43.077,39.425
17,2,0,41.538,36.496,41.538,36.94
18,2,0,39.231,35.019,39.231,35.215
19,2,0,38.462,35.221,38.462,34.946
20,2,0,42.308,37.919,42.308,38.113
21,2,0,43.077,43.226,43.077,39.87
22,2,0,41.538,41.798,41.538,37.965
23,2,0,41.538,42.883,41.538,38.947
24,2,0,40.769,40.106,40.769,37.608
25,2,0,41.538,41.403,41.538,38.383
26,2,0,46.154,44.299,46.154,43.529
27,2,0,46.923,44.766,46.923,44.252
28,2,0,46.923,47.313,46.923,45.069
29,2,0,47.692,47.012,47.692,45.46
30,2,0,48.462,47.503,48.462,46.31
31,2,0,47.692,47.344,47.692,45.523
32,2,0,48.462,49.649,48.462,45.963
33,2,0,48.462,51.518,48.462,46.254
34,2,0,47.692,50.641,47.692,45.995
35,2,0,48.462,51.283,48.462,46.5
36,2,0,47.692,46.405,47.692,45.119
37,2,0,46.154,45.668,46.154,43.881
38,2,0,47.692,46.605,47.692,44.955
39,2,0,46.923,45.448,46.923,44.299
40,2,0,48.462,49.087,48.462,45.968
41,2,0,51.538,50.977,51.538,48.577
42,2,0,46.923,45.605,46.923,44.49
43,2,0,50.0,48.475,50.0,46.995
44,2,0,51.538,49.538,51.538,48.261
45,2,0,52.308,50.402,52.308,48.501
46,2,0,46.154,44.801,46.154,42.852
47,2,0,47.692,47.727,47.692,44.343
48,2,0,46.923,45.416,46.923,42.871
