iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,32.795,28.462,28.328
1,2,0,26.154,31.934,26.154,26.501
2,2,0,24.615,28.435,24.615,24.54
3,2,0,24.615,29.406,24.615,25.019
4,2,0,24.615,28.723,24.615,25.067
5,2,0,32.308,31.972,32.308,30.9
6,2,0,32.308,32.27,32.308,30.93
7,2,0,31.538,34.0,31.538,31.336
8,2,0,34.615,37.704,34.615,34.249
9,2,0,33.077,35.817,33.077,31.979
10,2,0,34.615,37.263,34.615,33.464
11,2,0,35.385,37.636,35.385,35.127
12,2,0,40.0,42.572,40.0,39.711
13,2,0,38.462,40.953,38.462,37.635
14,2,0,40.769,41.716,40.769,39.996
15,2,0,38.462,39.945,38.462,38.19
16,2,0,39.231,40.613,39.231,37.857
17,2,0,40.0,41.092,40.0,38.802
18,2,0,39.231,40.474,39.231,38.076
19,2,0,38.462,41.304,38.462,36.664
20,2,0,40.769,43.791,40.769,39.235
21,2,0,39.231,43.578,39.231,38.274
22,2,0,43.846,50.209,43.846,43.729
23,2,0,42.308,47.963,42.308,42.002
24,2,0,41.538,47.714,41.538,41.463
25,2,0,41.538,46.855,41.538,41.739
26,2,0,42.308,47.876,42.308,42.28
27,2,0,43.077,49.018,43.077,43.068
28,2,0,44.615,49.482,44.615,43.377
29,2,0,43.077,48.33,43.077,42.241
30,2,0,42.308,47.906,42.308,41.735
31,2,0,43.077,44.752,43.077,41.266
32,2,0,43.077,44.591,43.077,40.59
33,2,0,41.538,44.044,41.538,39.75
34,2,0,43.846,46.711,43.846,42.466
35,2,0,42.308,46.564,42.308,41.506
36,2,0,43.077,44.833,43.077,42.198
37,2,0,44.615,47.584,44.615,44.038
38,2,0,43.846,47.203,43.846,43.52
39,2,0,47.692,50.611,47.692,47.062
40,2,0,47.692,50.611,47.692,47.062
41,2,0,46.923,50.302,46.923,46.059
42,2,0,46.154,49.058,46.154,45.113
43,2,0,45.385,48.305,45.385,43.914
44,2,0,45.385,48.305,45.385,43.914
45,2,0,45.385,48.991,45.385,44.231
46,2,0,43.077,46.248,43.077,41.937
47,2,0,48.462,51.891,48.462,47.254
48,2,0,46.923,51.832,46.923,46.472
