iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,32.795,28.462,28.328
1,2,0,26.154,31.932,26.154,26.905
2,2,0,27.692,32.763,27.692,28.358
3,2,0,29.231,34.694,29.231,29.019
4,2,0,28.462,34.745,28.462,28.524
5,2,0,30.0,33.369,30.0,29.632
6,2,0,30.769,33.934,30.769,29.903
7,2,0,30.0,33.466,30.0,29.476
8,2,0,30.769,35.011,30.769,30.123
9,2,0,34.615,36.819,34.615,33.594
10,2,0,36.923,37.638,36.923,34.568
11,2,0,34.615,36.065,34.615,33.448
12,2,0,35.385,38.698,35.385,34.919
13,2,0,32.308,36.328,32.308,31.378
14,2,0,35.385,40.309,35.385,34.939
15,2,0,35.385,40.462,35.385,35.157
16,2,0,36.154,41.043,36.154,35.652
17,2,0,38.462,43.583,38.462,38.417
18,2,0,37.692,43.507,37.692,37.613
19,2,0,39.231,45.816,39.231,39.292
20,2,0,39.231,44.35,39.231,39.014
21,2,0,41.538,46.784,41.538,41.851
22,2,0,42.308,47.575,42.308,42.853
23,2,0,39.231,45.734,39.231,40.205
24,2,0,37.692,43.211,37.692,38.749
25,2,0,37.692,43.211,37.692,38.749
26,2,0,39.231,44.633,39.231,40.391
27,2,0,39.231,45.41,39.231,40.482
28,2,0,40.0,46.447,40.0,41.368
29,2,0,40.0,48.01,40.0,41.068
30,2,0,40.0,44.838,40.0,40.863
31,2,0,39.231,47.694,39.231,40.045
32,2,0,39.231,46.846,39.231,39.612
33,2,0,39.231,44.858,39.231,39.221
34,2,0,39.231,44.903,39.231,39.197
35,2,0,38.462,43.729,38.462,38.368
36,2,0,39.231,43.853,39.231,39.515
37,2,0,40.0,45.503,40.0,40.268
38,2,0,41.538,48.957,41.538,42.067
39,2,0,40.769,46.552,40.769,41.171
40,2,0,40.769,45.667,40.769,40.974
41,2,0,40.0,46.677,40.0,40.133
42,2,0,40.0,44.944,40.0,40.114
43,2,0,39.231,43.697,39.231,39.218
44,2,0,40.0,45.141,40.0,40.23
45,2,0,40.769,44.741,40.769,40.168
46,2,0,42.308,46.719,42.308,41.881
47,2,0,41.538,44.473,41.538,40.782
48,2,0,43.077,48.969,43.077,43.497
49,2,0,42.308,46.975,42.308,42.391
50,2,0,40.769,46.508,40.769,40.447
51,2,0,42.308,50.745,42.308,42.336
52,2,0,39.231,46.712,39.231,39.862
53,2,0,38.462,47.046,38.462,38.835
54,2,0,43.077,48.538,43.077,43.122
55,2,0,40.769,46.406,40.769,40.458
56,2,0,42.308,46.337,42.308,42.244
57,2,0,43.077,49.056,43.077,44.087
58,2,0,41.538,46.067,41.538,42.004
59,2,0,42.308,46.904,42.308,42.86
60,2,0,41.538,45.877,41.538,41.694
61,2,0,41.538,45.877,41.538,41.694
62,2,0,42.308,46.437,42.308,42.4
63,2,0,43.846,50.375,43.846,44.342
64,2,0,42.308,48.489,42.308,42.96
65,2,0,45.385,49.985,45.385,45.048
66,2,0,46.923,48.476,46.923,45.389
67,2,0,46.923,48.504,46.923,45.474
68,2,0,46.154,48.359,46.154,45.169
69,2,0,46.154,45.778,46.154,45.246
70,2,0,46.923,46.853,46.923,46.473
71,2,0,45.385,45.406,45.385,44.952
72,2,0,45.385,45.243,45.385,44.924
73,2,0,43.846,43.837,43.846,43.521
74,2,0,49.231,49.122,49.231,48.905
75,2,0,49.231,49.121,49.231,48.846
76,2,0,50.0,49.655,50.0,49.532
77,2,0,49.231,48.459,49.231,48.282
78,2,0,51.538,52.766,51.538,51.162
79,2,0,50.769,52.115,50.769,50.447
80,2,0,50.0,52.74,50.0,50.018
81,2,0,50.0,51.669,50.0,49.962
82,2,0,47.692,48.699,47.692,47.615
83,2,0,48.462,49.472,48.462,48.404
84,2,0,47.692,48.654,47.692,47.579
85,2,0,50.0,50.835,50.0,49.761
86,2,0,50.769,51.581,50.769,50.5
87,2,0,50.769,51.438,50.769,50.547
88,2,0,49.231,49.815,49.231,48.989
89,2,0,49.231,50.23,49.231,49.194
90,2,0,50.0,50.956,50.0,49.908
91,2,0,38.462,43.082,38.462,39.348
92,2,0,46.923,46.797,46.923,46.072
93,2,0,51.538,53.832,51.538,51.635
94,2,0,49.231,50.311,49.231,49.094
95,2,0,53.077,52.322,53.077,52.309
96,2,0,51.538,51.931,51.538,50.984
97,2,0,50.769,51.302,50.769,50.437
98,2,0,50.769,50.18,50.769,50.166
99,2,0,53.077,52.367,53.077,52.243
100,2,0,51.538,51.373,51.538,50.817
0,2,1,32.308,35.371,32.308,32.466
1,2,1,31.538,33.04,31.538,31.391
2,2,1,31.538,32.075,31.538,31.134
3,2,1,33.846,34.596,33.846,33.011
4,2,1,36.923,37.279,36.923,35.718
5,2,1,36.154,37.024,36.154,35.209
6,2,1,36.154,36.689,36.154,35.091
7,2,1,36.923,37.332,36.923,35.813
8,2,1,35.385,36.34,35.385,34.549
9,2,1,37.692,38.394,37.692,36.568
10,2,1,35.385,38.723,35.385,35.547
11,2,1,37.692,41.931,37.692,37.92
12,2,1,38.462,43.706,38.462,38.909
13,2,1,40.0,45.344,40.0,39.999
14,2,1,40.0,46.32,40.0,40.384
15,2,1,40.769,46.34,40.769,40.589
16,2,1,36.923,39.196,36.923,35.964
17,2,1,36.923,40.018,36.923,36.272
18,2,1,42.308,45.402,42.308,41.141
19,2,1,40.769,42.684,40.769,40.067
20,2,1,42.308,44.639,42.308,41.17
21,2,1,44.615,46.705,44.615,43.764
22,2,1,45.385,47.825,45.385,44.676
23,2,1,42.308,44.089,42.308,41.837
24,2,1,41.538,42.756,41.538,40.636
25,2,1,38.462,40.359,38.462,36.85
26,2,1,39.231,41.274,39.231,37.552
27,2,1,39.231,41.274,39.231,37.552
28,2,1,40.0,41.883,40.0,38.164
29,2,1,37.692,39.012,37.692,36.061
30,2,1,38.462,39.891,38.462,36.925
31,2,1,38.462,39.891,38.462,36.925
32,2,1,40.0,40.605,40.0,38.195
33,2,1,40.769,42.404,40.769,39.015
34,2,1,40.769,41.465,40.769,39.125
35,2,1,40.769,41.35,40.769,39.243
36,2,1,40.769,42.813,40.769,40.093
37,2,1,40.769,42.813,40.769,40.093
38,2,1,39.231,41.154,39.231,38.313
39,2,1,38.462,39.754,38.462,37.669
40,2,1,42.308,43.558,42.308,41.287
41,2,1,43.846,46.018,43.846,43.285
42,2,1,43.077,45.454,43.077,41.88
43,2,1,42.308,44.017,42.308,41.078
44,2,1,42.308,44.032,42.308,41.009
45,2,1,41.538,42.507,41.538,39.986
46,2,1,40.769,41.517,40.769,39.353
47,2,1,40.769,41.517,40.769,39.353
48,2,1,42.308,44.195,42.308,41.156
