iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,32.795,28.462,28.328
1,2,0,28.462,32.795,28.462,28.328
2,2,0,28.462,32.795,28.462,28.328
3,2,0,28.462,32.795,28.462,28.328
4,2,0,27.692,32.258,27.692,27.543
5,2,0,27.692,32.258,27.692,27.543
6,2,0,30.769,35.205,30.769,31.282
7,2,0,30.769,35.205,30.769,31.282
8,2,0,30.769,35.205,30.769,31.282
9,2,0,30.769,35.205,30.769,31.282
10,2,0,36.154,39.609,36.154,36.392
11,2,0,37.692,40.372,37.692,37.284
12,2,0,37.692,40.372,37.692,37.284
13,2,0,37.692,40.372,37.692,37.284
14,2,0,36.154,42.131,36.154,36.258
15,2,0,36.923,43.084,36.923,36.931
16,2,0,36.923,43.084,36.923,36.931
17,2,0,36.923,43.084,36.923,36.931
18,2,0,36.923,43.084,36.923,36.931
19,2,0,36.923,43.084,36.923,36.931
20,2,0,36.923,43.084,36.923,36.931
21,2,0,36.923,43.084,36.923,36.931
22,2,0,36.923,43.084,36.923,36.931
23,2,0,36.923,43.084,36.923,36.931
24,2,0,36.923,43.084,36.923,36.931
25,2,0,36.923,43.084,36.923,36.931
26,2,0,36.923,43.084,36.923,36.931
27,2,0,36.923,42.553,36.923,36.277
28,2,0,36.923,42.553,36.923,36.277
29,2,0,36.923,42.553,36.923,36.277
30,2,0,36.923,42.553,36.923,36.277
31,2,0,36.923,42.553,36.923,36.277
32,2,0,39.231,42.16,39.231,37.871
33,2,0,44.615,46.19,44.615,43.88
34,2,0,44.615,46.19,44.615,43.88
35,2,0,44.615,46.19,44.615,43.88
36,2,0,44.615,46.19,44.615,43.88
37,2,0,44.615,46.19,44.615,43.88
38,2,0,44.615,46.19,44.615,43.88
39,2,0,44.615,46.19,44.615,43.88
40,2,0,44.615,46.19,44.615,43.88
41,2,0,44.615,46.19,44.615,43.88
42,2,0,44.615,46.19,44.615,43.88
43,2,0,44.615,46.19,44.615,43.88
44,2,0,40.769,42.37,40.769,39.562
45,2,0,40.769,42.37,40.769,39.562
46,2,0,40.769,42.37,40.769,39.562
47,2,0,40.769,42.37,40.769,39.562
48,2,0,40.769,42.37,40.769,39.562
49,2,0,40.769,42.37,40.769,39.562
50,2,0,42.308,42.933,42.308,41.023
51,2,0,42.308,42.933,42.308,41.023
52,2,0,42.308,42.933,42.308,41.023
53,2,0,42.308,42.933,42.308,41.023
54,2,0,42.308,42.933,42.308,41.023
55,2,0,42.308,42.933,42.308,41.023
56,2,0,42.308,42.933,42.308,41.023
57,2,0,42.308,42.933,42.308,41.023
58,2,0,42.308,42.933,42.308,41.023
59,2,0,42.308,42.933,42.308,41.023
60,2,0,42.308,42.933,42.308,41.023
61,2,0,42.308,42.933,42.308,41.023
62,2,0,42.308,42.933,42.308,41.023
63,2,0,42.308,42.933,42.308,41.023
64,2,0,42.308,42.933,42.308,41.023
65,2,0,42.308,42.933,42.308,41.023
66,2,0,42.308,42.933,42.308,41.023
67,2,0,42.308,42.933,42.308,41.023
68,2,0,42.308,42.933,42.308,41.023
69,2,0,42.308,42.933,42.308,41.023
70,2,0,42.308,42.933,42.308,41.023
71,2,0,42.308,42.933,42.308,41.023
72,2,0,42.308,42.933,42.308,41.023
73,2,0,42.308,42.933,42.308,41.023
74,2,0,42.308,42.933,42.308,41.023
75,2,0,42.308,42.933,42.308,41.023
76,2,0,42.308,42.933,42.308,41.023
77,2,0,42.308,42.933,42.308,41.023
78,2,0,42.308,42.933,42.308,41.023
79,2,0,42.308,42.933,42.308,41.023
80,2,0,42.308,42.933,42.308,41.023
81,2,0,42.308,42.933,42.308,41.023
82,2,0,42.308,42.933,42.308,41.023
83,2,0,42.308,42.933,42.308,41.023
84,2,0,42.308,42.933,42.308,41.023
85,2,0,42.308,42.933,42.308,41.023
86,2,0,42.308,42.933,42.308,41.023
87,2,0,42.308,42.933,42.308,41.023
88,2,0,42.308,42.933,42.308,41.023
89,2,0,42.308,42.933,42.308,41.023
90,2,0,45.385,44.375,45.385,43.845
91,2,0,46.154,45.076,46.154,44.363
92,2,0,46.154,45.076,46.154,44.363
93,2,0,46.154,45.076,46.154,44.363
94,2,0,46.154,45.076,46.154,44.363
95,2,0,46.154,45.076,46.154,44.363
96,2,0,46.154,45.076,46.154,44.363
97,2,0,46.154,45.076,46.154,44.363
98,2,0,46.154,45.076,46.154,44.363
99,2,0,46.154,45.076,46.154,44.363
100,2,0,46.154,45.076,46.154,44.363
0,2,1,32.308,35.371,32.308,32.466
1,2,1,32.308,35.371,32.308,32.466
2,2,1,30.769,32.347,30.769,30.756
3,2,1,30.769,32.347,30.769,30.756
4,2,1,30.769,32.347,30.769,30.756
5,2,1,35.385,39.527,35.385,35.957
6,2,1,37.692,43.181,37.692,37.978
7,2,1,38.462,43.73,38.462,39.391
8,2,1,40.0,45.091,40.0,40.971
9,2,1,40.0,45.091,40.0,40.971
10,2,1,40.0,45.091,40.0,40.971
11,2,1,40.0,45.091,40.0,40.971
12,2,1,38.462,43.33,38.462,39.312
13,2,1,38.462,43.33,38.462,39.312
14,2,1,38.462,43.33,38.462,39.312
15,2,1,38.462,43.33,38.462,39.312
16,2,1,38.462,43.33,38.462,39.312
17,2,1,38.462,43.33,38.462,39.312
18,2,1,38.462,43.33,38.462,39.312
19,2,1,38.462,43.33,38.462,39.312
20,2,1,38.462,43.33,38.462,39.312
21,2,1,38.462,43.33,38.462,39.312
22,2,1,38.462,43.33,38.462,39.312
23,2,1,37.692,43.079,37.692,38.78
24,2,1,41.538,47.074,41.538,42.057
25,2,1,41.538,47.074,41.538,42.057
26,2,1,41.538,47.074,41.538,42.057
27,2,1,41.538,47.074,41.538,42.057
28,2,1,41.538,47.074,41.538,42.057
29,2,1,41.538,47.074,41.538,42.057
30,2,1,41.538,47.074,41.538,42.057
31,2,1,41.538,47.074,41.538,42.057
32,2,1,41.538,47.074,41.538,42.057
33,2,1,42.308,47.693,42.308,42.711
34,2,1,42.308,47.693,42.308,42.711
35,2,1,42.308,47.693,42.308,42.711
36,2,1,43.846,49.805,43.846,44.568
37,2,1,43.846,49.805,43.846,44.568
38,2,1,43.846,49.805,43.846,44.568
39,2,1,43.846,49.805,43.846,44.568
40,2,1,43.846,49.805,43.846,44.568
41,2,1,43.846,49.805,43.846,44.568
42,2,1,43.846,49.805,43.846,44.568
43,2,1,43.846,49.805,43.846,44.568
44,2,1,43.846,49.805,43.846,44.568
45,2,1,43.846,49.805,43.846,44.568
46,2,1,43.846,49.805,43.846,44.568
47,2,1,43.846,49.805,43.846,44.568
48,2,1,43.846,49.805,43.846,44.568
49,2,1,43.846,49.805,43.846,44.568
50,2,1,43.846,49.805,43.846,44.568
51,2,1,43.846,49.805,43.846,44.568
52,2,1,43.846,49.805,43.846,44.568
53,2,1,43.846,49.805,43.846,44.568
54,2,1,43.846,49.805,43.846,44.568
55,2,1,43.846,49.805,43.846,44.568
56,2,1,43.846,49.805,43.846,44.568
57,2,1,43.846,49.805,43.846,44.568
58,2,1,43.846,49.805,43.846,44.568
59,2,1,43.846,49.805,43.846,44.568
60,2,1,43.846,49.805,43.846,44.568
61,2,1,43.846,49.805,43.846,44.568
62,2,1,43.846,49.805,43.846,44.568
63,2,1,43.846,49.805,43.846,44.568
64,2,1,43.846,49.805,43.846,44.568
65,2,1,43.846,49.805,43.846,44.568
66,2,1,43.846,49.805,43.846,44.568
67,2,1,43.846,49.805,43.846,44.568
68,2,1,43.846,49.805,43.846,44.568
69,2,1,43.846,49.805,43.846,44.568
70,2,1,43.846,49.805,43.846,44.568
71,2,1,43.846,49.805,43.846,44.568
72,2,1,43.846,49.805,43.846,44.568
73,2,1,43.846,49.805,43.846,44.568
74,2,1,43.846,49.805,43.846,44.568
75,2,1,43.846,49.805,43.846,44.568
76,2,1,43.846,49.805,43.846,44.568
77,2,1,43.846,49.805,43.846,44.568
78,2,1,43.846,49.805,43.846,44.568
79,2,1,43.846,49.805,43.846,44.568
80,2,1,43.846,49.805,43.846,44.568
81,2,1,43.846,49.805,43.846,44.568
82,2,1,43.846,49.805,43.846,44.568
83,2,1,43.846,49.805,43.846,44.568
84,2,1,43.846,49.805,43.846,44.568
85,2,1,43.846,49.805,43.846,44.568
86,2,1,43.846,49.805,43.846,44.568
87,2,1,43.846,49.805,43.846,44.568
88,2,1,43.846,49.805,43.846,44.568
89,2,1,43.846,49.805,43.846,44.568
90,2,1,43.846,49.805,43.846,44.568
91,2,1,43.846,49.805,43.846,44.568
92,2,1,43.846,49.805,43.846,44.568
93,2,1,43.846,49.805,43.846,44.568
94,2,1,43.846,49.805,43.846,44.568
95,2,1,43.846,49.805,43.846,44.568
96,2,1,43.846,49.805,43.846,44.568
97,2,1,43.846,49.805,43.846,44.568
98,2,1,43.846,49.805,43.846,44.568
99,2,1,43.846,49.805,43.846,44.568
100,2,1,43.846,49.805,43.846,44.568
0,2,2,27.692,30.487,27.692,26.965
1,2,2,27.692,30.487,27.692,26.965
2,2,2,25.385,27.971,25.385,25.401
3,2,2,25.385,27.971,25.385,25.401
4,2,2,25.385,27.971,25.385,25.401
5,2,2,28.462,34.571,28.462,28.895
6,2,2,28.462,34.571,28.462,28.895
7,2,2,28.462,34.571,28.462,28.895
8,2,2,28.462,34.571,28.462,28.895
9,2,2,28.462,34.571,28.462,28.895
10,2,2,28.462,34.571,28.462,28.895
11,2,2,28.462,34.571,28.462,28.895
12,2,2,28.462,34.571,28.462,28.895
13,2,2,33.077,34.178,33.077,32.035
14,2,2,33.077,34.178,33.077,32.035
15,2,2,33.077,34.178,33.077,32.035
16,2,2,33.077,34.178,33.077,32.035
17,2,2,33.077,34.178,33.077,32.035
18,2,2,33.077,34.178,33.077,32.035
19,2,2,33.077,34.178,33.077,32.035
20,2,2,33.077,34.178,33.077,32.035
21,2,2,36.154,35.994,36.154,34.413
22,2,2,36.923,37.922,36.923,35.26
23,2,2,36.923,37.922,36.923,35.26
24,2,2,36.923,37.922,36.923,35.26
25,2,2,36.154,37.503,36.154,35.431
26,2,2,36.154,37.503,36.154,35.431
27,2,2,36.154,37.503,36.154,35.431
28,2,2,36.154,37.503,36.154,35.431
29,2,2,38.462,38.281,38.462,37.968
30,2,2,38.462,38.281,38.462,37.968
31,2,2,38.462,38.281,38.462,37.968
