iter,step,fold,acc,prec,rec,f1score
0,2,0,26.923,27.71,26.923,27.118
1,2,0,25.385,23.144,25.385,23.442
2,2,0,26.154,23.967,26.154,24.242
3,2,0,33.846,34.698,33.846,33.082
4,2,0,33.077,32.454,33.077,32.285
5,2,0,36.154,35.003,36.154,35.482
6,2,0,36.923,36.27,36.923,36.347
7,2,0,40.769,41.196,40.769,40.726
8,2,0,40.769,40.826,40.769,40.382
9,2,0,40.0,40.187,40.0,39.678
10,2,0,39.231,39.386,39.231,38.944
11,2,0,40.769,40.166,40.769,39.989
12,2,0,40.769,40.014,40.769,40.025
13,2,0,39.231,40.636,39.231,39.438
14,2,0,39.231,40.627,39.231,39.423
15,2,0,39.231,39.768,39.231,39.06
16,2,0,40.769,42.01,40.769,40.861
17,2,0,41.538,42.601,41.538,41.72
18,2,0,43.077,44.061,43.077,43.094
19,2,0,40.769,42.756,40.769,41.194
20,2,0,40.769,42.187,40.769,40.907
21,2,0,43.846,44.56,43.846,43.007
22,2,0,43.077,43.253,43.077,42.366
23,2,0,40.769,40.812,40.769,40.194
24,2,0,41.538,41.672,41.538,40.871
25,2,0,39.231,40.449,39.231,38.947
26,2,0,40.0,39.91,40.0,39.521
27,2,0,42.308,43.43,42.308,41.803
28,2,0,39.231,39.08,39.231,38.808
29,2,0,42.308,42.68,42.308,41.876
30,2,0,40.0,40.596,40.0,39.606
31,2,0,41.538,39.981,41.538,40.283
32,2,0,43.077,43.224,43.077,42.585
33,2,0,40.0,40.072,40.0,39.239
34,2,0,41.538,42.165,41.538,40.85
35,2,0,43.846,44.694,43.846,43.217
36,2,0,43.077,43.731,43.077,42.493
37,2,0,42.308,44.377,42.308,41.558
38,2,0,43.077,46.431,43.077,42.743
39,2,0,42.308,43.096,42.308,41.44
40,2,0,42.308,43.773,42.308,41.581
41,2,0,43.846,45.259,43.846,43.17
42,2,0,46.154,48.764,46.154,45.677
43,2,0,43.077,45.055,43.077,42.186
44,2,0,44.615,41.917,44.615,42.806
45,2,0,44.615,44.112,44.615,43.468
46,2,0,44.615,44.482,44.615,43.609
47,2,0,43.846,43.554,43.846,43.058
48,2,0,43.846,43.43,43.846,43.389
49,2,0,45.385,45.261,45.385,45.192
50,2,0,44.615,44.411,44.615,44.342
51,2,0,45.385,46.182,45.385,45.117
52,2,0,46.154,46.578,46.154,45.771
53,2,0,46.923,47.402,46.923,47.053
54,2,0,47.692,47.943,47.692,47.668
55,2,0,47.692,48.02,47.692,47.688
56,2,0,48.462,48.762,48.462,48.398
57,2,0,48.462,49.273,48.462,48.684
58,2,0,46.923,48.124,46.923,47.26
59,2,0,50.0,51.604,50.0,50.466
60,2,0,50.769,52.352,50.769,51.164
61,2,0,52.308,54.102,52.308,52.763
62,2,0,50.0,51.832,50.0,50.568
63,2,0,50.769,51.758,50.769,51.035
64,2,0,50.769,51.734,50.769,50.978
65,2,0,50.769,51.443,50.769,50.92
66,2,0,50.0,50.996,50.0,50.297
67,2,0,53.846,54.027,53.846,53.702
68,2,0,53.846,53.963,53.846,53.568
69,2,0,53.077,53.276,53.077,52.778
