iter,step,fold,acc,prec,rec,f1score
0,2,0,26.923,27.71,26.923,27.118
1,2,0,25.385,26.619,25.385,24.236
2,2,0,24.615,27.815,24.615,23.312
3,2,0,22.308,25.198,22.308,20.289
4,2,0,25.385,27.574,25.385,22.483
5,2,0,26.154,27.375,26.154,21.445
6,2,0,26.154,21.549,26.154,19.691
7,2,0,26.923,35.647,26.923,24.68
8,2,0,28.462,30.679,28.462,24.13
9,2,0,26.154,35.75,26.154,22.856
10,2,0,24.615,26.329,24.615,21.674
11,2,0,27.692,28.446,27.692,24.121
12,2,0,26.154,23.519,26.154,20.778
13,2,0,26.154,25.501,26.154,20.501
14,2,0,26.154,28.231,26.154,20.619
15,2,0,30.0,33.637,30.0,23.113
16,2,0,29.231,33.964,29.231,23.973
17,2,0,28.462,33.779,28.462,22.985
18,2,0,28.462,32.078,28.462,23.32
19,2,0,35.385,42.531,35.385,31.628
20,2,0,36.154,42.428,36.154,31.847
21,2,0,35.385,41.846,35.385,31.096
22,2,0,32.308,41.762,32.308,28.929
23,2,0,36.154,38.939,36.154,31.675
24,2,0,30.0,40.699,30.0,26.899
25,2,0,30.0,40.663,30.0,25.894
26,2,0,29.231,36.49,29.231,25.675
27,2,0,33.077,40.554,33.077,30.41
28,2,0,35.385,42.62,35.385,32.755
29,2,0,36.154,41.195,36.154,33.287
30,2,0,33.077,37.149,33.077,30.616
31,2,0,35.385,40.866,35.385,32.918
32,2,0,38.462,43.838,38.462,35.773
33,2,0,37.692,42.285,37.692,34.858
34,2,0,40.0,42.363,40.0,36.168
35,2,0,41.538,45.157,41.538,38.915
36,2,0,42.308,43.262,42.308,39.613
37,2,0,42.308,42.979,42.308,39.615
38,2,0,44.615,47.737,44.615,42.485
39,2,0,43.077,44.445,43.077,41.072
40,2,0,44.615,46.149,44.615,42.493
41,2,0,46.154,48.435,46.154,44.316
42,2,0,45.385,47.873,45.385,43.484
43,2,0,43.846,47.607,43.846,42.902
44,2,0,43.077,44.885,43.077,41.65
45,2,0,42.308,43.348,42.308,39.338
46,2,0,48.462,53.614,48.462,46.492
47,2,0,45.385,49.686,45.385,44.188
48,2,0,46.154,49.344,46.154,44.208
49,2,0,45.385,48.829,45.385,43.513
50,2,0,45.385,47.533,45.385,43.119
51,2,0,44.615,46.956,44.615,42.403
52,2,0,43.846,46.452,43.846,41.754
53,2,0,47.692,49.869,47.692,45.566
54,2,0,47.692,50.595,47.692,46.005
55,2,0,46.923,50.618,46.923,44.921
56,2,0,49.231,51.153,49.231,47.129
57,2,0,48.462,50.902,48.462,46.627
58,2,0,50.0,52.845,50.0,48.039
59,2,0,50.0,52.115,50.0,48.023
60,2,0,51.538,54.242,51.538,49.946
61,2,0,50.0,52.613,50.0,48.746
62,2,0,51.538,54.021,51.538,49.703
63,2,0,51.538,52.612,51.538,49.596
64,2,0,48.462,49.725,48.462,47.176
65,2,0,50.0,51.311,50.0,48.851
66,2,0,52.308,54.186,52.308,51.394
67,2,0,53.846,53.708,53.846,52.638
68,2,0,52.308,52.123,52.308,50.416
69,2,0,53.077,53.053,53.077,51.234
70,2,0,53.846,54.057,53.846,51.802
71,2,0,49.231,48.479,49.231,46.919
72,2,0,50.0,49.236,50.0,47.872
73,2,0,50.0,48.505,50.0,47.879
74,2,0,50.0,49.508,50.0,48.052
75,2,0,51.538,50.944,51.538,49.4
76,2,0,51.538,50.339,51.538,48.973
77,2,0,53.846,52.176,53.846,51.001
78,2,0,53.846,51.773,53.846,51.221
79,2,0,52.308,50.58,52.308,49.542
80,2,0,51.538,50.185,51.538,49.039
81,2,0,52.308,50.761,52.308,49.509
82,2,0,53.077,51.564,53.077,50.238
83,2,0,53.077,51.974,53.077,50.182
84,2,0,53.846,52.833,53.846,51.035
85,2,0,53.846,52.918,53.846,51.104
86,2,0,53.077,52.079,53.077,50.549
87,2,0,52.308,49.795,52.308,49.067
88,2,0,53.077,49.824,53.077,49.838
89,2,0,52.308,50.331,52.308,49.509
90,2,0,55.385,54.512,55.385,52.927
91,2,0,53.846,54.603,53.846,51.842
92,2,0,53.077,50.837,53.077,50.59
93,2,0,54.615,54.238,54.615,51.998
94,2,0,54.615,54.122,54.615,51.795
95,2,0,56.154,56.118,56.154,54.793
96,2,0,57.692,57.188,57.692,56.247
97,2,0,54.615,54.194,54.615,53.124
98,2,0,56.154,55.42,56.154,54.216
99,2,0,54.615,54.278,54.615,52.993
100,2,0,56.923,56.431,56.923,54.862
0,2,1,32.308,32.232,32.308,32.153
1,2,1,29.231,28.467,29.231,27.533
2,2,1,27.692,28.642,27.692,26.58
3,2,1,27.692,30.489,27.692,26.935
4,2,1,30.0,33.124,30.0,29.312
5,2,1,29.231,34.435,29.231,28.195
6,2,1,30.769,36.691,30.769,27.022
7,2,1,29.231,33.762,29.231,25.056
8,2,1,32.308,33.795,32.308,26.919
9,2,1,32.308,35.567,32.308,27.786
10,2,1,35.385,30.113,35.385,30.463
11,2,1,38.462,41.755,38.462,34.273
12,2,1,38.462,42.695,38.462,35.077
13,2,1,36.154,29.7,36.154,30.846
14,2,1,33.846,28.53,33.846,29.319
15,2,1,36.154,30.839,36.154,31.496
16,2,1,34.615,27.292,34.615,29.337
17,2,1,35.385,27.097,35.385,29.678
18,2,1,36.154,29.371,36.154,31.279
19,2,1,36.923,28.677,36.923,31.139
20,2,1,36.154,38.828,36.154,32.199
21,2,1,36.923,29.32,36.923,31.73
22,2,1,36.923,29.84,36.923,31.961
23,2,1,36.154,30.27,36.154,31.691
24,2,1,39.231,32.785,39.231,34.568
25,2,1,41.538,39.945,41.538,38.72
26,2,1,43.077,41.099,43.077,40.098
27,2,1,42.308,40.584,42.308,39.477
28,2,1,43.077,42.451,43.077,39.799
29,2,1,39.231,38.393,39.231,35.61
30,2,1,37.692,36.021,37.692,34.928
31,2,1,40.0,39.48,40.0,37.499
32,2,1,40.0,40.173,40.0,37.848
33,2,1,40.0,40.303,40.0,37.526
34,2,1,41.538,41.583,41.538,39.564
35,2,1,42.308,42.437,42.308,41.296
36,2,1,44.615,44.717,44.615,43.487
37,2,1,43.846,43.241,43.846,42.25
38,2,1,45.385,44.234,45.385,43.575
39,2,1,41.538,41.871,41.538,40.683
40,2,1,42.308,42.198,42.308,41.539
41,2,1,41.538,41.455,41.538,40.781
42,2,1,43.077,42.121,43.077,41.925
43,2,1,42.308,41.472,42.308,40.933
44,2,1,43.846,42.041,43.846,41.905
45,2,1,46.923,45.866,46.923,45.353
46,2,1,44.615,44.249,44.615,43.008
47,2,1,46.154,47.266,46.154,44.534
48,2,1,44.615,45.625,44.615,42.787
49,2,1,46.154,47.176,46.154,44.314
50,2,1,44.615,43.599,44.615,42.917
51,2,1,45.385,44.98,45.385,43.699
52,2,1,47.692,49.032,47.692,46.083
53,2,1,47.692,48.219,47.692,46.619
54,2,1,46.923,48.711,46.923,45.596
55,2,1,47.692,50.444,47.692,47.109
56,2,1,51.538,55.933,51.538,50.842
