iter,step,fold,acc,prec,rec,f1score
0,2,0,26.923,27.71,26.923,27.118
1,2,0,26.154,28.973,26.154,25.966
2,2,0,23.846,27.892,23.846,23.186
3,2,0,22.308,26.553,22.308,21.743
4,2,0,21.538,25.577,21.538,20.668
5,2,0,20.769,23.968,20.769,20.03
6,2,0,23.077,28.263,23.077,23.689
7,2,0,26.923,31.886,26.923,27.866
8,2,0,23.077,26.67,23.077,23.223
9,2,0,22.308,25.803,22.308,22.361
10,2,0,22.308,25.803,22.308,22.361
11,2,0,23.846,29.207,23.846,24.688
12,2,0,26.154,30.301,26.154,26.085
13,2,0,30.0,33.248,30.0,29.914
14,2,0,29.231,34.155,29.231,29.287
15,2,0,29.231,34.268,29.231,29.457
16,2,0,30.769,32.74,30.769,30.251
17,2,0,33.846,34.853,33.846,32.365
18,2,0,31.538,33.151,31.538,30.772
19,2,0,31.538,32.938,31.538,30.365
20,2,0,32.308,33.926,32.308,31.259
21,2,0,32.308,33.926,32.308,31.259
22,2,0,33.846,35.313,33.846,32.953
23,2,0,33.846,35.483,33.846,33.033
24,2,0,33.846,36.229,33.846,33.351
25,2,0,34.615,37.809,34.615,34.327
26,2,0,37.692,38.141,37.692,36.391
27,2,0,39.231,40.183,39.231,38.088
28,2,0,38.462,37.978,38.462,36.807
29,2,0,39.231,38.612,39.231,37.5
30,2,0,40.0,39.905,40.0,38.421
31,2,0,40.0,38.282,40.0,37.95
32,2,0,39.231,37.806,39.231,37.251
33,2,0,41.538,39.998,41.538,39.371
34,2,0,41.538,39.998,41.538,39.371
35,2,0,43.077,41.201,43.077,40.806
36,2,0,43.077,41.902,43.077,40.937
37,2,0,40.0,36.912,40.0,37.458
38,2,0,40.0,36.811,40.0,37.525
39,2,0,40.0,37.485,40.0,37.89
40,2,0,38.462,36.54,38.462,36.32
41,2,0,37.692,35.44,37.692,35.536
42,2,0,38.462,36.538,38.462,36.237
43,2,0,37.692,36.484,37.692,35.777
44,2,0,36.923,34.962,36.923,34.708
45,2,0,36.154,34.77,36.154,34.218
46,2,0,37.692,35.964,37.692,35.501
47,2,0,36.923,34.686,36.923,34.393
48,2,0,36.923,35.61,36.923,34.641
49,2,0,36.154,34.372,36.154,33.639
50,2,0,36.923,37.003,36.923,35.29
51,2,0,37.692,37.621,37.692,35.926
52,2,0,36.923,37.166,36.923,35.381
53,2,0,37.692,36.615,37.692,35.719
54,2,0,37.692,36.511,37.692,35.582
55,2,0,37.692,36.615,37.692,35.719
56,2,0,37.692,36.511,37.692,35.582
57,2,0,39.231,39.464,39.231,37.743
58,2,0,40.769,41.812,40.769,39.955
59,2,0,41.538,41.903,41.538,40.34
60,2,0,40.0,40.644,40.0,39.079
61,2,0,43.077,44.24,43.077,42.655
62,2,0,43.077,43.627,43.077,42.359
63,2,0,43.846,44.41,43.846,43.031
64,2,0,43.846,45.178,43.846,43.572
65,2,0,43.077,44.103,43.077,42.764
66,2,0,44.615,44.925,44.615,44.039
67,2,0,43.846,44.763,43.846,43.529
68,2,0,42.308,43.151,42.308,41.919
69,2,0,42.308,44.129,42.308,42.118
70,2,0,42.308,42.606,42.308,41.649
71,2,0,44.615,46.099,44.615,44.63
72,2,0,42.308,43.41,42.308,42.072
73,2,0,41.538,42.1,41.538,41.087
74,2,0,39.231,39.576,39.231,38.589
75,2,0,40.769,41.166,40.769,40.284
76,2,0,41.538,41.624,41.538,40.984
77,2,0,40.0,40.256,40.0,39.595
78,2,0,38.462,38.873,38.462,38.026
79,2,0,40.0,40.314,40.0,39.636
80,2,0,43.077,41.469,43.077,41.523
81,2,0,44.615,42.961,44.615,43.085
82,2,0,43.846,41.932,43.846,41.978
83,2,0,43.846,41.818,43.846,41.912
84,2,0,43.846,41.818,43.846,41.912
85,2,0,44.615,42.891,44.615,42.762
86,2,0,45.385,43.768,45.385,43.477
87,2,0,46.923,44.788,46.923,44.748
88,2,0,45.385,44.23,45.385,43.726
89,2,0,43.846,42.384,43.846,42.305
90,2,0,43.846,41.372,43.846,41.927
91,2,0,41.538,38.852,41.538,38.09
92,2,0,43.846,41.035,43.846,41.405
93,2,0,45.385,45.132,45.385,43.779
94,2,0,46.154,45.462,46.154,44.424
95,2,0,44.615,42.598,44.615,42.506
96,2,0,46.154,45.254,46.154,44.59
97,2,0,46.154,43.844,46.154,44.077
98,2,0,46.923,46.321,46.923,45.259
99,2,0,48.462,48.161,48.462,47.081
100,2,0,47.692,45.596,47.692,45.659
0,2,1,32.308,32.232,32.308,32.153
1,2,1,29.231,30.693,29.231,29.745
2,2,1,30.769,31.271,30.769,29.98
3,2,1,32.308,33.669,32.308,31.894
4,2,1,31.538,33.229,31.538,31.175
5,2,1,33.077,34.714,33.077,32.499
6,2,1,30.769,32.723,30.769,30.265
7,2,1,33.846,35.543,33.846,33.466
8,2,1,33.077,34.014,33.077,32.526
9,2,1,30.769,31.407,30.769,29.771
10,2,1,27.692,28.375,27.692,27.127
11,2,1,31.538,31.751,31.538,30.093
12,2,1,33.846,36.441,33.846,33.668
13,2,1,33.846,36.406,33.846,33.464
14,2,1,33.846,36.658,33.846,32.907
15,2,1,33.077,34.442,33.077,31.638
16,2,1,33.846,36.505,33.846,33.061
17,2,1,32.308,34.635,32.308,31.435
18,2,1,33.846,37.074,33.846,33.33
19,2,1,32.308,35.797,32.308,31.719
20,2,1,31.538,35.156,31.538,31.033
21,2,1,33.077,35.013,33.077,32.0
22,2,1,35.385,36.564,35.385,34.51
23,2,1,36.154,37.986,36.154,35.508
24,2,1,35.385,38.325,35.385,34.992
25,2,1,36.154,37.217,36.154,35.307
26,2,1,37.692,38.615,37.692,36.716
27,2,1,37.692,38.686,37.692,36.488
28,2,1,38.462,39.241,38.462,37.788
29,2,1,39.231,39.991,39.231,38.451
30,2,1,39.231,39.673,39.231,38.357
31,2,1,37.692,38.393,37.692,36.725
32,2,1,37.692,37.064,37.692,36.352
33,2,1,37.692,36.912,37.692,35.923
34,2,1,36.923,37.56,36.923,35.355
35,2,1,36.154,36.029,36.154,34.464
36,2,1,36.154,35.609,36.154,34.182
37,2,1,36.154,36.23,36.154,34.539
38,2,1,34.615,35.368,34.615,33.333
39,2,1,37.692,38.7,37.692,36.201
40,2,1,36.154,37.45,36.154,34.684
41,2,1,37.692,38.57,37.692,36.136
42,2,1,37.692,36.803,37.692,35.315
43,2,1,38.462,38.833,38.462,36.0
44,2,1,36.923,37.679,36.923,34.203
45,2,1,36.923,37.726,36.923,35.05
46,2,1,38.462,38.681,38.462,36.208
47,2,1,36.154,36.487,36.154,34.073
48,2,1,36.154,36.775,36.154,34.136
49,2,1,35.385,36.407,35.385,33.422
50,2,1,36.154,37.028,36.154,34.343
51,2,1,35.385,35.957,35.385,33.31
52,2,1,36.923,37.001,36.923,34.821
53,2,1,36.154,36.8,36.154,34.371
54,2,1,36.923,37.197,36.923,34.643
55,2,1,36.923,36.752,36.923,34.51
56,2,1,36.923,37.426,36.923,35.191
57,2,1,37.692,36.647,37.692,35.495
58,2,1,36.923,35.647,36.923,34.577
59,2,1,38.462,38.736,38.462,36.916
60,2,1,40.769,43.245,40.769,40.279
61,2,1,39.231,41.571,39.231,38.669
62,2,1,40.0,39.925,40.0,38.824
63,2,1,42.308,42.185,42.308,41.141
64,2,1,41.538,43.527,41.538,40.453
65,2,1,42.308,44.806,42.308,41.198
66,2,1,42.308,44.555,42.308,41.157
67,2,1,43.846,47.231,43.846,43.632
68,2,1,43.846,46.07,43.846,43.366
69,2,1,42.308,45.16,42.308,42.016
70,2,1,46.923,49.512,46.923,46.131
71,2,1,46.154,48.597,46.154,45.263
72,2,1,45.385,47.462,45.385,44.023
73,2,1,45.385,47.386,45.385,43.582
74,2,1,46.154,48.025,46.154,44.417
75,2,1,46.923,48.721,46.923,44.941
76,2,1,46.154,48.025,46.154,44.417
77,2,1,46.923,48.834,46.923,45.262
78,2,1,46.154,48.058,46.154,44.742
79,2,1,46.154,50.846,46.154,45.36
80,2,1,46.154,47.48,46.154,44.189
81,2,1,47.692,49.213,47.692,46.112
82,2,1,46.154,49.092,46.154,44.787
83,2,1,46.923,50.735,46.923,46.091
84,2,1,46.154,51.223,46.154,45.655
85,2,1,45.385,48.965,45.385,44.34
86,2,1,45.385,48.79,45.385,44.142
87,2,1,46.154,48.564,46.154,45.006
88,2,1,46.154,48.564,46.154,45.006
89,2,1,46.154,49.879,46.154,45.223
90,2,1,46.923,50.459,46.923,46.129
