iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,33.535,28.462,28.733
1,2,0,29.231,33.276,29.231,29.932
2,2,0,30.769,32.592,30.769,29.503
3,2,0,32.308,34.192,32.308,31.847
4,2,0,34.615,33.964,34.615,32.791
5,2,0,32.308,33.302,32.308,31.616
6,2,0,37.692,40.85,37.692,35.473
7,2,0,34.615,39.632,34.615,34.338
8,2,0,40.0,40.904,40.0,38.184
9,2,0,41.538,44.286,41.538,40.351
10,2,0,40.0,41.821,40.0,38.319
11,2,0,43.077,44.186,43.077,40.72
12,2,0,45.385,47.342,45.385,43.571
13,2,0,44.615,50.068,44.615,43.303
14,2,0,46.154,53.914,46.154,45.283
15,2,0,47.692,50.857,47.692,45.284
16,2,0,47.692,51.126,47.692,44.856
17,2,0,48.462,54.504,48.462,47.327
18,2,0,48.462,52.308,48.462,47.467
19,2,0,48.462,51.743,48.462,47.17
20,2,0,47.692,51.629,47.692,46.358
21,2,0,47.692,49.904,47.692,46.022
22,2,0,49.231,50.737,49.231,47.09
23,2,0,49.231,53.309,49.231,47.782
24,2,0,50.0,52.779,50.0,48.606
25,2,0,50.0,51.623,50.0,48.698
26,2,0,52.308,54.741,52.308,50.974
27,2,0,52.308,53.283,52.308,51.585
28,2,0,49.231,50.879,49.231,48.317
29,2,0,52.308,52.897,52.308,50.805
30,2,0,53.077,54.276,53.077,52.049
31,2,0,51.538,53.133,51.538,50.495
32,2,0,51.538,53.133,51.538,50.495
33,2,0,50.0,51.171,50.0,49.085
34,2,0,53.077,55.049,53.077,52.347
35,2,0,55.385,59.085,55.385,55.522
36,2,0,55.385,59.089,55.385,55.404
37,2,0,54.615,57.861,54.615,54.429
38,2,0,56.923,61.711,56.923,56.683
39,2,0,56.923,58.564,56.923,56.754
40,2,0,55.385,58.653,55.385,55.196
41,2,0,51.538,53.413,51.538,50.965
42,2,0,54.615,56.336,54.615,53.905
43,2,0,53.846,55.511,53.846,52.617
44,2,0,53.077,54.849,53.077,51.695
45,2,0,55.385,58.65,55.385,54.678
46,2,0,56.154,57.609,56.154,55.297
47,2,0,56.923,59.626,56.923,56.77
48,2,0,61.538,63.619,61.538,61.401
49,2,0,62.308,65.59,62.308,62.469
50,2,0,60.0,62.154,60.0,59.824
51,2,0,55.385,57.587,55.385,55.447
52,2,0,57.692,60.296,57.692,57.706
53,2,0,57.692,60.053,57.692,57.547
54,2,0,59.231,61.473,59.231,59.113
55,2,0,58.462,60.886,58.462,58.29
56,2,0,59.231,60.952,59.231,59.274
57,2,0,60.0,62.597,60.0,60.03
58,2,0,60.0,62.139,60.0,59.917
59,2,0,61.538,63.523,61.538,61.52
60,2,0,60.769,64.198,60.769,61.005
61,2,0,60.0,63.974,60.0,60.3
62,2,0,61.538,65.546,61.538,62.102
63,2,0,60.769,63.866,60.769,60.914
64,2,0,58.462,61.597,58.462,58.756
65,2,0,62.308,64.301,62.308,62.121
66,2,0,61.538,64.14,61.538,61.356
67,2,0,63.846,65.85,63.846,63.414
68,2,0,63.077,64.741,63.077,62.028
69,2,0,63.077,64.911,63.077,62.514
70,2,0,63.846,66.172,63.846,63.486
71,2,0,63.846,65.341,63.846,63.132
72,2,0,67.692,70.636,67.692,67.786
73,2,0,65.385,68.23,65.385,65.271
74,2,0,63.846,68.217,63.846,63.288
75,2,0,63.077,65.734,63.077,63.183
76,2,0,62.308,64.232,62.308,62.099
77,2,0,64.615,67.234,64.615,64.797
78,2,0,62.308,64.037,62.308,62.744
79,2,0,60.0,61.942,60.0,60.099
80,2,0,63.846,65.643,63.846,63.702
81,2,0,63.077,64.37,63.077,63.224
82,2,0,63.077,65.445,63.077,63.2
83,2,0,60.769,63.46,60.769,60.746
84,2,0,62.308,65.624,62.308,62.631
85,2,0,63.846,66.075,63.846,63.912
86,2,0,63.077,65.922,63.077,63.444
87,2,0,61.538,64.848,61.538,62.081
88,2,0,63.077,65.567,63.077,63.47
89,2,0,63.077,66.126,63.077,63.517
90,2,0,62.308,65.421,62.308,62.9
91,2,0,66.923,71.702,66.923,67.345
92,2,0,63.077,65.838,63.077,63.053
93,2,0,66.154,68.639,66.154,66.458
94,2,0,61.538,63.47,61.538,61.587
95,2,0,60.769,62.918,60.769,61.061
96,2,0,59.231,61.866,59.231,59.478
97,2,0,62.308,65.068,62.308,62.788
98,2,0,60.769,63.216,60.769,60.848
99,2,0,60.769,63.418,60.769,60.694
100,2,0,62.308,65.31,62.308,62.474
0,2,1,30.769,30.673,30.769,30.255
1,2,1,30.0,32.52,30.0,30.728
2,2,1,34.615,36.16,34.615,34.16
3,2,1,30.769,32.121,30.769,30.606
4,2,1,31.538,32.472,31.538,30.592
5,2,1,28.462,30.4,28.462,28.124
6,2,1,33.846,35.246,33.846,32.827
7,2,1,33.077,33.683,33.077,32.39
8,2,1,35.385,35.163,35.385,34.049
9,2,1,34.615,34.266,34.615,33.689
10,2,1,36.154,35.698,36.154,34.894
11,2,1,36.154,34.992,36.154,34.618
12,2,1,37.692,39.429,37.692,36.935
13,2,1,37.692,39.25,37.692,36.733
14,2,1,37.692,38.075,37.692,36.485
15,2,1,38.462,39.864,38.462,37.443
16,2,1,40.769,40.632,40.769,38.803
17,2,1,38.462,39.142,38.462,36.899
18,2,1,40.0,40.411,40.0,38.045
19,2,1,41.538,42.033,41.538,39.876
20,2,1,40.769,41.443,40.769,39.599
21,2,1,39.231,44.424,39.231,39.535
22,2,1,39.231,41.732,39.231,39.233
23,2,1,38.462,37.716,38.462,37.156
24,2,1,44.615,44.252,44.615,43.54
25,2,1,44.615,44.12,44.615,43.264
26,2,1,43.077,42.945,43.077,41.764
27,2,1,43.846,43.048,43.846,42.629
28,2,1,43.077,42.596,43.077,42.066
29,2,1,43.846,46.04,43.846,43.736
30,2,1,43.077,42.773,43.077,42.137
31,2,1,44.615,44.62,44.615,44.08
32,2,1,48.462,47.171,48.462,46.706
33,2,1,49.231,48.197,49.231,47.003
34,2,1,50.769,51.171,50.769,49.764
35,2,1,48.462,47.313,48.462,46.35
36,2,1,48.462,48.543,48.462,47.124
37,2,1,48.462,47.489,48.462,47.05
38,2,1,50.769,49.945,50.769,49.601
39,2,1,50.0,49.352,50.0,48.574
40,2,1,46.923,45.153,46.923,44.81
41,2,1,47.692,47.126,47.692,45.676
42,2,1,50.0,50.327,50.0,48.671
43,2,1,49.231,49.62,49.231,47.927
44,2,1,47.692,47.485,47.692,46.817
45,2,1,50.769,52.297,50.769,50.444
46,2,1,53.077,56.375,53.077,52.637
47,2,1,54.615,57.916,54.615,54.283
48,2,1,54.615,56.633,54.615,53.62
49,2,1,55.385,56.188,55.385,54.839
50,2,1,54.615,55.586,54.615,54.186
51,2,1,56.154,57.695,56.154,55.594
52,2,1,57.692,58.61,57.692,57.02
53,2,1,59.231,59.355,59.231,58.528
54,2,1,59.231,59.905,59.231,58.443
55,2,1,59.231,59.971,59.231,59.26
56,2,1,59.231,60.004,59.231,58.891
57,2,1,60.769,61.341,60.769,60.493
58,2,1,58.462,58.661,58.462,57.412
59,2,1,59.231,59.237,59.231,58.216
60,2,1,61.538,62.681,61.538,60.842
61,2,1,62.308,64.078,62.308,62.078
62,2,1,61.538,62.39,61.538,60.902
63,2,1,61.538,63.21,61.538,61.056
64,2,1,63.846,64.309,63.846,63.381
65,2,1,61.538,62.495,61.538,61.189
66,2,1,62.308,63.304,62.308,62.367
67,2,1,63.077,63.271,63.077,62.825
68,2,1,61.538,62.536,61.538,61.592
69,2,1,62.308,63.582,62.308,62.485
70,2,1,63.846,64.629,63.846,63.71
71,2,1,63.077,63.748,63.077,62.902
72,2,1,62.308,62.842,62.308,61.905
73,2,1,61.538,62.055,61.538,60.537
74,2,1,64.615,65.768,64.615,64.041
75,2,1,63.846,64.594,63.846,63.139
76,2,1,65.385,65.857,65.385,64.938
77,2,1,63.846,64.238,63.846,63.337
78,2,1,65.385,66.384,65.385,64.926
79,2,1,66.923,68.153,66.923,66.502
80,2,1,66.154,66.275,66.154,65.892
81,2,1,65.385,65.142,65.385,64.694
82,2,1,65.385,66.034,65.385,65.064
83,2,1,67.692,67.733,67.692,67.514
84,2,1,66.923,66.659,66.923,66.593
85,2,1,66.923,66.98,66.923,66.728
86,2,1,66.923,66.679,66.923,66.451
87,2,1,68.462,67.81,68.462,67.718
88,2,1,70.0,69.211,70.0,69.276
89,2,1,67.692,67.175,67.692,67.036
90,2,1,68.462,68.109,68.462,67.981
91,2,1,67.692,67.968,67.692,67.478
92,2,1,68.462,67.891,68.462,67.796
93,2,1,68.462,68.447,68.462,67.869
94,2,1,70.769,71.183,70.769,69.97
95,2,1,73.846,74.366,73.846,73.374
96,2,1,69.231,70.022,69.231,68.645
97,2,1,70.769,70.871,70.769,70.214
98,2,1,71.538,72.016,71.538,71.039
99,2,1,68.462,68.924,68.462,67.539
100,2,1,70.769,70.596,70.769,70.085
0,2,2,33.846,37.616,33.846,34.343
1,2,2,35.385,34.676,35.385,32.822
2,2,2,37.692,38.224,37.692,35.77
3,2,2,39.231,40.646,39.231,37.053
4,2,2,42.308,43.139,42.308,39.277
5,2,2,39.231,37.569,39.231,34.933
6,2,2,42.308,40.477,42.308,38.078
7,2,2,43.846,42.078,43.846,39.595
8,2,2,40.769,39.417,40.769,37.722
9,2,2,40.769,40.186,40.769,38.209
10,2,2,40.769,40.266,40.769,38.742
11,2,2,43.077,45.434,43.077,40.352
12,2,2,42.308,42.174,42.308,40.178
13,2,2,41.538,41.326,41.538,39.817
14,2,2,43.846,45.376,43.846,43.005
15,2,2,42.308,43.102,42.308,40.998
16,2,2,41.538,44.308,41.538,40.825
