iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,33.535,28.462,28.733
1,2,0,29.231,33.276,29.231,29.932
2,2,0,27.692,32.137,27.692,28.495
3,2,0,30.769,33.643,30.769,30.475
4,2,0,29.231,31.183,29.231,28.685
5,2,0,31.538,35.103,31.538,31.95
6,2,0,36.154,37.802,36.154,35.559
7,2,0,36.923,42.835,36.923,35.767
8,2,0,33.077,34.149,33.077,30.994
9,2,0,33.846,39.079,33.846,31.962
10,2,0,37.692,42.422,37.692,35.955
11,2,0,41.538,45.453,41.538,40.392
12,2,0,38.462,40.514,38.462,38.054
13,2,0,39.231,41.475,39.231,39.04
14,2,0,38.462,39.252,38.462,37.658
15,2,0,39.231,38.864,39.231,38.119
16,2,0,40.0,40.248,40.0,39.14
17,2,0,35.385,37.036,35.385,35.51
18,2,0,36.923,38.415,36.923,36.983
19,2,0,38.462,41.977,38.462,38.295
20,2,0,34.615,38.171,34.615,34.45
21,2,0,35.385,39.262,35.385,35.918
22,2,0,34.615,35.378,34.615,33.954
23,2,0,32.308,34.166,32.308,32.33
24,2,0,31.538,32.555,31.538,31.396
25,2,0,34.615,33.727,34.615,33.746
26,2,0,36.923,36.18,36.923,36.076
27,2,0,35.385,37.058,35.385,34.85
28,2,0,36.154,39.809,36.154,36.384
29,2,0,35.385,39.992,35.385,35.562
30,2,0,36.154,39.51,36.154,36.376
31,2,0,35.385,36.837,35.385,34.961
32,2,0,35.385,37.234,35.385,35.128
33,2,0,39.231,39.098,39.231,37.809
34,2,0,40.769,42.473,40.769,40.329
35,2,0,46.154,48.36,46.154,44.786
36,2,0,44.615,46.412,44.615,42.926
37,2,0,43.846,45.35,43.846,42.271
38,2,0,43.846,45.384,43.846,41.894
39,2,0,45.385,47.531,45.385,44.548
40,2,0,43.077,44.133,43.077,42.066
41,2,0,44.615,45.718,44.615,43.654
42,2,0,45.385,46.155,45.385,44.22
43,2,0,44.615,46.13,44.615,43.591
44,2,0,45.385,46.612,45.385,44.227
45,2,0,46.923,48.518,46.923,45.429
46,2,0,47.692,49.605,47.692,46.489
47,2,0,47.692,49.874,47.692,47.085
48,2,0,45.385,48.174,45.385,44.666
49,2,0,46.154,49.91,46.154,45.042
50,2,0,43.846,44.885,43.846,42.646
51,2,0,46.154,49.38,46.154,44.867
52,2,0,46.154,48.342,46.154,44.427
53,2,0,49.231,51.46,49.231,47.59
54,2,0,48.462,51.359,48.462,46.883
55,2,0,50.769,51.974,50.769,48.969
56,2,0,51.538,54.259,51.538,49.719
57,2,0,55.385,55.736,55.385,53.825
58,2,0,56.923,57.904,56.923,54.803
59,2,0,53.846,58.109,53.846,51.45
60,2,0,55.385,59.835,55.385,53.073
61,2,0,55.385,60.064,55.385,53.04
62,2,0,55.385,60.099,55.385,53.049
63,2,0,53.846,59.111,53.846,51.756
64,2,0,52.308,57.756,52.308,50.362
65,2,0,56.154,61.608,56.154,54.086
66,2,0,57.692,63.514,57.692,55.897
67,2,0,58.462,64.411,58.462,56.935
68,2,0,60.0,66.602,60.0,58.648
69,2,0,58.462,64.674,58.462,57.044
70,2,0,58.462,61.503,58.462,57.018
71,2,0,58.462,64.674,58.462,57.044
72,2,0,57.692,63.237,57.692,56.034
73,2,0,59.231,61.74,59.231,57.717
74,2,0,58.462,60.545,58.462,56.709
75,2,0,56.923,60.107,56.923,55.746
76,2,0,58.462,60.969,58.462,57.031
77,2,0,58.462,60.51,58.462,56.616
78,2,0,58.462,60.74,58.462,56.985
79,2,0,59.231,61.807,59.231,58.402
80,2,0,62.308,63.983,62.308,61.615
81,2,0,60.0,60.984,60.0,59.733
82,2,0,60.769,62.207,60.769,60.708
83,2,0,60.769,62.193,60.769,60.523
84,2,0,61.538,62.727,61.538,61.393
85,2,0,60.769,62.591,60.769,60.688
86,2,0,62.308,64.285,62.308,62.189
87,2,0,62.308,64.479,62.308,62.148
88,2,0,60.0,62.317,60.0,59.863
89,2,0,60.769,63.161,60.769,60.457
90,2,0,61.538,63.804,61.538,61.173
91,2,0,50.0,51.167,50.0,46.817
92,2,0,59.231,60.333,59.231,57.668
93,2,0,59.231,60.564,59.231,58.687
94,2,0,61.538,65.081,61.538,61.228
95,2,0,60.769,63.012,60.769,60.262
96,2,0,58.462,61.101,58.462,58.182
97,2,0,57.692,60.618,57.692,57.574
98,2,0,58.462,60.748,58.462,58.226
99,2,0,60.769,63.466,60.769,60.036
100,2,0,61.538,63.433,61.538,60.787
0,2,1,30.769,30.673,30.769,30.255
1,2,1,30.0,32.52,30.0,30.728
2,2,1,30.769,34.522,30.769,31.242
3,2,1,30.0,35.227,30.0,30.356
4,2,1,30.769,35.256,30.769,30.989
5,2,1,29.231,31.561,29.231,29.697
6,2,1,27.692,29.832,27.692,28.134
7,2,1,21.538,25.211,21.538,22.647
8,2,1,25.385,28.624,25.385,26.541
9,2,1,24.615,25.564,24.615,24.448
10,2,1,25.385,25.337,25.385,24.78
11,2,1,27.692,28.944,27.692,27.591
12,2,1,30.0,31.838,30.0,30.395
13,2,1,28.462,29.79,28.462,28.792
14,2,1,29.231,31.301,29.231,29.626
15,2,1,30.0,31.279,30.0,30.262
16,2,1,30.0,31.753,30.0,30.428
17,2,1,37.692,37.322,37.692,36.914
18,2,1,36.923,35.734,36.923,35.773
19,2,1,31.538,32.505,31.538,31.509
20,2,1,35.385,35.586,35.385,35.134
21,2,1,39.231,38.53,39.231,38.424
22,2,1,36.154,35.905,36.154,35.728
23,2,1,42.308,40.955,42.308,40.898
24,2,1,43.077,41.721,43.077,41.417
25,2,1,41.538,40.545,41.538,40.346
26,2,1,40.769,39.908,40.769,39.489
27,2,1,39.231,37.127,39.231,37.564
28,2,1,40.0,37.345,40.0,37.37
29,2,1,42.308,40.583,42.308,40.185
30,2,1,39.231,37.976,39.231,37.455
31,2,1,44.615,43.82,44.615,42.098
32,2,1,46.923,46.128,46.923,44.424
33,2,1,44.615,43.836,44.615,42.706
34,2,1,44.615,45.2,44.615,42.843
35,2,1,46.154,46.728,46.154,44.534
36,2,1,43.846,44.199,43.846,42.726
37,2,1,46.923,47.354,46.923,46.662
38,2,1,47.692,49.003,47.692,47.286
39,2,1,46.154,46.904,46.154,45.915
40,2,1,47.692,48.195,47.692,47.398
41,2,1,45.385,45.181,45.385,44.269
42,2,1,48.462,52.709,48.462,47.654
43,2,1,48.462,50.643,48.462,48.105
44,2,1,50.0,51.452,50.0,49.548
45,2,1,49.231,51.775,49.231,49.087
46,2,1,48.462,51.41,48.462,48.897
47,2,1,50.0,54.084,50.0,50.407
48,2,1,50.769,53.114,50.769,50.716
49,2,1,50.769,53.649,50.769,50.357
50,2,1,49.231,51.439,49.231,48.853
51,2,1,53.846,56.287,53.846,53.313
52,2,1,53.846,55.745,53.846,53.322
53,2,1,52.308,56.0,52.308,51.816
54,2,1,50.769,54.041,50.769,50.831
55,2,1,54.615,57.96,54.615,54.124
56,2,1,54.615,57.364,54.615,53.711
57,2,1,52.308,54.604,52.308,51.013
58,2,1,53.846,56.946,53.846,52.865
59,2,1,54.615,62.325,54.615,53.366
60,2,1,54.615,62.034,54.615,53.5
61,2,1,54.615,57.03,54.615,54.501
62,2,1,54.615,56.909,54.615,54.454
63,2,1,56.154,57.235,56.154,55.156
64,2,1,55.385,56.463,55.385,54.853
65,2,1,59.231,60.103,59.231,58.718
66,2,1,57.692,59.246,57.692,57.362
67,2,1,57.692,59.986,57.692,57.445
68,2,1,57.692,58.781,57.692,57.206
69,2,1,59.231,59.639,59.231,58.512
70,2,1,59.231,59.744,59.231,58.808
71,2,1,56.154,56.498,56.154,55.78
72,2,1,60.0,59.717,60.0,59.355
73,2,1,56.923,57.443,56.923,56.047
74,2,1,58.462,58.679,58.462,57.83
75,2,1,59.231,59.268,59.231,58.32
76,2,1,58.462,58.161,58.462,57.465
77,2,1,56.923,57.531,56.923,56.238
78,2,1,57.692,59.187,57.692,57.241
79,2,1,60.769,60.855,60.769,59.728
80,2,1,58.462,59.129,58.462,57.705
81,2,1,60.769,61.229,60.769,59.739
82,2,1,62.308,62.599,62.308,61.219
83,2,1,60.769,61.635,60.769,60.236
84,2,1,62.308,63.178,62.308,61.769
85,2,1,61.538,61.582,61.538,60.619
86,2,1,60.0,59.737,60.0,59.101
87,2,1,63.077,63.08,63.077,62.172
88,2,1,62.308,61.905,62.308,61.269
89,2,1,63.846,63.897,63.846,63.131
90,2,1,64.615,64.612,64.615,63.86
91,2,1,56.923,63.176,56.923,57.576
92,2,1,63.077,64.535,63.077,62.662
93,2,1,64.615,66.408,64.615,64.702
94,2,1,66.154,67.525,66.154,66.079
95,2,1,63.846,65.676,63.846,63.776
96,2,1,65.385,66.975,65.385,65.69
97,2,1,67.692,70.494,67.692,67.867
98,2,1,63.846,65.614,63.846,63.812
99,2,1,66.923,67.824,66.923,66.803
100,2,1,64.615,67.203,64.615,65.112
0,2,2,33.846,37.616,33.846,34.343
1,2,2,35.385,34.676,35.385,32.822
2,2,2,34.615,33.421,34.615,31.543
3,2,2,35.385,35.113,35.385,33.156
4,2,2,36.154,35.059,36.154,33.311
5,2,2,40.0,39.302,40.0,37.203
6,2,2,41.538,41.961,41.538,39.05
7,2,2,40.769,42.537,40.769,39.45
8,2,2,38.462,40.705,38.462,36.664
9,2,2,39.231,40.727,39.231,37.254
10,2,2,41.538,44.318,41.538,40.338
11,2,2,43.077,46.124,43.077,42.239
12,2,2,43.077,46.165,43.077,42.003
13,2,2,43.846,43.845,43.846,40.967
14,2,2,40.0,42.313,40.0,38.875
15,2,2,41.538,43.316,41.538,39.734
16,2,2,42.308,43.731,42.308,40.568
