iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,33.535,28.462,28.733
1,2,0,31.538,37.561,31.538,29.925
2,2,0,31.538,37.561,31.538,29.925
3,2,0,33.846,36.807,33.846,32.076
4,2,0,33.077,35.489,33.077,30.703
5,2,0,35.385,40.517,35.385,34.572
6,2,0,35.385,40.517,35.385,34.572
7,2,0,33.846,38.813,33.846,33.097
8,2,0,33.846,38.813,33.846,33.097
9,2,0,34.615,39.888,34.615,33.648
10,2,0,34.615,39.888,34.615,33.648
11,2,0,34.615,39.135,34.615,33.173
12,2,0,34.615,39.135,34.615,33.173
13,2,0,36.154,37.829,36.154,33.964
14,2,0,36.154,37.829,36.154,33.964
15,2,0,38.462,43.514,38.462,36.411
16,2,0,34.615,40.444,34.615,32.633
17,2,0,38.462,47.925,38.462,36.267
18,2,0,38.462,47.925,38.462,36.267
19,2,0,34.615,40.945,34.615,33.045
20,2,0,37.692,42.771,37.692,36.828
21,2,0,40.769,46.665,40.769,40.942
22,2,0,40.769,46.665,40.769,40.942
23,2,0,37.692,41.436,37.692,37.035
24,2,0,37.692,43.178,37.692,37.512
25,2,0,36.923,41.386,36.923,36.841
26,2,0,40.769,45.114,40.769,40.751
27,2,0,39.231,40.978,39.231,39.166
28,2,0,42.308,44.219,42.308,42.148
29,2,0,42.308,42.654,42.308,41.587
30,2,0,40.0,43.209,40.0,39.643
31,2,0,43.846,46.924,43.846,43.47
32,2,0,43.846,46.924,43.846,43.47
33,2,0,43.077,46.765,43.077,42.913
34,2,0,43.077,46.765,43.077,42.913
35,2,0,43.077,46.144,43.077,42.572
36,2,0,46.923,51.836,46.923,47.548
37,2,0,44.615,48.658,44.615,44.896
38,2,0,45.385,48.899,45.385,45.266
39,2,0,46.923,50.54,46.923,46.836
40,2,0,47.692,49.997,47.692,47.303
41,2,0,47.692,49.73,47.692,47.661
42,2,0,47.692,49.73,47.692,47.661
43,2,0,47.692,49.802,47.692,47.354
44,2,0,47.692,49.802,47.692,47.354
45,2,0,44.615,47.164,44.615,44.658
46,2,0,44.615,47.164,44.615,44.658
47,2,0,47.692,51.34,47.692,48.385
48,2,0,46.154,50.244,46.154,47.015
49,2,0,48.462,52.307,48.462,49.528
50,2,0,50.0,53.359,50.0,50.844
51,2,0,50.769,55.127,50.769,51.994
52,2,0,50.769,55.127,50.769,51.994
53,2,0,50.769,54.572,50.769,51.596
54,2,0,50.769,54.572,50.769,51.596
55,2,0,50.769,54.462,50.769,51.299
56,2,0,50.769,54.462,50.769,51.299
57,2,0,51.538,54.024,51.538,51.985
58,2,0,51.538,54.024,51.538,51.985
59,2,0,53.846,56.008,53.846,53.978
60,2,0,52.308,54.459,52.308,52.652
61,2,0,52.308,54.284,52.308,52.51
62,2,0,52.308,54.284,52.308,52.51
63,2,0,52.308,54.476,52.308,52.611
64,2,0,52.308,54.476,52.308,52.611
65,2,0,50.0,51.537,50.0,49.885
66,2,0,50.0,51.537,50.0,49.885
67,2,0,53.077,55.224,53.077,52.88
68,2,0,52.308,54.892,52.308,52.209
69,2,0,53.846,54.649,53.846,53.481
70,2,0,53.846,54.649,53.846,53.481
71,2,0,55.385,56.354,55.385,54.784
72,2,0,55.385,56.354,55.385,54.784
73,2,0,53.846,53.717,53.846,53.23
74,2,0,53.846,53.717,53.846,53.23
75,2,0,55.385,56.115,55.385,55.402
76,2,0,55.385,56.115,55.385,55.402
77,2,0,56.154,56.582,56.154,56.189
78,2,0,56.923,57.718,56.923,57.077
79,2,0,57.692,58.473,57.692,57.852
80,2,0,57.692,58.473,57.692,57.852
81,2,0,58.462,58.589,58.462,58.093
82,2,0,59.231,60.83,59.231,59.504
83,2,0,60.0,61.89,60.0,60.525
84,2,0,60.0,61.89,60.0,60.525
85,2,0,62.308,63.629,62.308,62.709
86,2,0,60.769,61.765,60.769,60.805
87,2,0,61.538,62.421,61.538,61.54
88,2,0,61.538,62.421,61.538,61.54
89,2,0,63.077,64.411,63.077,63.393
90,2,0,63.077,64.411,63.077,63.393
91,2,0,60.769,62.168,60.769,61.116
92,2,0,60.769,62.168,60.769,61.116
93,2,0,60.769,61.949,60.769,61.017
94,2,0,60.769,61.949,60.769,61.017
95,2,0,62.308,63.805,62.308,62.608
96,2,0,62.308,63.805,62.308,62.608
97,2,0,61.538,63.104,61.538,61.759
98,2,0,61.538,63.104,61.538,61.759
99,2,0,61.538,62.64,61.538,61.669
100,2,0,61.538,62.64,61.538,61.669
0,2,1,30.769,30.673,30.769,30.255
1,2,1,30.0,32.52,30.0,30.728
2,2,1,30.0,32.52,30.0,30.728
3,2,1,34.615,36.16,34.615,34.16
4,2,1,34.615,36.16,34.615,34.16
5,2,1,30.769,32.121,30.769,30.606
6,2,1,30.769,32.121,30.769,30.606
7,2,1,31.538,32.472,31.538,30.592
8,2,1,30.0,31.332,30.0,29.208
9,2,1,27.692,29.177,27.692,26.979
10,2,1,27.692,29.177,27.692,26.979
