iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,33.535,28.462,28.733
1,2,0,28.462,35.029,28.462,29.484
2,2,0,28.462,35.029,28.462,29.484
3,2,0,28.462,35.029,28.462,29.484
4,2,0,29.231,34.637,29.231,29.609
5,2,0,29.231,34.637,29.231,29.609
6,2,0,31.538,42.62,31.538,32.694
7,2,0,31.538,42.62,31.538,32.694
8,2,0,31.538,42.62,31.538,32.694
9,2,0,31.538,42.62,31.538,32.694
10,2,0,34.615,41.853,34.615,35.221
11,2,0,34.615,41.853,34.615,35.221
12,2,0,34.615,41.853,34.615,35.221
13,2,0,34.615,41.853,34.615,35.221
14,2,0,36.154,44.628,36.154,36.265
15,2,0,36.154,44.628,36.154,36.265
16,2,0,36.154,44.628,36.154,36.265
17,2,0,36.154,44.628,36.154,36.265
18,2,0,36.154,44.628,36.154,36.265
19,2,0,36.154,44.628,36.154,36.265
20,2,0,36.154,44.628,36.154,36.265
21,2,0,36.154,44.628,36.154,36.265
22,2,0,36.154,44.628,36.154,36.265
23,2,0,36.154,44.628,36.154,36.265
24,2,0,36.154,44.628,36.154,36.265
25,2,0,36.154,44.628,36.154,36.265
26,2,0,36.154,44.628,36.154,36.265
27,2,0,36.154,44.628,36.154,36.265
28,2,0,36.154,44.628,36.154,36.265
29,2,0,36.154,44.628,36.154,36.265
30,2,0,36.154,45.575,36.154,36.765
31,2,0,36.154,45.575,36.154,36.765
32,2,0,36.154,45.575,36.154,36.765
33,2,0,36.154,45.575,36.154,36.765
34,2,0,36.154,45.575,36.154,36.765
35,2,0,36.154,45.575,36.154,36.765
36,2,0,36.154,45.575,36.154,36.765
37,2,0,36.154,45.575,36.154,36.765
38,2,0,36.154,45.575,36.154,36.765
39,2,0,36.154,45.575,36.154,36.765
40,2,0,36.154,45.575,36.154,36.765
41,2,0,36.154,45.575,36.154,36.765
42,2,0,36.154,45.575,36.154,36.765
43,2,0,36.923,46.457,36.923,36.052
