iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,33.535,28.462,28.733
1,2,0,29.231,35.535,29.231,29.643
2,2,0,27.692,32.442,27.692,27.694
3,2,0,33.846,45.182,33.846,35.433
4,2,0,33.846,43.821,33.846,34.406
5,2,0,36.154,43.279,36.154,36.066
6,2,0,36.154,43.279,36.154,36.066
7,2,0,35.385,40.122,35.385,35.086
8,2,0,34.615,39.521,34.615,34.533
9,2,0,31.538,33.53,31.538,31.465
10,2,0,31.538,33.53,31.538,31.465
11,2,0,34.615,40.712,34.615,35.522
12,2,0,34.615,40.712,34.615,35.522
13,2,0,34.615,38.498,34.615,34.806
14,2,0,34.615,38.498,34.615,34.806
15,2,0,34.615,38.904,34.615,34.583
16,2,0,36.923,40.569,36.923,36.899
17,2,0,33.846,38.997,33.846,34.232
18,2,0,33.846,38.997,33.846,34.232
19,2,0,32.308,39.502,32.308,33.684
20,2,0,32.308,39.502,32.308,33.684
21,2,0,36.154,42.892,36.154,37.071
22,2,0,36.154,41.329,36.154,36.183
23,2,0,39.231,42.463,39.231,38.287
24,2,0,40.0,44.035,40.0,39.162
25,2,0,41.538,45.263,41.538,40.479
26,2,0,41.538,45.263,41.538,40.479
27,2,0,42.308,45.198,42.308,40.093
28,2,0,42.308,45.198,42.308,40.093
29,2,0,42.308,45.374,42.308,40.737
30,2,0,41.538,45.195,41.538,41.024
31,2,0,41.538,45.485,41.538,40.798
32,2,0,41.538,45.485,41.538,40.798
33,2,0,44.615,49.165,44.615,44.556
34,2,0,44.615,49.165,44.615,44.556
35,2,0,42.308,46.967,42.308,42.387
36,2,0,42.308,46.967,42.308,42.387
37,2,0,43.846,49.388,43.846,43.976
38,2,0,43.846,49.388,43.846,43.976
39,2,0,42.308,47.769,42.308,42.534
40,2,0,42.308,47.769,42.308,42.534
41,2,0,47.692,51.301,47.692,47.09
42,2,0,48.462,52.472,48.462,47.755
43,2,0,47.692,51.461,47.692,46.573
44,2,0,47.692,51.461,47.692,46.573
45,2,0,48.462,51.82,48.462,47.552
46,2,0,47.692,50.435,47.692,47.006
47,2,0,50.769,55.084,50.769,50.304
48,2,0,50.769,54.228,50.769,50.641
49,2,0,50.0,53.645,50.0,49.617
50,2,0,50.0,53.761,50.0,49.792
