iter,step,fold,acc,prec,rec,f1score
0,2,0,29.231,20.741,29.231,21.311
1,2,0,31.538,32.484,31.538,27.03
2,2,0,32.308,34.522,32.308,28.15
3,2,0,30.769,30.33,30.769,26.52
4,2,0,26.923,36.957,26.923,23.981
5,2,0,30.0,38.608,30.0,26.725
6,2,0,30.0,41.99,30.0,26.633
7,2,0,33.846,42.705,33.846,31.161
8,2,0,33.077,37.247,33.077,32.691
9,2,0,34.615,38.979,34.615,35.003
10,2,0,36.923,40.607,36.923,37.058
11,2,0,36.154,39.596,36.154,36.131
12,2,0,36.154,39.823,36.154,36.11
13,2,0,37.692,38.105,37.692,36.832
14,2,0,40.0,40.118,40.0,39.185
15,2,0,40.0,40.728,40.0,39.058
16,2,0,40.0,40.611,40.0,38.895
17,2,0,36.154,38.746,36.154,35.791
18,2,0,33.846,40.08,33.846,34.222
19,2,0,33.846,39.773,33.846,34.049
20,2,0,38.462,41.81,38.462,38.637
21,2,0,30.769,34.681,30.769,30.875
22,2,0,33.846,38.457,33.846,33.838
23,2,0,33.077,34.478,33.077,32.15
24,2,0,34.615,38.648,34.615,34.694
25,2,0,36.154,40.386,36.154,36.429
26,2,0,36.154,42.227,36.154,36.929
27,2,0,40.769,43.814,40.769,40.977
28,2,0,43.846,44.898,43.846,42.755
29,2,0,43.846,44.589,43.846,42.471
30,2,0,44.615,46.551,44.615,43.958
31,2,0,46.154,50.072,46.154,46.642
32,2,0,46.154,50.072,46.154,46.642
33,2,0,44.615,49.457,44.615,45.237
34,2,0,45.385,54.527,45.385,46.939
35,2,0,42.308,50.929,42.308,43.567
36,2,0,41.538,50.223,41.538,42.722
37,2,0,43.077,51.953,43.077,44.15
38,2,0,43.077,51.953,43.077,44.15
39,2,0,43.077,52.031,43.077,44.196
40,2,0,43.846,52.669,43.846,44.881
41,2,0,42.308,52.196,42.308,43.966
42,2,0,41.538,51.196,41.538,42.995
43,2,0,40.769,50.516,40.769,42.048
44,2,0,40.769,50.747,40.769,42.135
45,2,0,40.769,51.038,40.769,42.266
46,2,0,40.0,46.794,40.0,40.364
47,2,0,38.462,44.885,38.462,38.742
48,2,0,38.462,44.885,38.462,38.742
49,2,0,39.231,46.427,39.231,39.187
50,2,0,40.0,46.537,40.0,40.096
51,2,0,41.538,47.763,41.538,41.127
52,2,0,43.077,54.07,43.077,42.011
53,2,0,44.615,53.438,44.615,43.24
54,2,0,44.615,53.438,44.615,43.24
55,2,0,44.615,53.438,44.615,43.24
56,2,0,43.077,54.339,43.077,41.406
57,2,0,45.385,54.308,45.385,43.334
58,2,0,46.154,55.775,46.154,44.092
59,2,0,44.615,54.617,44.615,42.575
60,2,0,45.385,54.914,45.385,43.73
61,2,0,46.154,55.067,46.154,44.665
62,2,0,45.385,54.964,45.385,44.244
63,2,0,46.923,55.572,46.923,45.848
64,2,0,46.923,55.649,46.923,45.886
65,2,0,48.462,56.729,48.462,47.287
66,2,0,47.692,56.248,47.692,46.625
67,2,0,47.692,56.248,47.692,46.625
68,2,0,46.923,55.516,46.923,45.603
