iter,step,fold,acc,prec,rec,f1score
0,2,0,29.231,20.741,29.231,21.311
1,2,0,26.154,21.359,26.154,20.637
2,2,0,25.385,24.42,25.385,22.048
3,2,0,26.154,23.85,26.154,23.253
4,2,0,28.462,27.12,28.462,24.612
5,2,0,29.231,25.507,29.231,24.158
6,2,0,29.231,25.507,29.231,24.158
7,2,0,30.769,35.451,30.769,27.877
8,2,0,30.769,35.451,30.769,27.877
9,2,0,26.154,30.972,26.154,23.89
10,2,0,26.154,30.972,26.154,23.89
11,2,0,26.923,27.099,26.923,24.486
12,2,0,26.923,28.885,26.923,25.432
13,2,0,24.615,26.998,24.615,23.391
14,2,0,24.615,26.998,24.615,23.391
15,2,0,26.154,27.599,26.154,24.861
16,2,0,30.769,29.894,30.769,29.652
17,2,0,36.154,35.234,36.154,34.743
18,2,0,39.231,40.12,39.231,37.515
19,2,0,36.923,39.964,36.923,36.592
20,2,0,36.923,39.964,36.923,36.592
21,2,0,36.154,39.0,36.154,36.92
22,2,0,33.846,37.553,33.846,34.866
23,2,0,34.615,39.202,34.615,36.165
24,2,0,34.615,39.773,34.615,36.438
25,2,0,34.615,39.622,34.615,36.135
26,2,0,34.615,39.899,34.615,36.279
27,2,0,33.846,38.251,33.846,35.408
28,2,0,33.846,38.251,33.846,35.408
29,2,0,31.538,38.161,31.538,33.593
30,2,0,31.538,38.161,31.538,33.593
31,2,0,33.077,40.396,33.077,34.799
32,2,0,33.077,40.396,33.077,34.799
33,2,0,33.846,40.529,33.846,35.635
34,2,0,33.846,40.529,33.846,35.635
35,2,0,33.077,40.005,33.077,34.896
36,2,0,33.077,40.005,33.077,34.896
37,2,0,31.538,37.39,31.538,33.026
38,2,0,31.538,37.39,31.538,33.026
39,2,0,33.077,38.476,33.077,34.322
40,2,0,33.077,38.476,33.077,34.322
41,2,0,33.077,38.476,33.077,34.322
42,2,0,33.077,38.476,33.077,34.322
43,2,0,33.077,39.275,33.077,34.196
44,2,0,33.077,39.275,33.077,34.196
45,2,0,30.0,35.5,30.0,30.263
46,2,0,30.0,35.5,30.0,30.263
47,2,0,32.308,36.978,32.308,32.304
48,2,0,33.846,40.005,33.846,33.286
49,2,0,33.846,40.44,33.846,32.967
50,2,0,33.846,40.44,33.846,32.967
51,2,0,33.846,40.44,33.846,32.967
52,2,0,33.846,40.44,33.846,32.967
53,2,0,33.846,41.317,33.846,33.235
54,2,0,34.615,43.863,34.615,34.271
55,2,0,34.615,43.025,34.615,34.113
56,2,0,34.615,43.025,34.615,34.113
57,2,0,34.615,44.225,34.615,34.16
58,2,0,34.615,44.225,34.615,34.16
59,2,0,37.692,42.222,37.692,34.648
60,2,0,37.692,42.222,37.692,34.648
61,2,0,38.462,42.756,38.462,35.88
62,2,0,38.462,42.756,38.462,35.88
63,2,0,37.692,43.393,37.692,35.192
64,2,0,37.692,43.393,37.692,35.192
65,2,0,37.692,45.058,37.692,34.967
66,2,0,37.692,45.058,37.692,34.967
67,2,0,37.692,45.058,37.692,34.967
68,2,0,37.692,45.058,37.692,34.967
69,2,0,38.462,46.197,38.462,36.066
70,2,0,38.462,46.197,38.462,36.066
71,2,0,40.0,48.437,40.0,37.918
72,2,0,40.0,48.437,40.0,37.918
73,2,0,40.0,48.269,40.0,38.038
74,2,0,40.0,48.269,40.0,38.038
75,2,0,40.0,48.269,40.0,38.038
76,2,0,37.692,45.06,37.692,34.705
77,2,0,40.0,48.289,40.0,38.037
78,2,0,40.0,48.289,40.0,38.037
79,2,0,40.0,48.386,40.0,38.119
80,2,0,40.0,48.386,40.0,38.119
81,2,0,40.769,48.62,40.769,39.465
82,2,0,40.769,48.62,40.769,39.465
83,2,0,43.846,49.531,43.846,41.167
84,2,0,43.846,49.531,43.846,41.167
85,2,0,43.077,48.547,43.077,40.01
86,2,0,43.077,48.547,43.077,40.01
87,2,0,42.308,50.639,42.308,40.13
88,2,0,42.308,50.639,42.308,40.13
89,2,0,43.077,51.846,43.077,40.7
90,2,0,43.077,51.846,43.077,40.7
91,2,0,43.077,51.6,43.077,40.172
92,2,0,43.077,51.6,43.077,40.172
93,2,0,43.077,51.6,43.077,40.172
94,2,0,43.077,51.6,43.077,40.172
95,2,0,43.077,51.437,43.077,40.054
96,2,0,43.077,51.437,43.077,40.054
97,2,0,43.077,51.705,43.077,40.02
98,2,0,43.077,51.705,43.077,40.02
99,2,0,43.077,51.705,43.077,40.02
100,2,0,43.077,51.705,43.077,40.02
0,2,1,23.846,15.473,23.846,18.045
1,2,1,26.154,15.689,26.154,17.69
2,2,1,26.154,15.689,26.154,17.69
3,2,1,26.923,19.778,26.923,20.324
4,2,1,26.923,22.472,26.923,21.64
5,2,1,25.385,18.401,25.385,19.798
6,2,1,31.538,24.743,31.538,27.221
7,2,1,31.538,27.902,31.538,29.325
8,2,1,31.538,27.902,31.538,29.325
9,2,1,30.769,25.929,30.769,27.894
10,2,1,30.769,25.929,30.769,27.894
11,2,1,35.385,30.598,35.385,32.245
12,2,1,35.385,30.598,35.385,32.245
13,2,1,36.154,34.275,36.154,33.958
14,2,1,36.154,34.275,36.154,33.958
15,2,1,36.923,38.546,36.923,36.141
16,2,1,36.923,38.546,36.923,36.141
17,2,1,36.923,37.769,36.923,36.034
18,2,1,36.923,36.994,36.923,35.598
19,2,1,37.692,39.867,37.692,37.178
20,2,1,41.538,46.616,41.538,41.542
21,2,1,36.923,44.099,36.923,38.158
22,2,1,36.923,44.099,36.923,38.158
23,2,1,36.923,44.099,36.923,38.158
24,2,1,36.923,44.099,36.923,38.158
25,2,1,37.692,45.578,37.692,39.142
26,2,1,37.692,45.578,37.692,39.142
27,2,1,36.923,43.448,36.923,38.164
28,2,1,36.923,43.448,36.923,38.164
29,2,1,34.615,41.015,34.615,35.459
