iter,step,fold,acc,prec,rec,f1score
0,2,0,27.692,34.156,27.692,27.952
1,2,0,30.769,30.335,30.769,27.971
2,2,0,36.923,46.302,36.923,35.323
3,2,0,39.231,42.132,39.231,33.452
4,2,0,35.385,42.056,35.385,32.198
5,2,0,33.846,44.523,33.846,32.359
6,2,0,45.385,50.839,45.385,43.12
7,2,0,50.769,46.652,50.769,46.592
8,2,0,50.769,46.797,50.769,46.174
9,2,0,54.615,62.082,54.615,52.925
10,2,0,50.769,56.696,50.769,48.525
11,2,0,50.769,58.439,50.769,48.948
12,2,0,54.615,63.915,54.615,52.84
13,2,0,50.0,52.01,50.0,48.286
14,2,0,46.154,49.845,46.154,43.89
15,2,0,53.846,54.698,53.846,52.495
16,2,0,51.538,57.597,51.538,50.548
17,2,0,50.769,56.301,50.769,49.071
18,2,0,54.615,59.7,54.615,53.377
19,2,0,52.308,54.405,52.308,49.352
20,2,0,53.077,57.807,53.077,52.131
21,2,0,56.923,63.872,56.923,56.522
22,2,0,54.615,61.423,54.615,54.076
23,2,0,47.692,52.943,47.692,47.483
24,2,0,46.154,53.494,46.154,45.501
25,2,0,50.0,56.862,50.0,48.704
26,2,0,50.0,59.781,50.0,48.115
27,2,0,47.692,50.875,47.692,44.763
28,2,0,48.462,53.582,48.462,46.261
29,2,0,53.077,60.815,53.077,51.272
30,2,0,50.769,64.138,50.769,49.937
31,2,0,48.462,56.112,48.462,46.054
32,2,0,50.0,60.771,50.0,48.053
33,2,0,50.0,60.641,50.0,48.455
34,2,0,47.692,59.096,47.692,44.131
35,2,0,55.385,63.616,55.385,54.283
36,2,0,53.846,62.876,53.846,52.188
37,2,0,49.231,56.558,49.231,47.236
38,2,0,49.231,56.373,49.231,46.73
39,2,0,47.692,57.176,47.692,46.032
40,2,0,50.0,62.137,50.0,47.225
41,2,0,47.692,62.614,47.692,45.325
42,2,0,49.231,57.247,49.231,45.791
43,2,0,45.385,51.718,45.385,41.416
44,2,0,49.231,59.948,49.231,46.336
45,2,0,51.538,59.028,51.538,48.141
46,2,0,49.231,57.531,49.231,45.906
47,2,0,57.692,65.801,57.692,56.157
48,2,0,50.769,61.701,50.769,49.194
49,2,0,52.308,63.3,52.308,49.236
50,2,0,50.769,56.799,50.769,47.478
51,2,0,50.0,52.741,50.0,46.578
52,2,0,53.077,59.98,53.077,51.461
53,2,0,53.846,64.709,53.846,51.501
54,2,0,51.538,52.395,51.538,48.008
55,2,0,55.385,59.123,55.385,52.711
56,2,0,53.846,63.158,53.846,51.13
57,2,0,54.615,59.342,54.615,53.15
58,2,0,50.769,53.529,50.769,48.366
59,2,0,53.077,55.144,53.077,50.651
60,2,0,53.846,53.508,53.846,51.189
61,2,0,53.846,55.521,53.846,51.415
62,2,0,53.846,52.822,53.846,50.618
63,2,0,52.308,56.104,52.308,50.251
64,2,0,54.615,54.754,54.615,51.962
65,2,0,54.615,52.957,54.615,51.674
66,2,0,58.462,55.885,58.462,55.945
67,2,0,60.769,60.69,60.769,57.941
68,2,0,57.692,59.465,57.692,55.285
69,2,0,56.923,55.673,56.923,53.642
70,2,0,53.077,51.236,53.077,49.882
71,2,0,56.923,54.472,56.923,53.676
72,2,0,57.692,58.249,57.692,54.632
73,2,0,57.692,56.225,57.692,54.349
74,2,0,56.154,55.729,56.154,53.266
75,2,0,52.308,50.591,52.308,48.922
76,2,0,58.462,57.795,58.462,55.358
77,2,0,53.077,51.884,53.077,49.662
78,2,0,53.846,54.376,53.846,50.95
79,2,0,66.154,71.566,66.154,64.351
80,2,0,60.769,63.29,60.769,58.752
81,2,0,57.692,60.165,57.692,55.949
82,2,0,56.154,60.488,56.154,54.079
83,2,0,61.538,69.314,61.538,59.124
84,2,0,63.077,61.796,63.077,60.522
85,2,0,60.0,61.682,60.0,58.109
86,2,0,61.538,67.016,61.538,60.683
87,2,0,56.923,58.091,56.923,54.887
88,2,0,51.538,51.863,51.538,47.998
89,2,0,53.846,58.444,53.846,51.763
90,2,0,53.846,63.35,53.846,51.334
91,2,0,53.077,59.475,53.077,51.18
92,2,0,57.692,60.151,57.692,55.591
93,2,0,55.385,58.939,55.385,53.944
94,2,0,57.692,60.402,57.692,55.638
95,2,0,56.154,59.377,56.154,54.481
96,2,0,56.923,63.65,56.923,55.111
97,2,0,56.923,56.198,56.923,53.725
98,2,0,57.692,62.47,57.692,56.655
99,2,0,55.385,56.028,55.385,52.506
100,2,0,60.769,67.767,60.769,59.097
0,2,1,34.615,35.968,34.615,33.504
1,2,1,34.615,38.588,34.615,33.493
2,2,1,33.077,33.072,33.077,31.033
3,2,1,36.923,35.753,36.923,35.636
4,2,1,38.462,36.916,38.462,36.163
5,2,1,40.0,38.717,40.0,37.78
6,2,1,35.385,37.577,35.385,32.75
7,2,1,36.923,41.794,36.923,34.399
8,2,1,36.923,35.881,36.923,33.178
9,2,1,36.923,35.66,36.923,34.278
10,2,1,40.0,39.441,40.0,38.062
11,2,1,36.154,35.665,36.154,34.011
12,2,1,34.615,35.242,34.615,32.9
13,2,1,36.923,41.937,36.923,36.054
14,2,1,34.615,36.445,34.615,34.066
15,2,1,36.923,39.703,36.923,35.963
16,2,1,33.846,33.94,33.846,32.258
17,2,1,30.769,28.546,30.769,27.443
18,2,1,33.846,35.248,33.846,32.062
19,2,1,33.077,37.847,33.077,32.189
20,2,1,33.077,37.772,33.077,31.708
21,2,1,33.846,42.649,33.846,33.136
22,2,1,30.769,32.24,30.769,29.394
23,2,1,38.462,46.931,38.462,37.253
24,2,1,33.077,44.105,33.077,32.299
25,2,1,30.769,36.179,30.769,29.309
26,2,1,36.154,41.503,36.154,34.65
27,2,1,36.154,40.441,36.154,35.581
28,2,1,36.154,41.121,36.154,35.614
29,2,1,36.154,44.34,36.154,36.731
30,2,1,37.692,43.221,37.692,37.374
31,2,1,39.231,44.952,39.231,39.062
32,2,1,38.462,50.741,38.462,38.742
33,2,1,40.769,50.537,40.769,40.784
34,2,1,38.462,46.352,38.462,38.451
35,2,1,40.0,53.103,40.0,39.407
36,2,1,42.308,50.003,42.308,40.671
37,2,1,41.538,48.559,41.538,40.49
38,2,1,41.538,47.399,41.538,40.05
39,2,1,45.385,53.899,45.385,44.115
40,2,1,46.154,50.536,46.154,44.078
41,2,1,45.385,46.192,45.385,42.27
42,2,1,43.846,52.226,43.846,41.455
43,2,1,45.385,53.332,45.385,42.913
44,2,1,45.385,54.305,45.385,43.473
45,2,1,43.077,61.305,43.077,40.372
46,2,1,43.077,52.498,43.077,41.95
47,2,1,42.308,50.482,42.308,40.312
48,2,1,44.615,57.492,44.615,44.383
49,2,1,41.538,50.335,41.538,39.204
50,2,1,46.923,58.582,46.923,44.793
51,2,1,45.385,52.615,45.385,43.002
52,2,1,42.308,43.253,42.308,38.675
53,2,1,46.923,52.468,46.923,45.322
54,2,1,43.077,47.75,43.077,39.989
55,2,1,43.077,48.092,43.077,40.197
56,2,1,44.615,52.761,44.615,41.355
57,2,1,45.385,51.709,45.385,42.234
58,2,1,43.077,45.828,43.077,38.941
59,2,1,46.154,51.895,46.154,44.15
60,2,1,50.0,62.314,50.0,49.309
61,2,1,48.462,54.472,48.462,45.608
62,2,1,49.231,59.194,49.231,48.395
63,2,1,49.231,58.578,49.231,47.471
64,2,1,43.846,51.633,43.846,41.559
65,2,1,45.385,49.535,45.385,41.359
66,2,1,47.692,54.274,47.692,45.292
67,2,1,49.231,58.77,49.231,46.401
68,2,1,44.615,50.54,44.615,40.658
69,2,1,45.385,54.516,45.385,43.985
70,2,1,45.385,55.013,45.385,42.824
71,2,1,45.385,53.872,45.385,44.487
72,2,1,48.462,57.048,48.462,46.18
73,2,1,50.0,60.66,50.0,48.254
74,2,1,45.385,53.518,45.385,43.432
75,2,1,46.154,54.723,46.154,42.814
76,2,1,49.231,59.205,49.231,47.138
77,2,1,43.077,56.907,43.077,39.728
78,2,1,50.0,62.665,50.0,48.589
79,2,1,47.692,58.356,47.692,46.642
80,2,1,48.462,61.196,48.462,48.389
81,2,1,48.462,59.305,48.462,46.647
82,2,1,50.0,59.32,50.0,46.732
83,2,1,48.462,60.317,48.462,46.804
84,2,1,50.769,65.989,50.769,48.119
85,2,1,50.0,57.597,50.0,48.551
86,2,1,50.769,62.566,50.769,49.603
87,2,1,53.077,63.74,53.077,52.572
88,2,1,51.538,60.04,51.538,50.895
89,2,1,51.538,62.94,51.538,51.139
90,2,1,51.538,61.62,51.538,51.459
91,2,1,52.308,66.219,52.308,52.532
92,2,1,53.077,64.929,53.077,53.802
93,2,1,58.462,68.828,58.462,58.332
94,2,1,51.538,64.087,51.538,51.644
95,2,1,55.385,64.862,55.385,55.138
96,2,1,53.846,62.752,53.846,53.746
97,2,1,53.077,63.205,53.077,53.561
98,2,1,54.615,63.784,54.615,54.921
99,2,1,48.462,57.74,48.462,47.955
100,2,1,53.846,69.042,53.846,53.379
0,2,2,33.846,42.925,33.846,33.534
1,2,2,30.769,36.048,30.769,30.548
2,2,2,34.615,43.765,34.615,34.241
3,2,2,33.846,45.157,33.846,34.507
4,2,2,28.462,34.653,28.462,28.879
5,2,2,33.846,40.054,33.846,33.292
6,2,2,33.077,37.921,33.077,33.283
7,2,2,28.462,37.849,28.462,27.845
8,2,2,30.0,37.607,30.0,29.696
9,2,2,35.385,42.616,35.385,36.067
10,2,2,40.769,42.522,40.769,39.474
11,2,2,35.385,41.749,35.385,34.579
12,2,2,31.538,37.201,31.538,29.841
13,2,2,33.077,40.504,33.077,31.904
14,2,2,34.615,38.846,34.615,33.416
15,2,2,35.385,42.167,35.385,34.533
16,2,2,35.385,42.211,35.385,35.644
17,2,2,40.0,49.235,40.0,40.958
18,2,2,36.154,39.994,36.154,35.45
19,2,2,36.154,45.658,36.154,36.595
20,2,2,37.692,49.174,37.692,37.724
21,2,2,33.077,39.028,33.077,32.483
22,2,2,40.0,45.292,40.0,39.01
23,2,2,44.615,48.694,44.615,43.695
24,2,2,40.0,43.483,40.0,39.547
25,2,2,43.846,47.668,43.846,41.025
26,2,2,42.308,48.121,42.308,41.398
27,2,2,40.0,43.369,40.0,38.982
28,2,2,41.538,46.416,41.538,40.573
29,2,2,38.462,43.438,38.462,37.779
30,2,2,37.692,43.495,37.692,36.868
31,2,2,43.077,46.509,43.077,42.168
32,2,2,36.923,42.277,36.923,36.311
33,2,2,46.923,54.098,46.923,46.931
34,2,2,46.923,49.445,46.923,47.095
35,2,2,46.154,47.705,46.154,46.383
36,2,2,44.615,49.002,44.615,45.55
37,2,2,43.077,48.052,43.077,44.422
38,2,2,47.692,52.185,47.692,48.761
39,2,2,48.462,53.045,48.462,49.173
40,2,2,43.846,49.607,43.846,45.5
41,2,2,50.769,53.879,50.769,51.431
42,2,2,50.769,54.483,50.769,51.016
43,2,2,52.308,56.815,52.308,53.424
44,2,2,46.923,52.274,46.923,48.042
45,2,2,43.077,48.657,43.077,44.098
46,2,2,43.846,51.012,43.846,45.362
47,2,2,44.615,50.906,44.615,46.048
48,2,2,44.615,52.846,44.615,46.341
49,2,2,48.462,53.596,48.462,49.516
50,2,2,48.462,50.96,48.462,48.235
51,2,2,46.154,48.677,46.154,46.378
52,2,2,52.308,55.44,52.308,52.893
53,2,2,47.692,50.483,47.692,47.428
54,2,2,51.538,52.627,51.538,51.156
55,2,2,48.462,51.555,48.462,49.087
56,2,2,47.692,49.139,47.692,47.824
57,2,2,53.077,54.724,53.077,52.861
58,2,2,52.308,54.357,52.308,52.694
59,2,2,50.769,53.038,50.769,50.975
60,2,2,55.385,56.129,55.385,54.884
61,2,2,52.308,53.968,52.308,52.249
62,2,2,53.077,55.811,53.077,53.523
63,2,2,48.462,49.266,48.462,48.254
64,2,2,50.769,50.647,50.769,50.31
65,2,2,53.846,52.813,53.846,52.672
66,2,2,53.846,53.913,53.846,53.554
67,2,2,53.846,58.412,53.846,54.997
68,2,2,54.615,56.176,54.615,54.617
69,2,2,56.154,59.166,56.154,56.921
70,2,2,50.769,56.339,50.769,51.256
71,2,2,53.077,58.209,53.077,54.309
72,2,2,49.231,56.298,49.231,51.106
73,2,2,57.692,60.639,57.692,57.877
74,2,2,56.154,57.271,56.154,55.915
75,2,2,56.154,58.001,56.154,56.294
76,2,2,60.0,62.054,60.0,60.124
77,2,2,54.615,56.222,54.615,54.549
78,2,2,57.692,58.446,57.692,57.347
79,2,2,53.077,53.684,53.077,52.915
80,2,2,56.154,57.423,56.154,56.165
81,2,2,58.462,61.344,58.462,58.992
82,2,2,56.923,57.742,56.923,56.736
83,2,2,60.0,61.246,60.0,59.818
84,2,2,59.231,60.008,59.231,58.742
85,2,2,57.692,56.76,57.692,56.523
86,2,2,56.923,56.165,56.923,55.211
87,2,2,56.923,58.353,56.923,56.396
88,2,2,57.692,58.186,57.692,57.239
89,2,2,57.692,58.43,57.692,57.096
90,2,2,50.769,48.272,50.769,48.402
91,2,2,60.0,59.214,60.0,58.422
92,2,2,55.385,51.782,55.385,52.27
93,2,2,58.462,56.947,58.462,56.538
94,2,2,60.0,61.032,60.0,58.525
95,2,2,60.0,61.663,60.0,58.882
96,2,2,54.615,51.188,54.615,51.918
97,2,2,56.154,59.135,56.154,55.577
98,2,2,56.923,56.046,56.923,55.163
99,2,2,57.692,59.923,57.692,56.91
100,2,2,60.0,61.426,60.0,58.611
0,5,0,27.692,34.156,27.692,27.952
1,5,0,31.538,48.827,31.538,30.313
2,5,0,33.846,37.556,33.846,32.178
3,5,0,33.846,48.417,33.846,33.674
4,5,0,32.308,36.37,32.308,30.445
5,5,0,40.769,42.83,40.769,38.675
6,5,0,42.308,43.743,42.308,40.109
7,5,0,47.692,55.638,47.692,44.945
8,5,0,48.462,51.856,48.462,45.63
9,5,0,50.0,56.718,50.0,48.11
10,5,0,45.385,59.617,45.385,43.301
11,5,0,50.769,61.422,50.769,48.119
12,5,0,46.154,50.617,46.154,42.426
13,5,0,50.0,59.208,50.0,46.339
14,5,0,47.692,60.889,47.692,44.491
15,5,0,43.846,52.124,43.846,41.031
16,5,0,49.231,56.81,49.231,47.214
17,5,0,46.923,52.095,46.923,44.056
18,5,0,46.923,57.53,46.923,44.408
19,5,0,51.538,59.595,51.538,49.463
20,5,0,53.846,63.873,53.846,50.999
21,5,0,50.0,56.263,50.0,47.212
22,5,0,56.923,64.628,56.923,56.032
23,5,0,51.538,60.5,51.538,49.065
24,5,0,50.769,57.145,50.769,48.208
25,5,0,54.615,57.964,54.615,52.195
26,5,0,55.385,57.033,55.385,53.041
27,5,0,56.923,63.333,56.923,56.217
28,5,0,54.615,57.808,54.615,52.889
29,5,0,54.615,57.835,54.615,52.175
30,5,0,55.385,59.266,55.385,54.387
31,5,0,52.308,54.009,52.308,50.522
32,5,0,56.154,59.177,56.154,55.059
33,5,0,48.462,51.809,48.462,45.404
34,5,0,53.846,59.735,53.846,52.345
35,5,0,56.154,60.51,56.154,54.882
36,5,0,50.0,55.976,50.0,48.017
37,5,0,56.923,64.039,56.923,55.918
38,5,0,50.769,56.898,50.769,48.333
39,5,0,58.462,66.098,58.462,57.308
40,5,0,52.308,60.254,52.308,49.381
0,5,1,34.615,35.968,34.615,33.504
1,5,1,41.538,39.768,41.538,39.14
2,5,1,31.538,29.885,31.538,28.479
3,5,1,40.769,42.57,40.769,38.365
4,5,1,40.0,44.44,40.0,38.218
5,5,1,40.769,44.828,40.769,40.107
6,5,1,42.308,46.228,42.308,41.891
7,5,1,44.615,50.121,44.615,43.019
8,5,1,39.231,44.275,39.231,38.722
9,5,1,40.0,47.696,40.0,40.587
10,5,1,43.846,50.293,43.846,43.784
11,5,1,43.846,55.124,43.846,41.844
12,5,1,39.231,45.166,39.231,36.438
13,5,1,47.692,53.117,47.692,45.89
14,5,1,47.692,53.46,47.692,45.582
15,5,1,45.385,48.997,45.385,42.177
16,5,1,47.692,52.627,47.692,45.458
