iter,step,fold,acc,prec,rec,f1score
0,2,0,27.692,34.156,27.692,27.952
1,2,0,30.769,37.523,30.769,29.605
2,2,0,30.769,37.523,30.769,29.605
3,2,0,31.538,37.395,31.538,30.62
4,2,0,31.538,37.395,31.538,30.62
5,2,0,37.692,40.71,37.692,36.743
6,2,0,37.692,42.905,37.692,37.019
7,2,0,38.462,36.814,38.462,35.42
8,2,0,38.462,36.814,38.462,35.42
9,2,0,42.308,40.205,42.308,38.657
10,2,0,42.308,40.205,42.308,38.657
11,2,0,42.308,48.302,42.308,37.822
12,2,0,42.308,48.302,42.308,37.822
13,2,0,46.923,43.981,46.923,41.772
14,2,0,46.923,43.981,46.923,41.772
15,2,0,47.692,42.754,47.692,43.751
16,2,0,48.462,41.407,48.462,42.662
17,2,0,48.462,53.433,48.462,46.803
18,2,0,48.462,53.433,48.462,46.803
19,2,0,55.385,62.519,55.385,52.463
20,2,0,48.462,54.401,48.462,46.123
21,2,0,50.0,52.307,50.0,48.475
22,2,0,46.154,46.279,46.154,44.74
23,2,0,44.615,45.655,44.615,42.128
24,2,0,49.231,54.495,49.231,47.199
25,2,0,45.385,53.57,45.385,44.563
26,2,0,43.846,51.644,43.846,41.006
27,2,0,47.692,61.365,47.692,45.566
28,2,0,51.538,56.833,51.538,49.241
29,2,0,45.385,48.571,45.385,41.513
30,2,0,45.385,48.571,45.385,41.513
31,2,0,47.692,58.316,47.692,45.339
32,2,0,45.385,54.1,45.385,42.63
33,2,0,49.231,57.914,49.231,46.029
34,2,0,49.231,57.914,49.231,46.029
35,2,0,47.692,52.856,47.692,44.551
36,2,0,47.692,52.856,47.692,44.551
37,2,0,46.154,54.465,46.154,43.141
38,2,0,54.615,60.56,54.615,53.471
39,2,0,51.538,57.075,51.538,50.824
40,2,0,48.462,60.233,48.462,46.213
41,2,0,49.231,55.401,49.231,47.553
42,2,0,49.231,55.401,49.231,47.553
43,2,0,53.077,60.433,53.077,52.993
44,2,0,52.308,60.596,52.308,51.925
45,2,0,50.769,58.082,50.769,49.268
46,2,0,52.308,56.297,52.308,50.791
47,2,0,53.846,57.213,53.846,52.319
48,2,0,56.923,64.042,56.923,56.233
49,2,0,59.231,64.32,59.231,58.533
50,2,0,59.231,64.32,59.231,58.533
