iter,step,fold,acc,prec,rec,f1score
0,2,0,27.692,34.156,27.692,27.952
1,2,0,30.769,39.093,30.769,30.566
2,2,0,33.077,43.729,33.077,34.313
3,2,0,36.923,40.486,36.923,35.419
4,2,0,31.538,46.073,31.538,31.706
5,2,0,32.308,48.856,32.308,33.032
6,2,0,32.308,53.977,32.308,31.856
7,2,0,30.769,51.995,30.769,31.472
8,2,0,30.0,44.933,30.0,29.111
9,2,0,29.231,41.567,29.231,27.874
10,2,0,31.538,39.635,31.538,30.286
11,2,0,37.692,50.918,37.692,36.84
12,2,0,34.615,45.594,34.615,35.218
13,2,0,36.923,45.413,36.923,36.22
14,2,0,33.846,42.411,33.846,33.307
15,2,0,42.308,51.888,42.308,41.854
16,2,0,42.308,50.617,42.308,40.859
17,2,0,36.923,46.338,36.923,35.239
18,2,0,40.0,50.872,40.0,39.205
19,2,0,34.615,41.347,34.615,33.967
20,2,0,30.0,37.036,30.0,29.704
21,2,0,30.0,34.803,30.0,28.647
22,2,0,33.077,42.652,33.077,32.035
23,2,0,38.462,51.368,38.462,37.284
24,2,0,40.769,56.007,40.769,39.055
25,2,0,36.154,56.056,36.154,35.725
26,2,0,29.231,36.645,29.231,26.261
27,2,0,37.692,51.363,37.692,37.028
28,2,0,38.462,47.894,38.462,37.894
29,2,0,42.308,54.983,42.308,41.554
30,2,0,40.769,55.05,40.769,39.866
31,2,0,40.0,58.1,40.0,37.368
32,2,0,36.923,54.405,36.923,34.177
33,2,0,36.923,52.516,36.923,35.024
34,2,0,35.385,54.657,35.385,32.898
35,2,0,33.846,38.578,33.846,29.986
36,2,0,38.462,52.41,38.462,36.687
37,2,0,38.462,50.822,38.462,35.79
38,2,0,39.231,53.807,39.231,38.391
39,2,0,39.231,44.556,39.231,36.905
40,2,0,37.692,51.213,37.692,36.378
41,2,0,42.308,53.392,42.308,41.297
42,2,0,43.077,56.358,43.077,43.028
43,2,0,40.769,48.984,40.769,39.937
44,2,0,41.538,50.683,41.538,41.334
45,2,0,40.769,50.617,40.769,41.469
46,2,0,43.846,52.388,43.846,43.773
47,2,0,43.077,52.737,43.077,41.192
48,2,0,43.077,53.734,43.077,43.852
49,2,0,45.385,56.641,45.385,46.408
50,2,0,46.923,55.673,46.923,48.07
51,2,0,40.0,49.103,40.0,40.392
52,2,0,46.154,59.543,46.154,46.313
53,2,0,45.385,56.962,45.385,46.49
54,2,0,49.231,60.791,49.231,50.254
55,2,0,42.308,53.525,42.308,43.29
56,2,0,45.385,59.044,45.385,46.007
57,2,0,46.923,56.537,46.923,47.09
58,2,0,46.154,57.733,46.154,46.395
59,2,0,43.846,48.967,43.846,43.224
60,2,0,46.923,51.885,46.923,45.081
61,2,0,46.923,51.468,46.923,46.026
62,2,0,48.462,55.045,48.462,46.709
