iter,step,fold,acc,prec,rec,f1score
0,2,0,27.692,34.156,27.692,27.952
1,2,0,30.769,39.093,30.769,30.566
2,2,0,33.077,43.729,33.077,34.313
3,2,0,36.923,40.486,36.923,35.419
4,2,0,31.538,46.073,31.538,31.706
5,2,0,34.615,52.789,34.615,33.565
6,2,0,34.615,52.789,34.615,33.565
7,2,0,34.615,58.016,34.615,35.957
8,2,0,34.615,58.016,34.615,35.957
9,2,0,30.769,45.94,30.769,30.656
10,2,0,31.538,46.154,31.538,31.5
11,2,0,32.308,52.956,32.308,31.584
12,2,0,32.308,52.956,32.308,31.584
13,2,0,35.385,57.281,35.385,33.928
14,2,0,35.385,57.281,35.385,33.928
15,2,0,35.385,57.608,35.385,34.954
16,2,0,36.154,46.36,36.154,36.259
17,2,0,33.077,49.639,33.077,33.27
18,2,0,37.692,48.562,37.692,38.052
19,2,0,34.615,50.036,34.615,35.084
20,2,0,37.692,53.275,37.692,39.841
21,2,0,34.615,46.599,34.615,35.401
22,2,0,34.615,46.599,34.615,35.401
23,2,0,39.231,48.226,39.231,40.06
24,2,0,43.077,51.722,43.077,42.519
25,2,0,42.308,51.044,42.308,41.865
26,2,0,43.846,51.872,43.846,42.794
27,2,0,40.0,40.659,40.0,36.936
28,2,0,40.0,40.659,40.0,36.936
29,2,0,40.0,40.821,40.0,36.497
30,2,0,40.0,40.821,40.0,36.497
31,2,0,45.385,41.627,45.385,40.356
32,2,0,45.385,41.627,45.385,40.356
33,2,0,43.077,40.601,43.077,38.916
34,2,0,42.308,42.292,42.308,38.127
35,2,0,46.923,48.252,46.923,44.516
36,2,0,42.308,40.718,42.308,37.19
37,2,0,43.846,46.558,43.846,40.857
38,2,0,43.846,50.083,43.846,40.053
39,2,0,46.923,54.338,46.923,44.401
40,2,0,46.923,54.338,46.923,44.401
41,2,0,47.692,56.69,47.692,44.783
42,2,0,47.692,56.69,47.692,44.783
43,2,0,43.077,42.338,43.077,39.165
44,2,0,45.385,44.403,45.385,41.711
45,2,0,45.385,53.038,45.385,41.333
46,2,0,48.462,55.359,48.462,45.291
47,2,0,46.923,54.639,46.923,45.272
48,2,0,46.923,54.639,46.923,45.272
49,2,0,46.923,47.461,46.923,42.666
50,2,0,47.692,41.16,47.692,41.33
51,2,0,43.846,50.176,43.846,38.397
52,2,0,43.846,50.176,43.846,38.397
53,2,0,42.308,38.262,42.308,37.462
54,2,0,43.846,51.995,43.846,40.26
55,2,0,43.846,41.461,43.846,39.261
56,2,0,43.846,41.461,43.846,39.261
57,2,0,46.154,52.214,46.154,41.884
58,2,0,46.154,52.214,46.154,41.884
59,2,0,44.615,46.46,44.615,41.232
60,2,0,44.615,46.46,44.615,41.232
61,2,0,50.769,45.597,50.769,46.349
62,2,0,50.0,57.326,50.0,47.193
