iter,step,fold,acc,prec,rec,f1score
0,2,0,32.308,28.528,32.308,29.363
1,2,0,33.077,32.598,33.077,32.039
2,2,0,33.077,32.598,33.077,32.039
3,2,0,32.308,33.952,32.308,32.299
4,2,0,31.538,31.387,31.538,30.344
5,2,0,24.615,25.287,24.615,24.155
6,2,0,32.308,28.877,32.308,29.328
7,2,0,28.462,25.688,28.462,26.267
8,2,0,28.462,25.688,28.462,26.267
9,2,0,28.462,28.385,28.462,26.994
10,2,0,28.462,28.385,28.462,26.994
11,2,0,29.231,29.798,29.231,28.176
12,2,0,28.462,28.702,28.462,27.232
13,2,0,27.692,27.351,27.692,26.505
14,2,0,27.692,27.351,27.692,26.505
15,2,0,27.692,28.585,27.692,26.616
16,2,0,27.692,28.585,27.692,26.616
17,2,0,27.692,27.798,27.692,26.59
18,2,0,27.692,27.798,27.692,26.59
19,2,0,30.769,32.849,30.769,31.225
20,2,0,26.923,30.478,26.923,28.098
21,2,0,29.231,33.48,29.231,30.675
22,2,0,31.538,33.683,31.538,32.035
23,2,0,32.308,35.025,32.308,32.953
24,2,0,32.308,35.025,32.308,32.953
25,2,0,32.308,35.48,32.308,32.946
26,2,0,32.308,35.48,32.308,32.946
27,2,0,33.077,34.429,33.077,32.836
28,2,0,34.615,37.052,34.615,34.771
29,2,0,37.692,39.918,37.692,37.48
30,2,0,37.692,39.918,37.692,37.48
31,2,0,38.462,39.51,38.462,37.985
32,2,0,40.0,41.089,40.0,39.507
33,2,0,40.0,41.141,40.0,39.234
34,2,0,40.0,41.141,40.0,39.234
35,2,0,42.308,41.97,42.308,41.203
36,2,0,37.692,37.916,37.692,37.033
37,2,0,39.231,39.523,39.231,38.839
38,2,0,43.846,44.615,43.846,43.447
39,2,0,43.846,44.587,43.846,43.41
40,2,0,43.846,44.587,43.846,43.41
41,2,0,43.077,44.88,43.077,42.614
42,2,0,43.077,44.88,43.077,42.614
43,2,0,43.077,43.679,43.077,42.847
44,2,0,43.077,43.679,43.077,42.847
45,2,0,43.077,45.053,43.077,42.713
46,2,0,43.077,45.053,43.077,42.713
47,2,0,42.308,43.682,42.308,41.956
48,2,0,42.308,43.682,42.308,41.956
49,2,0,43.846,45.531,43.846,43.621
50,2,0,43.846,45.531,43.846,43.621
51,2,0,43.846,46.304,43.846,44.144
52,2,0,43.846,46.304,43.846,44.144
53,2,0,41.538,43.898,41.538,41.65
54,2,0,42.308,44.876,42.308,41.616
55,2,0,43.846,45.794,43.846,43.656
56,2,0,43.846,45.794,43.846,43.656
57,2,0,43.077,44.729,43.077,42.737
58,2,0,43.077,44.729,43.077,42.737
59,2,0,42.308,43.371,42.308,41.686
60,2,0,45.385,48.598,45.385,45.221
61,2,0,47.692,51.368,47.692,47.172
62,2,0,47.692,51.368,47.692,47.172
63,2,0,46.923,51.286,46.923,47.032
64,2,0,46.923,50.707,46.923,47.371
65,2,0,48.462,52.661,48.462,48.584
66,2,0,48.462,51.101,48.462,47.923
67,2,0,47.692,50.57,47.692,47.983
68,2,0,47.692,50.57,47.692,47.983
69,2,0,48.462,50.826,48.462,48.65
70,2,0,48.462,50.826,48.462,48.65
71,2,0,47.692,49.615,47.692,47.66
72,2,0,47.692,49.615,47.692,47.66
73,2,0,46.154,48.418,46.154,46.358
74,2,0,46.154,48.418,46.154,46.358
75,2,0,46.154,47.628,46.154,46.053
76,2,0,46.154,47.628,46.154,46.053
77,2,0,46.154,48.549,46.154,46.197
78,2,0,46.154,48.549,46.154,46.197
79,2,0,46.154,50.32,46.154,45.957
80,2,0,46.154,50.32,46.154,45.957
81,2,0,44.615,47.222,44.615,44.391
82,2,0,44.615,47.222,44.615,44.391
83,2,0,46.154,50.139,46.154,46.759
84,2,0,46.154,50.139,46.154,46.759
85,2,0,45.385,48.733,45.385,45.732
86,2,0,45.385,48.733,45.385,45.732
87,2,0,45.385,46.69,45.385,45.164
88,2,0,45.385,46.69,45.385,45.164
89,2,0,43.846,45.56,43.846,43.508
90,2,0,46.154,47.381,46.154,45.567
91,2,0,48.462,49.941,48.462,47.897
92,2,0,48.462,49.941,48.462,47.897
93,2,0,49.231,49.911,49.231,48.191
94,2,0,49.231,49.911,49.231,48.191
95,2,0,50.0,50.545,50.0,49.031
96,2,0,50.0,50.545,50.0,49.031
97,2,0,49.231,51.044,49.231,48.342
98,2,0,48.462,49.172,48.462,47.288
99,2,0,50.0,50.901,50.0,49.061
100,2,0,49.231,49.623,49.231,48.042
0,2,1,35.385,32.785,35.385,33.22
1,2,1,33.077,35.774,33.077,32.861
2,2,1,33.077,35.774,33.077,32.861
3,2,1,30.769,31.923,30.769,31.001
4,2,1,30.769,31.923,30.769,31.001
5,2,1,32.308,32.353,32.308,31.483
6,2,1,32.308,32.335,32.308,31.632
7,2,1,28.462,30.682,28.462,28.109
8,2,1,28.462,30.682,28.462,28.109
9,2,1,30.0,30.401,30.0,28.126
10,2,1,32.308,33.077,32.308,30.352
11,2,1,29.231,30.467,29.231,26.65
12,2,1,30.769,32.736,30.769,28.616
13,2,1,27.692,28.941,27.692,26.385
14,2,1,27.692,28.941,27.692,26.385
15,2,1,33.077,33.375,33.077,31.941
16,2,1,33.077,33.375,33.077,31.941
17,2,1,31.538,34.273,31.538,30.71
18,2,1,33.077,32.434,33.077,30.659
19,2,1,32.308,33.155,32.308,30.246
20,2,1,33.846,34.637,33.846,31.215
21,2,1,36.154,39.048,36.154,33.145
22,2,1,36.154,39.048,36.154,33.145
23,2,1,38.462,40.628,38.462,35.496
24,2,1,33.846,37.581,33.846,32.781
