iter,step,fold,acc,prec,rec,f1score
0,2,0,32.308,28.528,32.308,29.363
1,2,0,33.077,32.598,33.077,32.039
2,2,0,36.923,35.427,36.923,34.957
3,2,0,36.154,35.736,36.154,34.542
4,2,0,29.231,33.373,29.231,29.832
5,2,0,24.615,28.419,24.615,25.263
6,2,0,29.231,35.746,29.231,29.786
7,2,0,29.231,33.511,29.231,29.569
8,2,0,30.0,35.058,30.0,29.946
9,2,0,30.769,39.117,30.769,31.002
10,2,0,30.0,37.417,30.0,29.275
11,2,0,26.154,31.273,26.154,26.497
12,2,0,30.769,33.146,30.769,29.51
13,2,0,30.0,36.377,30.0,29.757
14,2,0,31.538,37.533,31.538,32.489
15,2,0,29.231,35.507,29.231,30.44
16,2,0,29.231,31.042,29.231,28.794
17,2,0,33.846,35.136,33.846,32.75
18,2,0,34.615,35.234,34.615,33.163
19,2,0,32.308,33.068,32.308,30.835
20,2,0,34.615,38.038,34.615,32.812
21,2,0,34.615,35.053,34.615,32.858
22,2,0,36.923,37.02,36.923,35.529
23,2,0,38.462,41.119,38.462,38.307
24,2,0,36.923,39.396,36.923,36.672
25,2,0,36.923,39.961,36.923,36.979
26,2,0,34.615,37.253,34.615,34.188
27,2,0,35.385,37.823,35.385,35.131
28,2,0,34.615,37.266,34.615,34.552
29,2,0,33.077,35.855,33.077,32.917
30,2,0,40.0,42.216,40.0,39.298
31,2,0,36.154,38.218,36.154,35.005
32,2,0,37.692,40.514,37.692,36.757
33,2,0,39.231,41.391,39.231,38.188
34,2,0,36.923,40.441,36.923,36.033
35,2,0,36.923,40.389,36.923,36.281
36,2,0,36.154,39.581,36.154,35.361
37,2,0,36.154,38.738,36.154,35.488
38,2,0,35.385,36.396,35.385,33.517
39,2,0,35.385,38.16,35.385,33.605
40,2,0,36.154,38.276,36.154,34.053
41,2,0,31.538,32.973,31.538,29.519
42,2,0,31.538,32.799,31.538,29.584
43,2,0,33.077,36.641,33.077,30.871
44,2,0,35.385,36.083,35.385,33.413
45,2,0,34.615,32.992,34.615,31.715
46,2,0,38.462,39.891,38.462,36.798
47,2,0,39.231,40.589,39.231,37.589
48,2,0,39.231,40.886,39.231,38.448
49,2,0,39.231,39.752,39.231,38.066
50,2,0,40.0,43.238,40.0,39.479
51,2,0,39.231,41.971,39.231,38.453
52,2,0,39.231,41.712,39.231,38.454
53,2,0,40.0,43.699,40.0,39.9
54,2,0,39.231,41.974,39.231,39.303
55,2,0,40.0,40.728,40.0,39.579
56,2,0,42.308,43.684,42.308,42.277
57,2,0,41.538,44.275,41.538,42.09
58,2,0,43.846,46.398,43.846,44.212
59,2,0,45.385,46.876,45.385,45.483
60,2,0,45.385,46.802,45.385,45.496
61,2,0,42.308,42.934,42.308,42.126
62,2,0,46.154,47.33,46.154,46.218
63,2,0,42.308,43.375,42.308,42.416
64,2,0,43.077,43.322,43.077,43.096
65,2,0,43.846,44.06,43.846,43.789
66,2,0,43.077,44.416,43.077,43.531
67,2,0,43.846,45.818,43.846,44.507
68,2,0,43.846,44.946,43.846,44.092
69,2,0,43.077,43.435,43.077,42.852
70,2,0,42.308,42.745,42.308,42.049
71,2,0,42.308,43.073,42.308,42.082
72,2,0,42.308,42.87,42.308,41.966
73,2,0,43.077,42.908,43.077,42.308
74,2,0,42.308,43.566,42.308,41.925
75,2,0,42.308,42.951,42.308,41.839
76,2,0,42.308,43.626,42.308,41.668
77,2,0,43.846,44.99,43.846,43.118
78,2,0,43.077,44.16,43.077,41.793
79,2,0,43.846,46.299,43.846,43.008
80,2,0,44.615,46.87,44.615,43.538
81,2,0,46.923,48.954,46.923,45.919
82,2,0,46.154,47.857,46.154,45.312
83,2,0,46.154,48.107,46.154,44.906
84,2,0,46.154,47.843,46.154,44.812
85,2,0,42.308,42.316,42.308,40.802
86,2,0,44.615,45.74,44.615,42.896
87,2,0,43.077,43.524,43.077,41.396
88,2,0,45.385,46.863,45.385,44.23
89,2,0,46.154,47.319,46.154,44.865
90,2,0,45.385,46.363,45.385,43.934
91,2,0,44.615,45.869,44.615,43.431
92,2,0,46.154,47.349,46.154,44.888
93,2,0,46.923,48.933,46.923,46.009
94,2,0,43.077,44.407,43.077,41.902
95,2,0,44.615,44.88,44.615,43.182
96,2,0,46.923,47.976,46.923,45.307
97,2,0,46.154,46.641,46.154,44.609
98,2,0,45.385,45.791,45.385,43.775
99,2,0,43.846,44.937,43.846,42.554
100,2,0,45.385,46.762,45.385,44.265
0,2,1,35.385,32.785,35.385,33.22
1,2,1,33.077,35.774,33.077,32.861
2,2,1,33.846,35.855,33.846,33.288
3,2,1,34.615,36.459,34.615,33.367
4,2,1,33.077,35.01,33.077,31.798
5,2,1,30.0,34.545,30.0,28.496
6,2,1,30.0,34.545,30.0,28.496
7,2,1,30.769,30.844,30.769,28.782
8,2,1,29.231,28.511,29.231,27.04
9,2,1,32.308,34.27,32.308,30.824
10,2,1,32.308,33.809,32.308,30.994
11,2,1,30.0,30.136,30.0,28.628
12,2,1,29.231,30.338,29.231,28.177
13,2,1,28.462,29.59,28.462,26.085
14,2,1,25.385,25.033,25.385,22.899
15,2,1,30.0,27.976,30.0,26.978
16,2,1,30.769,29.638,30.769,28.409
17,2,1,26.154,27.528,26.154,24.711
18,2,1,25.385,27.107,25.385,24.213
19,2,1,29.231,30.276,29.231,27.479
20,2,1,33.077,35.553,33.077,32.217
21,2,1,33.846,35.155,33.846,33.42
22,2,1,32.308,33.25,32.308,31.447
23,2,1,33.846,34.307,33.846,33.069
24,2,1,34.615,34.401,34.615,33.185
