iter,step,fold,acc,prec,rec,f1score
0,2,0,32.308,28.528,32.308,29.363
1,2,0,33.077,32.598,33.077,32.039
2,2,0,33.077,32.598,33.077,32.039
3,2,0,32.308,33.952,32.308,32.299
4,2,0,31.538,31.387,31.538,30.344
5,2,0,24.615,25.287,24.615,24.155
6,2,0,32.308,28.877,32.308,29.328
7,2,0,28.462,25.688,28.462,26.267
8,2,0,28.462,25.688,28.462,26.267
9,2,0,28.462,28.385,28.462,26.994
10,2,0,28.462,28.385,28.462,26.994
11,2,0,29.231,29.798,29.231,28.176
12,2,0,28.462,28.702,28.462,27.232
13,2,0,27.692,27.351,27.692,26.505
14,2,0,27.692,27.351,27.692,26.505
15,2,0,27.692,28.585,27.692,26.616
16,2,0,27.692,28.585,27.692,26.616
17,2,0,29.231,30.938,29.231,28.916
18,2,0,29.231,30.938,29.231,28.916
19,2,0,31.538,33.577,31.538,31.956
20,2,0,29.231,30.835,29.231,29.419
21,2,0,33.077,35.107,33.077,33.006
22,2,0,32.308,32.192,32.308,30.839
23,2,0,31.538,33.297,31.538,30.843
24,2,0,31.538,33.297,31.538,30.843
25,2,0,33.846,37.162,33.846,33.746
26,2,0,32.308,36.036,32.308,32.33
27,2,0,33.077,35.852,33.077,32.593
28,2,0,33.077,35.874,33.077,32.406
29,2,0,34.615,37.676,34.615,34.059
30,2,0,33.077,35.179,33.077,32.212
31,2,0,36.923,41.217,36.923,36.084
32,2,0,33.846,37.687,33.846,32.456
33,2,0,33.846,36.194,33.846,31.771
34,2,0,33.846,36.194,33.846,31.771
35,2,0,33.846,36.614,33.846,32.62
36,2,0,33.846,36.614,33.846,32.62
37,2,0,35.385,36.841,35.385,33.144
38,2,0,35.385,36.841,35.385,33.144
39,2,0,33.846,35.961,33.846,32.105
40,2,0,33.846,35.961,33.846,32.105
41,2,0,33.077,33.624,33.077,31.383
42,2,0,33.077,33.624,33.077,31.383
43,2,0,36.923,37.084,36.923,35.773
44,2,0,36.923,37.084,36.923,35.773
45,2,0,37.692,37.303,37.692,35.974
46,2,0,39.231,40.024,39.231,38.845
47,2,0,36.154,36.09,36.154,35.184
48,2,0,38.462,38.593,38.462,37.724
49,2,0,39.231,39.496,39.231,38.647
50,2,0,36.923,38.651,36.923,36.786
51,2,0,36.923,38.791,36.923,36.851
52,2,0,36.923,38.791,36.923,36.851
53,2,0,38.462,39.909,38.462,38.119
54,2,0,39.231,40.349,39.231,38.963
55,2,0,38.462,39.547,38.462,38.125
56,2,0,38.462,38.331,38.462,37.73
57,2,0,36.154,38.407,36.154,36.191
58,2,0,40.0,41.608,40.0,40.029
59,2,0,37.692,39.402,37.692,37.778
60,2,0,37.692,39.402,37.692,37.778
61,2,0,40.769,43.303,40.769,41.203
62,2,0,40.769,43.303,40.769,41.203
63,2,0,38.462,41.116,38.462,38.95
64,2,0,38.462,41.116,38.462,38.95
65,2,0,38.462,40.463,38.462,38.502
66,2,0,40.0,42.111,40.0,40.268
67,2,0,40.0,42.739,40.0,40.297
68,2,0,40.0,42.739,40.0,40.297
69,2,0,38.462,41.205,38.462,38.794
70,2,0,40.769,43.72,40.769,41.328
71,2,0,40.769,43.438,40.769,40.833
72,2,0,40.769,43.438,40.769,40.833
73,2,0,42.308,44.726,42.308,42.549
74,2,0,43.077,45.55,43.077,43.316
75,2,0,42.308,44.733,42.308,42.531
76,2,0,42.308,44.733,42.308,42.531
77,2,0,43.846,46.239,43.846,44.136
78,2,0,42.308,46.439,42.308,42.73
79,2,0,40.769,43.222,40.769,40.624
80,2,0,40.769,43.222,40.769,40.624
81,2,0,42.308,44.655,42.308,42.292
82,2,0,42.308,44.655,42.308,42.292
83,2,0,43.846,45.33,43.846,43.555
84,2,0,43.846,45.33,43.846,43.555
85,2,0,44.615,46.183,44.615,44.549
86,2,0,44.615,46.183,44.615,44.549
87,2,0,46.154,47.555,46.154,46.336
88,2,0,46.154,47.555,46.154,46.336
89,2,0,44.615,45.493,44.615,44.574
90,2,0,44.615,45.493,44.615,44.574
91,2,0,42.308,44.662,42.308,42.884
92,2,0,42.308,43.931,42.308,42.608
93,2,0,43.077,44.597,43.077,43.3
94,2,0,43.077,44.597,43.077,43.3
95,2,0,42.308,43.886,42.308,42.561
96,2,0,42.308,43.886,42.308,42.561
97,2,0,42.308,43.85,42.308,42.65
98,2,0,43.846,44.392,43.846,43.519
99,2,0,43.077,44.128,43.077,43.015
100,2,0,43.077,44.128,43.077,43.015
0,2,1,35.385,32.785,35.385,33.22
1,2,1,33.077,35.774,33.077,32.861
2,2,1,33.077,35.774,33.077,32.861
3,2,1,30.769,31.923,30.769,31.001
4,2,1,30.769,31.923,30.769,31.001
5,2,1,32.308,32.353,32.308,31.483
6,2,1,32.308,32.335,32.308,31.632
7,2,1,28.462,30.682,28.462,28.109
8,2,1,28.462,30.682,28.462,28.109
9,2,1,30.0,30.401,30.0,28.126
10,2,1,32.308,33.077,32.308,30.352
11,2,1,29.231,30.467,29.231,26.65
12,2,1,30.769,32.736,30.769,28.616
13,2,1,27.692,28.941,27.692,26.385
14,2,1,27.692,28.941,27.692,26.385
15,2,1,33.077,33.375,33.077,31.941
16,2,1,33.077,33.375,33.077,31.941
17,2,1,31.538,34.273,31.538,30.71
18,2,1,33.077,32.434,33.077,30.659
19,2,1,32.308,33.155,32.308,30.246
20,2,1,33.846,34.637,33.846,31.215
21,2,1,36.154,39.048,36.154,33.145
22,2,1,36.154,39.048,36.154,33.145
23,2,1,38.462,40.628,38.462,35.496
24,2,1,33.846,37.581,33.846,32.781
