iter,step,fold,acc,prec,rec,f1score
0,2,0,36.154,38.128,36.154,34.38
1,2,0,36.923,43.57,36.923,38.935
2,2,0,43.846,52.388,43.846,44.198
3,2,0,44.615,52.841,44.615,46.642
4,2,0,49.231,57.313,49.231,48.456
5,2,0,50.769,53.667,50.769,48.513
6,2,0,46.154,53.036,46.154,41.765
7,2,0,40.769,48.555,40.769,37.714
8,2,0,40.0,41.628,40.0,35.577
9,2,0,41.538,51.839,41.538,38.255
10,2,0,40.769,51.058,40.769,37.804
11,2,0,45.385,63.049,45.385,41.511
12,2,0,46.154,53.229,46.154,44.615
13,2,0,44.615,55.877,44.615,42.546
14,2,0,50.769,54.352,50.769,47.784
15,2,0,53.846,58.915,53.846,53.104
16,2,0,50.0,54.019,50.0,47.0
17,2,0,53.077,62.912,53.077,49.722
18,2,0,51.538,57.909,51.538,51.39
19,2,0,54.615,60.65,54.615,52.812
20,2,0,53.846,60.272,53.846,54.502
21,2,0,53.846,56.023,53.846,52.925
22,2,0,50.0,52.231,50.0,50.442
23,2,0,54.615,58.456,54.615,53.453
24,2,0,53.077,53.708,53.077,51.098
25,2,0,58.462,59.872,58.462,58.031
26,2,0,56.154,62.696,56.154,56.389
27,2,0,56.154,56.893,56.154,55.651
28,2,0,60.0,62.412,60.0,59.878
29,2,0,58.462,57.624,58.462,57.258
30,2,0,56.154,58.935,56.154,56.134
31,2,0,58.462,61.665,58.462,57.791
32,2,0,60.769,59.614,60.769,59.275
33,2,0,60.769,61.218,60.769,59.672
34,2,0,61.538,60.482,61.538,59.842
35,2,0,59.231,58.787,59.231,57.487
36,2,0,55.385,57.241,55.385,55.222
37,2,0,61.538,61.258,61.538,60.299
38,2,0,56.923,56.178,56.923,55.481
39,2,0,53.846,52.126,53.846,52.282
40,2,0,60.769,58.38,60.769,59.054
41,2,0,63.077,59.318,63.077,60.061
42,2,0,60.769,61.358,60.769,60.069
43,2,0,56.923,56.55,56.923,55.683
44,2,0,63.846,63.189,63.846,62.172
45,2,0,63.077,63.693,63.077,61.431
46,2,0,58.462,61.458,58.462,57.753
47,2,0,62.308,65.334,62.308,61.684
48,2,0,56.923,58.925,56.923,56.187
49,2,0,53.846,56.97,53.846,52.964
50,2,0,61.538,62.499,61.538,60.491
0,2,1,36.923,42.069,36.923,35.538
1,2,1,36.923,43.403,36.923,36.867
2,2,1,36.154,52.149,36.154,34.307
3,2,1,33.077,51.931,33.077,32.787
4,2,1,30.769,45.776,30.769,29.772
5,2,1,34.615,43.806,34.615,33.055
6,2,1,33.846,40.014,33.846,34.295
7,2,1,34.615,40.785,34.615,35.035
8,2,1,44.615,46.106,44.615,44.237
9,2,1,40.769,40.366,40.769,38.667
10,2,1,43.077,40.81,43.077,40.818
11,2,1,45.385,45.193,45.385,43.231
12,2,1,46.154,46.247,46.154,43.625
13,2,1,42.308,40.814,42.308,39.688
14,2,1,49.231,50.759,49.231,46.958
15,2,1,44.615,42.997,44.615,41.101
16,2,1,46.154,46.19,46.154,43.472
17,2,1,46.154,43.766,46.154,42.778
18,2,1,47.692,47.762,47.692,45.631
19,2,1,48.462,46.678,48.462,45.711
20,2,1,47.692,47.14,47.692,45.193
21,2,1,50.0,49.345,50.0,47.632
22,2,1,47.692,47.087,47.692,45.386
23,2,1,45.385,45.519,45.385,43.017
24,2,1,50.0,48.073,50.0,47.883
25,2,1,48.462,51.169,48.462,46.648
26,2,1,50.0,50.638,50.0,47.418
27,2,1,49.231,46.252,49.231,46.265
28,2,1,50.0,52.683,50.0,47.276
29,2,1,50.769,52.135,50.769,48.709
30,2,1,47.692,48.917,47.692,45.374
31,2,1,44.615,45.16,44.615,42.688
32,2,1,50.0,52.923,50.0,47.554
33,2,1,56.923,58.314,56.923,55.373
34,2,1,53.846,55.565,53.846,52.677
35,2,1,52.308,54.592,52.308,51.232
36,2,1,52.308,54.466,52.308,51.54
37,2,1,46.923,48.678,46.923,46.188
38,2,1,52.308,53.888,52.308,51.004
39,2,1,50.769,50.505,50.769,49.123
40,2,1,50.0,53.638,50.0,48.635
41,2,1,52.308,53.988,52.308,49.721
42,2,1,52.308,53.982,52.308,50.177
43,2,1,51.538,54.712,51.538,50.034
44,2,1,56.154,59.562,56.154,54.195
45,2,1,55.385,57.743,55.385,52.966
46,2,1,50.0,54.546,50.0,47.391
47,2,1,49.231,58.984,49.231,46.072
48,2,1,53.846,58.078,53.846,51.382
49,2,1,50.0,51.293,50.0,47.58
50,2,1,49.231,50.686,49.231,45.68
0,2,2,32.308,36.401,32.308,31.175
1,2,2,35.385,38.579,35.385,34.15
2,2,2,36.154,37.064,36.154,32.545
3,2,2,36.923,40.291,36.923,35.021
4,2,2,34.615,36.445,34.615,29.91
5,2,2,36.154,36.153,36.154,33.582
6,2,2,34.615,38.078,34.615,32.145
7,2,2,37.692,43.72,37.692,34.567
8,2,2,43.846,48.647,43.846,40.671
9,2,2,44.615,46.837,44.615,42.001
10,2,2,44.615,43.245,44.615,42.014
11,2,2,43.846,41.445,43.846,40.516
12,2,2,38.462,36.184,38.462,36.118
