iter,step,fold,acc,prec,rec,f1score
0,2,0,36.154,38.128,36.154,34.38
1,2,0,40.0,45.474,40.0,39.336
2,2,0,45.385,54.026,45.385,46.394
3,2,0,40.769,42.345,40.769,39.656
4,2,0,40.769,42.489,40.769,38.648
5,2,0,36.923,41.743,36.923,35.699
6,2,0,38.462,46.177,38.462,36.472
7,2,0,36.923,43.662,36.923,31.849
8,2,0,38.462,51.662,38.462,35.512
9,2,0,39.231,41.363,39.231,37.862
10,2,0,37.692,45.991,37.692,33.616
11,2,0,41.538,50.182,41.538,36.967
12,2,0,47.692,55.868,47.692,41.478
13,2,0,43.077,50.491,43.077,39.121
14,2,0,39.231,42.475,39.231,34.732
15,2,0,40.0,35.897,40.0,32.572
16,2,0,43.077,45.361,43.077,37.777
17,2,0,36.154,43.9,36.154,30.719
18,2,0,37.692,48.548,37.692,32.388
19,2,0,43.077,48.469,43.077,38.407
20,2,0,43.077,40.605,43.077,37.639
21,2,0,43.077,38.913,43.077,36.205
22,2,0,37.692,32.476,37.692,31.4
23,2,0,40.0,47.542,40.0,35.635
24,2,0,39.231,48.009,39.231,33.421
25,2,0,45.385,50.117,45.385,41.023
26,2,0,42.308,46.245,42.308,37.773
27,2,0,52.308,62.336,52.308,50.247
28,2,0,46.154,51.768,46.154,43.18
29,2,0,43.077,48.931,43.077,38.416
30,2,0,43.846,45.309,43.846,38.747
31,2,0,51.538,60.048,51.538,48.969
32,2,0,47.692,55.7,47.692,45.239
33,2,0,46.923,52.942,46.923,43.414
34,2,0,50.769,56.197,50.769,48.127
35,2,0,50.769,55.418,50.769,48.498
36,2,0,53.077,57.288,53.077,51.087
37,2,0,51.538,57.323,51.538,49.517
38,2,0,51.538,59.314,51.538,50.355
39,2,0,53.077,62.311,53.077,50.664
40,2,0,51.538,53.96,51.538,49.625
41,2,0,53.077,56.847,53.077,51.696
42,2,0,49.231,56.83,49.231,47.386
43,2,0,52.308,63.031,52.308,50.571
44,2,0,53.077,63.096,53.077,51.411
45,2,0,53.846,58.365,53.846,51.723
46,2,0,50.769,57.439,50.769,49.482
47,2,0,52.308,57.771,52.308,52.191
48,2,0,59.231,66.973,59.231,59.274
49,2,0,53.077,57.705,53.077,52.275
50,2,0,52.308,58.831,52.308,50.565
0,2,1,36.923,42.069,36.923,35.538
1,2,1,36.923,38.793,36.923,34.847
2,2,1,36.923,39.479,36.923,33.707
3,2,1,43.077,39.613,43.077,39.716
4,2,1,46.154,48.285,46.154,43.92
5,2,1,46.923,46.148,46.923,44.069
6,2,1,43.077,41.435,43.077,39.912
7,2,1,46.154,46.476,46.154,43.129
8,2,1,44.615,42.183,44.615,38.987
9,2,1,43.077,44.89,43.077,39.59
10,2,1,40.769,41.484,40.769,36.604
11,2,1,45.385,48.362,45.385,42.082
12,2,1,39.231,42.099,39.231,33.645
13,2,1,43.846,47.02,43.846,40.188
14,2,1,42.308,44.646,42.308,38.427
15,2,1,40.769,40.321,40.769,35.742
16,2,1,41.538,41.671,41.538,37.652
17,2,1,40.0,41.79,40.0,36.977
18,2,1,42.308,47.25,42.308,39.514
19,2,1,41.538,52.829,41.538,37.583
20,2,1,37.692,48.878,37.692,33.047
21,2,1,40.769,48.112,40.769,36.8
22,2,1,43.077,49.613,43.077,39.74
23,2,1,43.077,48.446,43.077,40.177
24,2,1,40.0,45.853,40.0,35.942
25,2,1,45.385,50.299,45.385,42.232
26,2,1,43.846,50.216,43.846,40.809
27,2,1,44.615,49.589,44.615,41.751
28,2,1,42.308,49.32,42.308,40.041
29,2,1,44.615,47.239,44.615,42.007
30,2,1,43.077,44.096,43.077,39.488
31,2,1,40.0,39.251,40.0,35.59
32,2,1,40.769,40.442,40.769,36.774
33,2,1,41.538,42.242,41.538,37.44
34,2,1,42.308,43.17,42.308,38.35
35,2,1,43.077,46.907,43.077,39.909
36,2,1,40.769,43.063,40.769,36.088
37,2,1,40.769,40.451,40.769,35.725
38,2,1,42.308,48.155,42.308,38.301
39,2,1,43.077,48.361,43.077,39.434
40,2,1,43.077,42.408,43.077,38.329
41,2,1,40.0,42.722,40.0,35.703
42,2,1,40.0,43.612,40.0,37.463
43,2,1,48.462,49.306,48.462,45.503
44,2,1,43.846,44.722,43.846,40.66
45,2,1,39.231,40.658,39.231,35.719
46,2,1,44.615,47.189,44.615,40.651
47,2,1,45.385,47.878,45.385,41.793
48,2,1,45.385,46.947,45.385,41.083
49,2,1,43.077,46.142,43.077,40.737
50,2,1,43.077,43.875,43.077,40.354
0,2,2,32.308,36.401,32.308,31.175
1,2,2,34.615,39.947,34.615,34.204
2,2,2,38.462,42.35,38.462,38.213
3,2,2,32.308,38.122,32.308,33.056
4,2,2,30.769,36.347,30.769,30.768
5,2,2,33.846,40.374,33.846,33.455
6,2,2,28.462,37.247,28.462,29.032
7,2,2,33.077,39.197,33.077,32.852
8,2,2,37.692,38.719,37.692,35.245
9,2,2,40.0,42.052,40.0,39.045
10,2,2,39.231,38.834,39.231,36.587
11,2,2,45.385,43.751,45.385,41.976
12,2,2,36.923,33.031,36.923,31.794
13,2,2,36.923,37.842,36.923,33.955
14,2,2,40.769,43.338,40.769,37.446
15,2,2,40.769,39.328,40.769,36.862
16,2,2,39.231,38.858,39.231,34.986
17,2,2,38.462,37.535,38.462,32.968
18,2,2,38.462,39.355,38.462,34.015
19,2,2,38.462,36.229,38.462,33.866
20,2,2,40.0,40.327,40.0,36.163
21,2,2,41.538,43.176,41.538,37.812
22,2,2,42.308,42.632,42.308,38.128
23,2,2,39.231,40.211,39.231,36.108
24,2,2,41.538,43.636,41.538,38.349
25,2,2,41.538,47.827,41.538,38.172
26,2,2,40.0,41.976,40.0,36.423
27,2,2,41.538,43.861,41.538,38.954
28,2,2,42.308,41.686,42.308,38.909
29,2,2,42.308,45.722,42.308,40.226
30,2,2,43.077,47.525,43.077,41.533
31,2,2,39.231,41.191,39.231,36.766
32,2,2,41.538,42.86,41.538,38.689
33,2,2,40.769,41.48,40.769,37.61
34,2,2,40.0,44.029,40.0,37.999
35,2,2,42.308,45.504,42.308,40.58
36,2,2,41.538,45.63,41.538,39.949
37,2,2,43.077,45.84,43.077,40.891
38,2,2,37.692,42.186,37.692,34.805
39,2,2,40.769,41.207,40.769,37.639
40,2,2,41.538,42.637,41.538,39.198
41,2,2,44.615,47.037,44.615,41.914
42,2,2,43.077,45.287,43.077,40.7
43,2,2,46.154,48.556,46.154,44.699
44,2,2,47.692,50.1,47.692,46.429
45,2,2,46.154,50.832,46.154,44.969
46,2,2,46.154,49.388,46.154,44.812
47,2,2,47.692,51.799,47.692,46.289
48,2,2,46.923,50.065,46.923,45.357
49,2,2,49.231,54.382,49.231,47.32
50,2,2,48.462,53.371,48.462,46.628
0,5,0,36.154,38.128,36.154,34.38
1,5,0,42.308,42.325,42.308,39.883
2,5,0,43.077,48.549,43.077,41.653
3,5,0,39.231,47.176,39.231,37.654
4,5,0,48.462,54.86,48.462,47.526
5,5,0,37.692,32.4,37.692,34.049
6,5,0,40.0,42.589,40.0,37.828
7,5,0,43.846,47.116,43.846,39.068
8,5,0,41.538,43.332,41.538,36.658
9,5,0,43.846,48.35,43.846,41.056
10,5,0,42.308,48.688,42.308,40.152
11,5,0,40.0,41.245,40.0,36.416
12,5,0,44.615,49.762,44.615,41.639
13,5,0,41.538,42.655,41.538,37.535
14,5,0,43.846,47.559,43.846,40.757
15,5,0,45.385,47.951,45.385,40.936
16,5,0,46.154,48.779,46.154,43.237
17,5,0,46.923,45.815,46.923,42.799
18,5,0,44.615,45.635,44.615,40.854
19,5,0,42.308,40.432,42.308,39.586
20,5,0,49.231,50.861,49.231,47.41
0,5,1,36.923,42.069,36.923,35.538
1,5,1,37.692,39.52,37.692,37.026
2,5,1,40.0,41.099,40.0,36.807
3,5,1,40.769,38.672,40.769,37.906
4,5,1,36.154,33.674,36.154,30.974
5,5,1,41.538,45.373,41.538,37.177
6,5,1,37.692,38.081,37.692,31.31
7,5,1,39.231,55.887,39.231,31.285
8,5,1,36.923,45.264,36.923,28.145
9,5,1,40.769,48.819,40.769,34.235
10,5,1,37.692,52.864,37.692,31.358
11,5,1,43.846,49.94,43.846,39.178
12,5,1,40.769,49.374,40.769,35.081
13,5,1,43.846,50.852,43.846,38.549
14,5,1,39.231,46.229,39.231,34.198
15,5,1,40.769,47.519,40.769,34.709
16,5,1,43.846,55.189,43.846,40.094
17,5,1,50.0,58.034,50.0,48.651
18,5,1,47.692,61.682,47.692,44.87
19,5,1,50.0,56.717,50.0,47.258
20,5,1,46.154,53.624,46.154,42.96
0,5,2,32.308,36.401,32.308,31.175
1,5,2,35.385,45.844,35.385,34.791
2,5,2,34.615,42.151,34.615,35.222
3,5,2,31.538,35.502,31.538,31.979
4,5,2,30.769,39.786,30.769,31.344
5,5,2,33.846,38.227,33.846,34.065
6,5,2,40.0,47.506,40.0,41.155
7,5,2,38.462,41.294,38.462,37.718
8,5,2,36.154,39.519,36.154,35.888
9,5,2,41.538,47.819,41.538,42.734
10,5,2,42.308,40.912,42.308,40.557
11,5,2,40.769,41.203,40.769,40.122
12,5,2,41.538,41.352,41.538,40.493
13,5,2,43.077,43.038,43.077,41.763
14,5,2,45.385,44.714,45.385,43.377
15,5,2,43.846,44.362,43.846,42.75
16,5,2,46.923,45.921,46.923,44.435
17,5,2,48.462,50.01,48.462,47.406
