iter,step,fold,acc,prec,rec,f1score
0,2,0,36.154,38.128,36.154,34.38
1,2,0,32.308,33.89,32.308,30.928
2,2,0,34.615,41.31,34.615,33.449
3,2,0,36.154,37.91,36.154,34.084
4,2,0,32.308,34.018,32.308,31.139
5,2,0,37.692,40.504,37.692,37.639
6,2,0,40.769,45.535,40.769,41.23
7,2,0,37.692,38.552,37.692,36.392
8,2,0,41.538,42.083,41.538,39.531
9,2,0,43.846,44.758,43.846,42.388
10,2,0,41.538,41.887,41.538,38.986
11,2,0,45.385,46.153,45.385,43.877
12,2,0,40.769,41.144,40.769,39.249
13,2,0,37.692,38.486,37.692,35.892
14,2,0,36.154,36.404,36.154,32.921
15,2,0,40.0,40.176,40.0,37.783
16,2,0,37.692,37.289,37.692,35.027
17,2,0,43.077,43.11,43.077,40.265
18,2,0,40.769,41.172,40.769,38.533
19,2,0,40.0,40.842,40.0,37.819
20,2,0,40.769,43.812,40.769,39.049
21,2,0,41.538,40.314,41.538,39.112
22,2,0,40.769,43.797,40.769,38.885
23,2,0,40.0,40.929,40.0,36.498
24,2,0,40.769,40.348,40.769,37.085
25,2,0,38.462,40.052,38.462,35.715
26,2,0,42.308,44.783,42.308,40.257
27,2,0,43.846,44.395,43.846,41.864
28,2,0,39.231,41.626,39.231,37.642
29,2,0,36.923,41.214,36.923,35.23
30,2,0,40.769,44.179,40.769,39.071
31,2,0,41.538,49.428,41.538,40.046
32,2,0,43.077,48.922,43.077,41.655
33,2,0,40.769,50.534,40.769,39.154
34,2,0,40.0,45.97,40.0,38.323
35,2,0,36.923,40.967,36.923,35.189
36,2,0,37.692,42.264,37.692,35.267
37,2,0,40.0,46.074,40.0,38.098
38,2,0,40.0,50.043,40.0,38.247
39,2,0,43.077,54.724,43.077,41.62
40,2,0,37.692,44.092,37.692,35.043
41,2,0,41.538,49.346,41.538,39.494
42,2,0,40.0,50.905,40.0,38.291
43,2,0,40.0,55.373,40.0,38.625
44,2,0,40.769,52.431,40.769,39.004
45,2,0,40.769,53.388,40.769,39.77
46,2,0,43.077,59.685,43.077,43.178
47,2,0,40.0,52.801,40.0,38.233
48,2,0,43.077,65.455,43.077,43.222
49,2,0,38.462,54.697,38.462,36.655
50,2,0,43.846,64.202,43.846,44.139
0,2,1,36.923,42.069,36.923,35.538
1,2,1,36.923,43.284,36.923,36.691
2,2,1,36.923,45.16,36.923,35.934
3,2,1,40.0,42.357,40.0,36.136
4,2,1,40.0,40.728,40.0,36.608
5,2,1,38.462,36.422,38.462,34.041
6,2,1,37.692,32.239,37.692,31.592
7,2,1,44.615,47.54,44.615,41.079
8,2,1,43.077,42.399,43.077,39.755
9,2,1,41.538,41.901,41.538,38.454
10,2,1,38.462,40.153,38.462,35.314
11,2,1,46.923,51.055,46.923,43.647
12,2,1,40.769,35.252,40.769,35.24
13,2,1,43.846,46.638,43.846,40.072
14,2,1,43.077,47.937,43.077,38.921
15,2,1,40.769,47.506,40.769,35.759
16,2,1,46.154,47.35,46.154,41.776
17,2,1,42.308,38.556,42.308,36.631
18,2,1,40.0,37.737,40.0,34.435
19,2,1,43.077,40.015,43.077,37.347
20,2,1,41.538,38.021,41.538,36.044
21,2,1,40.0,39.004,40.0,34.727
22,2,1,37.692,39.41,37.692,32.415
23,2,1,36.923,37.363,36.923,30.812
24,2,1,40.0,40.177,40.0,34.484
25,2,1,38.462,39.206,38.462,32.447
26,2,1,40.0,40.447,40.0,34.913
27,2,1,37.692,38.89,37.692,31.753
28,2,1,40.769,39.591,40.769,35.202
29,2,1,41.538,42.509,41.538,35.953
30,2,1,36.923,38.041,36.923,30.384
31,2,1,39.231,45.274,39.231,34.157
32,2,1,36.154,52.744,36.154,31.21
33,2,1,43.077,58.859,43.077,38.333
34,2,1,42.308,45.753,42.308,38.081
35,2,1,40.769,55.824,40.769,36.204
36,2,1,42.308,57.231,42.308,37.429
37,2,1,43.846,43.439,43.846,39.118
38,2,1,45.385,48.277,45.385,41.087
39,2,1,47.692,65.034,47.692,43.717
40,2,1,43.077,47.606,43.077,39.233
41,2,1,36.923,38.054,36.923,31.666
42,2,1,39.231,39.508,39.231,34.023
43,2,1,40.0,39.428,40.0,34.765
44,2,1,40.0,41.481,40.0,34.82
45,2,1,43.846,45.715,43.846,38.153
46,2,1,43.077,42.103,43.077,38.221
47,2,1,36.154,35.696,36.154,29.667
48,2,1,41.538,46.584,41.538,36.565
49,2,1,43.846,47.395,43.846,39.696
50,2,1,41.538,45.646,41.538,36.725
