iter,step,fold,acc,prec,rec,f1score
0,2,0,30.769,41.909,30.769,29.984
1,2,0,33.077,42.22,33.077,32.71
2,2,0,33.077,46.046,33.077,33.321
3,2,0,32.308,46.601,32.308,32.706
4,2,0,30.769,47.226,30.769,32.265
5,2,0,33.846,48.024,33.846,35.267
6,2,0,35.385,50.971,35.385,36.81
7,2,0,35.385,46.891,35.385,36.757
8,2,0,43.077,52.825,43.077,43.669
9,2,0,43.846,52.48,43.846,43.856
10,2,0,43.846,50.862,43.846,44.869
11,2,0,43.846,51.079,43.846,44.81
12,2,0,44.615,52.28,44.615,45.657
13,2,0,44.615,50.784,44.615,44.78
14,2,0,46.923,52.875,46.923,47.323
15,2,0,44.615,51.098,44.615,45.279
16,2,0,44.615,51.158,44.615,45.673
17,2,0,46.154,51.949,46.154,47.123
18,2,0,42.308,46.021,42.308,42.595
19,2,0,40.0,44.702,40.0,40.568
20,2,0,40.0,43.961,40.0,40.431
21,2,0,38.462,42.632,38.462,39.108
22,2,0,40.0,43.593,40.0,40.51
23,2,0,42.308,46.676,42.308,42.586
24,2,0,41.538,46.883,41.538,41.59
25,2,0,41.538,46.021,41.538,41.468
26,2,0,41.538,45.694,41.538,41.677
27,2,0,40.0,43.226,40.0,39.61
28,2,0,40.769,48.565,40.769,40.508
29,2,0,42.308,50.979,42.308,41.981
30,2,0,43.846,54.936,43.846,43.933
31,2,0,43.846,54.936,43.846,43.933
32,2,0,48.462,58.653,48.462,49.681
33,2,0,50.769,59.781,50.769,51.265
34,2,0,50.769,59.904,50.769,50.915
35,2,0,50.0,57.753,50.0,50.1
36,2,0,49.231,56.449,49.231,49.051
37,2,0,49.231,56.449,49.231,49.051
38,2,0,48.462,56.448,48.462,48.179
39,2,0,47.692,55.856,47.692,47.324
40,2,0,47.692,54.661,47.692,47.512
41,2,0,47.692,54.661,47.692,47.512
42,2,0,49.231,55.613,49.231,49.357
43,2,0,48.462,54.685,48.462,48.646
44,2,0,47.692,53.246,47.692,47.613
45,2,0,47.692,53.423,47.692,47.792
46,2,0,48.462,55.181,48.462,48.546
47,2,0,49.231,55.795,49.231,49.394
48,2,0,50.0,56.32,50.0,49.78
49,2,0,50.0,56.32,50.0,49.78
50,2,0,50.769,56.831,50.769,50.607
0,2,1,29.231,35.765,29.231,28.958
1,2,1,29.231,35.724,29.231,28.956
2,2,1,30.0,36.345,30.0,29.81
3,2,1,30.0,36.838,30.0,29.836
4,2,1,33.846,37.301,33.846,32.718
5,2,1,25.385,31.049,25.385,24.037
6,2,1,28.462,45.184,28.462,28.376
7,2,1,31.538,36.06,31.538,32.162
8,2,1,33.846,38.187,33.846,34.691
9,2,1,34.615,38.45,34.615,35.155
10,2,1,30.769,34.429,30.769,31.589
11,2,1,30.769,36.863,30.769,32.248
12,2,1,40.0,43.96,40.0,40.438
13,2,1,39.231,43.324,39.231,39.704
14,2,1,37.692,41.047,37.692,38.581
15,2,1,39.231,42.291,39.231,39.945
16,2,1,41.538,44.182,41.538,41.62
17,2,1,38.462,41.881,38.462,39.191
18,2,1,40.769,42.14,40.769,40.867
19,2,1,40.769,41.656,40.769,40.635
20,2,1,43.846,44.318,43.846,43.126
21,2,1,43.846,44.145,43.846,43.088
22,2,1,47.692,48.448,47.692,47.121
23,2,1,48.462,51.382,48.462,47.935
24,2,1,46.923,48.826,46.923,46.107
25,2,1,48.462,49.95,48.462,47.424
26,2,1,46.923,49.257,46.923,45.917
27,2,1,46.154,47.744,46.154,45.291
28,2,1,44.615,46.329,44.615,43.219
29,2,1,44.615,45.652,44.615,43.211
30,2,1,41.538,42.891,41.538,40.374
31,2,1,43.077,43.232,43.077,41.99
32,2,1,43.846,43.893,43.846,42.733
33,2,1,45.385,45.036,45.385,44.037
34,2,1,47.692,47.451,47.692,46.253
35,2,1,48.462,47.025,48.462,46.677
36,2,1,50.769,49.452,50.769,49.197
37,2,1,50.0,48.934,50.0,48.566
38,2,1,51.538,51.199,51.538,50.087
39,2,1,51.538,51.32,51.538,50.166
40,2,1,51.538,52.538,51.538,50.775
41,2,1,51.538,52.396,51.538,50.715
42,2,1,51.538,53.437,51.538,50.728
43,2,1,51.538,53.437,51.538,50.728
44,2,1,51.538,53.569,51.538,50.999
45,2,1,51.538,53.569,51.538,50.999
46,2,1,53.077,55.73,53.077,53.144
47,2,1,53.077,55.73,53.077,53.144
48,2,1,56.154,59.971,56.154,56.134
49,2,1,56.154,59.971,56.154,56.134
50,2,1,55.385,59.327,55.385,55.246
0,2,2,24.615,33.454,24.615,23.819
1,2,2,24.615,30.691,24.615,24.259
2,2,2,30.0,33.591,30.0,27.946
3,2,2,29.231,34.484,29.231,26.516
4,2,2,29.231,36.591,29.231,28.443
5,2,2,29.231,36.787,29.231,27.793
6,2,2,33.846,40.167,33.846,33.17
7,2,2,34.615,41.431,34.615,33.783
8,2,2,36.154,42.087,36.154,35.641
9,2,2,36.923,42.57,36.923,35.944
10,2,2,36.923,39.806,36.923,34.578
11,2,2,37.692,39.128,37.692,35.34
12,2,2,35.385,40.176,35.385,32.92
13,2,2,38.462,44.99,38.462,37.103
14,2,2,43.077,41.943,43.077,40.914
15,2,2,44.615,43.214,44.615,42.514
16,2,2,46.154,43.701,46.154,43.459
17,2,2,45.385,42.668,45.385,42.988
18,2,2,43.846,42.146,43.846,42.233
19,2,2,43.846,42.064,43.846,42.029
20,2,2,42.308,40.776,42.308,40.622
21,2,2,42.308,40.323,42.308,40.162
22,2,2,42.308,41.562,42.308,40.866
23,2,2,43.077,42.873,43.077,41.683
24,2,2,43.077,42.793,43.077,41.268
25,2,2,43.077,42.793,43.077,41.268
26,2,2,41.538,42.503,41.538,40.75
27,2,2,41.538,42.861,41.538,40.759
28,2,2,43.846,43.26,43.846,41.997
29,2,2,46.154,46.086,46.154,44.606
30,2,2,46.154,46.283,46.154,44.682
31,2,2,46.154,46.283,46.154,44.682
32,2,2,45.385,45.173,45.385,44.07
33,2,2,44.615,44.435,44.615,43.208
34,2,2,45.385,46.575,45.385,44.467
35,2,2,44.615,46.217,44.615,43.798
36,2,2,44.615,46.599,44.615,44.166
37,2,2,47.692,49.384,47.692,47.285
38,2,2,48.462,49.286,48.462,47.603
39,2,2,49.231,50.129,49.231,48.55
40,2,2,51.538,51.712,51.538,50.585
41,2,2,51.538,51.538,51.538,50.481
42,2,2,50.769,50.405,50.769,49.428
43,2,2,52.308,52.933,52.308,51.378
44,2,2,50.769,51.456,50.769,50.134
45,2,2,50.769,51.456,50.769,50.134
46,2,2,51.538,51.904,51.538,50.963
47,2,2,52.308,52.238,52.308,51.414
48,2,2,53.077,53.179,53.077,52.3
49,2,2,53.077,53.179,53.077,52.3
50,2,2,56.154,56.795,56.154,55.73
0,5,0,30.769,41.909,30.769,29.984
1,5,0,35.385,40.821,35.385,35.116
2,5,0,36.923,43.977,36.923,38.023
3,5,0,38.462,44.908,38.462,38.738
4,5,0,41.538,46.028,41.538,41.399
5,5,0,44.615,50.452,44.615,44.229
6,5,0,49.231,55.9,49.231,49.398
7,5,0,49.231,55.599,49.231,49.686
8,5,0,50.769,54.836,50.769,51.355
9,5,0,49.231,53.082,49.231,49.466
10,5,0,49.231,55.564,49.231,50.064
11,5,0,48.462,53.146,48.462,48.913
12,5,0,50.769,54.827,50.769,51.558
13,5,0,50.0,53.583,50.0,50.621
14,5,0,52.308,55.302,52.308,52.427
15,5,0,51.538,54.754,51.538,51.53
16,5,0,53.846,59.47,53.846,54.063
17,5,0,54.615,59.879,54.615,54.698
18,5,0,51.538,55.943,51.538,51.495
19,5,0,53.077,57.264,53.077,53.262
20,5,0,55.385,59.57,55.385,55.434
0,5,1,29.231,35.765,29.231,28.958
1,5,1,29.231,33.424,29.231,28.877
2,5,1,34.615,37.535,34.615,33.708
3,5,1,32.308,35.874,32.308,31.538
4,5,1,40.769,44.6,40.769,41.301
5,5,1,43.077,45.195,43.077,42.652
6,5,1,40.769,46.454,40.769,40.299
