iter,step,fold,acc,prec,rec,f1score
0,2,0,30.769,41.909,30.769,29.984
1,2,0,33.077,42.22,33.077,32.71
2,2,0,33.077,45.815,33.077,32.667
3,2,0,28.462,37.499,28.462,27.997
4,2,0,30.0,34.849,30.0,28.733
5,2,0,36.923,39.309,36.923,34.21
6,2,0,37.692,39.829,37.692,35.101
7,2,0,38.462,41.591,38.462,35.678
8,2,0,40.0,39.46,40.0,36.501
9,2,0,42.308,48.397,42.308,40.946
10,2,0,41.538,47.73,41.538,40.466
11,2,0,41.538,47.754,41.538,41.03
12,2,0,44.615,48.16,44.615,43.049
13,2,0,47.692,51.942,47.692,45.91
14,2,0,48.462,50.096,48.462,45.865
15,2,0,47.692,49.83,47.692,45.321
16,2,0,48.462,54.716,48.462,45.533
17,2,0,49.231,54.179,49.231,45.825
18,2,0,46.154,51.158,46.154,42.266
19,2,0,47.692,53.553,47.692,45.153
20,2,0,45.385,51.627,45.385,42.687
21,2,0,44.615,50.684,44.615,41.797
22,2,0,44.615,51.133,44.615,42.161
23,2,0,44.615,45.417,44.615,42.322
24,2,0,44.615,45.303,44.615,42.261
25,2,0,44.615,46.796,44.615,42.385
26,2,0,45.385,46.511,45.385,42.925
27,2,0,43.846,45.796,43.846,41.565
28,2,0,44.615,47.041,44.615,42.441
29,2,0,44.615,47.467,44.615,43.075
30,2,0,44.615,45.425,44.615,42.42
31,2,0,43.077,42.482,43.077,40.267
32,2,0,43.077,43.735,43.077,40.133
33,2,0,44.615,44.505,44.615,41.464
34,2,0,47.692,49.459,47.692,45.565
35,2,0,47.692,49.203,47.692,45.698
36,2,0,46.923,48.295,46.923,44.376
37,2,0,48.462,49.669,48.462,45.954
38,2,0,47.692,48.821,47.692,44.997
39,2,0,45.385,43.75,45.385,41.671
40,2,0,45.385,43.75,45.385,41.671
41,2,0,45.385,43.882,45.385,41.831
42,2,0,46.923,45.775,46.923,43.558
43,2,0,48.462,47.749,48.462,45.698
44,2,0,49.231,48.812,49.231,46.595
45,2,0,48.462,48.409,48.462,46.02
46,2,0,48.462,48.549,48.462,46.091
47,2,0,50.0,51.144,50.0,48.157
48,2,0,49.231,50.263,49.231,46.9
49,2,0,48.462,50.299,48.462,46.051
50,2,0,48.462,50.88,48.462,46.414
0,2,1,29.231,35.765,29.231,28.958
1,2,1,29.231,35.724,29.231,28.956
2,2,1,32.308,35.753,32.308,30.755
3,2,1,30.769,34.682,30.769,29.31
4,2,1,30.0,31.275,30.0,25.916
5,2,1,30.769,30.897,30.769,26.821
6,2,1,31.538,31.636,31.538,27.164
7,2,1,27.692,25.129,27.692,22.657
8,2,1,30.0,30.432,30.0,24.471
9,2,1,30.769,39.893,30.769,25.002
10,2,1,32.308,41.652,32.308,26.609
11,2,1,36.154,37.915,36.154,33.353
12,2,1,36.923,42.204,36.923,34.392
13,2,1,36.154,41.404,36.154,33.621
14,2,1,36.923,44.87,36.923,35.403
15,2,1,34.615,38.017,34.615,32.409
16,2,1,30.769,33.35,30.769,28.078
17,2,1,33.077,37.692,33.077,30.595
18,2,1,32.308,36.296,32.308,29.678
19,2,1,33.846,38.676,33.846,31.665
20,2,1,35.385,40.961,35.385,33.608
21,2,1,39.231,43.058,39.231,37.376
22,2,1,37.692,40.948,37.692,35.707
23,2,1,36.154,37.714,36.154,34.106
24,2,1,37.692,40.493,37.692,35.257
25,2,1,37.692,40.493,37.692,35.257
26,2,1,36.923,39.888,36.923,34.533
27,2,1,36.923,40.168,36.923,34.215
28,2,1,36.154,39.063,36.154,32.84
29,2,1,36.154,39.609,36.154,32.878
30,2,1,33.846,34.113,33.846,29.419
31,2,1,34.615,34.713,34.615,30.432
32,2,1,34.615,34.713,34.615,30.432
33,2,1,34.615,35.072,34.615,30.797
34,2,1,36.923,39.28,36.923,33.458
35,2,1,37.692,39.366,37.692,33.684
36,2,1,37.692,39.901,37.692,33.585
37,2,1,39.231,40.563,39.231,35.017
38,2,1,39.231,40.563,39.231,35.017
39,2,1,38.462,39.962,38.462,34.442
40,2,1,36.923,37.989,36.923,32.439
41,2,1,39.231,42.187,39.231,35.003
42,2,1,39.231,42.187,39.231,35.003
43,2,1,39.231,42.187,39.231,35.003
44,2,1,40.0,47.828,40.0,36.462
45,2,1,40.0,46.821,40.0,36.462
46,2,1,41.538,47.741,41.538,37.871
47,2,1,41.538,48.331,41.538,38.411
48,2,1,41.538,47.917,41.538,38.29
49,2,1,41.538,48.321,41.538,38.392
50,2,1,43.077,51.964,43.077,39.695
0,2,2,24.615,33.454,24.615,23.819
1,2,2,24.615,30.691,24.615,24.259
2,2,2,21.538,29.933,21.538,21.176
3,2,2,24.615,31.759,24.615,23.361
4,2,2,26.923,41.65,26.923,23.854
5,2,2,26.154,39.817,26.154,22.322
6,2,2,25.385,39.382,25.385,21.697
7,2,2,25.385,38.664,25.385,22.629
8,2,2,27.692,33.969,27.692,26.991
9,2,2,27.692,34.016,27.692,26.88
10,2,2,28.462,34.762,28.462,27.935
11,2,2,27.692,33.622,27.692,26.813
12,2,2,28.462,34.944,28.462,27.824
13,2,2,29.231,35.239,29.231,27.985
14,2,2,33.077,38.004,33.077,32.478
15,2,2,32.308,37.209,32.308,31.581
16,2,2,34.615,37.832,34.615,33.717
17,2,2,35.385,36.767,35.385,32.981
18,2,2,36.154,36.367,36.154,33.329
19,2,2,36.154,36.367,36.154,33.329
20,2,2,37.692,38.582,37.692,34.687
21,2,2,40.0,42.508,40.0,37.063
22,2,2,41.538,45.72,41.538,38.134
23,2,2,42.308,46.152,42.308,38.562
24,2,2,42.308,45.466,42.308,37.771
25,2,2,43.077,46.522,43.077,39.041
26,2,2,45.385,52.467,45.385,41.245
27,2,2,46.923,53.109,46.923,43.462
28,2,2,47.692,52.734,47.692,43.762
29,2,2,47.692,48.81,47.692,43.864
30,2,2,48.462,49.194,48.462,44.377
31,2,2,48.462,49.443,48.462,44.381
32,2,2,46.154,44.751,46.154,40.331
33,2,2,46.923,42.97,46.923,41.017
34,2,2,46.923,43.37,46.923,41.052
35,2,2,47.692,44.068,47.692,41.922
36,2,2,49.231,45.968,49.231,43.208
37,2,2,48.462,44.176,48.462,42.714
38,2,2,47.692,43.101,47.692,42.174
39,2,2,47.692,45.446,47.692,43.039
40,2,2,46.923,44.866,46.923,42.428
41,2,2,48.462,46.963,48.462,43.997
42,2,2,47.692,46.082,47.692,43.553
43,2,2,47.692,46.055,47.692,43.385
44,2,2,47.692,47.342,47.692,43.254
45,2,2,48.462,49.082,48.462,44.446
46,2,2,48.462,48.95,48.462,44.402
47,2,2,48.462,43.26,48.462,43.49
48,2,2,47.692,42.507,47.692,42.67
49,2,2,47.692,42.287,47.692,42.881
50,2,2,48.462,43.702,48.462,44.016
0,5,0,30.769,41.909,30.769,29.984
1,5,0,35.385,40.821,35.385,35.116
2,5,0,36.154,37.84,36.154,34.623
3,5,0,39.231,40.926,39.231,37.212
4,5,0,36.154,39.649,36.154,34.295
5,5,0,36.154,37.701,36.154,35.959
6,5,0,34.615,36.592,34.615,33.673
7,5,0,36.154,44.937,36.154,35.294
8,5,0,38.462,41.035,38.462,37.717
9,5,0,41.538,44.447,41.538,41.115
10,5,0,43.077,46.475,43.077,42.735
11,5,0,45.385,50.339,45.385,45.132
12,5,0,41.538,47.755,41.538,41.278
13,5,0,41.538,48.766,41.538,41.18
14,5,0,46.154,53.229,46.154,45.677
15,5,0,46.154,51.773,46.154,45.712
16,5,0,48.462,54.578,48.462,48.613
17,5,0,48.462,54.169,48.462,48.606
18,5,0,44.615,50.212,44.615,44.509
19,5,0,46.923,51.606,46.923,46.763
20,5,0,46.923,49.596,46.923,46.259
0,5,1,29.231,35.765,29.231,28.958
1,5,1,29.231,33.424,29.231,28.877
2,5,1,41.538,44.113,41.538,40.361
3,5,1,40.769,42.601,40.769,40.126
4,5,1,40.0,38.449,40.0,36.555
5,5,1,42.308,38.713,42.308,38.359
6,5,1,44.615,41.099,44.615,40.049
